,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,CASP16.M1209TS006_1,1,2,0.A,0.12623432106920518,0.3358321605346026,538.693,2550785.32,4043475.08,-2.549116604370474,350.53,91.7164,0.245
1,CASP16.M1209TS006_1,1,2,0.B,0.10714964710641652,0.32628982355320824,226.363,1783378.85,2495023.58,-3.1751781891506186,186.043,81.0325,0.16
2,CASP16.M1209TS006_2,1,2,0.A,0.09971488497394601,0.3081791091536396,724.038,4014493.65,6189598.84,-2.008470550133553,325.476,152.907,0.203
3,CASP16.M1209TS006_2,1,2,0.B,0.10040760764386505,0.30852547048859913,287.523,2270563.15,3222643.94,-5.026703355270717,174.528,96.6767,0.161
4,CASP16.M1209TS006_3,1,2,0.A,0.10975858315359802,0.2891509582434657,756.841,5491339.33,8807242.05,-0.00011352480752051772,232.976,273.772,0.059
5,CASP16.M1209TS006_3,1,2,0.B,0.05837373533286154,0.26345853433309746,123.708,884632.32,1371738.55,-3.478954901340561,65.059,33.1722,0.0
6,CASP16.M1209TS006_4,1,2,0.A,0.08637967069080331,0.2975365020120683,681.974,3170108.43,5054325.81,-4.759035583990896,326.892,125.925,0.217
7,CASP16.M1209TS006_4,1,2,0.B,0.08357794974581338,0.29613564153957334,189.585,1319398.73,2218641.8,-9.48687107047026,78.76,66.9497,0.036
8,CASP16.M1209TS006_5,1,2,0.A,0.19415090400725604,0.3716937853369614,568.878,2797718.09,3924298.94,-4.110182902091491,298.06,108.456,0.245
9,CASP16.M1209TS006_5,1,2,0.B,0.17017584675922992,0.3597062567129483,298.887,1621862.13,3141606.55,-2.005502238912642,31.96,112.507,0.108
10,CASP16.M1209TS028_1,1,2,0.A,0.0779075419636797,0.20501043764850652,102.48,829326.09,1492054.03,-4.557963587085391,179.619,27.9407,0.152
11,CASP16.M1209TS028_1,1,2,0.B,0.056259341834332594,0.19418633758383297,48.139,356306.69,469999.9,-0.029906008062493602,169.429,12.9033,0.125
12,CASP16.M1209TS028_2,1,2,0.A,0.07133307848391723,0.20336820590862528,99.95,727243.62,1383879.5,-3.521807699969166,122.392,20.6516,0.152
13,CASP16.M1209TS028_2,1,2,0.B,0.05408965854734902,0.19474649594034119,45.779,356692.49,457495.54,-0.03237248883950175,158.66,11.788,0.125
14,CASP16.M1209TS028_3,1,2,0.A,0.06926083107955491,0.20471041553977748,102.551,696680.07,1339938.14,-3.9343573712137623,145.024,18.9018,0.152
15,CASP16.M1209TS028_3,1,2,0.B,0.05049767712680477,0.19532883856340238,48.13,357635.34,466422.15,-0.03690843614040375,164.037,8.89743,0.125
16,CASP16.M1209TS028_4,1,2,0.A,0.06736546484867177,0.20463106575766923,113.161,701827.82,1341153.94,-3.9210432027303224,160.151,20.4836,0.152
17,CASP16.M1209TS028_4,1,2,0.B,0.049939432445944475,0.19591804955630557,41.807,322861.21,442094.87,-0.02923299169534226,180.071,7.34633,0.125
18,CASP16.M1209TS028_5,1,2,0.A,0.06495259032381001,0.20748796182857168,109.195,737166.67,1345547.08,-4.370178837517816,134.626,18.5405,0.121
19,CASP16.M1209TS028_5,1,2,0.B,0.04633373188516999,0.19817853260925167,39.791,325513.9,427174.59,-0.024358363687180317,137.952,7.6516,0.125
20,CASP16.M1209TS033_1,1,2,0.A,0.11515112451743334,0.33629222892538335,440.672,2335853.71,3712616.4,-2.542665542183924,242.4,68.7107,0.25
21,CASP16.M1209TS033_1,1,2,0.B,0.08091350728645921,0.31917342030989626,163.558,913386.24,1381783.03,-0.3528348066937207,187.554,26.4235,0.267
22,CASP16.M1209TS033_2,1,2,0.A,0.14600358520401643,0.34404679260200827,489.83,3040751.77,4480652.0,-2.574854741017614,437.397,93.5513,0.286
23,CASP16.M1209TS033_2,1,2,0.B,0.0958766136347549,0.31898330681737747,211.852,963849.71,1689238.47,-1.1921198186097133,165.372,31.1368,0.222
24,CASP16.M1209TS033_3,1,2,0.A,0.11272000125609338,0.33219333396138007,423.127,2708640.68,4483341.59,-0.1505457207044898,341.802,85.726,0.26
25,CASP16.M1209TS033_3,1,2,0.B,0.08146338703809305,0.3165650268523799,140.682,846877.18,1411947.99,-5.863226222226048,135.633,30.5945,0.111
26,CASP16.M1209TS033_4,1,2,0.A,0.15627460861578582,0.3747089709745596,372.771,2279834.72,3669128.17,-1.9774146484785664,253.864,92.3699,0.35
27,CASP16.M1209TS033_4,1,2,0.B,0.10094533301889895,0.34704433317611616,161.506,820963.38,1454375.12,-3.5983282968010326,118.473,33.2645,0.286
28,CASP16.M1209TS033_5,1,2,0.A,0.13027019965229555,0.3357834331594811,489.018,2429528.84,3864764.18,-5.082747804098642,251.777,74.2198,0.255
29,CASP16.M1209TS033_5,1,2,0.B,0.08728360159439034,0.3142901341305285,182.311,1025916.95,1785168.3,-4.77018993506408,182.237,33.2207,0.211
30,CASP16.M1209TS063_1,1,2,0.A,0.21791951004415752,0.42890642168874543,379.587,2851662.7,3663420.87,-2.050790461571505,368.385,92.1918,0.92
31,CASP16.M1209TS063_1,1,2,0.B,0.09685398517176508,0.36837365925254917,97.173,394838.25,513470.92,-0.7447555576311071,73.852,11.054,1.0
32,CASP16.M1209TS063_2,1,2,0.A,0.1661733040586114,0.39578831869597236,375.064,2558498.65,3404748.38,-1.0600821650323449,351.702,93.3536,0.958
33,CASP16.M1209TS063_2,1,2,0.B,0.05459119754377752,0.3399972654385554,96.04,382768.45,494689.36,-1.651805838879776,77.635,11.054,1.0
34,CASP16.M1209TS063_3,1,2,0.A,0.14867853317409754,0.38250593325371546,367.316,2605392.31,3389686.4,-1.8926368759799355,325.74,92.0797,0.958
35,CASP16.M1209TS063_3,1,2,0.B,0.1000759941060096,0.3582046637196715,95.453,399307.99,516447.85,-0.728635939465701,62.075,11.054,1.0
36,CASP16.M1209TS063_4,1,2,0.A,0.1774569788016379,0.4039118227341523,372.671,2647822.29,3447955.76,-0.28953368330458684,363.531,93.5907,0.958
37,CASP16.M1209TS063_4,1,2,0.B,0.06781202591955662,0.34908934629311167,96.065,397091.94,515813.96,-0.7311265585357478,60.494,11.054,1.0
38,CASP16.M1209TS063_5,1,2,0.A,0.18227032897993922,0.4103351644899696,368.467,2658742.87,3447561.94,-0.9128983272927014,364.949,93.3536,0.917
39,CASP16.M1209TS063_5,1,2,0.B,0.10276939980685712,0.37058469990342857,95.176,386073.9,495727.49,-0.6409118647015123,57.386,11.054,1.0
40,CASP16.M1209TS091_1,1,2,0.A,0.08185756515122194,0.2921521159089443,392.541,2236274.8,3133146.07,-5.195125257351773,331.354,74.4136,0.25
41,CASP16.M1209TS091_1,1,2,0.B,0.07028828038419306,0.28636747352542985,310.518,2293070.44,3547967.45,-3.6566234111636273,325.211,105.645,0.025
42,CASP16.M1209TS091_2,1,2,0.A,0.10633606158598924,0.3037763641263279,614.227,3641694.43,4869864.95,-2.3223407144701778,545.551,109.495,0.204
43,CASP16.M1209TS091_2,1,2,0.B,0.07031949232332407,0.2857680794949954,116.531,828207.67,1126145.89,-5.956953997263086,147.0,28.2171,0.133
44,CASP16.M1209TS091_3,1,2,0.A,0.1111057653761236,0.3378878826880618,460.786,2530602.83,3525705.2,-1.2207752263217495,337.578,70.3943,0.463
45,CASP16.M1209TS091_3,1,2,0.B,0.04783472974668257,0.3062523648733413,81.437,525358.29,677558.72,-1.258306784607249,106.129,10.4935,0.5
46,CASP16.M1209TS091_4,1,2,0.A,0.07798793579733568,0.2844689678986679,424.071,2388129.64,3458761.52,-5.5029332611244195,308.56,68.8623,0.182
47,CASP16.M1209TS091_4,1,2,0.B,0.0650217952227706,0.2779858976113853,326.773,1770859.31,3051221.22,-1.9972100297418975,239.833,82.8675,0.027
