,model,num_rna_chains,num_prot_chains,tm,oligo_gdtts,bb_lddt,ics,ips,ilddt,rmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
714,CASP16.M1282TS006_1,1,1,0.785,0.772,0.732,0.0,0.024,0.0,23.006,0.89163,0.76169,0.7225,0.19274,0.09805,0.28118,0.49129833333333334,0.19065666666666667,0.79194,0.10745247767772526,520.133,4485787.28,8114757.79,-0.5350363197809377,138.357,230.132
715,CASP16.M1282TS006_2,1,1,0.786,0.772,0.739,0.0,0.008,0.0,22.141,0.88257,0.76054,0.72435,0.16304,0.08417,0.26998,0.48077500000000006,0.17239666666666664,0.7891533333333335,0.08436499118106441,478.351,4064058.78,6894795.95,-0.5237998640454882,237.299,187.209
716,CASP16.M1282TS006_3,1,1,0.785,0.772,0.734,0.0,0.008,0.0,22.44,0.8805,0.75908,0.72325,0.16162,0.07824,0.25628,0.47649499999999995,0.16538,0.7876099999999999,0.08253230571281164,433.003,4173369.25,7042866.5,-0.739986974856274,235.561,191.555
717,CASP16.M1282TS006_4,1,1,0.786,0.772,0.721,0.0,0.033,0.0,22.535,0.89525,0.77758,0.74027,0.19287,0.10294,0.29309,0.5003333333333333,0.1963,0.8043666666666667,0.10864610238932074,643.318,4877478.54,7715811.25,-0.25292793331083185,-37.66,216.026
718,CASP16.M1282TS006_5,1,1,0.786,0.772,0.728,0.0,0.034,0.002,23.131,0.8957,0.77145,0.73183,0.18112,0.08208,0.26261,0.487465,0.17527,0.7996599999999999,0.09312997838715091,496.251,5234273.93,8325963.18,-1.8727400355401331,43.379,198.411
719,CASP16.M1282TS028_1,1,1,0.778,0.757,0.757,0.0,0.0,0.0,15.637,0.88772,0.74738,0.72054,0.14398,0.10827,0.25637,0.4773766666666667,0.16954,0.7852133333333334,0.0999827317544259,232.939,1532591.55,2176988.41,-1.5298101944527407,154.371,52.7591
720,CASP16.M1282TS028_2,1,1,0.779,0.755,0.779,0.0,0.015,0.0,21.673,0.89421,0.76864,0.74077,0.0903,0.05734,0.1601,0.45189333333333337,0.10258,0.8012066666666667,0.027960053191782203,179.045,1044882.23,1442073.68,-8.017228131934104,81.332,38.7128
721,CASP16.M1282TS028_3,1,1,0.782,0.757,0.752,0.0,0.0,0.0,14.507,0.89738,0.76322,0.73389,0.12348,0.09187,0.22595,0.4726316666666667,0.1471,0.7981633333333334,0.058919779547431966,155.199,1006806.37,1408706.62,-0.022360251545136555,153.626,31.2096
722,CASP16.M1282TS028_4,1,1,0.785,0.772,0.793,0.0,0.0,0.0,16.987,0.88508,0.74999,0.72148,0.12755,0.09957,0.21968,0.467225,0.14893333333333333,0.7855166666666666,0.08394241103960667,206.378,1428112.34,1996314.39,-4.881227070198545,198.934,48.5712
723,CASP16.M1282TS028_5,1,1,0.782,0.764,0.785,0.0,0.028,0.0,21.535,0.8908,0.76743,0.73964,0.10781,0.06217,0.1993,0.46119166666666667,0.12309333333333333,0.7992900000000001,0.04296165093546733,145.332,1029091.02,1774996.85,-6.7318681395516,68.905,33.3349
