,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
1000,1,2,1,0.695,0.781,0.372,0.613,0.457,0.2895,9.947,16.9653,0.88308,0.70739,0.63393,0.43527,0.36543,0.50915,0.5890416666666667,0.43661666666666665,0.7414666666666666,0.13220532219856976,874.18,3275792.99,5591285.13,-3.5573646973052817,195.886,128.753
1001,10,2,1,0.847,0.853,0.791,0.843,0.723,0.729,2.045,14.1564,0.87241,0.72349,0.65806,0.42376,0.37316,0.50347,0.5923916666666666,0.43346333333333337,0.7513199999999999,0.11500424501718953,945.406,3655260.79,6574406.32,-3.7228327325423005,317.032,148.845
1002,100,2,1,0.695,0.778,0.465,0.646,0.444,0.256,11.298,16.0733,0.86977,0.68745,0.62524,0.39953,0.35486,0.49561,0.5720766666666667,0.4166666666666667,0.7274866666666666,0.06888308608904481,760.644,1502916.46,2747463.53,-2.750492956839634,140.691,53.2729
1003,1000,2,1,0.695,0.785,0.46,0.557,0.471,0.2085,8.485,14.2935,0.87774,0.68963,0.63165,0.41695,0.39841,0.51674,0.5885199999999999,0.4440333333333333,0.7330066666666667,0.08868771521374583,701.77,1374258.39,2728379.57,-2.6372871547671455,117.813,55.5925
1004,101,2,1,0.695,0.782,0.426,0.592,0.459,0.161,16.31,8.79209,0.8734,0.69353,0.62871,0.41469,0.36888,0.50627,0.5809133333333333,0.42994666666666664,0.73188,0.08795302087401069,808.526,1922307.34,3532001.78,-4.917901281627808,199.221,86.1563
1005,102,2,1,0.695,0.779,0.423,0.533,0.444,0.14600000000000002,15.659,15.409,0.87689,0.67814,0.61718,0.38483,0.29345,0.47016,0.5534416666666666,0.3828133333333333,0.7240699999999999,0.0698240730445832,772.614,2569999.85,4146419.46,-4.573622116052873,157.175,78.2903
1006,103,2,1,0.695,0.784,0.471,0.606,0.461,0.214,18.418,5.8529,0.87667,0.7079,0.63761,0.41675,0.38459,0.51764,0.5901933333333333,0.43966,0.7407266666666666,0.10306234146119095,846.788,2171274.32,3468327.8,-1.8340538826088713,238.319,75.2368
1007,104,2,1,0.695,0.792,0.457,0.623,0.493,0.3315,7.122,14.8991,0.88045,0.70656,0.64634,0.42737,0.39132,0.52683,0.5964783333333333,0.44850666666666666,0.74445,0.09810171162826009,782.221,1840881.41,3575914.02,-3.8672393409412864,151.655,76.0718
1008,105,2,1,0.803,0.823,0.645,0.797,0.628,0.594,2.861,14.232,0.87242,0.72152,0.65026,0.41304,0.36175,0.50205,0.5868399999999999,0.42561333333333334,0.7480666666666665,0.10656152435112745,954.106,3177016.03,5622118.71,-6.990792961484889,289.414,144.474
1009,106,2,1,0.703,0.784,0.462,0.571,0.46,0.1755,15.555,8.09433,0.86165,0.68015,0.61777,0.41044,0.3539,0.49106,0.5691616666666667,0.4184666666666666,0.7198566666666667,0.06951971028829576,768.019,1738005.33,3172290.3,-5.936708482073372,143.047,85.3228
1010,107,2,1,0.699,0.788,0.497,0.557,0.479,0.242,16.399,9.33579,0.87444,0.71742,0.65643,0.42935,0.41658,0.53086,0.6041799999999999,0.45893000000000006,0.7494299999999999,0.10260049184653326,719.542,1425061.81,2840076.73,-3.712803860243491,116.262,53.6602
1011,108,2,1,0.699,0.789,0.433,0.797,0.486,0.25,16.846,4.28532,0.87176,0.71046,0.64871,0.4105,0.34082,0.50122,0.5805783333333333,0.41751333333333335,0.7436433333333333,0.10471955170796718,868.958,2484759.76,4525597.79,-4.922006250379858,156.956,109.654
1012,109,2,1,0.72,0.795,0.497,0.614,0.507,0.383,6.225,14.2373,0.87958,0.70933,0.64397,0.40853,0.37606,0.50657,0.58734,0.4303866666666667,0.7442933333333334,0.09944529308995698,775.361,1825990.46,3674134.52,-4.323476724555459,148.417,82.6126
1013,11,2,1,0.695,0.777,0.462,0.534,0.435,0.05,15.244,21.0472,0.88359,0.70658,0.65295,0.41454,0.35902,0.50473,0.5869016666666668,0.42609666666666673,0.7477066666666667,0.08670936318267194,741.965,2038966.67,3540165.75,-3.1219239401243795,167.024,57.2041
1014,110,2,1,0.71,0.788,0.469,0.594,0.483,0.27549999999999997,6.44,15.3482,0.87835,0.70292,0.64305,0.42823,0.38594,0.51084,0.5915549999999999,0.44166999999999995,0.74144,0.08574780425333302,720.043,1138999.81,2525519.61,-2.686126981989599,127.243,60.0024
1015,111,2,1,0.695,0.783,0.437,0.577,0.461,0.1495,16.281,8.74977,0.87553,0.69224,0.6266,0.41301,0.36652,0.50404,0.5796566666666667,0.4278566666666667,0.7314566666666668,0.08513798831045279,812.989,2046741.8,3513054.54,-5.173250794292494,223.961,80.4303
1016,112,2,1,0.695,0.778,0.457,0.614,0.436,0.1925,15.416,17.8554,0.87337,0.69168,0.63194,0.39067,0.3311,0.49507,0.5689716666666667,0.4056133333333334,0.7323299999999998,0.0673446069471538,765.186,1721831.45,3049576.26,-3.6800869748802114,136.245,39.9637
1017,113,2,1,0.718,0.782,0.529,0.627,0.468,0.198,9.641,14.7648,0.88259,0.70841,0.65179,0.42028,0.39988,0.49923,0.5936966666666667,0.43979666666666667,0.7475966666666666,0.08117893261369317,831.481,1534411.8,2719807.65,-3.2880345749449944,176.825,45.7501
