,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,2,1,C.V,0.15001570833846925,0.29331618750256794,134.747,1396442.04,2279771.17,-3.044608083488201,132.789,50.3836,0.0
1,1,2,1,B.V,0.11439493605867027,0.27550580136266845,204.848,1879350.94,3311513.96,-4.070121311122363,157.362,78.3691,0.0
2,10,2,1,C.V,0.13713926889467984,0.2853013011140066,200.094,1542599.28,3180919.41,-6.032860362945081,119.536,74.4983,0.632
3,10,2,1,B.V,0.09286922113969923,0.2631662772365163,209.708,2112661.51,3393486.91,-1.4128051021395198,191.899,74.3467,0.747
4,100,2,1,C.V,0.07481378209195098,0.24574022437930884,83.073,454018.1,851870.26,-0.5544358581770401,105.207,13.7632,0.0
5,100,2,1,B.V,0.06295239008613862,0.23980952837640265,81.761,1048898.36,1895593.28,-4.946550055502228,77.184,39.5097,0.0
6,1000,2,1,C.V,0.10141501710750163,0.2727241752204175,83.168,864589.83,1677189.3,-4.822023173317287,90.148,35.897,0.0
7,1000,2,1,B.V,0.07596041331999004,0.25999687332666166,24.004,509668.55,1051190.27,-0.45255113621700377,38.779,19.6955,0.0
8,101,2,1,C.V,0.07363848040731683,0.25179257353699175,91.361,933469.18,1553874.82,-3.9519329682860893,83.898,30.8842,0.0
9,101,2,1,B.V,0.10226756134070454,0.2661071140036856,159.595,988838.15,1978126.95,-5.883869594969527,150.62,55.2721,0.0
10,102,2,1,C.V,0.08066362736281008,0.23173848034807168,165.865,2264539.48,3619316.99,-8.865921792737776,129.059,69.6771,0.0
11,102,2,1,B.V,0.05898451872635633,0.22089892602984482,75.215,305460.37,527102.47,-0.2813224393679714,50.187,8.61325,0.0
12,103,2,1,C.V,0.08295201315777376,0.26130600657888686,145.443,1156612.37,1876645.56,-0.7503935783860485,126.579,37.3055,0.057
13,103,2,1,B.V,0.12317266976460814,0.28141633488230405,165.942,1014661.94,1591682.24,-2.917714186831694,105.965,37.9313,0.0
14,104,2,1,C.V,0.10682917268713937,0.277667919676903,31.417,722476.22,1338776.98,-2.3431533255016492,108.433,17.3016,0.0
15,104,2,1,B.V,0.08937425056938082,0.26894045861802374,162.836,1118405.19,2237137.05,-5.391325356380923,97.213,58.7702,0.061
16,105,2,1,C.V,0.1239465947262943,0.2747799640298138,195.639,1516140.61,2611640.13,-7.970151287028568,117.666,60.7745,0.333
17,105,2,1,B.V,0.0891764539759606,0.25739489365464696,218.146,1660875.43,3010478.57,-6.01143463594121,170.851,83.6992,0.543
18,106,2,1,C.V,0.06167295284831198,0.2400698097574893,66.821,573538.0,1038683.86,-3.2791627940865387,111.447,20.4613,0.129
19,106,2,1,B.V,0.07736646772827953,0.24791656719747307,122.024,1164467.33,2133606.44,-8.594254170060205,91.618,64.8614,0.0
20,107,2,1,C.V,0.11434575821476756,0.2866378791073838,62.713,894149.73,1714462.15,-3.494780362261421,72.177,36.4477,0.0
21,107,2,1,B.V,0.09085522547829897,0.2748926127391495,65.727,530912.08,1125614.58,-3.9308273582255615,87.764,17.2125,0.115
22,108,2,1,C.V,0.08030788155156188,0.2489106074424476,162.181,1646245.0,3018841.44,-8.462216648410472,109.776,77.2062,0.127
23,108,2,1,B.V,0.12913122186437248,0.2733222775988529,146.881,838514.77,1506756.36,-1.381795852349244,130.306,32.4481,0.0
24,109,2,1,C.V,0.08287157200393266,0.2566291193352997,60.783,833447.66,1768089.18,-5.116462239808909,69.449,35.3662,0.095
25,109,2,1,B.V,0.11601901417598129,0.273202840421324,126.247,992542.8,1906045.35,-3.5304912093020078,133.646,47.2464,0.161
26,11,2,1,C.V,0.11603025854565203,0.2710634626061594,170.648,1954453.74,3399314.18,-6.242570887749875,163.904,57.2041,0.0
27,11,2,1,B.V,0.05738846781969186,0.2417425672431793,-3.267,84512.93,140851.58,-0.0012769924988842115,46.301,-0.0,0.0
28,110,2,1,C.V,0.08062434643361485,0.2611471732168074,19.243,437760.1,1092202.4,-4.272066128240682,75.06,26.1438,0.054
29,110,2,1,B.V,0.09087126207305118,0.2662706310365256,108.859,701239.71,1433317.21,-1.1001878357385164,140.204,33.8587,0.0
30,111,2,1,C.V,0.07101642048946814,0.24943654357806744,79.424,966002.48,1575424.34,-2.1094075700718804,88.17,32.131,0.0
31,111,2,1,B.V,0.09925955613143743,0.26355811139905205,164.512,1080739.31,1937630.21,-8.237094018513108,149.296,48.2992,0.0
32,112,2,1,C.V,0.06860779530834407,0.2371105643208387,37.831,562728.61,1214385.11,-4.394695292974542,83.364,25.201,0.0
33,112,2,1,B.V,0.06608141858596354,0.23584737595964847,146.963,1159102.84,1835191.15,-2.9654786567858804,117.034,14.7627,0.0
34,113,2,1,C.V,0.06290013995021582,0.2513484033084412,84.389,452864.48,868500.21,-3.4746849531637554,47.879,13.3581,0.0
35,113,2,1,B.V,0.09945772527717053,0.2696271959719186,167.423,1081547.32,1851307.45,-3.101384196726233,133.385,32.3921,0.189
