,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
2000,1,1,2,0.856,0.894,0.751,0.837,0.704,0.7085,2.095,1.63573,0.86828,0.71356,0.64852,0.38294,0.41612,0.54252,0.5953233333333334,0.44719333333333333,0.7434533333333334,0.15978565444238485,994.092,1722971.07,4338259.27,-4.449459180510193,187.369,90.4383
2001,10,1,2,0.889,0.904,0.809,0.853,0.75,0.7645,1.496,1.2029,0.87462,0.71943,0.65989,0.3921,0.4462,0.55593,0.6080283333333334,0.4647433333333333,0.7513133333333334,0.16120401294901965,1070.9,1929986.3,3823757.16,-2.8744783520979778,190.981,62.6534
2002,100,1,2,0.73,0.86,0.615,0.734,0.498,0.183,13.998,12.2121,0.87111,0.70424,0.64746,0.34143,0.3762,0.46464,0.5675133333333333,0.39409,0.7409366666666667,0.055265496847812304,935.271,1430539.65,3447927.39,-5.037529005522479,74.437,57.305
2003,1000,1,2,0.728,0.854,0.607,0.631,0.468,0.216,11.975,10.9775,0.87756,0.72004,0.67373,0.33853,0.38143,0.50012,0.5819016666666667,0.40669333333333335,0.75711,0.08316265693138121,942.68,1818326.39,3531526.21,-3.2103789564712604,110.608,55.3541
2004,101,1,2,0.73,0.859,0.556,0.591,0.505,0.21100000000000002,12.665,8.56257,0.87572,0.73429,0.67399,0.36947,0.37322,0.52867,0.59256,0.4237866666666667,0.7613333333333333,0.12124324910691939,1147.17,2228787.73,4505439.2,-4.368320761820744,190.619,99.6498
2005,102,1,2,0.73,0.859,0.619,0.676,0.49,0.20650000000000002,7.116,7.12302,0.87553,0.70641,0.65509,0.36877,0.41537,0.5441,0.5942116666666667,0.4427466666666667,0.7456766666666667,0.11630545554071432,1014.13,1782345.34,2989469.02,-1.4839145472232396,160.191,51.7841
2006,103,1,2,0.728,0.861,0.618,0.679,0.509,0.2575,14.872,12.587,0.87199,0.72476,0.66516,0.38468,0.43154,0.56311,0.6068733333333334,0.45977666666666667,0.7539700000000001,0.1522309446489089,1096.69,1302463.46,3567116.3,-6.210695500170331,210.93,84.0047
2007,104,1,2,0.735,0.861,0.585,0.741,0.505,0.313,8.38,8.14776,0.86451,0.70677,0.64402,0.32519,0.33566,0.48316,0.559885,0.38133666666666666,0.7384333333333334,0.08122874349501216,988.37,1572162.61,4037228.84,-0.5657997463118998,108.937,72.4528
2008,105,1,2,0.731,0.854,0.599,0.649,0.465,0.2505,10.622,10.4502,0.87869,0.72058,0.67126,0.33823,0.37379,0.49626,0.5798016666666667,0.40276,0.7568433333333333,0.09594895195332356,1023.04,2089642.04,3689365.05,-2.7677855835467855,202.06,81.4903
2009,106,1,2,0.823,0.891,0.749,0.775,0.7,0.619,2.936,2.17465,0.86448,0.71292,0.64608,0.38664,0.41503,0.53294,0.593015,0.44487000000000004,0.7411599999999999,0.1280822144704871,1150.32,2407673.69,4637382.67,-2.143297081882894,184.925,103.983
2010,107,1,2,0.724,0.855,0.586,0.598,0.464,0.2095,14.862,12.0615,0.86485,0.71727,0.66164,0.36021,0.39842,0.53659,0.5898300000000001,0.43174,0.74792,0.1269248625729233,1041.4,1743961.71,3847715.83,-5.730558948352483,117.698,91.2395
2011,108,1,2,0.736,0.858,0.606,0.62,0.493,0.1825,9.722,9.042,0.8562,0.70757,0.64195,0.33832,0.34286,0.47719,0.5606816666666666,0.3861233333333333,0.73524,0.07643647263466845,1063.6,1735010.78,3502020.21,-2.778507895366904,135.817,68.2701
2012,109,1,2,0.727,0.86,0.587,0.714,0.506,0.3725,12.569,10.8846,0.86685,0.7218,0.66251,0.36849,0.38387,0.5168,0.58672,0.42305333333333334,0.7503866666666666,0.10519930934242439,1041.88,1550938.37,4441429.12,-1.6508327142258499,170.535,98.3293
2013,11,1,2,0.73,0.854,0.594,0.568,0.462,0.15200000000000002,13.357,11.6632,0.86788,0.71877,0.66954,0.35216,0.37734,0.5022,0.581315,0.4105666666666667,0.7520633333333334,0.08383081126521574,1048.86,1500790.99,3669424.34,-0.16266518625782567,147.689,93.2614
2014,110,1,2,0.728,0.857,0.576,0.602,0.481,0.20350000000000001,11.771,9.35136,0.87133,0.73951,0.67428,0.37988,0.39093,0.52913,0.59751,0.4333133333333333,0.7617066666666666,0.14338006859179586,1068.09,2295863.04,4627207.85,-3.299123480073296,107.227,76.5108
2015,111,1,2,0.728,0.854,0.582,0.632,0.463,0.2405,13.178,11.8155,0.87565,0.71794,0.65627,0.37378,0.41129,0.53844,0.5955616666666667,0.44117,0.7499533333333334,0.13726644844282418,927.314,1419061.43,3655372.16,-7.156535883303011,159.4,78.754
2016,112,1,2,0.848,0.888,0.754,0.786,0.68,0.3655,2.343,1.83343,0.87228,0.71693,0.65436,0.3821,0.44101,0.5385,0.6008633333333333,0.45387,0.7478566666666667,0.11369728852296249,1024.43,1357194.41,2754480.55,-2.664343838075134,187.811,56.2868
2017,113,1,2,0.727,0.86,0.615,0.704,0.501,0.311,12.594,10.8075,0.87475,0.73202,0.67465,0.3639,0.40506,0.53351,0.5973149999999999,0.4341566666666667,0.7604733333333332,0.10020953297644154,962.446,1217948.14,3416976.43,-1.0805931888372031,109.791,71.6893
2018,114,1,2,0.731,0.859,0.585,0.741,0.496,0.3425,12.883,11.5136,0.87439,0.72219,0.66585,0.35435,0.37518,0.51864,0.5851000000000001,0.4160566666666667,0.7541433333333334,0.07956822296255268,1021.66,1847734.56,4406643.97,-1.6121967941712918,182.586,94.9227
2019,115,1,2,0.73,0.854,0.601,0.642,0.464,0.23049999999999998,11.515,10.8064,0.87147,0.70905,0.66171,0.33538,0.37636,0.50761,0.5769299999999999,0.40645,0.74741,0.10141262627148534,1031.72,1676977.12,3441602.13,-2.682384033166669,99.666,83.5782
2020,116,1,2,0.731,0.854,0.621,0.585,0.468,0.10850000000000001,12.49,11.8117,0.87155,0.71793,0.66585,0.32225,0.37246,0.46009,0.5683549999999999,0.38493333333333335,0.7517766666666666,0.053452240909200546,952.46,1677933.31,3172725.94,-3.050363874248441,152.309,47.2377
2021,117,1,2,0.73,0.855,0.61,0.58,0.467,0.123,12.885,11.9663,0.86739,0.70652,0.64529,0.34145,0.38997,0.49755,0.5746950000000001,0.4096566666666666,0.7397333333333335,0.08193748587582377,962.277,1383842.04,3287786.96,-3.4858970560560527,134.367,63.0616
2022,118,1,2,0.731,0.866,0.569,0.741,0.541,0.4415,9.142,7.77662,0.86721,0.72628,0.66212,0.37958,0.40023,0.53518,0.5951,0.43832999999999994,0.7518699999999999,0.13902002903632818,1068.71,2315769.2,5000332.4,-3.294818003643286,189.804,105.957
2023,119,1,2,0.731,0.862,0.599,0.784,0.505,0.39,13.881,12.0512,0.87597,0.70996,0.66068,0.34227,0.39307,0.49524,0.5795316666666667,0.41019333333333335,0.74887,0.08224011760357826,983.836,1622210.03,3664378.66,-0.13096373041992876,158.46,81.2391
2024,12,1,2,0.733,0.865,0.618,0.748,0.522,0.47850000000000004,11.807,9.07612,0.86411,0.70511,0.6501,0.36127,0.40406,0.51128,0.582655,0.4255366666666666,0.7397733333333334,0.09388089193962515,1057.61,1811372.48,3835649.43,-3.1058877552012185,163.086,95.4189
2025,120,1,2,0.728,0.855,0.606,0.628,0.465,0.23249999999999998,15.948,13.9124,0.87397,0.72886,0.66546,0.36782,0.40966,0.53977,0.59759,0.4390833333333333,0.7560966666666666,0.13650422771461307,984.181,1441074.8,3487977.01,-3.7030709449738635,168.822,82.2622
2026,121,1,2,0.731,0.867,0.635,0.794,0.547,0.5215,8.442,7.15406,0.87919,0.72776,0.67862,0.36204,0.41124,0.51796,0.596135,0.4304133333333333,0.7618566666666666,0.09281460173442611,1009.52,1955744.25,4058280.13,-1.4602587136878742,119.97,82.1367
2027,122,1,2,0.727,0.854,0.599,0.652,0.47,0.28600000000000003,13.642,11.3565,0.87268,0.73011,0.67039,0.37283,0.42449,0.53536,0.6009766666666666,0.4442266666666666,0.7577266666666667,0.13848523399065016,1076.77,1394680.93,2875368.31,-1.9958644726895436,173.667,49.0469
2028,123,1,2,0.727,0.854,0.552,0.556,0.459,0.165,12.47,11.3273,0.86867,0.72875,0.66962,0.35517,0.36915,0.52673,0.5863483333333334,0.41701666666666665,0.75568,0.12535330509417691,973.921,2016170.6,4770842.61,-8.701399397315953,191.588,109.409
2029,124,1,2,0.724,0.854,0.586,0.588,0.462,0.147,14.215,11.9674,0.87633,0.72103,0.65937,0.36729,0.40411,0.53183,0.5933266666666667,0.43441,0.7522433333333334,0.1431528695218731,1147.18,1607496.62,3634667.23,-5.704982198022461,105.756,70.6231
2030,125,1,2,0.732,0.855,0.636,0.622,0.468,0.058,13.876,13.9007,0.87713,0.71581,0.67056,0.31937,0.39489,0.46291,0.573445,0.39239,0.7545000000000001,0.0529686581440913,925.859,1208178.65,2606995.4,-3.178565911003248,42.702,51.4171
2031,126,1,2,0.73,0.864,0.612,0.725,0.512,0.333,12.855,11.4013,0.87597,0.72487,0.66951,0.37737,0.41447,0.54689,0.6015133333333333,0.4462433333333333,0.7567833333333334,0.13917668811045586,1084.91,2134665.76,4216315.81,-2.5079518170550963,223.616,72.7006
2032,127,1,2,0.732,0.861,0.605,0.764,0.514,0.374,11.005,9.93727,0.87739,0.73537,0.67878,0.35854,0.38249,0.50145,0.5890033333333333,0.41416000000000003,0.7638466666666667,0.11413761758012697,935.411,2009154.55,4732380.48,-2.692313203938834,154.53,91.4404
2033,128,1,2,0.731,0.861,0.627,0.786,0.507,0.3725,11.565,9.92866,0.86999,0.70354,0.65475,0.33191,0.39778,0.49473,0.57545,0.40814,0.7427600000000001,0.06562950469651696,929.587,1472409.02,3132191.95,-3.148693234990503,130.901,63.3849
2034,129,1,2,0.724,0.854,0.59,0.664,0.469,0.298,13.509,11.2968,0.86851,0.72728,0.66463,0.37431,0.42482,0.54178,0.6002216666666667,0.44697000000000003,0.7534733333333333,0.1478995547615341,1030.01,1653542.87,3503682.38,-4.011956853936032,186.9,74.6864
2035,13,1,2,0.732,0.861,0.596,0.771,0.508,0.40349999999999997,13.061,11.4448,0.87132,0.72006,0.66591,0.35549,0.3764,0.4936,0.5804633333333333,0.4084966666666667,0.75243,0.08606476686982205,1013.15,1810868.15,4614965.92,-2.367464645180756,158.425,98.8024
2036,130,1,2,0.728,0.86,0.582,0.774,0.503,0.4105,14.164,11.9945,0.87163,0.71806,0.66467,0.34652,0.386,0.50196,0.5814733333333334,0.4114933333333333,0.7514533333333334,0.08935949642327615,974.921,1991928.26,4161178.42,-2.9098546957729394,154.746,83.1904
2037,131,1,2,0.731,0.855,0.558,0.598,0.468,0.243,12.572,11.2425,0.85847,0.71539,0.64991,0.35315,0.37667,0.52261,0.5793666666666667,0.4174766666666667,0.7412566666666667,0.10725316737371031,1021.09,1412595.48,3849761.86,-2.575482747097791,161.106,85.3798
2038,132,1,2,0.727,0.863,0.551,0.716,0.523,0.387,10.632,9.16964,0.86317,0.72604,0.65924,0.37046,0.37911,0.53849,0.5894183333333334,0.4293533333333333,0.7494833333333334,0.11910947896540165,1027.33,2439120.82,5695139.58,-3.547712452693497,157.39,115.872
2039,133,1,2,0.741,0.866,0.614,0.762,0.537,0.3645,8.35,7.30503,0.87218,0.71285,0.65913,0.34552,0.39447,0.49896,0.5805183333333334,0.4129833333333333,0.7480533333333333,0.07547277420253523,975.586,1197448.98,3454557.01,-0.806971936827996,87.204,61.2928
2040,134,1,2,0.731,0.866,0.597,0.759,0.54,0.4295,9.065,7.70955,0.87361,0.73265,0.67115,0.38765,0.41805,0.53759,0.60345,0.44776333333333335,0.7591366666666667,0.12943149532657117,1038.98,2160030.04,4536502.78,-4.153640086470464,203.045,83.5247
2041,135,1,2,0.735,0.863,0.585,0.755,0.516,0.216,10.127,8.94394,0.87758,0.71607,0.66733,0.32965,0.35469,0.45635,0.566945,0.38023,0.75366,0.05664075003666938,958.661,1935995.09,4353787.27,-4.575304245229099,144.094,92.4067
2042,136,1,2,0.741,0.866,0.625,0.762,0.536,0.35150000000000003,8.392,7.34714,0.87363,0.71589,0.66218,0.33967,0.38963,0.49838,0.5798966666666667,0.4092266666666666,0.7505666666666667,0.07478308811078023,954.303,1329026.9,3287600.7,-1.410789369408096,116.503,64.436
2043,137,1,2,0.731,0.861,0.656,0.755,0.504,0.191,10.739,9.32617,0.8764,0.70928,0.6624,0.33078,0.40836,0.48255,0.578295,0.40723,0.7493599999999999,0.06921094519883689,949.665,887934.49,2713471.18,-3.748653991344722,91.596,58.4705
2044,138,1,2,0.73,0.855,0.586,0.623,0.462,0.151,11.103,10.7997,0.86868,0.72505,0.6649,0.35149,0.38924,0.54311,0.5904116666666668,0.4279466666666667,0.7528766666666667,0.12195226342591922,1045.94,2294807.1,4156609.29,-1.4081472240929194,165.364,78.2983
2045,139,1,2,0.731,0.858,0.598,0.764,0.495,0.384,12.941,11.879,0.87916,0.7203,0.6715,0.3578,0.39985,0.50561,0.5890366666666667,0.4210866666666666,0.7569866666666667,0.07708084299374604,970.275,1485299.8,3596001.53,-0.918987634384729,159.741,87.324
2046,14,1,2,0.728,0.863,0.58,0.684,0.51,0.38349999999999995,12.138,9.70788,0.86897,0.71675,0.65707,0.37218,0.39095,0.52092,0.5878066666666668,0.4280166666666667,0.7475966666666668,0.13429325097240508,1102.74,2380575.71,4512769.01,-2.1690574714740922,229.619,114.501
2047,140,1,2,0.728,0.855,0.603,0.622,0.466,0.1575,11.637,11.1522,0.88125,0.72426,0.67781,0.33547,0.37484,0.47984,0.5789116666666666,0.39671666666666666,0.7611066666666666,0.07224929297080962,978.73,1779426.77,3560483.55,-1.845809530726489,130.474,76.2337
2048,141,1,2,0.862,0.892,0.762,0.788,0.698,0.6005,1.78,1.52155,0.87055,0.70793,0.64658,0.37506,0.42212,0.53675,0.5931649999999999,0.4446433333333333,0.7416866666666667,0.1469241525279358,977.93,1135334.02,3259239.72,-2.9891357579900846,185.334,56.0989
2049,142,1,2,0.732,0.855,0.589,0.632,0.477,0.196,13.129,10.5307,0.87078,0.71845,0.66483,0.33616,0.35666,0.49036,0.5728733333333333,0.3943933333333334,0.7513533333333333,0.07497754954638366,945.119,2168547.1,4189478.6,-1.5233866086258943,79.793,83.6934
2050,143,1,2,0.733,0.859,0.627,0.682,0.489,0.233,13.653,12.2548,0.87994,0.72478,0.68111,0.33979,0.3961,0.4914,0.58552,0.40909666666666666,0.7619433333333333,0.07312007388300117,1045.83,1547513.16,3401704.15,-1.1411157338465092,120.132,82.4587
2051,144,1,2,0.724,0.859,0.592,0.673,0.486,0.2425,7.712,7.98676,0.87366,0.71608,0.66126,0.37248,0.40956,0.54122,0.59571,0.4410866666666666,0.7503333333333333,0.12550561689713505,1056.94,1504728.63,3083362.01,-2.5839300132175618,154.987,70.5557
2052,145,1,2,0.728,0.861,0.637,0.667,0.503,0.2185,14.379,12.3791,0.87401,0.71147,0.65685,0.36302,0.41051,0.54367,0.5932550000000001,0.4390666666666667,0.7474433333333333,0.13192554086563177,1120.11,1769187.1,3364339.43,-4.538465865864113,178.937,70.205
2053,146,1,2,0.73,0.868,0.645,0.83,0.551,0.539,7.964,6.73373,0.87529,0.71385,0.66268,0.35363,0.38913,0.50691,0.5835816666666667,0.4165566666666667,0.7506066666666666,0.09846424825664143,988.143,1482873.0,3503986.47,-3.096868274704422,123.828,77.46
2054,147,1,2,0.724,0.855,0.567,0.592,0.475,0.1945,13.393,10.6104,0.87069,0.72844,0.66399,0.38331,0.40715,0.53292,0.59775,0.44112666666666667,0.7543733333333332,0.16043674498796462,960.448,1500784.37,3945794.59,-5.571866149525398,113.117,75.2873
2055,148,1,2,0.73,0.855,0.599,0.588,0.47,0.1565,13.695,11.6706,0.86877,0.72224,0.66213,0.35319,0.39313,0.50163,0.583515,0.4159833333333333,0.7510466666666668,0.08791630603755038,1006.94,1093572.9,2583311.81,-2.4164546926235353,121.568,64.4433
2056,149,1,2,0.73,0.865,0.603,0.702,0.519,0.3385,13.649,11.7804,0.86945,0.72431,0.66085,0.37738,0.39142,0.54067,0.5940133333333333,0.43649,0.7515366666666666,0.15329562770202756,1184.82,2678973.93,5324836.49,-3.5267112578963085,202.859,92.216
2057,15,1,2,0.727,0.854,0.575,0.568,0.463,0.16,13.071,11.6771,0.87009,0.72778,0.68131,0.34977,0.37034,0.4965,0.5826316666666667,0.4055366666666667,0.7597266666666666,0.07958834576420486,1041.98,1696187.62,3879706.04,-4.1249621078214345,162.235,94.6633
