,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,1,2,A.E,0.1366324359551072,0.29191288464422027,63.807,299121.48,1164316.15,-4.617631055924867,96.394,19.6028,0.538
1,1,1,2,B.E,0.18293887292966246,0.3150661031314979,169.437,1457028.62,3173943.12,-4.281287305095518,125.235,70.8355,0.522
2,10,1,2,A.E,0.13753859112039207,0.3011409622268627,100.206,311315.0,818739.52,-0.29730892877400683,92.5,6.42795,0.727
3,10,1,2,B.E,0.18486943477764725,0.3248063840554903,194.685,1688174.54,3005017.64,-5.451647775421948,110.397,56.2254,0.677
4,100,1,2,A.E,0.0005814411484379888,0.197335720574219,,-0.0,-0.0,,15.934,-0.0,0.0
5,100,1,2,B.E,0.10994955254718662,0.2520197762735933,119.23,1620015.28,3447927.39,-5.037529005522479,71.703,57.305,0.056
6,1000,1,2,A.E,0.043743665408692324,0.22521849937101285,55.277,220755.44,379915.33,-0.49002401353300223,59.145,3.64427,0.0
7,1000,1,2,B.E,0.12258164845407009,0.2646374908937017,108.964,1768888.85,3151610.88,-5.9307338994095185,73.882,51.7098,0.0
8,101,1,2,A.E,0.12391179967671631,0.2738492331716915,175.147,918920.51,2564844.29,-3.8424699601471817,97.527,55.9202,0.0
9,101,1,2,B.E,0.11857469853712245,0.2711806826018946,186.48,1190035.62,1940594.9,-4.8941715634943055,106.697,43.7296,0.073
10,102,1,2,A.E,0.17061982713639737,0.30668324690153204,134.934,1129525.87,1980518.09,-2.706875546630852,89.68,37.1982,0.0
11,102,1,2,B.E,0.06199108394503128,0.25236887530584895,127.789,666670.82,1008950.93,-0.26095354781562713,76.208,14.586,0.0
12,103,1,2,A.E,0.16935775394085795,0.31456721030376233,140.078,929671.85,1952354.59,-7.305026879114226,106.704,45.739,0.089
13,103,1,2,B.E,0.13510413535695986,0.29744040101181324,194.42,572580.7,1614761.71,-5.116364121226437,121.781,38.2657,0.16
14,104,1,2,A.E,0.024889102022279983,0.20311288434447333,35.642,128209.88,304904.79,-0.15293189779559424,35.882,3.96636,0.0
