,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
3000,1,1,1,0.702,0.796,0.019,0.143,0.016,0.143,13.977,19.0541,0.93117,0.86081,0.84564,0.0765,0.05569,0.21752,0.4978883333333334,0.11657000000000001,0.8792066666666667,0.06988007944310085,117.895,2466581.77,4874053.22,-3.728909686720904,164.766,91.029
3001,10,1,1,0.7,0.796,0.0,0.041,0.001,0.041,13.372,17.9119,0.93172,0.85825,0.84329,0.07109,0.04359,0.18173,0.4882783333333333,0.09880333333333334,0.8777533333333333,0.057354981481330475,292.071,3388687.49,5764544.48,-4.689075642939872,133.083,134.076
3002,100,1,1,0.703,0.797,0.056,0.182,0.03,0.182,11.942,15.7106,0.92566,0.85882,0.83986,0.09911,0.06082,0.21599,0.5000433333333334,0.12530666666666668,0.87478,0.08025912493467331,442.02,4519428.85,8138320.7,-0.06897271856400083,150.257,171.91
3003,1000,1,1,0.7,0.796,0.0,0.132,0.0,0.132,16.583,21.9955,0.92862,0.85118,0.83466,0.03894,0.02051,0.14737,0.47021333333333337,0.06894,0.8714866666666667,0.03376690566765319,249.213,1745728.18,2984165.99,-6.896887646432269,128.181,73.5901
3004,101,1,1,0.7,0.796,0.0,0.178,0.0,0.178,12.163,15.6224,0.93001,0.85615,0.8382,0.07053,0.04573,0.21299,0.4922683333333333,0.10975,0.8747866666666666,0.06305421567521989,414.905,3271009.48,6017721.07,-0.12582511321148354,199.92,129.136
3005,102,1,1,0.7,0.796,0.0,0.111,0.001,0.111,13.611,16.7133,0.92643,0.85976,0.84189,0.04919,0.02461,0.15331,0.475865,0.07570333333333333,0.8760266666666666,0.04368440311809536,310.003,2862833.79,4966160.86,-4.671997889067114,184.839,108.05
3006,103,1,1,0.702,0.797,0.029,0.207,0.028,0.207,12.999,16.8187,0.93391,0.86086,0.84531,0.07707,0.04858,0.19876,0.4940816666666667,0.10813666666666666,0.8800266666666667,0.06576145994331455,192.31,2719546.83,4542940.89,-7.830660341967055,90.132,89.7566
3007,104,1,1,0.7,0.796,0.0,0.159,0.0,0.159,11.879,15.3269,0.92987,0.85337,0.8382,0.06994,0.04858,0.19936,0.4898866666666666,0.10596,0.8738133333333332,0.05743704469641671,277.448,2388073.51,4094794.52,-4.192986463676142,156.151,77.5313
3008,105,1,1,0.701,0.797,0.021,0.141,0.016,0.141,10.888,14.8682,0.92744,0.86068,0.83776,0.08788,0.07577,0.22141,0.5018233333333334,0.12835333333333335,0.8752933333333334,0.07563132361974567,291.003,2929073.2,5122686.82,-2.755425138493065,109.593,103.482
3009,106,1,1,0.7,0.796,0.0,0.117,0.001,0.117,13.908,17.5824,0.93336,0.85505,0.83765,0.05072,0.02882,0.16638,0.47866333333333333,0.08197333333333333,0.8753533333333333,0.04812395201588515,133.676,1623354.13,3235385.08,-5.78083151369572,119.069,63.7552
3010,107,1,1,0.701,0.796,0.021,0.146,0.011,0.146,14.187,19.5124,0.93239,0.86011,0.84339,0.06873,0.04768,0.19168,0.4906633333333333,0.10269666666666666,0.8786299999999999,0.06020777387311682,267.117,1954553.3,3617692.81,-0.06652451872694261,184.6,67.8017
3011,108,1,1,0.7,0.797,0.0,0.154,0.022,0.154,8.188,10.2607,0.92537,0.85513,0.83618,0.06715,0.0418,0.19325,0.48648,0.10073333333333334,0.8722266666666667,0.05797143825329841,334.325,2570835.83,4339955.03,-1.4197441701111335,181.275,83.993
3012,109,1,1,0.702,0.796,0.0,0.079,0.013,0.079,12.095,16.1271,0.92944,0.85934,0.84253,0.0635,0.04544,0.18593,0.48769666666666667,0.09829,0.8771033333333333,0.05540988712455146,190.829,1787352.7,3399534.9,-0.19696884311471705,110.363,63.5507
3013,11,1,1,0.701,0.796,0.01,0.112,0.01,0.112,15.325,20.4016,0.92748,0.85476,0.83663,0.07121,0.04521,0.18742,0.4871183333333333,0.10128,0.8729566666666666,0.05659726220619632,242.531,2455195.37,4760856.1,-2.317599634860523,201.916,110.535
3014,110,1,1,0.7,0.796,0.0,0.065,0.009,0.065,13.323,17.0492,0.92534,0.85562,0.83964,0.06174,0.0422,0.16035,0.48081500000000005,0.08809666666666667,0.8735333333333334,0.041936735762283205,267.607,1996217.87,3552114.44,-8.395753089685652,132.129,53.2847
3015,111,1,1,0.701,0.797,0.029,0.228,0.029,0.228,13.02,17.005,0.93227,0.85835,0.84084,0.0934,0.06931,0.21599,0.5016933333333333,0.12623333333333334,0.8771533333333333,0.07670818871702068,173.606,2612205.58,4652494.38,-5.338302459114296,88.511,92.588
3016,112,1,1,0.701,0.798,0.031,0.121,0.039,0.121,8.458,10.7058,0.9277,0.85568,0.84049,0.05416,0.03307,0.15988,0.4784966666666667,0.08237,0.8746233333333334,0.04207509003172162,227.936,2596521.65,4489248.23,-4.052145574951579,151.852,92.9922
3017,113,1,1,0.7,0.796,0.0,0.117,0.004,0.117,15.034,20.4873,0.93101,0.86511,0.84921,0.07534,0.05493,0.20761,0.4972016666666667,0.11262666666666667,0.8817766666666668,0.06894453885033726,278.905,2669047.48,4457422.05,-3.082289609070811,122.784,85.7462
3018,114,1,1,0.701,0.796,0.009,0.185,0.02,0.185,11.96,15.884,0.92233,0.85768,0.83944,0.07191,0.05045,0.21542,0.4928716666666666,0.11259333333333332,0.8731499999999999,0.07285472557414324,349.816,2590315.14,5097224.55,-3.687437269636976,186.283,116.721
3019,115,1,1,0.701,0.797,0.03,0.174,0.024,0.174,11.338,14.711,0.93163,0.86027,0.84362,0.07041,0.05199,0.19172,0.49160666666666664,0.10470666666666667,0.8785066666666667,0.059982908598612994,289.186,2354901.37,4457998.7,-2.220872177460836,139.683,92.2528
3020,116,1,1,0.701,0.796,0.0,0.201,0.011,0.201,14.823,20.0081,0.92677,0.84935,0.83303,0.06853,0.0469,0.20506,0.48827333333333334,0.10682999999999998,0.8697166666666667,0.06146299871907103,297.101,2704494.8,4877547.94,-5.829731935239783,195.839,102.207
3021,117,1,1,0.7,0.796,0.0,0.115,0.01,0.115,13.0,17.8748,0.92784,0.8574,0.83756,0.09221,0.0831,0.22625,0.50406,0.13385333333333335,0.8742666666666666,0.08114788116654383,222.352,2859137.53,5326720.25,-6.257411220181767,111.003,96.1259
3022,118,1,1,0.7,0.796,0.0,0.064,0.01,0.064,11.33,15.6527,0.92547,0.85313,0.83594,0.05738,0.04753,0.16692,0.4810616666666666,0.09061000000000001,0.8715133333333333,0.04032925627834629,111.475,971910.44,2175682.62,-4.045868481157786,88.161,47.7016
