,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,2,2,D.F,0.03778454132407205,0.23366060399536936,-4.966,94601.25,134601.53,-0.002279588635447064,46.654,2.11884,0.0
1,1,2,2,E.F,0.04675390201809933,0.238145284342383,32.748,136426.1,437460.7,-0.657457115494208,35.379,8.11089,0.0
2,1,2,2,D.R,0.0966819575696718,0.26310931211816924,223.453,1710935.71,2988105.55,-7.784878995608343,121.094,53.0761,0.0
3,1,2,2,E.R,0.10298816082213307,0.26626241374439985,149.54,1200107.03,2494926.64,-5.769814904714921,151.52,57.612,0.0
4,10,2,2,D.F,0.04551445236284053,0.2290938928480869,172.339,1007712.9,1716417.76,-5.32376829285515,140.433,27.7822,0.0
5,10,2,2,E.F,0.02399597789553809,0.21833465561443569,2.573,46028.92,163560.77,-0.00014161933457503115,64.15,4.9464,0.0
6,10,2,2,D.R,0.0750416468072217,0.2438574900702775,185.546,722565.37,1506160.6,-5.237844741127111,73.793,37.62,0.0
7,10,2,2,E.R,0.048401129296689764,0.23053723131501153,34.277,436950.21,852221.09,-2.354943082705964,50.256,15.0047,0.0
8,100,2,2,D.F,0.0031031136698061344,0.20287322350156978,5.453,29511.81,71073.41,-0.09429837665101769,28.095,1.33554,0.0
9,100,2,2,E.F,0.0515761767688673,0.22710975505110034,143.338,492901.63,1549959.36,-6.802473827220512,67.739,16.4426,0.0
10,100,2,2,D.R,0.014327737773234619,0.208485535553284,-23.754,75131.83,155894.97,-0.001204564014665668,80.933,-0.0,0.0
11,100,2,2,E.R,0.07267469663056546,0.23765901498194944,169.745,1033422.89,2301792.86,-2.546045129050245,123.374,41.8404,0.0
12,1000,2,2,D.F,0.003362610038672642,0.207192971686003,,52182.09,94810.79,,97.357,-0.0,0.0
13,1000,2,2,E.F,0.05931867373292335,0.23517100353312836,105.9,837577.62,1302270.47,-6.2727820728227,40.411,40.7058,0.0
14,1000,2,2,D.R,0.03277351535403455,0.22189842434368395,,23557.89,35339.28,,108.029,-0.0,0.0
15,1000,2,2,E.R,0.08952718885993818,0.2502752610966358,246.738,1777585.31,3553124.52,-7.615492841935366,143.601,69.9433,0.0
16,101,2,2,D.F,0.037966771702849664,0.24121171918475817,,-0.0,-0.0,,0.036,-0.0,0.0
