,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
5000,1,1,1,0.981,0.98,0.848,0.797,0.796,0.797,0.537,0.650737,0.94356,0.88612,0.86986,0.1732,0.12832,0.32521,0.5543783333333333,0.20891,0.8998466666666666,0.15491149174049498,1221.35,8251908.4,13198429.64,-0.0011143697981380425,681.57,291.463
5001,10,1,1,0.918,0.945,0.037,0.297,0.024,0.297,15.266,21.2348,0.94283,0.88022,0.87148,0.07431,0.04472,0.20979,0.5038916666666666,0.10960666666666667,0.8981766666666666,0.07194332703948021,587.936,4165669.06,6970159.24,-0.02075892130861986,236.774,150.068
5002,100,1,1,0.918,0.945,0.0,0.213,0.023,0.213,15.08,20.5723,0.94269,0.8805,0.87259,0.06172,0.04235,0.18429,0.49735666666666667,0.09612,0.8985933333333334,0.05561710443580523,405.108,2718439.94,4646248.44,-2.1683937154337105,214.085,82.3922
5003,1000,1,1,0.916,0.945,0.0,0.158,0.005,0.158,10.757,15.6814,0.94696,0.88735,0.87956,0.06106,0.04269,0.17199,0.4982683333333333,0.09191333333333333,0.9046233333333333,0.04303224651375786,236.336,1319104.21,2661454.95,-7.045999932780928,168.589,47.6208
5004,101,1,1,0.92,0.945,0.028,0.232,0.024,0.232,11.517,18.2593,0.93617,0.87406,0.86131,0.08784,0.06277,0.22678,0.5081549999999999,0.12579666666666667,0.8905133333333333,0.08143802438862623,472.065,3697906.9,6877884.63,-1.255293382638565,248.586,131.494
5005,102,1,1,0.916,0.944,0.0,0.162,0.0,0.162,15.795,22.0764,0.93986,0.8795,0.87085,0.04415,0.03151,0.13359,0.4832433333333333,0.06974999999999999,0.8967366666666666,0.025651263308964188,288.161,1883580.13,3162383.89,-3.722462188532189,152.136,67.2101
5006,103,1,1,0.916,0.944,0.0,0.079,0.0,0.079,19.947,27.5235,0.93877,0.87599,0.86562,0.04187,0.02215,0.13974,0.48069,0.06792,0.89346,0.031590849401527524,128.839,1764802.99,3436995.69,-5.019112797291576,122.19,72.8562
5007,104,1,1,0.916,0.944,0.0,0.2,0.0,0.2,15.569,21.6904,0.93782,0.87658,0.86753,0.04416,0.02841,0.14133,0.48263833333333334,0.0713,0.8939766666666666,0.028951589571806834,392.133,2443517.71,4159229.1,-4.993467341017544,150.528,89.9264
5008,105,1,1,0.916,0.944,0.0,0.232,0.0,0.232,13.626,19.1333,0.93731,0.87309,0.86243,0.0503,0.03232,0.15217,0.4846033333333334,0.07826333333333334,0.8909433333333334,0.03287880614225287,365.622,1974097.55,3802950.44,-6.1043532337115405,223.696,84.2514
5009,106,1,1,0.917,0.946,0.06,0.248,0.038,0.248,15.242,20.5682,0.93882,0.8734,0.86337,0.05378,0.03443,0.163,0.48779999999999996,0.08373666666666667,0.8918633333333332,0.04706624747122987,321.312,2568764.92,5356782.71,-5.190935497357094,237.464,109.306
