,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
6000,1,1,1,0.59,0.826,0.0,0.089,0.0,0.089,26.059,31.3987,0.9084,0.79721,0.77657,0.06744,0.0394,0.17393,0.46049166666666663,0.09358999999999999,0.8273933333333333,0.04953057130333037,406.251,2461923.87,4353487.28,-4.828929847235631,175.304,104.196
6001,10,1,1,0.59,0.826,0.0,0.06,0.0,0.06,21.227,25.7404,0.91846,0.80813,0.79025,0.06598,0.04355,0.17281,0.46653,0.09411333333333333,0.8389466666666667,0.044413784415519325,238.01,996172.57,2577553.61,-3.7334705730966116,154.762,48.0086
6002,100,1,1,0.59,0.826,0.0,0.03,0.0,0.03,24.575,29.773,0.91735,0.80978,0.79054,0.07057,0.03971,0.17699,0.46749,0.09575666666666667,0.8392233333333333,0.04682815895648673,394.477,1589102.26,3422582.55,-4.38339212837007,217.233,75.0225
6003,1000,1,1,0.591,0.826,0.0,0.095,0.006,0.095,17.501,20.2886,0.90898,0.80904,0.78412,0.11233,0.08658,0.26231,0.49389333333333335,0.15374,0.8340466666666667,0.10519629789050669,235.097,1770195.54,3873386.37,-5.065328201711477,141.186,85.5941
6004,101,1,1,0.59,0.827,0.017,0.174,0.035,0.174,20.213,21.9701,0.93117,0.81661,0.79771,0.05967,0.03449,0.19754,0.472865,0.09723333333333332,0.8484966666666667,0.06524188804269215,225.802,1377934.36,3257629.17,-8.152925287355215,160.081,63.0596
6005,102,1,1,0.591,0.827,0.033,0.12,0.04,0.12,23.59,24.371,0.90676,0.80151,0.77917,0.06469,0.04148,0.18703,0.46343999999999996,0.09773333333333334,0.8291466666666666,0.07092807054868899,239.389,1706387.32,3896864.07,-4.343903408795695,136.384,81.7857
6006,103,1,1,0.591,0.826,0.0,0.022,0.006,0.022,27.624,37.0129,0.89906,0.79057,0.764,0.05027,0.03075,0.13274,0.444565,0.07125333333333334,0.8178766666666667,0.02457670623116428,287.424,1584259.3,2220562.15,-2.2307907482214824,139.519,72.6713
6007,104,1,1,0.59,0.826,0.015,0.121,0.023,0.121,20.928,21.3328,0.91316,0.81345,0.79223,0.07735,0.05674,0.20686,0.4766316666666667,0.11364999999999999,0.8396133333333333,0.08527328806230798,292.014,1946499.27,4077992.44,-4.068000052356573,157.53,104.579
6008,105,1,1,0.59,0.826,0.0,0.06,0.0,0.06,25.003,30.8688,0.91478,0.7992,0.78053,0.05025,0.03421,0.1296,0.4514283333333333,0.07135333333333332,0.8315033333333334,0.027832366127404383,173.409,1125612.98,2003812.28,-5.907827123511328,71.617,49.0482
6009,106,1,1,0.59,0.826,0.0,0.205,0.021,0.205,23.982,25.9722,0.92459,0.80283,0.78114,0.06658,0.04023,0.17888,0.4657083333333334,0.09523,0.8361866666666667,0.056279331000405365,198.413,1734845.34,3572456.85,-6.927065703240102,155.378,78.23
6010,107,1,1,0.59,0.826,0.0,0.02,0.0,0.02,28.869,35.3911,0.90648,0.7986,0.77503,0.05308,0.02962,0.16177,0.4540966666666666,0.08149,0.8267033333333332,0.04323362777649891,291.069,2409980.54,4016720.8,-5.368122953450478,157.569,87.3454
6011,108,1,1,0.59,0.826,0.0,0.119,0.023,0.119,19.835,21.427,0.91815,0.81672,0.79716,0.07183,0.04477,0.20709,0.4759533333333333,0.10789666666666665,0.8440099999999999,0.0802705924375914,291.933,2591066.07,5147635.93,-5.208643016367688,107.258,100.535
6012,109,1,1,0.59,0.826,0.0,0.115,0.0,0.115,25.955,27.3657,0.91013,0.80469,0.78032,0.07254,0.04244,0.19049,0.4667683333333334,0.10182333333333334,0.8317133333333334,0.0636248540773522,423.755,2397462.36,4444334.27,-5.320124755731489,193.297,110.614
6013,11,1,1,0.59,0.826,0.0,0.205,0.017,0.205,19.62,19.6658,0.92653,0.81209,0.79312,0.0689,0.0386,0.20841,0.47460833333333335,0.10530333333333335,0.8439133333333334,0.07317404874484054,408.438,2194374.6,4421601.92,-5.074529421576241,175.808,117.602
6014,110,1,1,0.59,0.826,0.0,0.096,0.007,0.096,20.49,24.6694,0.92023,0.81378,0.7938,0.07709,0.05136,0.18437,0.47343833333333335,0.10427333333333333,0.8426033333333334,0.05402547817211598,242.662,1552556.7,3399728.32,-10.0,107.947,71.332
6015,111,1,1,0.59,0.826,0.0,0.033,0.0,0.033,27.112,36.4808,0.89674,0.79351,0.76828,0.05213,0.02906,0.15235,0.4486783333333334,0.07784666666666668,0.8195100000000001,0.03574260563946154,194.735,2025538.41,3729547.64,-5.2745624537052915,162.855,71.4218
6016,112,1,1,0.59,0.826,0.0,0.031,0.003,0.031,25.285,34.0351,0.90357,0.78955,0.7612,0.05329,0.03017,0.15569,0.44891166666666665,0.07971666666666667,0.8181066666666666,0.0381479642346676,313.665,2375892.13,3662612.73,-6.182626501943357,204.57,81.3834
6017,113,1,1,0.59,0.826,0.0,0.034,0.0,0.034,25.793,33.9428,0.90796,0.79423,0.772,0.05156,0.03538,0.11903,0.4466933333333334,0.06865666666666666,0.8247300000000001,0.019016290840772852,254.831,1497972.44,2437189.43,-4.504541154328129,115.509,48.3156
6018,114,1,1,0.591,0.826,0.0,0.065,0.006,0.065,26.997,35.0242,0.90319,0.78422,0.75666,0.05123,0.02825,0.14074,0.4440483333333333,0.07340666666666666,0.81469,0.03002669146262633,324.485,1953918.38,3111127.08,-2.392842776208049,244.669,76.8289
6019,115,1,1,0.59,0.826,0.0,0.141,0.011,0.141,24.374,24.6359,0.93498,0.81528,0.79969,0.06417,0.03511,0.16338,0.46876833333333334,0.08755333333333333,0.8499833333333333,0.037604490953890485,157.622,1529248.54,2788490.37,-7.723379732965874,75.833,51.328
6020,116,1,1,0.59,0.829,0.018,0.232,0.056,0.232,24.942,23.7555,0.92871,0.81175,0.79468,0.07085,0.04151,0.19369,0.4735316666666667,0.10201666666666666,0.8450466666666667,0.058619004691718136,241.501,1476665.86,3319544.91,-2.9040348099283495,205.278,75.3352
6021,117,1,1,0.591,0.826,0.0,0.043,0.007,0.043,27.036,35.6065,0.8997,0.7876,0.76029,0.05052,0.02931,0.14261,0.445005,0.07414666666666667,0.8158633333333333,0.030667227176491,355.431,2235427.15,3343915.36,-2.493369330340176,282.492,85.2885
6022,118,1,1,0.591,0.826,0.0,0.043,0.006,0.043,26.728,34.4734,0.90146,0.78323,0.75419,0.05132,0.02691,0.14755,0.44411,0.07526,0.81296,0.034096355905785455,345.521,2374024.18,3708296.07,-0.6156940962961334,186.581,84.4274
6023,119,1,1,0.591,0.826,0.0,0.034,0.006,0.034,26.39,34.9917,0.90631,0.78975,0.76431,0.04632,0.02689,0.13206,0.4442733333333334,0.06842333333333334,0.8201233333333334,0.025703085060831653,281.324,1792260.2,2630144.79,-4.442053234946575,147.987,69.8353
6024,12,1,1,0.595,0.827,0.0,0.122,0.043,0.122,11.637,14.4505,0.9148,0.81385,0.79689,0.05785,0.02908,0.18461,0.46618,0.09051333333333333,0.8418466666666666,0.05611068113939836,345.195,2315529.1,4613651.42,-5.089420999333854,152.405,88.8599
6025,120,1,1,0.59,0.826,0.0,0.106,0.013,0.106,22.637,23.3228,0.92834,0.80902,0.78868,0.05912,0.03315,0.19436,0.46877833333333335,0.09554333333333333,0.8420133333333334,0.06662597184476908,362.396,2538169.83,4039388.87,-1.7556528464122032,192.189,112.537
