,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
7000,1,1,2,0.802,0.919,0.677,0.62,0.568,0.0625,8.878,31.1419,0.9609,0.90399,0.89445,0.40037,0.5036,0.50569,0.6948333333333333,0.46988666666666673,0.9197799999999999,0.012699282508128816,1763.71,1870894.19,3311964.35,-2.7192018531695847,124.111,65.3845
7001,10,1,2,0.802,0.919,0.623,0.516,0.568,0.007,12.524,27.7102,0.96303,0.9114,0.90139,0.40569,0.4963,0.50361,0.6969033333333333,0.4685333333333334,0.9252733333333333,0.02521406243987064,1950.74,2605112.51,5131876.74,-3.5695476833108115,257.47,91.5628
7002,100,1,2,0.803,0.919,0.639,0.635,0.574,0.1375,7.728,28.6126,0.95748,0.9017,0.89022,0.38909,0.48111,0.48421,0.6839683333333333,0.45147,0.9164666666666665,0.018403511975287754,1946.7,2463505.91,4688678.47,-3.440402195679156,191.744,87.6227
7003,1000,1,2,0.803,0.919,0.69,0.722,0.586,0.1595,9.396,30.8512,0.96238,0.90562,0.89665,0.40064,0.51424,0.50023,0.6966266666666666,0.4717033333333333,0.9215499999999999,0.010516287990611006,1774.47,1468420.39,2616848.77,-6.089699690313952,120.308,61.0851
7004,101,1,2,0.802,0.919,0.643,0.531,0.568,0.027,12.512,32.9822,0.96197,0.90973,0.90015,0.40655,0.49861,0.48613,0.6938566666666667,0.4637633333333333,0.92395,0.01794519448036531,1790.78,1803341.2,4291294.82,-7.452960430326839,90.959,91.299
7005,102,1,2,0.802,0.919,0.7,0.616,0.568,0.0,10.871,31.9813,0.96274,0.9045,0.89487,0.39675,0.51478,0.49561,0.694875,0.46904666666666667,0.9207033333333333,0.0036038664798588686,1771.68,1032187.79,1959536.3,-3.5595124797276614,51.449,38.0655
7006,103,1,2,0.808,0.919,0.642,0.565,0.568,0.017,13.467,22.2529,0.96161,0.90844,0.89943,0.39639,0.49221,0.49731,0.6925649999999999,0.46197,0.9231599999999999,0.015359342744556992,1889.93,2538388.07,4075870.45,-5.301721826813115,249.322,85.0708
7007,104,1,2,0.805,0.919,0.668,0.633,0.576,0.026,7.99,25.1457,0.96003,0.90199,0.89126,0.39169,0.49262,0.49289,0.6884133333333333,0.4590666666666667,0.91776,0.016066213211540517,1847.94,1489037.23,3295602.5,-5.141260306130053,146.561,88.3243
7008,105,1,2,0.802,0.919,0.63,0.555,0.567,0.013,9.253,29.7903,0.96039,0.90692,0.89688,0.40314,0.50179,0.4923,0.6935699999999999,0.46574333333333334,0.9213966666666665,0.009521120749694701,1788.01,2425073.55,4941941.23,-3.6104519488675364,109.792,103.433
7009,106,1,2,0.811,0.919,0.668,0.728,0.583,0.181,5.965,10.8666,0.9624,0.90806,0.89878,0.40344,0.52215,0.50386,0.6997816666666666,0.4764833333333333,0.92308,0.018464284788223984,1788.62,2225707.93,3400119.7,-2.865239556573934,154.453,92.6065
7010,107,1,2,0.803,0.919,0.684,0.679,0.585,0.1335,16.7,29.699,0.96037,0.90461,0.89609,0.39512,0.49814,0.49754,0.6919783333333334,0.4636,0.9203566666666667,0.012659046043832063,1847.0,2013113.37,3937271.48,-4.165002084102819,124.544,83.5884
7011,108,1,2,0.803,0.919,0.649,0.583,0.566,0.035500000000000004,10.527,31.0364,0.95943,0.90522,0.89464,0.40263,0.50272,0.49364,0.6930466666666667,0.46632999999999997,0.9197633333333334,0.00958206107424786,1852.49,1876835.01,4173159.33,-2.9361983011687225,170.556,85.4518
7012,109,1,2,0.802,0.919,0.628,0.507,0.568,0.0,11.732,39.1081,0.96118,0.90626,0.89742,0.38841,0.48304,0.48466,0.6868283333333334,0.45203666666666664,0.92162,0.01185824819922554,1844.29,2201359.87,4625669.07,-2.5511479341135694,96.368,102.036
7013,11,1,2,0.802,0.919,0.641,0.531,0.568,0.0225,8.954,32.2381,0.96265,0.91204,0.9025,0.40057,0.49139,0.49741,0.6944266666666667,0.46312333333333333,0.92573,0.023069052340773055,1873.89,2427565.67,4543598.55,-5.403319496512602,150.304,89.2465
7014,110,1,2,0.802,0.919,0.698,0.633,0.568,0.0245,9.91,29.7068,0.96012,0.90567,0.89665,0.3995,0.51654,0.49837,0.6961416666666667,0.47147,0.9208133333333333,0.0057034122283222115,1747.7,1003369.3,1603657.94,-1.5844211354840836,176.176,28.2934
7015,111,1,2,0.803,0.919,0.664,0.661,0.571,0.064,8.156,31.798,0.95869,0.89916,0.88853,0.38779,0.48662,0.49311,0.6856500000000001,0.45584,0.91546,0.011363677655791804,1792.97,1699803.6,3131219.98,-2.591206975202265,153.515,76.7028
7016,112,1,2,0.802,0.919,0.638,0.599,0.567,0.1345,9.696,29.0145,0.95676,0.90549,0.89508,0.39283,0.48462,0.47742,0.6853666666666667,0.4516233333333333,0.91911,0.013456456851824327,1862.16,2880752.96,5010117.14,-6.7440232330710295,155.83,84.008
7017,113,1,2,0.803,0.919,0.641,0.529,0.568,0.0,8.946,39.3673,0.95724,0.90128,0.89053,0.39767,0.4821,0.50071,0.688255,0.46015999999999996,0.91635,0.013636932213498197,1882.36,2247021.48,4202972.8,-4.813876073742316,113.158,107.987
7018,114,1,2,0.808,0.919,0.639,0.653,0.57,0.3075,9.261,14.6556,0.96019,0.90671,0.89588,0.39295,0.4802,0.49436,0.6883816666666668,0.4558366666666667,0.9209266666666668,0.017671283484835952,1889.48,2333826.94,4410855.44,-6.35497375098412,123.032,89.6978
7019,115,1,2,0.802,0.919,0.655,0.674,0.574,0.239,6.332,33.1287,0.96012,0.90759,0.89821,0.39148,0.48803,0.50073,0.6910266666666667,0.46008000000000004,0.9219733333333333,0.02226706557556213,1881.27,2560337.02,4473841.7,-2.8025699776908475,176.669,82.9713
7020,116,1,2,0.802,0.919,0.689,0.707,0.582,0.149,7.836,32.0947,0.96388,0.90487,0.89499,0.39373,0.50402,0.48569,0.6911966666666667,0.46114666666666676,0.9212466666666667,0.006003210082539639,1762.55,1237735.78,2395370.17,-6.523564040535505,78.144,50.9822
7021,117,1,2,0.802,0.919,0.627,0.528,0.568,0.023,13.136,25.6268,0.9579,0.90725,0.89629,0.39441,0.45799,0.49644,0.6850466666666667,0.44961333333333336,0.92048,0.038630916245035965,1876.87,2755018.65,5728416.86,-2.3893330848732357,195.644,135.644
7022,118,1,2,0.803,0.92,0.63,0.692,0.593,0.29,10.507,29.534,0.95715,0.90493,0.89514,0.39952,0.4786,0.49747,0.6888016666666666,0.45852999999999994,0.9190733333333334,0.030670104068485672,1937.73,3585137.17,6244573.44,-5.197817868307308,238.08,110.973
7023,119,1,2,0.803,0.919,0.649,0.534,0.568,0.0,10.389,38.1564,0.95969,0.90501,0.89513,0.4037,0.49727,0.50511,0.6943183333333334,0.46869333333333335,0.9199433333333333,0.01207365758063954,1846.07,1780976.5,3529649.8,-0.5404995798663249,190.685,74.718
7024,12,1,2,0.802,0.919,0.642,0.606,0.572,0.053,10.129,28.5948,0.96024,0.90308,0.89352,0.394,0.4772,0.48232,0.68506,0.45117333333333337,0.9189466666666667,0.019954107469138907,1777.89,2318210.09,4568783.52,-2.9407778922533794,120.402,95.4272
7025,120,1,2,0.802,0.919,0.668,0.574,0.568,0.0475,16.213,31.5875,0.9638,0.91264,0.90528,0.40917,0.51634,0.49521,0.7004066666666666,0.47357333333333335,0.92724,0.009122115514061604,1693.8,1044216.51,2323371.47,-4.729285835697166,105.997,55.4792
7026,121,1,2,0.802,0.919,0.618,0.64,0.566,0.10200000000000001,6.492,32.6956,0.95708,0.90263,0.89241,0.39161,0.46563,0.48529,0.6824416666666667,0.44751,0.9173733333333334,0.0213252898125603,1913.53,3922530.21,6694855.66,-4.354902728766485,138.436,144.73
7027,122,1,2,0.803,0.919,0.635,0.519,0.568,0.0,10.799,34.1671,0.95805,0.90621,0.89622,0.39568,0.47468,0.49524,0.68768,0.4552,0.92016,0.013688750688675099,1871.15,2918357.28,5133962.32,-4.445754799019237,128.456,108.577
7028,123,1,2,0.802,0.919,0.67,0.597,0.568,0.0255,9.995,29.6283,0.95903,0.90113,0.89168,0.39056,0.49322,0.48761,0.687205,0.45713,0.91728,0.007636486382540397,1859.66,1407899.53,3057379.75,-2.8882603715737725,172.018,69.5742
7029,124,1,2,0.802,0.919,0.627,0.577,0.571,0.0415,7.648,31.6371,0.95209,0.89785,0.88443,0.3773,0.45412,0.48145,0.67454,0.4376233333333333,0.9114566666666667,0.021799686508529703,1867.41,2889738.85,4911005.07,-5.098547745770227,222.87,107.5
7030,125,1,2,0.803,0.919,0.651,0.583,0.566,0.037500000000000006,10.679,29.3645,0.96005,0.90665,0.89571,0.39972,0.49677,0.48983,0.6914549999999999,0.46210666666666667,0.9208033333333333,0.011621079850939964,1919.73,1911104.99,3892658.64,-2.8166029184767845,191.931,80.6571
7031,126,1,2,0.803,0.919,0.635,0.716,0.569,0.30300000000000005,10.159,31.5601,0.9594,0.90752,0.8957,0.40386,0.4925,0.50993,0.6948183333333333,0.46876333333333325,0.9208733333333333,0.02479138455793759,1800.44,2480509.37,4876042.81,-2.664159561656902,107.579,104.074
