,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,1,2,A.T,0.013744715633765735,0.24181569115021623,137.374,1090632.65,1925136.38,-0.30339481536599544,104.963,34.2472,0.0
1,1,1,2,B.T,0.011653849382491898,0.24077025802457933,65.08,808870.19,1386827.97,-5.135008890973174,44.849,31.1373,0.0
2,10,1,2,A.T,0.04991659203624294,0.2592249626847882,377.474,2584471.17,5083688.51,-3.5695476833108115,239.295,91.5628,0.0
3,10,1,2,B.T,0.0005115328434983357,0.23452243308841586,,10855.71,48188.23,,27.139,-0.0,0.0
4,100,1,2,B.T,0.009978201196543067,0.23072410059827153,118.833,955713.29,1779439.98,-4.43678389217983,54.077,25.0356,0.0
5,100,1,2,A.T,0.026828822754032443,0.2391494113770162,254.493,1434671.62,2909238.49,-2.444020499178483,149.089,62.5871,0.0
6,1000,1,2,B.T,5.394256807764509e-05,0.2358786379507055,,-0.0,-0.0,,-0.0,-0.0,0.0
7,1000,1,2,A.T,0.020978633413144366,0.24634098337323884,201.204,1420467.44,2616848.77,-6.089699690313952,117.934,61.0851,0.055
8,101,1,2,A.T,0.03529246638904624,0.24952789986118978,217.521,1741193.66,4291294.82,-7.452960430326839,86.309,91.299,0.0
9,101,1,2,B.T,0.0005979225716843839,0.23218062795250885,,-0.0,-0.0,,91.391,-0.0,0.0
10,102,1,2,A.T,0.007141272995299986,0.23809396983098333,198.42,987267.16,1940264.63,-3.5595124797276614,61.995,38.0655,0.0
11,102,1,2,B.T,6.645996441775144e-05,0.2345565633155422,,7699.99,19271.67,,0.516,-0.0,0.0
12,103,1,2,A.T,0.030629254799123373,0.24629962739956168,316.671,2524741.86,4075870.45,-5.301721826813115,213.429,85.0708,0.0
13,103,1,2,B.T,8.943068999061264e-05,0.2310297153449953,,-0.0,-0.0,,-0.0,-0.0,0.0
14,104,1,2,B.T,0.0015228343727670792,0.23029475051971687,24.684,164001.92,443648.11,-2.3312416201695783,34.985,12.3993,0.0
15,104,1,2,A.T,0.030609592050313952,0.2448381293584903,249.997,1233849.79,2851954.39,-7.951278992090527,127.641,75.925,0.0
16,105,1,2,B.T,8.615217175005526e-05,0.2329147427525417,,-0.0,-0.0,,35.601,-0.0,0.0
