,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
9000,1,1,1,0.702,0.885,0.0,0.0,0.001,0.0,22.21,27.6054,0.89688,0.77069,0.7415,0.09456,0.06542,0.26011,0.47152666666666665,0.14003,0.8030233333333333,0.09440525863901712,301.203,2312190.66,4658346.6,-1.389139734866008,115.502,100.648
9001,10,1,1,0.702,0.885,0.0,0.0,0.001,0.0,22.015,26.9388,0.89522,0.77163,0.74011,0.08693,0.06286,0.2291,0.4643083333333333,0.12629666666666667,0.80232,0.08172469103592449,299.525,2037202.81,3853996.58,-2.8921655396769497,134.724,79.4106
9002,100,1,1,0.702,0.885,0.0,0.016,0.003,0.016,13.108,15.8996,0.88816,0.75364,0.72424,0.05729,0.02678,0.16508,0.43586499999999995,0.08305,0.7886799999999999,0.03806109050929081,282.644,2488958.35,3916215.22,-3.0037595589127934,76.559,90.9383
9003,1000,1,1,0.702,0.885,0.0,0.0,0.0,0.0,18.37,19.644,0.89172,0.76217,0.73333,0.05881,0.03531,0.16578,0.44118666666666667,0.08663333333333334,0.79574,0.048369237230508594,249.242,1978760.27,2773643.82,-8.383913480349287,139.855,54.1745
9004,101,1,1,0.702,0.885,0.0,0.014,0.0,0.014,22.157,28.9946,0.89045,0.76138,0.72721,0.09838,0.06121,0.26233,0.4668266666666666,0.14064,0.7930133333333332,0.0960595180047676,326.661,2808502.44,5102233.17,-4.343111152394168,201.206,113.835
9005,102,1,1,0.702,0.885,0.0,0.0,0.0,0.0,22.365,26.2617,0.89405,0.76527,0.73464,0.08095,0.05118,0.22707,0.45886,0.11973333333333332,0.7979866666666666,0.08360561582667288,297.834,2454084.63,4192579.81,-8.26904353496678,189.168,87.0842
9006,103,1,1,0.702,0.885,0.0,0.0,0.0,0.0,20.874,28.3861,0.8995,0.77174,0.74583,0.0752,0.049,0.22688,0.4613583333333333,0.11702666666666667,0.8056899999999999,0.06880100144880999,225.895,1134299.13,2635946.13,-10.0,132.617,59.1607
9007,104,1,1,0.702,0.885,0.0,0.0,0.0,0.0,17.247,19.0224,0.89073,0.76441,0.73443,0.05609,0.03241,0.1571,0.439195,0.08186666666666666,0.7965233333333334,0.04569761792372447,240.33,1922193.08,2936900.15,-8.836652029166727,99.329,57.4423
9008,105,1,1,0.702,0.887,0.0,0.044,0.041,0.044,16.43,11.7805,0.8949,0.77167,0.73786,0.09367,0.0583,0.24406,0.46674333333333334,0.13201,0.8014766666666667,0.08644101643003524,223.656,1743162.42,3924978.02,-3.579810706543258,172.236,84.3933
9009,106,1,1,0.702,0.887,0.0,0.156,0.065,0.156,12.764,10.5908,0.88587,0.75471,0.7161,0.096,0.05121,0.26023,0.46068666666666663,0.13581333333333334,0.7855599999999999,0.09281732442323119,349.209,3070424.36,6212678.21,-5.012556888662326,150.374,110.818
