,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
10000,1,1,1,0.888,0.946,0.304,0.574,0.422,0.574,1.824,1.78312,0.89611,0.8054,0.77397,0.15433,0.09251,0.2977,0.5033366666666667,0.18151333333333333,0.82516,0.14030374647118152,220.865,3565654.8,6150693.84,-0.0332702508698272,228.144,132.158
10001,10,1,1,0.829,0.933,0.148,0.389,0.236,0.389,6.699,4.65979,0.89253,0.79338,0.75749,0.13618,0.08281,0.29724,0.49327166666666666,0.17207666666666666,0.8144666666666667,0.13968167835846543,152.758,2250299.45,4797866.03,-3.9211132101760073,196.538,95.7047
10002,100,1,1,0.815,0.922,0.0,0.135,0.0,0.135,13.541,13.7555,0.88987,0.78754,0.75181,0.07636,0.04475,0.19314,0.457245,0.10475,0.80974,0.06004947696055752,123.642,1846495.36,3377674.03,-3.2872648912153775,67.87,74.8624
10003,1000,1,1,0.82,0.925,0.0,0.26,0.053,0.26,8.69,8.32271,0.89135,0.78517,0.75034,0.09893,0.06147,0.26311,0.47506166666666666,0.14117,0.8089533333333333,0.09252974784467369,133.955,1483798.06,2840115.14,-2.832930192284647,111.395,65.165
10004,101,1,1,0.815,0.922,0.0,0.127,0.0,0.127,18.07,14.7258,0.89128,0.80901,0.7754,0.1274,0.07851,0.28354,0.49418999999999996,0.16315,0.8252299999999999,0.1270894907414913,209.918,1504711.36,2727943.92,-8.676471297670897,88.519,65.6428
10005,102,1,1,0.815,0.922,0.0,0.382,0.003,0.382,9.593,9.84485,0.89319,0.81368,0.78108,0.18788,0.12728,0.32644,0.5215916666666667,0.21386666666666665,0.8293166666666666,0.14746636096388102,245.508,2488064.09,4251120.56,-2.4991922101886446,170.36,99.8629
10006,103,1,1,0.815,0.922,0.0,0.173,0.0,0.173,12.316,12.4431,0.89135,0.798,0.76316,0.11088,0.06789,0.25624,0.48125333333333337,0.14500333333333335,0.8175033333333334,0.09587643153499811,169.727,1574383.75,2610365.45,-5.475353424065697,101.183,50.9901
10007,104,1,1,0.827,0.932,0.233,0.519,0.208,0.519,5.994,3.47009,0.8961,0.80178,0.76977,0.1304,0.06871,0.2789,0.49094333333333334,0.15933666666666665,0.82255,0.11867779130116105,155.928,2853369.48,5414365.27,-0.765864425495886,102.412,117.79
10008,105,1,1,0.819,0.927,0.0,0.327,0.081,0.327,14.339,9.1608,0.8958,0.78993,0.75468,0.09693,0.04475,0.21783,0.46665333333333336,0.11983666666666666,0.81347,0.07468432392925023,73.304,1900320.47,4055559.8,-3.0436422328131316,114.519,77.4037
10009,106,1,1,0.819,0.927,0.099,0.352,0.107,0.352,7.385,5.2752,0.89493,0.79374,0.76085,0.11605,0.06921,0.27213,0.484485,0.1524633333333333,0.8165066666666667,0.11133309698197989,114.618,2088540.25,4075450.58,-6.048144238959082,37.845,96.4268
