,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
11000,1,1,1,0.722,0.822,0.0,0.302,0.027,0.302,11.45,10.2594,0.8813,0.74437,0.70168,0.17906,0.10351,0.30133,0.48520833333333335,0.19463333333333332,0.7757833333333334,0.10440272744745017,314.589,1530290.46,2982105.74,-4.465917602139951,240.24,53.1752
11001,10,1,1,0.727,0.824,0.0,0.286,0.051,0.286,12.914,10.5956,0.89126,0.75664,0.71386,0.19202,0.12714,0.3103,0.49853666666666663,0.20982,0.7872533333333332,0.0979184332769364,307.774,1510355.75,3268301.87,-3.2496533844399,196.883,39.9503
11002,100,1,1,0.727,0.828,0.022,0.643,0.106,0.643,12.904,10.3435,0.89236,0.76867,0.7282,0.23473,0.15659,0.35577,0.52272,0.24902999999999997,0.79641,0.14202260710299017,313.187,1325625.29,2968414.97,-5.6611313373783565,218.028,56.4974
11003,1000,1,1,0.726,0.83,0.108,0.429,0.13,0.429,12.955,10.0342,0.88891,0.75984,0.71776,0.25141,0.21166,0.39131,0.536815,0.28479333333333334,0.7888366666666666,0.19583003185689452,224.262,1536555.55,2401342.71,-3.102026741734963,214.491,43.9829
11004,101,1,1,0.722,0.822,0.0,0.207,0.009,0.207,14.773,12.3321,0.87954,0.74313,0.69929,0.16968,0.1003,0.29252,0.4807433333333333,0.1875,0.7739866666666666,0.1131316636223346,258.742,1606026.69,3221308.31,-7.414664109110446,241.812,62.2125
11005,102,1,1,0.722,0.822,0.0,0.383,0.015,0.383,12.874,12.591,0.88532,0.75025,0.70869,0.19147,0.1408,0.32969,0.5010366666666667,0.22065333333333334,0.7814200000000001,0.12535269735381005,222.434,1796882.56,3288137.3,-4.929927732980507,190.805,59.3837
11006,103,1,1,0.722,0.824,0.0,0.408,0.06,0.408,10.105,9.56176,0.88617,0.7612,0.71555,0.18849,0.12265,0.32319,0.49954166666666666,0.21144333333333332,0.78764,0.14081742190755903,345.57,1819132.57,3592694.1,-3.2889378290832156,235.57,63.8517
11007,104,1,1,0.734,0.832,0.054,0.45,0.173,0.45,7.548,4.73835,0.89205,0.74879,0.70952,0.21778,0.17495,0.3486,0.5152816666666666,0.24710999999999997,0.7834533333333332,0.13750577378086745,193.921,1046992.71,2384897.51,-4.48161845791365,162.937,58.8103
11008,105,1,1,0.722,0.822,0.0,0.321,0.023,0.321,11.181,10.6011,0.88304,0.75394,0.70804,0.18357,0.11009,0.3107,0.49156333333333335,0.20145333333333335,0.7816733333333333,0.12350396504625677,319.704,1911007.52,3943511.39,-5.487119289369841,295.484,82.9681
11009,106,1,1,0.726,0.827,0.067,0.444,0.106,0.444,12.771,11.8984,0.88736,0.75401,0.7103,0.20691,0.15264,0.34451,0.5092883333333333,0.23468666666666668,0.78389,0.15450328458100557,236.303,1689318.9,3031440.09,-2.2787996941742947,265.73,54.9081
11010,107,1,1,0.722,0.822,0.0,0.321,0.023,0.321,11.015,10.5039,0.88337,0.75803,0.71491,0.18583,0.108,0.31467,0.494135,0.20283333333333334,0.7854366666666667,0.12007875209674237,320.959,1667787.93,3515581.94,-5.117545339736155,256.604,72.706
11011,108,1,1,0.722,0.821,0.0,0.298,0.0,0.298,14.479,15.021,0.89322,0.75922,0.71765,0.18574,0.14293,0.35488,0.50894,0.22785,0.7900299999999999,0.13540920754894614,152.543,1780229.27,3183395.23,-2.2464530481466185,147.532,52.3731
11012,109,1,1,0.724,0.821,0.0,0.167,0.007,0.167,11.331,10.4647,0.88461,0.75718,0.71592,0.17851,0.13534,0.31936,0.49848666666666663,0.21107,0.7859033333333333,0.11978438133373857,157.507,1119863.33,2247030.61,-4.386311086758681,162.856,41.0102
11013,11,1,1,0.727,0.827,0.022,0.556,0.122,0.556,12.474,10.5615,0.88998,0.76705,0.71757,0.26934,0.21869,0.38995,0.5420966666666667,0.29266000000000003,0.7915333333333333,0.1934997200965881,229.029,1440338.41,3500239.53,-0.7154206765354935,215.058,70.0349
