,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
12000,1,1,2,0.93,0.955,0.576,0.596,0.574,0.1055,6.331,25.7534,0.96644,0.93106,0.9225,0.44016,0.49982,0.51662,0.7127666666666667,0.4855333333333333,0.94,0.026940245749437132,1406.8,2639895.94,4771702.28,-2.0304208901871448,172.488,98.7384
12001,10,1,2,0.928,0.955,0.633,0.602,0.576,0.1295,5.631,30.7101,0.96623,0.93444,0.92882,0.44658,0.54624,0.53983,0.7270233333333332,0.5108833333333332,0.9431633333333332,0.01933127212444897,1222.95,1374840.78,2499273.97,-6.514296478226362,127.236,45.728
12002,100,1,2,0.93,0.955,0.59,0.562,0.583,0.103,5.216,28.537,0.96607,0.93056,0.92341,0.43452,0.49195,0.52751,0.7123366666666667,0.48466000000000004,0.9400133333333334,0.03647007724694213,1406.92,2921192.85,5073008.35,-1.4387281330412278,158.114,116.026
12003,1000,1,2,0.928,0.954,0.613,0.557,0.558,0.034,6.474,29.2824,0.96578,0.93101,0.92505,0.43296,0.53947,0.51581,0.7183466666666667,0.49608,0.9406133333333333,0.010394898664894325,1197.87,1012810.18,1816353.04,-5.069443781923278,135.774,39.0146
12004,101,1,2,0.928,0.954,0.579,0.566,0.568,0.107,6.666,29.2577,0.96802,0.93391,0.92626,0.4424,0.50297,0.52971,0.7172116666666667,0.49169333333333337,0.9427300000000001,0.03718741777344441,1414.44,2591815.47,4498325.97,-1.9561831942756367,154.782,103.765
12005,102,1,2,0.928,0.954,0.608,0.587,0.559,0.085,5.535,28.9317,0.96684,0.93104,0.92521,0.4301,0.53376,0.52706,0.7190016666666667,0.4969733333333333,0.94103,0.016033534652068502,1155.97,1250753.76,2594952.06,-2.9719227380933217,139.121,64.1797
12006,103,1,2,0.928,0.954,0.6,0.551,0.561,0.031,6.391,31.6307,0.96608,0.93115,0.9249,0.43412,0.53449,0.51219,0.717155,0.49360000000000004,0.94071,0.010140102481491994,1196.63,1366970.71,2880349.99,-6.305246411075259,140.816,51.8159
12007,104,1,2,0.928,0.954,0.587,0.699,0.568,0.287,6.589,32.6078,0.96652,0.9301,0.92335,0.41371,0.49029,0.52336,0.7078883333333333,0.47578666666666675,0.93999,0.03150401698504706,1256.93,2100641.59,3765994.16,-4.044364040807536,142.743,95.7643
12008,105,1,2,0.928,0.955,0.587,0.628,0.571,0.1815,7.319,28.7696,0.96657,0.93064,0.92397,0.42074,0.49178,0.52233,0.7093383333333333,0.47828333333333334,0.9403933333333333,0.02787541414862229,1270.46,2171971.69,4022521.12,-3.2805616302839944,193.969,76.6718
12009,106,1,2,0.928,0.954,0.581,0.599,0.564,0.1365,6.329,29.1019,0.96627,0.92886,0.921,0.43341,0.50435,0.518,0.7119816666666667,0.4852533333333333,0.93871,0.03574902907444084,1256.87,2724548.44,4956125.54,-3.8768841072156945,174.066,105.033
12010,107,1,2,0.928,0.954,0.587,0.592,0.559,0.082,7.004,32.3535,0.96661,0.93018,0.92317,0.4356,0.53108,0.52419,0.7184716666666666,0.4969566666666667,0.9399866666666666,0.01686196491909489,1253.56,1729723.62,3496136.0,-5.466928286742401,164.472,85.7318
12011,108,1,2,0.929,0.956,0.592,0.559,0.583,0.1,5.325,28.3143,0.96519,0.92909,0.92204,0.42706,0.47806,0.51963,0.706845,0.47491666666666665,0.9387733333333333,0.037132362035795057,1436.95,2846021.22,5225336.86,-2.173418351605004,184.362,125.128
