,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,1,2,B.I,0.052868807601043954,0.26920107046718866,403.426,2684846.87,4771702.28,-2.0304208901871448,155.064,98.7384,0.052
1,1,1,2,A.I,0.0010116838978303092,0.2432725086155818,,-0.0,-0.0,,2.306,-0.0,0.0
2,10,1,2,B.I,0.03841005081212643,0.27464669207272985,219.576,1333626.02,2499273.97,-6.514296478226362,144.925,45.728,0.1
3,10,1,2,A.I,0.000252493436771507,0.25556791338505236,,-0.0,-0.0,,-0.0,-0.0,0.0
4,100,1,2,B.I,0.0722908443043707,0.27847542215218535,403.544,2866027.97,5055911.45,-1.4387281330412278,155.035,116.026,0.073
5,100,1,2,A.I,0.0006493101895135621,0.2426546550947568,,6175.78,17096.9,,19.463,-0.0,0.0
6,1000,1,2,B.I,0.020662828991225977,0.258371414495613,194.49,969636.31,1816353.04,-5.069443781923278,123.006,39.0146,0.0
7,1000,1,2,A.I,0.00012696833856267186,0.24810348416928135,,-0.0,-0.0,,0.182,-0.0,0.0
8,101,1,2,B.I,0.07196328892023303,0.2818283111267832,403.262,2375246.4,4433113.34,-3.2421403165659237,175.249,100.306,0.019
9,101,1,2,A.I,0.0024115466266557916,0.24705243997999457,7.802,83582.2,65212.63,-0.6702260719853497,22.822,3.45892,0.0
10,102,1,2,B.I,0.031725722422106625,0.26434952787772,152.596,1340820.55,2594952.06,-2.9719227380933217,147.987,64.1797,0.0
11,102,1,2,A.I,0.0003413468820303813,0.24865734010768184,,-0.0,-0.0,,1.605,-0.0,0.0
12,103,1,2,B.I,0.02019026271146771,0.2568951313557339,193.254,1370139.26,2862205.21,-6.305246411075259,146.236,51.8159,0.0
13,103,1,2,A.I,8.994225151627515e-05,0.24684497112575815,,7607.8,18144.78,,2.552,-0.0,0.0
14,104,1,2,B.I,0.04834744542577028,0.2620670560462185,141.022,1057864.53,2214595.61,-4.691796323385379,71.025,58.0067,0.0
15,104,1,2,A.I,0.014660588544323838,0.2452236276054953,113.396,912845.7,1551398.55,-3.3969317582296923,100.209,37.7577,0.0
16,105,1,2,B.I,0.04367748666809348,0.2609804100007134,256.488,1578387.69,2919507.2,-4.5039459589116335,188.276,58.4069,0.0
17,105,1,2,A.I,0.0120733416291511,0.2451783374812422,16.369,663752.43,1103013.92,-2.0571773016563557,70.411,18.2649,0.0
18,106,1,2,B.I,0.039736847881067655,0.2624950906072005,102.874,1143890.15,2501243.67,-4.744557053490433,161.337,38.4987,0.0
19,106,1,2,A.I,0.03176121026781402,0.25850727180057365,172.069,1538619.04,2454881.87,-3.0092111609409558,125.404,66.5343,0.0
20,107,1,2,B.I,0.03361996802082103,0.26528831734374386,250.188,1873545.43,3496136.0,-5.466928286742401,171.843,85.7318,0.0
21,107,1,2,A.I,0.00010396181736874733,0.24853031424201774,,-0.0,-0.0,,0.466,-0.0,0.0
22,108,1,2,B.I,0.07347240233502816,0.2741945345008474,433.571,2743241.61,5192005.58,-2.173418351605004,214.949,125.128,0.074
23,108,1,2,A.I,0.0007923217365619486,0.2378544942016143,,9268.92,33331.29,,5.203,-0.0,0.0
24,109,1,2,B.I,0.03306949055368023,0.26562141194350675,215.144,1600551.38,2951872.76,-7.76115837879011,137.921,52.545,0.0
25,109,1,2,A.I,0.00020081780301224315,0.24918707556817277,,-0.0,-0.0,,1.347,-0.0,0.0
26,11,1,2,B.I,0.039766988457995464,0.26275682756233104,192.363,1697560.48,3273760.48,-5.931376277782645,132.69,80.5478,0.0
27,11,1,2,A.I,0.007496301918603486,0.24662148429263506,50.118,583881.6,747767.82,-0.08693097976873813,30.059,14.4976,0.0
28,110,1,2,B.I,0.028489900160849402,0.2620116167470914,209.065,1077113.19,2510026.36,-3.440957141721133,170.035,67.3629,0.0
29,110,1,2,A.I,0.00021530430377692534,0.24787431881855515,,-0.0,-0.0,,-0.0,-0.0,0.0
30,111,1,2,B.I,0.03832952202355955,0.26361309434511315,279.105,1642363.27,2761217.62,-4.768339450897007,135.621,60.4517,0.048
31,111,1,2,A.I,0.0006913694669077542,0.24479401806678722,-1.171,21278.79,34018.96,-0.0528256060084425,0.754,-0.0,0.0
32,112,1,2,A.I,0.060424242950830376,0.2822487881420819,197.647,1475253.04,2891114.05,-1.6643249268827305,160.9,53.7747,0.237
33,112,1,2,B.I,0.0017286081819705148,0.25290097075765194,,-0.0,-0.0,,43.779,-0.0,0.0
34,113,1,2,B.I,0.07220103033105262,0.2906205151655263,280.888,1798058.4,3380211.55,-5.713097403667516,158.426,73.2965,0.048
35,113,1,2,A.I,0.0013489623829650744,0.2551944811914825,,-0.0,-0.0,,0.007,-0.0,0.0
36,114,1,2,B.I,0.027419509501623907,0.2522980880841453,118.957,843343.55,1783113.47,-4.772925967265565,70.042,38.0406,0.0
37,114,1,2,A.I,0.011266625767105264,0.24422164621688594,117.056,842173.86,1362896.43,-2.7648551883216057,93.639,35.7612,0.0
38,115,1,2,B.I,0.03219248494151543,0.25917957580409107,175.129,1742850.65,2979505.82,-3.0486960482341168,107.677,78.3918,0.0
39,115,1,2,A.I,0.00030418754292633343,0.2432354271047965,,-0.0,-0.0,,-0.0,-0.0,0.0
40,116,1,2,B.I,0.03908355825360559,0.27192344579346944,169.137,1378233.72,2611018.38,-6.0072655223483915,78.352,65.3382,0.0
41,116,1,2,A.I,0.0005166545625693707,0.25263999394795134,,-0.0,-0.0,,1.569,-0.0,0.0
42,117,1,2,A.I,0.04211489394656382,0.25965411363994856,180.487,1113590.78,2809711.11,-0.7876916310009144,82.832,56.8103,0.0
43,117,1,2,B.I,0.022140580613177006,0.24966695697325517,146.021,732658.02,1343635.02,-5.105683895084228,90.67,26.8357,0.042
44,118,1,2,B.I,0.03378450719537795,0.2576805869310223,247.447,1225054.57,2923672.83,-6.364347557001442,107.964,76.4473,0.0
45,118,1,2,A.I,0.009176392507042374,0.24537652958685455,69.563,421787.17,587495.42,-2.445764785924089,27.838,12.9326,0.0
46,119,1,2,B.I,0.01883403013126781,0.2568720150656339,212.353,1682336.05,3187050.12,-7.151758007884318,118.845,69.9498,0.0
47,119,1,2,A.I,2.0366930261063366e-05,0.24746518346513055,6.833,38937.44,20033.28,-0.06715787627784742,8.869,2.05333,0.0
48,12,1,2,B.I,0.032278905284692884,0.2537927859756798,91.408,1202235.93,2296977.3,-5.279296859348015,60.453,47.481,0.104
49,12,1,2,A.I,0.0176701678072277,0.2464884172369472,176.816,2027277.56,2786366.63,-4.022294941434877,139.081,79.1414,0.5
50,120,1,2,B.I,0.0471735821670336,0.2690617910835168,231.458,1196562.48,2514906.78,-5.493223799146192,141.965,63.7166,0.048
51,120,1,2,A.I,0.0005377592759571361,0.24574387963797853,,-0.0,-0.0,,35.935,-0.0,0.0
52,121,1,2,B.I,0.04284978145587957,0.26426989072793977,280.427,2160687.98,4239086.79,-1.8676421018105511,161.936,70.7196,0.0
53,121,1,2,A.I,0.0005667918568229138,0.24312839592841146,,-0.0,-0.0,,3.466,-0.0,0.0
54,122,1,2,B.I,0.05405695033268785,0.2721351418330106,133.212,1309145.05,2255180.62,-1.7100133377394857,96.461,43.0696,0.0
55,122,1,2,A.I,0.018229830251438272,0.2542215817923858,111.115,513858.23,1026793.15,-4.36125123420727,40.336,35.0802,0.0
56,123,1,2,B.I,0.03479310001785052,0.2587415500089253,297.729,2811918.94,4938679.52,-0.9548510228325795,72.051,110.936,0.0
57,123,1,2,A.I,0.000284510245658459,0.24148725512282923,7.215,24078.59,57158.81,-0.008321121127457679,66.733,-0.0,0.0
58,124,1,2,A.I,0.0398326842574761,0.2661046754620714,119.827,926383.16,2268208.92,-9.072635083821629,78.875,40.8405,0.127
59,124,1,2,B.I,0.010848452993823797,0.2516125598302452,53.73,520307.74,734821.45,-3.500230780506083,111.605,15.9617,0.0
60,125,1,2,B.I,0.05589718240726142,0.27206025787029736,225.961,1216000.68,2594581.66,-4.771746380090888,111.463,73.2829,0.0
61,125,1,2,A.I,0.021639429475487762,0.2549313814044105,97.313,1237886.88,2105684.22,-6.050636305811891,66.955,50.0061,0.28
62,126,1,2,B.I,0.040577008605896484,0.2661301709696149,309.247,1279210.79,2615761.05,-5.352372777478454,158.446,55.7998,0.145
63,126,1,2,A.I,0.0006007777395671723,0.24614205553645024,,10594.1,8742.3,,60.085,-0.0,0.0
64,127,1,2,B.I,0.06117263759078923,0.2708579854620613,303.691,2403204.8,4144331.2,-7.717215962898904,145.247,99.3102,0.038
65,127,1,2,A.I,0.010645460260844074,0.2455943967970887,28.973,591261.89,892244.3,-2.5277964670516218,23.771,17.8741,0.0
66,128,1,2,B.I,0.03071237258666315,0.26445618629333156,194.78,2072463.83,3286334.72,-3.0643865342609287,123.054,76.2816,0.0
67,128,1,2,A.I,6.750079552821848e-05,0.2491337503977641,,-0.0,-0.0,,0.182,-0.0,0.0
68,129,1,2,B.I,0.03475195247197008,0.2592976429026517,322.36,2039766.52,3557974.02,-5.50722740744479,80.021,74.7202,0.0
69,129,1,2,A.I,0.003953688082719226,0.2438985107080263,53.916,262927.95,405795.53,-0.03541614153366806,21.124,10.1626,0.0
70,13,1,2,B.I,0.07943453151819996,0.2809472657591,353.231,2542563.3,5024638.73,-0.8853447858588912,206.311,116.645,0.037
71,13,1,2,A.I,0.0009765375973228616,0.24171826879866146,,-0.0,-0.0,,-0.0,-0.0,0.0
72,130,1,2,B.I,0.02475769336551821,0.25235218001609244,240.75,1850393.03,3761629.17,-5.018891614428417,79.047,79.6895,0.0
73,130,1,2,A.I,6.156974973234915e-05,0.24000411820819953,,-0.0,-0.0,,-0.0,-0.0,0.0
74,131,1,2,B.I,0.045672479139466295,0.2756195729030665,209.631,1432370.07,2543795.23,-4.1454821048085,181.868,53.3591,0.0
75,131,1,2,A.I,0.0006345695789103351,0.2531006181227885,,-0.0,-0.0,,2.602,-0.0,0.0
76,132,1,2,B.I,0.04082627330499235,0.2717431366524962,182.691,1389542.33,2646563.26,-1.5750359648603587,176.758,69.9689,0.0
77,132,1,2,A.I,0.0004121094410694165,0.25153605472053475,,-0.0,-0.0,,1.869,-0.0,0.0
78,133,1,2,B.I,0.08307261122245109,0.2964529722778922,302.724,2124387.93,3766453.67,-3.3878523743262576,141.851,84.276,0.069
79,133,1,2,A.I,0.0015105415653881738,0.25567193744936073,,-0.0,-0.0,,37.685,-0.0,0.0
80,134,1,2,B.I,0.07729722825715725,0.285076947461912,285.827,2255415.08,3813074.19,-2.499014662507455,133.231,88.5618,0.04
81,134,1,2,A.I,0.0008417744925417914,0.24684922057960423,,-0.0,-0.0,,-0.0,-0.0,0.0
82,135,1,2,A.I,0.05614380589377107,0.28238190294688553,216.955,1163607.47,2234307.02,-5.66093502516432,155.223,49.9563,0.263
83,135,1,2,B.I,0.0009429699611251036,0.2547814849805625,,-0.0,-0.0,,31.763,-0.0,0.0
84,136,1,2,B.I,0.01884657916327797,0.2607632895816389,146.207,1402854.28,2908406.01,-2.8280854776422104,102.77,59.7453,0.0
85,136,1,2,A.I,0.00013779414240102373,0.25140889707120045,16.295,92615.08,61581.41,-0.03297073475366361,7.612,3.88654,0.0
86,137,1,2,B.I,0.049252178016467946,0.26849608900823396,249.891,2223637.55,4083671.1,-2.5899818188216632,120.52,83.4065,0.0
87,137,1,2,A.I,0.0006810547477146344,0.24421052737385732,,14347.6,24526.08,,3.092,-0.0,0.0
88,138,1,2,B.I,0.041214044268417634,0.2649270221342088,287.932,2554649.71,4002124.02,-5.319448838221117,162.732,84.8876,0.065
89,138,1,2,A.I,0.0018918423886632896,0.24526592119433163,29.511,157151.34,479727.36,-0.9102956707590213,72.146,5.31601,0.0
90,139,1,2,B.I,0.027330900205038238,0.2520154501025191,294.086,1217386.21,2226151.53,-6.264136216045833,159.554,31.8922,0.128
91,139,1,2,A.I,0.007197272325869818,0.24194863616293488,67.579,458547.28,668678.64,-0.9406876831652125,50.685,16.8234,0.0
92,14,1,2,B.I,0.04704913004970876,0.2673978983581878,190.535,1503655.28,2994605.61,-5.687092588449133,128.518,65.7178,0.0
93,14,1,2,A.I,0.011613343135447356,0.24968000490105707,62.194,280067.16,763902.69,-2.72101712939532,56.883,16.784,0.0
94,140,1,2,B.I,0.05916593116198783,0.2686879655809939,280.487,2468836.29,4548558.12,-0.6386382873328356,125.4,101.204,0.0
95,140,1,2,A.I,0.0060807992318908325,0.2421453996159454,33.487,212161.74,427467.6,-0.38552684174429713,20.83,8.48979,0.0
96,141,1,2,B.I,0.03853225647872023,0.2658227949060268,272.903,1624839.49,3451009.48,-4.64381419234932,193.561,86.9167,0.0
97,141,1,2,A.I,0.00019854306981848395,0.24665593820157589,,-0.0,-0.0,,-0.0,-0.0,0.0
98,142,1,2,B.I,0.024992674632630954,0.26137133731631546,251.631,2177204.6,3359368.32,-3.5753561773938833,162.036,68.9322,0.0
99,142,1,2,A.I,3.818347659070159e-05,0.24889409173829533,,-0.0,-0.0,,3.301,-0.0,0.0
100,143,1,2,B.I,0.03707214754631422,0.2693094071064905,268.685,1911560.74,3217429.05,-8.578218914690419,186.656,77.7065,0.0
101,143,1,2,A.I,0.00024568024148618545,0.25089617345407644,,-0.0,-0.0,,3.342,-0.0,0.0
102,144,1,2,B.I,0.020226072906893933,0.25955470312011364,250.808,1374395.49,2517721.63,-3.706295865041102,145.524,52.7692,0.0
103,144,1,2,A.I,4.8572948917186e-05,0.2494659531411253,,-0.0,-0.0,,54.37,-0.0,0.0
104,145,1,2,B.I,0.03197457508485968,0.2590456208757632,229.177,1560460.06,2772982.07,-7.117470016811943,189.869,69.6193,0.0
105,145,1,2,A.I,0.0003534542369057245,0.24323506045178625,,-0.0,-0.0,,-0.0,-0.0,0.0
106,146,1,2,B.I,0.03252343124418076,0.2679033822887571,212.815,1621966.26,2946558.18,-2.4399919990980146,161.484,63.203,0.0
107,146,1,2,A.I,0.00016057222508639307,0.2517219527792099,,-0.0,-0.0,,3.59,-0.0,0.0
108,147,1,2,B.I,0.06947131064662244,0.2822406553233112,400.168,2689016.57,4291347.35,-1.1977202604754158,241.094,98.6714,0.0
109,147,1,2,A.I,0.0012338435103486532,0.2481219217551743,,6581.62,19752.27,,2.906,-0.0,0.0
110,148,1,2,A.I,0.0458455723485372,0.26660611950760194,157.458,1256482.14,2261361.45,-2.881184643685341,100.758,44.3868,0.0
