,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
13000,1,1,1,0.565,0.776,0.063,0.714,0.097,0.714,14.962,14.1036,0.86542,0.69235,0.63926,0.19501,0.14859,0.37787,0.4864166666666667,0.24048999999999998,0.7323433333333335,0.17970707863569263,294.643,2725715.55,5256345.06,-1.9222581749493597,235.362,150.546
13001,10,1,1,0.569,0.77,0.0,0.31,0.03,0.31,11.088,11.2048,0.86225,0.7026,0.64778,0.19497,0.12162,0.35336,0.48043,0.2233166666666667,0.7375433333333333,0.1413239253684878,352.287,4350170.55,6874416.04,-1.631893675217366,160.111,153.233
13002,100,1,1,0.564,0.768,0.04,0.279,0.038,0.279,16.753,14.3354,0.86744,0.71313,0.65654,0.21146,0.15095,0.37557,0.4958483333333333,0.2459933333333333,0.7457033333333333,0.1502270273864269,260.652,1934716.59,4451720.14,-2.482279913059197,135.339,109.157
13003,1000,1,1,0.56,0.764,0.0,0.221,0.003,0.221,13.642,14.8388,0.84305,0.66929,0.61321,0.13987,0.07652,0.29952,0.4402433333333334,0.17197000000000004,0.7085166666666667,0.1118745418265462,299.191,2556730.87,4362074.9,-3.2738231782332465,138.377,107.406
13004,101,1,1,0.568,0.77,0.03,0.406,0.05,0.406,9.714,10.4932,0.86685,0.69171,0.64647,0.17997,0.13557,0.34592,0.4777483333333333,0.22048666666666664,0.7350099999999999,0.1462868032976985,261.131,2571527.79,4313106.53,-3.0752075806992245,119.963,103.648
13005,102,1,1,0.564,0.77,0.025,0.397,0.053,0.397,17.838,15.7442,0.8562,0.69759,0.64079,0.1936,0.12807,0.36158,0.4796383333333334,0.22775,0.7315266666666668,0.1333212712779641,263.449,2735932.15,4599164.35,-3.0373992716090084,140.183,131.661
13006,103,1,1,0.563,0.769,0.01,0.387,0.038,0.387,16.336,14.2464,0.86526,0.70786,0.6439,0.22334,0.15804,0.39584,0.49904000000000004,0.2590733333333333,0.7390066666666667,0.16821531988680363,285.019,3545715.99,7005252.13,-3.0083761335176717,120.813,170.775
13007,104,1,1,0.562,0.773,0.068,0.486,0.077,0.486,16.203,15.249,0.85178,0.68169,0.61885,0.18716,0.1274,0.35703,0.47065166666666663,0.22386333333333333,0.71744,0.14256223356351255,180.441,2084646.91,4036277.16,-3.2891347021518924,188.933,84.36
13008,105,1,1,0.564,0.769,0.0,0.227,0.045,0.227,17.103,14.8094,0.85063,0.68939,0.63314,0.17942,0.11017,0.34586,0.4681016666666667,0.21181666666666665,0.7243866666666667,0.1405853448435664,237.311,2115221.64,4190766.58,-2.2665173658790727,146.896,108.094
13009,106,1,1,0.569,0.774,0.054,0.35,0.07,0.35,14.06,11.5866,0.87045,0.70859,0.65406,0.18142,0.11879,0.36631,0.48327,0.22217333333333333,0.7443666666666666,0.1566210683435202,347.219,2949480.84,5266781.66,-2.4861876244488785,196.588,123.755
13010,107,1,1,0.56,0.773,0.03,0.373,0.069,0.373,16.753,15.5981,0.86031,0.68216,0.62887,0.15473,0.0992,0.31045,0.4559533333333333,0.18812666666666666,0.72378,0.11863619424402713,148.921,1299555.72,3074672.71,-5.155710118477895,141.256,73.9615
13011,108,1,1,0.558,0.768,0.042,0.256,0.041,0.256,14.903,15.1425,0.86009,0.68071,0.63321,0.13924,0.08063,0.29175,0.44760500000000003,0.17054,0.72467,0.09848868399858475,245.281,2328037.89,4407321.69,-4.7094720900533815,120.708,86.5154
13012,109,1,1,0.567,0.775,0.052,0.635,0.088,0.635,15.253,13.8611,0.87709,0.70379,0.65244,0.21306,0.17487,0.40457,0.5043033333333333,0.26416666666666666,0.74444,0.1840194795280695,236.68,2639100.96,4864497.73,-2.277220541597843,233.929,124.193
13013,11,1,1,0.567,0.776,0.06,0.719,0.1,0.719,14.96,14.1005,0.87133,0.69243,0.64158,0.19013,0.14365,0.37232,0.48524000000000006,0.2353666666666667,0.7351133333333334,0.1760355308651924,331.228,2856691.69,5498532.76,-1.5641825147686212,230.018,143.576
13014,110,1,1,0.563,0.774,0.081,0.683,0.088,0.683,14.998,14.1324,0.87047,0.70755,0.65009,0.22177,0.16851,0.39202,0.501735,0.26076666666666665,0.7427033333333334,0.17419733107089996,267.249,2552440.39,4510804.54,-3.0967046469081074,137.673,112.29
13015,111,1,1,0.568,0.774,0.042,0.449,0.086,0.449,15.636,14.0426,0.86356,0.70172,0.6511,0.20629,0.15484,0.36969,0.49119999999999997,0.24360666666666667,0.7387933333333333,0.15880148131400348,229.455,1731211.77,3485902.84,-2.05578413137688,113.366,94.3819
13016,112,1,1,0.565,0.768,0.0,0.167,0.035,0.167,17.64,14.9398,0.85295,0.69509,0.64076,0.17326,0.10802,0.33681,0.467815,0.20603000000000002,0.7295999999999999,0.13765638042241335,283.666,2561200.72,4240851.9,-1.8454369038286993,122.774,100.426
13017,113,1,1,0.564,0.77,0.029,0.359,0.044,0.359,15.92,13.8934,0.86691,0.70607,0.64857,0.18922,0.14148,0.35138,0.4839383333333333,0.22736,0.7405166666666666,0.15279817339032886,150.393,1895696.81,4171219.02,-2.6820855939866797,100.344,86.0066
13018,114,1,1,0.562,0.766,0.0,0.279,0.014,0.279,16.831,15.1566,0.86443,0.71425,0.64941,0.18766,0.1115,0.35054,0.4796316666666667,0.21656666666666666,0.7426966666666667,0.13229311732575297,268.265,3374383.82,5251481.89,-2.345995559491888,140.944,109.218
13019,115,1,1,0.572,0.77,0.0,0.373,0.03,0.373,11.464,11.2999,0.85845,0.70567,0.64737,0.22032,0.14588,0.36913,0.4911366666666666,0.24510999999999997,0.7371633333333333,0.15797475166618824,367.492,4421618.34,6899667.51,-1.9778162764257927,131.4,156.691
13020,116,1,1,0.567,0.77,0.029,0.373,0.047,0.373,15.545,13.6331,0.86674,0.69633,0.64288,0.19291,0.14044,0.3756,0.48581666666666673,0.2363166666666667,0.7353166666666667,0.1660085642710328,206.261,2054020.34,4084291.21,-3.879566273051132,114.189,93.6819
13021,117,1,1,0.576,0.766,0.0,0.352,0.021,0.352,9.781,10.2138,0.85699,0.68557,0.63927,0.17505,0.1335,0.33747,0.4713083333333333,0.21534,0.7272766666666666,0.12920863283798098,273.744,2596393.57,4293168.65,-4.132106021286529,129.643,101.029
13022,118,1,1,0.563,0.768,0.0,0.354,0.038,0.354,12.562,13.0195,0.87296,0.71252,0.65373,0.20698,0.14997,0.38715,0.4972183333333333,0.24803333333333333,0.7464033333333333,0.16187050342559817,192.974,2608937.34,4755994.48,-2.4445898540174325,72.499,121.243
13023,119,1,1,0.559,0.766,0.0,0.383,0.015,0.383,10.367,9.9371,0.85004,0.69032,0.62099,0.22729,0.17039,0.40822,0.49454166666666666,0.26863333333333334,0.72045,0.18591708801686763,245.941,2816684.39,4870278.79,-1.3591909073350024,130.565,88.0723
13024,12,1,1,0.569,0.773,0.037,0.423,0.086,0.423,14.765,12.2845,0.86055,0.71869,0.65555,0.23815,0.15545,0.41194,0.5067216666666666,0.2685133333333333,0.74493,0.17638923190534117,372.477,4489251.73,8310919.59,-2.1168132921033473,-65.987,231.196
