,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
14000,1,1,1,0.718,0.901,0.0,0.125,0.0,0.125,19.43,22.9757,0.9165,0.82321,0.8005,0.06964,0.03894,0.20779,0.47609666666666667,0.10545666666666666,0.8467366666666667,0.06317288330756127,330.708,3205216.13,6409317.98,-2.4313984189660536,179.837,120.649
14001,10,1,1,0.718,0.901,0.0,0.083,0.004,0.083,17.641,18.9464,0.91583,0.82584,0.80016,0.0958,0.07612,0.24542,0.493195,0.13911333333333334,0.8472766666666667,0.08448166579473763,339.845,2046796.45,4476358.01,-4.603945022705691,138.732,93.6299
14002,100,1,1,0.718,0.901,0.0,0.125,0.0,0.125,23.282,24.017,0.90946,0.82051,0.7979,0.06785,0.0382,0.20478,0.4731166666666667,0.10360999999999998,0.8426233333333334,0.048966701662720886,239.47,2104978.2,4398690.65,-5.449561188932557,158.717,105.557
14003,1000,1,1,0.718,0.901,0.0,0.18,0.0,0.18,20.781,21.6607,0.9043,0.81253,0.78591,0.06965,0.04006,0.21462,0.4711783333333333,0.10811,0.8342466666666666,0.05918750617420301,352.869,1822343.5,3607462.18,-5.072875634646962,152.431,73.2053
14004,101,1,1,0.718,0.901,0.0,0.073,0.0,0.073,18.04,19.5384,0.90829,0.81235,0.78827,0.06774,0.04229,0.20428,0.4705366666666667,0.10476999999999999,0.8363033333333334,0.05907896489952691,211.472,2193174.75,4242940.22,-7.734924490523134,194.915,81.5114
14005,102,1,1,0.718,0.901,0.0,0.128,0.003,0.128,19.092,20.011,0.9099,0.81629,0.78548,0.08583,0.06036,0.2341,0.4819933333333333,0.12676333333333334,0.8372233333333332,0.08187413299456239,326.227,2231697.27,4690117.98,-5.181974438827607,188.244,108.266
14006,103,1,1,0.718,0.901,0.0,0.064,0.0,0.064,19.66,20.7778,0.90637,0.80756,0.78071,0.0655,0.05327,0.17444,0.4646416666666667,0.09773666666666668,0.8315466666666667,0.044049477652879435,170.722,1185865.77,2701693.96,-8.6739291010779,165.767,56.8544
14007,104,1,1,0.72,0.902,0.065,0.198,0.035,0.198,25.375,29.3976,0.91665,0.81147,0.78977,0.05917,0.0375,0.18487,0.46657166666666666,0.09384666666666668,0.8392966666666667,0.04581870446418179,215.074,2135883.17,3471922.37,-2.6798991777572696,134.689,77.5262
14008,105,1,1,0.718,0.901,0.0,0.167,0.003,0.167,19.273,20.414,0.91586,0.82437,0.79703,0.0784,0.04962,0.21531,0.4800983333333333,0.11444333333333334,0.8457533333333332,0.064683586882893,384.848,2052759.6,4252991.69,-4.457116673272692,176.84,90.6896
14009,106,1,1,0.718,0.902,0.0,0.11,0.01,0.11,17.392,18.6786,0.90744,0.81892,0.79348,0.07959,0.05888,0.22103,0.47989000000000004,0.11983333333333333,0.8399466666666667,0.07001615405897609,245.116,2311800.66,4817854.88,-4.4436746629122235,136.949,94.042
14010,107,1,1,0.718,0.901,0.0,0.128,0.001,0.128,20.208,20.8639,0.90991,0.81631,0.78665,0.07137,0.05094,0.20834,0.47391999999999995,0.11021666666666667,0.8376233333333333,0.06347354024183005,262.69,1624576.61,3291010.63,-6.115054632494698,161.461,66.2382
14011,108,1,1,0.718,0.901,0.0,0.093,0.0,0.093,19.376,20.3989,0.90509,0.80684,0.78164,0.06904,0.04749,0.19569,0.46763166666666667,0.10407333333333334,0.83119,0.048446583870099855,210.473,1259309.84,3146460.81,-9.098039013314542,131.266,67.1631
14012,109,1,1,0.718,0.902,0.0,0.146,0.016,0.146,16.97,16.7293,0.9007,0.8066,0.77873,0.079,0.06474,0.21547,0.47420666666666667,0.11973666666666667,0.8286766666666666,0.052250214025843886,257.49,2666182.64,4917266.27,-6.721210584995973,182.887,102.599
14013,11,1,1,0.719,0.902,0.011,0.09,0.018,0.09,12.256,13.2069,0.90144,0.81148,0.78457,0.07009,0.05067,0.1892,0.4679083333333333,0.10332000000000001,0.8324966666666667,0.050939442784874694,136.606,1258980.21,3499894.53,-7.961062651589868,108.495,50.5183
