,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
15000,1,1,1,0.563,0.869,0.02,0.264,0.038,0.264,8.534,11.5981,0.93441,0.86442,0.84836,0.08694,0.06786,0.23793,0.5066533333333334,0.13091,0.8823966666666667,0.10435692857718094,270.788,1540834.65,2629290.14,-3.1565720250184235,159.857,54.9142
15001,10,1,1,0.564,0.869,0.019,0.224,0.038,0.224,11.204,15.2064,0.93063,0.87248,0.85529,0.08849,0.0568,0.23125,0.5058233333333333,0.12551333333333334,0.8861333333333333,0.10079109992366285,205.696,1880956.52,3155956.52,-4.287390687010775,199.111,76.7236
15002,100,1,1,0.563,0.868,0.0,0.222,0.03,0.222,12.672,15.9668,0.93273,0.87152,0.85682,0.08251,0.05809,0.23331,0.50583,0.12463666666666666,0.8870233333333334,0.09973713747458532,332.744,1554985.99,2867498.26,-1.9882310512817634,178.288,59.6077
15003,1000,1,1,0.563,0.868,0.0,0.34,0.019,0.34,9.742,13.7985,0.93546,0.87397,0.85662,0.10061,0.07513,0.25671,0.5164166666666666,0.14415,0.8886833333333333,0.11397674628533423,174.483,1350374.8,2638864.27,-3.249303122476077,157.435,67.9621
15004,101,1,1,0.563,0.869,0.017,0.328,0.05,0.328,12.367,15.4453,0.93391,0.87487,0.85794,0.1136,0.08701,0.27871,0.52434,0.15977333333333335,0.8889066666666667,0.1352904436411336,284.518,2208852.9,4233127.49,-3.9966566482670354,185.121,93.0729
15005,102,1,1,0.563,0.868,0.0,0.222,0.021,0.222,9.034,12.7117,0.93064,0.86788,0.84832,0.09767,0.07659,0.23847,0.5099283333333333,0.13757666666666668,0.8822800000000001,0.10795984766446054,92.221,1236674.01,3133269.75,-5.6663225856835355,86.031,54.5288
15006,103,1,1,0.563,0.869,0.0,0.4,0.045,0.4,8.994,12.2495,0.92734,0.87456,0.85712,0.09581,0.06122,0.24866,0.510785,0.13523,0.88634,0.10740269771777093,260.539,2338468.09,4992792.51,-4.7558265803990984,163.454,106.217
15007,104,1,1,0.564,0.872,0.105,0.286,0.1,0.286,14.58,18.4524,0.93357,0.87163,0.8534,0.13654,0.10373,0.28093,0.5299666666666667,0.17373333333333332,0.8862000000000001,0.13936554891988634,283.143,2689454.78,5098577.85,-2.029646655624098,104.505,118.089
15008,105,1,1,0.563,0.87,0.033,0.232,0.064,0.232,10.637,13.8977,0.92617,0.86594,0.84248,0.10789,0.07821,0.25456,0.5125416666666667,0.14688666666666667,0.8781966666666667,0.11863860990852118,221.013,2003939.93,4027303.58,-5.365778320981075,123.635,100.093
15009,106,1,1,0.563,0.87,0.05,0.333,0.118,0.333,11.538,15.3626,0.93357,0.87695,0.85468,0.18038,0.1171,0.32265,0.547555,0.20670999999999998,0.8884,0.16318005602806807,311.142,3528281.18,7968422.32,-0.5386041088430282,-12.225,175.882
15010,107,1,1,0.563,0.868,0.0,0.377,0.019,0.377,9.883,14.4033,0.93345,0.87595,0.85868,0.1126,0.08948,0.26786,0.5230033333333334,0.15664666666666668,0.88936,0.12265667833853514,217.454,2039637.44,3858227.77,-3.0696689102980184,138.921,85.7977
15011,108,1,1,0.562,0.868,0.0,0.113,0.016,0.113,12.047,17.5742,0.93216,0.86519,0.84522,0.08702,0.06641,0.22708,0.5038466666666667,0.12683666666666668,0.8808566666666667,0.09645916817244143,254.419,2158167.78,3381202.69,-3.0599263867893765,175.097,57.1005
15012,109,1,1,0.562,0.869,0.045,0.182,0.063,0.182,11.584,16.7241,0.92882,0.8691,0.84833,0.08995,0.05991,0.24339,0.5065833333333334,0.13108333333333333,0.8820833333333334,0.09949293322861195,119.156,1119423.15,2374701.04,-8.745847333842018,96.628,43.7357
