,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
16000,1,1,1,0.897,0.893,0.049,0.229,0.04,0.229,7.212,10.3603,0.9436,0.91664,0.90444,0.08026,0.04992,0.25577,0.525105,0.12865000000000001,0.92156,0.10055249417200685,290.062,1866674.25,2963675.09,-6.980812033233366,131.32,67.9301
16001,10,1,1,0.897,0.893,0.0,0.127,0.039,0.127,5.653,8.9526,0.94765,0.91828,0.90815,0.07194,0.04549,0.20773,0.51654,0.10838666666666667,0.9246933333333334,0.07113106036558747,307.517,1922592.47,3085889.65,-2.867612490271123,131.89,70.2089
16002,100,1,1,0.902,0.895,0.117,0.281,0.079,0.281,4.485,6.79677,0.95129,0.92312,0.9097,0.11255,0.08234,0.29069,0.5449483333333334,0.16185999999999998,0.9280366666666667,0.12997886976227163,193.747,1588601.76,2605871.39,-5.095676588758118,119.258,52.3013
16003,1000,1,1,0.897,0.892,0.0,0.075,0.01,0.075,8.538,12.6979,0.94302,0.91295,0.90295,0.05552,0.03089,0.1635,0.5014716666666668,0.08330333333333334,0.9196400000000001,0.0470091709838016,172.881,1181790.28,1702912.64,-5.693708664213548,101.691,33.1818
16004,101,1,1,0.901,0.895,0.134,0.443,0.152,0.443,3.068,4.88441,0.95238,0.92142,0.90972,0.10415,0.07188,0.30484,0.544065,0.16029000000000002,0.9278400000000001,0.1232264664489776,189.869,2188582.63,4085683.36,-3.3209889072194136,158.527,92.6086
16005,102,1,1,0.897,0.892,0.0,0.135,0.038,0.135,6.498,10.3492,0.94495,0.91698,0.90627,0.05421,0.02499,0.19275,0.5066916666666667,0.09065,0.9227333333333334,0.06048341749701649,326.929,2385277.37,3811629.86,-5.725247236137014,178.341,78.7007
16006,103,1,1,0.898,0.893,0.077,0.224,0.058,0.224,4.829,7.11058,0.93988,0.91246,0.89919,0.11553,0.07843,0.29651,0.5403333333333333,0.16349,0.9171766666666668,0.13460968006402255,254.73,2113866.0,3690081.16,-5.598324277343691,115.031,69.3474
16007,104,1,1,0.899,0.894,0.124,0.362,0.105,0.362,4.924,7.80883,0.95234,0.9206,0.90934,0.1117,0.07525,0.31104,0.5467116666666667,0.16599666666666665,0.9274266666666667,0.1323975283652544,392.539,2900011.26,5268769.93,-3.6559832273255206,326.086,106.061
16008,105,1,1,0.897,0.892,0.0,0.185,0.022,0.185,6.557,9.76914,0.93824,0.9128,0.90063,0.07354,0.04494,0.21682,0.5144949999999999,0.11176666666666667,0.9172233333333333,0.07783462214283646,159.543,920339.69,1883864.74,-4.285596939610698,74.731,43.5819
16009,106,1,1,0.91,0.903,0.388,0.562,0.306,0.562,1.982,2.77278,0.95298,0.92262,0.9085,0.15553,0.1154,0.34254,0.5662616666666667,0.20448999999999998,0.9280333333333334,0.16628383882343767,410.377,3035417.07,5019365.87,-2.552772543937564,222.238,114.489
