,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
17000,1,1,1,0.988,0.978,0.877,0.845,0.796,0.845,0.542,0.534073,0.92469,0.85181,0.82469,0.1799,0.13034,0.33181,0.54054,0.21401666666666666,0.8670633333333333,0.14163474589586258,1205.47,8221159.0,14022947.5,-0.005547699859578301,750.966,269.229
17001,10,1,1,0.874,0.93,0.0,0.117,0.0,0.117,18.104,21.1993,0.92987,0.85104,0.83731,0.07078,0.05247,0.19627,0.4896233333333333,0.10650666666666668,0.87274,0.06262171359267087,242.999,1742603.8,3423927.51,-3.1806317012957046,200.508,79.3514
17002,100,1,1,0.874,0.93,0.0,0.115,0.0,0.115,18.78,22.8908,0.93328,0.85323,0.84104,0.05255,0.0295,0.19398,0.4839300000000001,0.09201,0.8758500000000001,0.06251894845627248,279.694,1883867.16,4227444.87,-8.242119614058272,159.05,85.0821
17003,1000,1,1,0.874,0.93,0.0,0.028,0.0,0.028,22.376,24.3188,0.92228,0.83697,0.82095,0.04831,0.03044,0.1282,0.46452499999999997,0.06898333333333333,0.8600666666666666,0.030756008039315927,152.918,1368723.99,2391777.97,-5.16759519486678,115.25,75.2392
17004,101,1,1,0.874,0.93,0.0,0.059,0.0,0.059,18.931,19.4689,0.92138,0.83707,0.81728,0.05075,0.02893,0.14665,0.46701,0.07544333333333335,0.8585766666666667,0.043874978448729965,274.013,2012304.62,3875036.05,-4.922936555838331,129.408,92.3802
17005,102,1,1,0.874,0.931,0.0,0.224,0.009,0.224,8.196,9.83814,0.92827,0.84491,0.82564,0.07931,0.05645,0.22184,0.49273666666666666,0.11920000000000001,0.8662733333333333,0.07436444418272005,273.955,1755145.66,3496255.3,-2.823147218492259,155.593,58.2048
17006,103,1,1,0.874,0.93,0.0,0.104,0.0,0.104,18.411,21.5702,0.93144,0.85329,0.84088,0.06647,0.04831,0.1903,0.4884483333333333,0.10169333333333334,0.8752033333333333,0.05940674922894687,202.144,1339374.16,2621367.8,-5.571177602813911,193.535,65.3371
17007,104,1,1,0.874,0.93,0.0,0.053,0.0,0.053,27.332,26.9186,0.92873,0.84033,0.82401,0.05805,0.02442,0.13965,0.46919833333333333,0.07404,0.8643566666666667,0.026878914867120334,239.665,2127069.27,4189620.03,-2.7503380590513147,133.919,74.6357
17008,105,1,1,0.874,0.93,0.0,0.163,0.004,0.163,14.915,15.1424,0.9239,0.84804,0.83218,0.06425,0.03853,0.19569,0.483765,0.09949000000000001,0.86804,0.06435555070638656,235.147,2228802.88,4309517.02,-2.3565702156966593,187.642,84.1037
17009,106,1,1,0.876,0.933,0.081,0.165,0.042,0.165,17.352,22.5122,0.92586,0.8422,0.82488,0.0472,0.02885,0.15809,0.47118000000000004,0.07804666666666667,0.8643133333333334,0.04527301255729981,185.679,1549602.37,2573242.28,-3.1766292488592307,73.572,61.5947
17010,107,1,1,0.886,0.937,0.198,0.222,0.128,0.222,5.714,6.13447,0.92465,0.85025,0.83458,0.06742,0.04628,0.19772,0.4868166666666667,0.10380666666666666,0.8698266666666666,0.06408846697304398,346.236,2193337.63,3536834.6,-1.3440698377412021,224.978,81.2612
17011,108,1,1,0.875,0.931,0.0,0.068,0.017,0.068,21.305,24.5567,0.93963,0.85156,0.84141,0.05265,0.03297,0.16879,0.48116833333333336,0.08480333333333334,0.8775333333333334,0.03770489264261414,83.872,1214778.88,2528741.6,-2.35483919119142,75.198,48.5964
17012,109,1,1,0.874,0.93,0.0,0.094,0.0,0.094,18.369,21.1965,0.93846,0.85214,0.83937,0.05254,0.03173,0.16912,0.48056000000000004,0.08446333333333333,0.8766566666666668,0.04667860113477218,129.371,1790247.45,3537010.37,-3.8168594397269793,123.097,68.5827
17013,11,1,1,0.874,0.93,0.0,0.097,0.0,0.097,15.633,19.9073,0.93741,0.85731,0.84505,0.05632,0.03225,0.19839,0.4877883333333333,0.09565333333333333,0.8799233333333333,0.054788016406200776,187.964,2503161.27,4733571.01,-4.383190033453952,166.106,83.6785
17014,110,1,1,0.874,0.932,0.0,0.133,0.017,0.133,28.405,35.2532,0.92695,0.84385,0.82775,0.04411,0.02236,0.14679,0.46863499999999997,0.07108666666666667,0.8661833333333333,0.045873420324278415,250.874,2310720.89,3945035.9,-8.720657152921085,130.608,88.8352
17015,111,1,1,0.875,0.931,0.02,0.165,0.014,0.165,14.494,18.9509,0.919,0.84124,0.82295,0.05067,0.02901,0.15604,0.4698183333333334,0.07857333333333334,0.8610633333333334,0.0482656364387367,216.531,1871449.65,4301592.92,-5.482111923941521,142.922,100.403
17016,112,1,1,0.874,0.931,0.01,0.158,0.013,0.158,12.879,16.0834,0.92394,0.84377,0.82899,0.04454,0.0199,0.15825,0.46989833333333336,0.07423,0.8655666666666667,0.039756348778610125,312.074,1911345.0,3513705.3,-2.0171623126345657,184.225,97.4862
17017,113,1,1,0.874,0.931,0.011,0.1,0.014,0.1,15.717,18.187,0.92887,0.84797,0.83537,0.04423,0.02097,0.1592,0.47276833333333335,0.07479999999999999,0.8707366666666667,0.036399599695869256,218.9,1124324.73,2344466.91,-3.4515568627479434,180.166,56.3149
17018,114,1,1,0.874,0.93,0.0,0.119,0.0,0.119,14.721,16.9986,0.9269,0.84473,0.82912,0.06395,0.04249,0.19317,0.48339333333333334,0.09987000000000001,0.8669166666666667,0.0607959259301424,221.229,1561740.71,3503051.59,-7.303996433508891,191.514,63.2623
17019,115,1,1,0.874,0.93,0.0,0.188,0.0,0.188,12.787,16.7483,0.92595,0.85039,0.83481,0.07331,0.0502,0.20544,0.4900166666666667,0.10965000000000001,0.8703833333333334,0.07280020551988856,397.631,2567320.34,4283622.03,-1.4950860218313482,152.063,102.776
17020,116,1,1,0.874,0.93,0.0,0.041,0.0,0.041,18.408,21.059,0.92423,0.84128,0.82423,0.06161,0.03318,0.17249,0.47617,0.08909333333333334,0.8632466666666666,0.04971699210582301,222.618,1534422.08,3689144.44,-5.089684351500681,53.026,94.9363
17021,117,1,1,0.876,0.933,0.083,0.143,0.048,0.143,12.184,13.7797,0.9259,0.84732,0.83227,0.05662,0.03825,0.16556,0.47765333333333326,0.08681,0.8684966666666666,0.05084719733567908,143.748,1177305.8,2022350.67,-6.103856207596841,57.242,49.5001
17022,118,1,1,0.874,0.931,0.0,0.244,0.016,0.244,18.216,19.2379,0.92856,0.84655,0.83017,0.06233,0.0373,0.18746,0.48206166666666667,0.09569666666666667,0.8684266666666667,0.06019234232953749,300.46,2225034.81,3901186.52,-6.503017633745283,169.665,81.104
17023,119,1,1,0.874,0.93,0.0,0.053,0.0,0.053,16.019,18.7212,0.93435,0.85313,0.84101,0.05428,0.04316,0.17581,0.48362333333333335,0.09108333333333334,0.8761633333333334,0.05172729702899233,62.868,672704.52,1636262.13,-5.961423010367801,89.036,47.2825
17024,12,1,1,0.875,0.932,0.027,0.178,0.028,0.178,18.482,21.6553,0.92602,0.84195,0.82531,0.07057,0.03938,0.19273,0.48266,0.10089333333333333,0.8644266666666667,0.059068702359218156,331.367,2515784.95,5587508.14,-4.236730646532128,182.763,132.808
17025,120,1,1,0.874,0.93,0.0,0.139,0.0,0.139,18.792,21.3221,0.93185,0.85421,0.84035,0.07903,0.06539,0.21008,0.4968183333333333,0.11816666666666666,0.87547,0.07018505323212594,304.918,2061752.6,3478802.82,-7.21227149867496,191.675,74.3892
17026,121,1,1,0.874,0.93,0.0,0.061,0.0,0.061,16.17,21.2751,0.92602,0.85169,0.83745,0.06094,0.04187,0.18578,0.4839583333333333,0.09619666666666667,0.8717199999999999,0.056802972801961005,135.543,2172336.35,4649879.87,-4.750929468425248,92.473,105.467
17027,122,1,1,0.875,0.933,0.0,0.194,0.052,0.194,7.345,9.07252,0.92314,0.84545,0.82938,0.06432,0.03785,0.19857,0.48311833333333337,0.10024666666666666,0.86599,0.06892171466024591,295.299,3142416.59,4860938.67,-0.2627447773081048,192.887,92.2657
