,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
18000,1,2,1,0.726,0.818,0.466,0.764,0.384,0.0535,6.431,14.7121,0.86849,0.75226,0.69251,0.41556,0.37764,0.52564,0.60535,0.43961333333333336,0.7710866666666667,0.1350803768262267,838.031,1500952.77,2803544.85,-5.989196643700444,140.475,78.4097
18001,10,2,1,0.726,0.818,0.458,0.73,0.381,0.124,7.286,10.9124,0.88221,0.77849,0.71161,0.4286,0.39874,0.52832,0.6213283333333334,0.4518866666666666,0.7907700000000001,0.14487774956505745,871.236,2131829.87,3619902.25,-5.754187402469897,185.169,96.301
18002,100,2,1,0.726,0.818,0.506,0.712,0.392,0.1715,10.601,11.4695,0.8758,0.75136,0.69463,0.4226,0.40701,0.50336,0.6091266666666667,0.44432333333333335,0.77393,0.11932401172816753,758.207,1253972.07,2480556.62,-2.7503785704373245,74.514,65.0403
18003,1000,2,1,0.726,0.822,0.466,0.671,0.399,0.1315,7.979,14.5312,0.8847,0.74244,0.68956,0.41133,0.39986,0.51638,0.6073783333333334,0.4425233333333333,0.7722333333333333,0.1550697520840913,873.479,1888564.69,3475948.26,-4.225086187294931,200.173,82.6513
18004,101,2,1,0.726,0.818,0.451,0.712,0.375,0.098,11.418,12.3154,0.86305,0.72222,0.66319,0.36948,0.33421,0.49597,0.5746866666666666,0.39988666666666667,0.7494866666666665,0.09023147067055107,793.469,1259862.83,2689020.78,-4.097750763994927,139.307,79.2429
18005,102,2,1,0.726,0.819,0.492,0.736,0.385,0.14450000000000002,17.787,15.5759,0.87313,0.74744,0.69517,0.38088,0.35796,0.51266,0.5945400000000001,0.4171666666666667,0.7719133333333333,0.10580456804018468,822.129,1408852.6,2431117.77,-2.137465716291146,188.94,76.7178
18006,103,2,1,0.726,0.82,0.456,0.62,0.385,0.1275,12.486,13.2706,0.87422,0.74262,0.69498,0.3856,0.34717,0.47988,0.5874116666666667,0.40421666666666667,0.7706066666666667,0.1386987693607807,844.655,1527774.31,2847836.9,-4.3744766364408845,181.717,81.9681
18007,104,2,1,0.726,0.824,0.489,0.584,0.406,0.20600000000000002,8.1,8.84453,0.87554,0.74836,0.69822,0.40425,0.3567,0.48885,0.59532,0.4166,0.77404,0.08217403960879893,821.014,1729584.14,2959129.88,-5.423669182683133,113.416,70.0921
18008,105,2,1,0.726,0.818,0.454,0.826,0.381,0.345,9.673,10.4517,0.87551,0.75449,0.69282,0.42327,0.38711,0.56334,0.61609,0.4579066666666667,0.7742733333333334,0.14702349998988212,887.253,1725382.21,3239515.6,-4.415193375148868,163.243,101.695
18009,106,2,1,0.726,0.829,0.443,0.789,0.431,0.183,11.359,15.2349,0.88138,0.74517,0.68318,0.41733,0.3538,0.51618,0.5995066666666666,0.42910333333333334,0.76991,0.13440435836091635,893.436,1995193.16,3959898.37,-4.524273977267976,141.996,129.723
