,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,2,1,A.E,0.1275669103488326,0.283590121841083,95.172,717175.12,1205221.9,-5.509748916027406,89.636,29.0867,0.0
1,1,2,1,A.F,0.14259384330362082,0.2911035883184771,126.558,783777.65,1598322.95,-6.468644371373482,67.802,49.3229,0.0
2,10,2,1,A.E,0.12574022836051882,0.2888134475135927,131.379,830735.21,1426754.71,-6.536499091809726,107.783,32.2773,0.0
3,10,2,1,A.F,0.1640152707695961,0.3079509687181313,162.805,1301094.66,2193147.54,-4.971875713130068,90.107,64.0238,0.0
4,100,2,1,A.E,0.1025767531245947,0.27345004322896405,,72560.48,103117.55,-0.03247449182073412,19.517,3.77663,0.0
5,100,2,1,A.F,0.13607127033174038,0.2901973018325369,141.68,1181411.59,2377439.07,-5.468282649053915,76.609,61.2637,0.035
6,1000,2,1,A.E,0.17500334493815897,0.30876333913574616,218.238,1358344.06,2412142.19,-6.024568552309073,199.418,60.7949,0.0
7,1000,2,1,A.F,0.13513615923002362,0.28882974628167846,97.212,530220.63,1063806.08,-2.42560382228079,66.278,21.8564,0.0
8,101,2,1,A.E,0.10153129054233433,0.2507089786045005,157.91,994123.62,2202752.52,-7.7108426585087955,129.189,74.8645,0.0
9,101,2,1,A.F,0.07893165079876781,0.23940915873271723,30.853,265739.21,486268.26,-0.48465886948105896,92.873,4.37833,0.0
10,102,2,1,A.E,0.11376482229679821,0.26546574448173244,138.22,959074.42,1785160.12,-3.529744631691897,115.313,56.7027,0.0
11,102,2,1,A.F,0.09784431378357113,0.2575054902251189,78.327,449778.18,645957.65,-0.7451868008903951,105.005,20.0151,0.0
12,103,2,1,A.E,0.14971112925559282,0.27696389796112975,169.097,767229.69,1291210.73,-3.6242124747721305,95.248,35.4971,0.0
13,103,2,1,A.F,0.1276864094659686,0.26595153806631766,126.408,760544.61,1556626.17,-5.124740798109638,109.865,46.471,0.0
14,104,2,1,A.E,0.08406153926625848,0.2503307696331293,112.426,1046756.91,1570758.83,-5.826875356923808,119.682,38.5509,0.0
15,104,2,1,A.F,0.08028653995133937,0.2484432699756697,102.388,682827.24,1388371.05,-5.020463008442458,77.098,31.5413,0.0
16,105,2,1,A.E,0.1461086655035615,0.3020076660851141,94.596,664041.77,1269662.0,-4.45091421801861,154.988,44.908,0.0
17,105,2,1,A.F,0.14793833447620272,0.3029225005714347,181.308,1061340.44,1969853.6,-4.3794725322791255,138.622,56.7869,0.0
18,106,2,1,A.E,0.1438783273100853,0.2864908303217093,165.751,1261306.31,2513351.74,-5.070052614851438,104.434,87.7221,0.0
19,106,2,1,A.F,0.12493038941174744,0.2770168613725404,139.531,733886.85,1446546.63,-3.978495339684513,126.391,42.001,0.053
20,107,2,1,A.E,0.15478356927633286,0.2929534513048331,148.831,828397.05,1565062.98,-7.051437214557444,117.123,39.0716,0.0
21,107,2,1,A.F,0.13546374328434468,0.28329353830883897,95.245,788959.07,1694188.66,-6.040670418671985,149.645,45.0788,0.0
22,108,2,1,A.E,0.1954247746616602,0.3163073873308301,161.455,1231473.69,2368150.67,-4.886842417903046,103.772,60.3188,0.065
