,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
19000,1,4,1,0.652,0.888,0.493,0.787,0.46,0.09525,9.474,13.4558,0.89667,0.79581,0.73775,0.43301,0.42838,0.58666,0.64638,0.4826833333333333,0.8100766666666667,0.11791647911571394,861.55,2411013.68,4824224.52,-5.498462876858028,81.989,83.9251
19001,10,4,1,0.648,0.887,0.539,0.75,0.45,0.05175,9.379,13.5751,0.89791,0.7881,0.73669,0.42358,0.44636,0.57036,0.6438333333333333,0.48009999999999997,0.8075666666666667,0.09557353333239006,834.284,1874710.24,3422482.84,-2.729896494644368,103.08,61.4609
19002,100,4,1,0.648,0.888,0.538,0.789,0.458,0.08525,9.068,18.3672,0.90429,0.80103,0.74649,0.41731,0.42861,0.54506,0.6404650000000001,0.46366,0.81727,0.10782778134453112,771.447,1637040.97,3339540.34,-3.6320807544696185,66.573,63.0528
19003,1000,4,1,0.648,0.887,0.515,0.477,0.45,0.06425,18.757,21.5596,0.89785,0.80128,0.75758,0.39679,0.38175,0.50603,0.6235466666666667,0.42819,0.8189033333333334,0.09799970275101562,807.741,1557614.74,3267842.35,-1.0724432520776168,120.973,68.9222
19004,101,4,1,0.648,0.888,0.523,0.688,0.458,0.075,9.899,18.3305,0.89632,0.78674,0.73654,0.39776,0.37938,0.53551,0.6220416666666667,0.43755000000000005,0.8065333333333333,0.09519643085817127,853.431,1927018.7,3728497.94,-3.635426294362484,36.771,42.6652
19005,102,4,1,0.65,0.891,0.527,0.707,0.475,0.15300000000000002,10.7,14.6772,0.9061,0.80394,0.76518,0.3955,0.40358,0.53095,0.6342083333333334,0.44334333333333337,0.8250733333333334,0.09331397295172793,829.522,1296152.61,2652716.69,-3.395548474025072,70.122,81.4224
19006,103,4,1,0.648,0.89,0.56,0.794,0.461,0.12625,12.287,17.0706,0.90402,0.79475,0.74336,0.3961,0.41558,0.54971,0.63392,0.4537966666666667,0.8140433333333333,0.07782510741963052,866.414,1660471.06,3086935.49,-4.010776788173804,123.585,52.5083
19007,104,4,1,0.651,0.887,0.536,0.671,0.447,0.0455,9.958,16.9281,0.90102,0.78284,0.73087,0.37195,0.38462,0.51759,0.614815,0.42472,0.80491,0.05976925817252171,761.504,1898745.47,3576951.09,-2.174022775728478,75.636,56.9393
19008,105,4,1,0.648,0.893,0.555,0.658,0.481,0.1235,9.605,10.6785,0.90204,0.79587,0.75261,0.39625,0.41224,0.52498,0.630665,0.44449,0.81684,0.07808789539897892,701.593,1423039.96,3050925.61,-1.8558686419834174,43.45,51.3106
19009,106,4,1,0.673,0.907,0.75,0.838,0.606,0.56525,4.63,5.2512,0.91141,0.81472,0.77244,0.4254,0.43048,0.60009,0.65909,0.48532333333333333,0.8328566666666667,0.17168525010347369,925.84,2399509.29,4503025.78,-2.0040196965582493,203.406,111.948
19010,107,4,1,0.649,0.889,0.545,0.812,0.468,0.0345,10.413,16.354,0.89522,0.79665,0.74148,0.42883,0.44779,0.55799,0.64466,0.47820333333333337,0.8111166666666666,0.07679015661184772,839.524,1650164.97,3042772.5,-3.8221892461434077,90.813,39.5017
19011,108,4,1,0.648,0.887,0.507,0.435,0.441,0.052500000000000005,20.498,21.7034,0.89953,0.80015,0.75892,0.40936,0.41684,0.51826,0.6338433333333333,0.44815333333333335,0.8195333333333333,0.10750197495799511,840.071,1378890.22,2715211.78,-1.7503056233255612,115.653,55.0132
19012,109,4,1,0.652,0.887,0.556,0.708,0.453,0.1375,9.753,18.8545,0.89813,0.79254,0.7474,0.41483,0.41845,0.53798,0.6348883333333333,0.45708666666666664,0.8126899999999999,0.095469852204648,808.945,1728766.74,3073964.69,-1.7793098169889805,88.737,33.9697
19013,11,4,1,0.649,0.89,0.526,0.855,0.464,0.10900000000000001,8.97,12.7839,0.90714,0.80751,0.76346,0.42304,0.4147,0.57007,0.6476533333333333,0.46927,0.8260366666666666,0.12733670352754417,904.45,2506853.16,4620090.19,-2.394860317775972,182.218,85.8288
19014,110,4,1,0.648,0.887,0.517,0.598,0.452,0.03975,12.409,16.1358,0.89484,0.7852,0.73335,0.38396,0.37828,0.49886,0.6124149999999999,0.4203666666666667,0.8044633333333332,0.05087234833384476,795.572,1765622.79,3530001.72,-3.5922548864072836,113.979,60.9586
19015,111,4,1,0.669,0.904,0.74,0.8,0.586,0.67825,5.69,6.82096,0.9145,0.82369,0.78036,0.43661,0.4389,0.58839,0.6637416666666667,0.48796666666666666,0.8395166666666666,0.1741639266392061,870.472,2505933.1,4354248.04,-1.4098150333945507,163.32,101.85
19016,112,4,1,0.648,0.887,0.553,0.714,0.447,0.061,10.56,15.5316,0.9019,0.78975,0.74536,0.38791,0.41449,0.51086,0.625045,0.4377533333333334,0.8123366666666666,0.07634778196218879,833.284,1286602.35,2708376.24,-1.0780755358729275,55.719,45.9319
19017,113,4,1,0.68,0.913,0.814,0.864,0.641,0.6112500000000001,4.195,4.71569,0.91252,0.82059,0.77831,0.43787,0.45317,0.61201,0.6690783333333332,0.5010166666666667,0.8371399999999999,0.1866181860677898,894.551,2732449.5,4549283.56,-1.4481313151186666,201.346,95.0108
19018,114,4,1,0.68,0.912,0.814,0.879,0.635,0.6715,4.152,4.65482,0.9137,0.82164,0.77818,0.44241,0.45629,0.61552,0.6712899999999999,0.50474,0.8378399999999999,0.18474481666150191,902.263,2525560.81,4542454.15,-1.3404019106748777,212.625,99.9258
19019,115,4,1,0.652,0.887,0.533,0.476,0.448,0.13874999999999998,21.002,20.921,0.90451,0.80344,0.76181,0.40267,0.40837,0.51306,0.6323099999999999,0.4413666666666667,0.8232533333333333,0.07630170716050391,823.847,1214576.06,2658210.58,-2.2776513990337377,86.214,62.5202
19020,116,4,1,0.648,0.887,0.51,0.817,0.454,0.07,9.715,13.8631,0.8982,0.79354,0.73439,0.44778,0.445,0.58355,0.65041,0.49211000000000005,0.80871,0.11509934309724486,843.221,2181818.27,4354696.14,-3.489362478660991,113.688,74.898
19021,117,4,1,0.648,0.887,0.502,0.784,0.456,0.06775,9.612,13.7029,0.89772,0.79304,0.73234,0.45423,0.44958,0.59105,0.6529933333333333,0.4982866666666667,0.8077,0.11839793864589106,859.762,2115492.06,4404417.46,-3.748459025539575,133.541,75.1244
19022,118,4,1,0.648,0.887,0.493,0.444,0.443,0.17275,22.267,23.348,0.90603,0.7923,0.75265,0.38996,0.35938,0.51265,0.6188283333333333,0.42066333333333333,0.8169933333333333,0.08068718840368093,809.688,1896661.42,3595172.89,-2.1104699791983554,105.38,75.9454
19023,119,4,1,0.648,0.886,0.553,0.494,0.441,0.12475,23.641,25.7478,0.89995,0.79255,0.75017,0.36714,0.37194,0.49204,0.6122983333333333,0.4103733333333333,0.8142233333333332,0.05570738343873624,787.134,1103406.32,2299442.08,-1.9434424201442384,90.316,49.2656
19024,12,4,1,0.648,0.887,0.488,0.73,0.448,0.049999999999999996,10.618,15.8442,0.89545,0.77586,0.71861,0.37471,0.378,0.51402,0.6094416666666667,0.4222433333333333,0.79664,0.07071151878308228,818.709,2196279.65,4483210.43,-3.4514027026667056,105.263,79.713
19025,120,4,1,0.653,0.888,0.551,0.732,0.464,0.09699999999999999,10.239,16.1072,0.90022,0.78951,0.74057,0.38925,0.41152,0.52601,0.62618,0.44225999999999993,0.8100999999999999,0.09471850223490037,911.373,1717291.7,3616762.5,-1.2815879890125021,117.978,60.2408
19026,121,4,1,0.655,0.888,0.523,0.68,0.46,0.09125,9.81,13.072,0.89519,0.78388,0.73238,0.39949,0.40163,0.51695,0.6215866666666667,0.4393566666666667,0.8038166666666667,0.05207813859500069,828.214,2251119.85,3989710.66,-3.0421556159258802,77.314,48.9405
19027,122,4,1,0.651,0.888,0.525,0.685,0.462,0.125,10.423,14.0841,0.90016,0.79026,0.74166,0.40076,0.40368,0.51768,0.6257,0.44070666666666664,0.8106933333333334,0.04566396585238786,780.204,1770388.93,3266855.61,-1.6994600553666295,107.682,51.4723
19028,123,4,1,0.65,0.888,0.545,0.689,0.451,0.02525,9.581,17.7206,0.8942,0.78524,0.73227,0.41093,0.42588,0.53098,0.6299166666666667,0.45593,0.8039033333333334,0.07870048145735685,798.942,1587766.3,2854868.83,-3.4671660627704823,56.748,51.1954
19029,124,4,1,0.65,0.887,0.556,0.699,0.46,0.06625,11.143,14.2478,0.89688,0.78604,0.73272,0.40125,0.4131,0.53135,0.62689,0.4485666666666666,0.8052133333333332,0.05140034455309888,771.269,1594234.04,3355567.96,-2.3537794019040965,85.834,36.6867
19030,125,4,1,0.649,0.893,0.537,0.607,0.486,0.22550000000000003,10.607,12.295,0.89019,0.78491,0.73472,0.42017,0.39227,0.55221,0.6290783333333333,0.4548833333333333,0.8032733333333333,0.1315572729334235,946.186,2639768.69,5559563.3,-3.530893222564516,113.619,94.2844
19031,126,4,1,0.648,0.891,0.512,0.667,0.464,0.1465,11.012,18.2442,0.90223,0.79701,0.75286,0.41004,0.42461,0.54224,0.638165,0.45896333333333333,0.8173666666666667,0.10883267883521815,767.561,1730457.62,3746082.46,-1.933801723367848,83.278,74.2463
19032,127,4,1,0.648,0.89,0.488,0.646,0.477,0.231,11.803,14.0005,0.90138,0.79786,0.75423,0.416,0.3824,0.53399,0.6309766666666667,0.44412999999999997,0.8178233333333335,0.11082141194104526,949.61,2113705.21,4640031.41,-2.766521960374276,63.573,100.335
19033,128,4,1,0.648,0.892,0.581,0.765,0.479,0.1755,7.781,9.52265,0.90189,0.7961,0.74941,0.40847,0.4286,0.54641,0.6384799999999999,0.46116,0.8158,0.0846621601250566,810.01,1166689.16,2563106.53,-1.8477514629725509,80.36,57.5939
19034,129,4,1,0.659,0.9,0.523,0.654,0.531,0.2395,6.598,17.4759,0.90733,0.81429,0.77186,0.39751,0.38424,0.51243,0.6312766666666667,0.43139333333333335,0.83116,0.09859343785501551,836.932,2021097.91,3947523.02,-1.1210725942646682,129.282,84.7106
19035,13,4,1,0.648,0.886,0.545,0.488,0.441,0.025,23.725,27.6792,0.89847,0.79921,0.75877,0.39083,0.41324,0.50781,0.628055,0.4372933333333333,0.8188166666666667,0.06785209067747928,770.83,797400.92,1950857.65,-0.820852576165655,93.763,35.233
