,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,4,1,A.C,0.07923441088278196,0.28095887210805764,,-0.0,-0.0,,6.802,-0.0,0.0
1,1,4,1,A.D,0.08045947740902193,0.28157140537117764,,15272.95,9996.85,,26.987,-0.0,0.0
2,1,4,1,A.E,0.19405554905533792,0.3383694411943356,113.303,893983.91,1548950.88,-3.5398260353375313,81.3,18.1822,0.0
3,1,4,1,A.F,,,118.022,1501756.82,3265276.79,-7.457099718378524,76.571,65.7429,0.0
4,10,4,1,A.C,0.07262318848352152,0.27636159424176077,,2985.89,4005.46,,3.121,-0.0,0.0
5,10,4,1,A.D,0.06820392883601017,0.27415196441800505,7.667,16705.03,12872.53,-0.11730212538512307,20.413,-0.0,0.0
6,10,4,1,A.E,0.14589348267763852,0.3129967413388193,88.464,795770.45,1336299.94,-4.18443261847607,56.584,8.17758,0.0
7,10,4,1,A.F,,,75.162,1059248.87,2069304.92,-3.88795474007191,54.555,53.2834,0.0
8,100,4,1,A.F,,,,-0.0,-0.0,,-0.0,-0.0,0.0
9,100,4,1,A.E,0.05281694280565716,0.2582384714028286,,-0.0,-0.0,,-0.0,-0.0,0.0
10,100,4,1,A.D,0.1322469032369554,0.2979534516184777,39.976,386851.36,647613.48,-0.6355787618179085,27.883,1.54632,0.077
11,100,4,1,A.C,0.13841949799098074,0.30103974899549035,68.278,1250189.61,2691926.86,-6.628582747121328,76.527,61.5065,0.0
12,1000,4,1,A.F,,,39.814,323942.89,545341.36,-0.01520761584826413,71.247,8.69032,0.0
13,1000,4,1,A.E,0.10306517258286477,0.2656275862914324,51.197,664020.45,1033088.09,-1.5601956458842048,67.398,23.008,0.0
14,1000,4,1,A.D,0.08108076234348119,0.2546353811717406,0.013,152302.39,408139.61,-0.4734001749971268,34.904,12.6097,0.0
15,1000,4,1,A.C,0.10985317332670091,0.26902158666335046,65.988,417349.01,1281273.3,-2.2409695715808713,44.059,24.6142,0.067
