,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
20000,1,1,1,0.705,0.844,0.089,0.377,0.089,0.377,14.374,15.2325,0.85479,0.68617,0.64113,0.12264,0.05953,0.27167,0.43932166666666667,0.15128,0.7273633333333334,0.10559640089049936,204.788,1271375.69,2982509.5,-4.775133456730675,103.985,91.4583
20001,10,1,1,0.698,0.837,0.0,0.143,0.022,0.143,16.098,15.6841,0.86268,0.6835,0.6418,0.10543,0.04921,0.24461,0.431205,0.13308333333333333,0.7293266666666667,0.07483593217330053,217.618,2007508.83,4677391.32,-4.082417179002974,192.463,108.253
20002,100,1,1,0.698,0.835,0.0,0.19,0.002,0.19,15.82,17.3076,0.8719,0.70074,0.66143,0.16521,0.10873,0.3027,0.46845166666666666,0.19221333333333335,0.74469,0.1257859255420044,104.526,1733453.88,3486621.18,-4.666683716094672,122.208,54.9933
20003,1000,1,1,0.698,0.835,0.0,0.042,0.0,0.042,19.487,18.6281,0.8675,0.69755,0.66311,0.11123,0.05487,0.22103,0.4358816666666666,0.12904333333333334,0.7427199999999999,0.059780208772281185,137.86,1332166.74,2582283.48,-5.299042948123434,49.555,50.2139
20004,101,1,1,0.698,0.835,0.0,0.048,0.0,0.048,13.784,15.8239,0.85896,0.68038,0.64057,0.09825,0.04417,0.21869,0.42350333333333334,0.12036999999999999,0.7266366666666667,0.06195792223152239,189.985,1616840.29,2340394.22,-6.474555475020761,107.574,64.4301
20005,102,1,1,0.7,0.839,0.018,0.242,0.055,0.242,19.224,20.1527,0.86001,0.70283,0.65708,0.12639,0.07067,0.26032,0.4462166666666667,0.15246,0.7399733333333334,0.08892373159760611,293.955,2356515.78,4167026.92,-1.599124750316947,169.539,105.755
20006,103,1,1,0.701,0.836,0.0,0.4,0.021,0.4,17.938,18.5945,0.86139,0.69312,0.64798,0.11462,0.06083,0.28196,0.4433166666666667,0.15247,0.7341633333333334,0.09244539161445572,221.257,2383881.7,4250417.94,-4.036439392372203,187.228,117.327
20007,104,1,1,0.698,0.835,0.0,0.034,0.0,0.034,21.175,20.5441,0.86808,0.69748,0.65816,0.13757,0.06747,0.25653,0.4475483333333333,0.15385666666666664,0.74124,0.07992492612684146,399.334,2567920.04,4767369.37,-2.7129136395111417,161.35,110.16
20008,105,1,1,0.698,0.835,0.0,0.094,0.008,0.094,17.665,18.8502,0.86562,0.67818,0.63777,0.14547,0.09671,0.28294,0.45111499999999993,0.17504,0.7271899999999999,0.10011434541083872,247.739,1893936.66,3092299.89,-3.6525670214802908,145.823,69.3307
20009,106,1,1,0.698,0.837,0.021,0.273,0.058,0.273,11.507,13.4067,0.86732,0.69511,0.65233,0.12497,0.06053,0.2278,0.43801,0.13776666666666668,0.7382533333333333,0.07510827871738002,130.323,1647263.09,3349057.82,-3.7594922666170656,112.261,66.2217
20010,107,1,1,0.7,0.842,0.088,0.19,0.075,0.19,19.108,18.4907,0.86556,0.69696,0.65763,0.12928,0.0681,0.23291,0.44174,0.14343,0.7400500000000001,0.08121959860436617,276.739,2415833.32,3824286.3,-8.78741645600761,157.287,89.1119
20011,108,1,1,0.698,0.835,0.0,0.09,0.006,0.09,18.807,16.5319,0.86592,0.68282,0.64155,0.13459,0.06164,0.25619,0.4404516666666667,0.15080666666666664,0.7300966666666667,0.08426136299967765,198.017,1847400.56,3004989.91,-5.438553228299235,105.394,75.541
20012,109,1,1,0.703,0.838,0.0,0.113,0.053,0.113,14.49,15.1805,0.86354,0.69252,0.65114,0.10835,0.04566,0.2247,0.43098500000000006,0.12623666666666666,0.7357333333333335,0.06290666159475222,263.825,1695436.3,2947171.77,-7.872560773617275,120.103,71.1413
20013,11,1,1,0.705,0.845,0.092,0.407,0.146,0.407,12.01,12.8662,0.86221,0.69524,0.65369,0.12396,0.06794,0.27125,0.445715,0.15438333333333334,0.7370466666666666,0.10204717088490724,226.625,2138088.78,3704400.32,-2.9225847473253563,169.8,99.0007
20014,110,1,1,0.698,0.837,0.0,0.136,0.02,0.136,20.848,19.7593,0.86589,0.68476,0.64185,0.12443,0.06356,0.23723,0.43628666666666666,0.14174,0.7308333333333333,0.06772380226466339,204.412,1289758.96,2453385.3,-7.992626104368103,125.151,54.8154
20015,111,1,1,0.704,0.843,0.058,0.3,0.103,0.3,13.618,13.955,0.87543,0.71174,0.6683,0.15803,0.09484,0.29217,0.4667516666666666,0.18167999999999998,0.7518233333333333,0.10907950857654213,145.367,2182152.86,3739392.12,-8.463043330359865,132.068,92.4224
20016,112,1,1,0.703,0.838,0.0,0.281,0.068,0.281,10.748,12.7204,0.8785,0.70754,0.67024,0.11359,0.05481,0.23736,0.4436733333333333,0.13525333333333334,0.7520933333333333,0.07566405934048816,149.116,1930459.87,3798665.12,-5.822889732453363,105.443,69.515
20017,113,1,1,0.703,0.846,0.163,0.42,0.108,0.42,18.491,19.5623,0.86549,0.68923,0.64136,0.12215,0.05949,0.25528,0.43883333333333335,0.14564,0.7320266666666667,0.08388936382252724,286.135,2155131.22,3897195.75,-2.4089980759303993,180.147,106.242
