,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
21000,1,1,2,0.849,0.944,0.694,0.701,0.596,0.1665,9.718,16.598,0.96154,0.92408,0.91413,0.44506,0.55315,0.56673,0.7274483333333334,0.5216466666666667,0.93325,0.03604411431266642,1692.86,2411604.05,5561970.44,-4.3465913287548705,100.863,107.86
21001,10,1,2,0.849,0.944,0.708,0.718,0.588,0.1665,12.19,20.8774,0.95935,0.92412,0.91489,0.44426,0.57349,0.5638,0.7299849999999999,0.5271833333333333,0.9327866666666665,0.01834984806152468,1698.33,2942701.13,5685165.79,-3.0318053944133116,171.496,129.821
21002,100,1,2,0.849,0.943,0.761,0.665,0.574,0.068,10.848,19.2208,0.95783,0.9209,0.91085,0.44378,0.56227,0.5469,0.723755,0.51765,0.92986,0.016992017816068048,1571.32,1269166.41,2619232.58,-6.030659833762608,44.68,39.6885
21003,1000,1,2,0.849,0.943,0.73,0.648,0.575,0.058,9.629,17.6533,0.96136,0.92122,0.91033,0.45006,0.56142,0.55045,0.7258066666666667,0.5206433333333335,0.93097,0.015061703498554135,1734.54,1516373.68,3084620.94,-1.4438057491465885,99.994,65.5229
21004,101,1,2,0.849,0.943,0.726,0.677,0.574,0.076,9.115,16.4092,0.95867,0.91739,0.9059,0.44431,0.55397,0.5461,0.7210566666666667,0.5147933333333333,0.92732,0.015993355776091577,1559.8,2040501.75,3825675.89,-3.522032946178274,70.233,82.5895
21005,102,1,2,0.84,0.943,0.736,0.577,0.574,0.0,12.902,41.4084,0.95649,0.92377,0.91377,0.44715,0.56999,0.55188,0.7271749999999999,0.5230066666666666,0.9313433333333333,0.015170349525015694,1658.58,1162793.56,2700441.98,-8.758602299592383,83.804,45.4829
21006,103,1,2,0.849,0.945,0.73,0.74,0.601,0.1915,9.349,16.6241,0.95925,0.92175,0.90996,0.44784,0.55996,0.56352,0.7270466666666666,0.5237733333333333,0.93032,0.026401014121710593,1728.94,1549277.53,3672762.15,-7.5154106321310366,100.242,65.2899
21007,104,1,2,0.85,0.944,0.747,0.695,0.581,0.112,8.8,16.0979,0.96124,0.92155,0.91163,0.44592,0.56566,0.54196,0.7246600000000001,0.5178466666666667,0.9314733333333334,0.01333249333777554,1702.56,1800059.3,3121038.75,-5.381215399149128,172.564,54.2305
21008,105,1,2,0.849,0.944,0.712,0.637,0.598,0.1,10.988,18.7731,0.96009,0.91978,0.90854,0.44069,0.54707,0.546,0.7203616666666666,0.5112533333333333,0.9294699999999999,0.021628793308898348,1871.55,2877831.14,5371234.18,-4.3617577202095195,197.164,93.4589
21009,106,1,2,0.84,0.943,0.746,0.625,0.574,0.0,10.751,33.2073,0.9599,0.92784,0.91843,0.43529,0.57165,0.54604,0.726525,0.51766,0.9353899999999999,0.014795319539508677,1575.2,952601.65,2147526.45,-4.847101163223046,19.983,32.2167
21010,107,1,2,0.84,0.943,0.71,0.612,0.574,0.0,8.373,33.6255,0.95871,0.92705,0.91736,0.44301,0.56018,0.55054,0.7261416666666667,0.5179100000000001,0.9343733333333333,0.019892790109706723,1738.41,1361083.2,3390586.19,-1.3241387456203724,96.59,70.3683
21011,108,1,2,0.841,0.94,0.684,0.662,0.579,0.173,9.238,31.3822,0.95132,0.91532,0.90008,0.44492,0.54043,0.54869,0.7167933333333334,0.5113466666666666,0.9222400000000001,0.02900724498563356,1887.68,2881415.57,5770872.53,-2.6841568979358073,184.842,118.413
21012,109,1,2,0.849,0.944,0.72,0.67,0.584,0.1105,9.156,15.4582,0.95821,0.92188,0.91175,0.4438,0.56518,0.55288,0.7256166666666667,0.52062,0.9306133333333334,0.015166150084584764,1731.11,1704763.45,3891733.33,-6.783949421207501,134.093,63.6981
21013,11,1,2,0.849,0.943,0.728,0.683,0.577,0.1355,7.537,13.2422,0.96233,0.92234,0.91185,0.44847,0.55217,0.55896,0.7260200000000001,0.5198666666666667,0.9321733333333334,0.030552802355709226,1644.83,2014477.54,3956890.74,-6.226588736295262,103.938,64.8768
21014,110,1,2,0.849,0.944,0.742,0.629,0.579,0.057,10.856,20.3497,0.95892,0.92125,0.91106,0.44085,0.5643,0.53757,0.722325,0.5142399999999999,0.9304100000000001,0.009792421676322256,1738.19,1717197.81,3310210.89,-7.885631329141689,179.274,54.6559
21015,111,1,2,0.849,0.943,0.722,0.703,0.577,0.143,12.789,21.517,0.96064,0.92473,0.91579,0.44355,0.57198,0.55936,0.7293416666666667,0.5249633333333333,0.93372,0.015226640493751852,1663.31,2107939.33,4124972.2,-4.188969257882425,62.273,77.6272
21016,112,1,2,0.849,0.944,0.733,0.683,0.589,0.127,10.941,19.11,0.96197,0.9245,0.91542,0.44532,0.56433,0.56011,0.7286083333333333,0.5232533333333332,0.9339633333333334,0.02262748526427135,1672.88,1692176.83,3805621.74,-5.317912691839131,79.299,80.6652
21017,113,1,2,0.849,0.944,0.681,0.682,0.587,0.1645,7.91,13.5959,0.95987,0.92525,0.91318,0.45011,0.5387,0.55961,0.7244533333333334,0.51614,0.9327666666666667,0.041094316050658164,1876.57,3004754.69,6611020.7,-3.780077820524305,161.796,120.583
21018,114,1,2,0.84,0.943,0.702,0.527,0.574,0.0,10.56,39.6451,0.95765,0.91996,0.9082,0.44487,0.54103,0.54074,0.7187416666666666,0.50888,0.9286033333333333,0.0219094386418328,1669.12,2145114.54,4430921.92,-9.12445343304813,122.715,68.1051
21019,115,1,2,0.849,0.943,0.73,0.623,0.576,0.0405,9.653,17.5813,0.96032,0.9215,0.91138,0.43893,0.5574,0.53833,0.72131,0.5115533333333334,0.9310666666666666,0.01033833613939357,1693.35,1777767.9,3688792.65,-8.443524052929076,188.273,56.7291
21020,116,1,2,0.841,0.943,0.741,0.635,0.574,0.0,10.727,30.9689,0.95935,0.92572,0.91588,0.4362,0.56321,0.5438,0.7240266666666666,0.5144033333333332,0.9336500000000001,0.012075660360983892,1672.56,1097058.25,2509289.63,-3.0368105946205373,106.261,53.5898
21021,117,1,2,0.849,0.944,0.686,0.67,0.6,0.1435,13.035,22.1377,0.9606,0.92464,0.91553,0.44166,0.53864,0.55085,0.7219866666666667,0.5103833333333333,0.93359,0.019534338491690298,1876.41,2953420.35,6843416.89,-3.685154807262303,146.81,128.985
21022,118,1,2,0.849,0.943,0.749,0.682,0.576,0.1,12.066,21.5682,0.95829,0.92161,0.91147,0.44428,0.56262,0.55172,0.7249983333333334,0.51954,0.9304566666666667,0.013712555295914659,1670.07,1368118.23,2922604.01,-3.121416652614529,156.178,42.645
21023,119,1,2,0.849,0.943,0.71,0.678,0.574,0.093,12.059,20.5293,0.95785,0.91695,0.90526,0.45003,0.55243,0.54577,0.7213816666666666,0.5160766666666666,0.9266866666666665,0.0216005513783862,1693.45,1591748.54,4047979.39,-4.2913131258597215,115.629,72.2916
21024,12,1,2,0.84,0.943,0.701,0.555,0.574,0.028,11.137,33.6841,0.95956,0.92354,0.91179,0.45986,0.56625,0.56211,0.7305183333333334,0.5294066666666667,0.9316300000000001,0.03089148083148677,1736.3,1444070.02,3697376.76,-4.86030572349239,76.513,80.8514
21025,120,1,2,0.84,0.943,0.723,0.615,0.574,0.0,12.399,40.8803,0.96342,0.92851,0.91911,0.44303,0.56941,0.55468,0.7296933333333333,0.5223733333333332,0.9370133333333333,0.01779824419815947,1654.4,1346530.64,3113254.8,-4.526582432991637,48.449,69.6703
21026,121,1,2,0.84,0.943,0.739,0.572,0.574,0.0,10.239,41.37,0.95769,0.921,0.90719,0.45441,0.56322,0.53781,0.7235533333333334,0.51848,0.9286266666666667,0.013403545271326766,1724.09,1241617.61,2674344.33,-5.819216064919325,159.763,45.4536
21027,122,1,2,0.849,0.943,0.736,0.653,0.575,0.065,10.255,18.1255,0.95909,0.91963,0.90903,0.44974,0.56474,0.54355,0.7242966666666667,0.5193433333333334,0.92925,0.019220117005244394,1661.76,1524412.69,3024288.94,-7.610241926514455,118.809,60.7
21028,123,1,2,0.85,0.944,0.69,0.704,0.586,0.1755,9.511,17.3816,0.95861,0.91777,0.9047,0.45797,0.55337,0.57114,0.7272599999999999,0.5274933333333333,0.9270266666666666,0.0377970628311572,1887.59,3299271.94,5735928.66,-1.8938166756544639,175.388,122.37
21029,124,1,2,0.84,0.941,0.704,0.738,0.601,0.177,7.973,36.2619,0.96056,0.9252,0.91394,0.45776,0.56408,0.5618,0.7305566666666666,0.52788,0.9332333333333332,0.017459937938220708,1806.28,2036497.98,4435253.56,-6.263367492535322,166.682,75.3646
21030,125,1,2,0.849,0.944,0.726,0.667,0.585,0.1085,11.664,20.232,0.96155,0.92551,0.91668,0.44341,0.56137,0.55381,0.727055,0.51953,0.93458,0.018945992170730057,1645.5,2056247.14,4519465.0,-6.867913148264951,83.777,72.7959
21031,126,1,2,0.849,0.944,0.729,0.665,0.587,0.1125,11.519,19.9169,0.9608,0.92344,0.91386,0.44287,0.55851,0.5456,0.72418,0.51566,0.9327000000000001,0.01411631151428375,1821.89,1491063.89,3402098.95,-4.994596394751727,114.99,50.6037
21032,127,1,2,0.84,0.943,0.728,0.612,0.574,0.057,9.392,42.2795,0.95426,0.9134,0.899,0.44216,0.54245,0.51912,0.7117316666666667,0.5012433333333334,0.9222199999999999,0.006557301336820278,1738.65,2188833.94,3889860.89,-1.5433173831687064,120.573,71.1605
21033,128,1,2,0.84,0.943,0.733,0.603,0.574,0.0525,9.673,42.1272,0.95398,0.91255,0.89765,0.44596,0.55565,0.53319,0.7164966666666668,0.5116,0.9213933333333334,0.013492629327986203,1700.56,1680636.13,3427619.13,-5.873102644089536,114.697,58.2031
21034,129,1,2,0.849,0.945,0.738,0.667,0.592,0.0985,9.824,17.4997,0.9581,0.92282,0.9131,0.44132,0.56223,0.5533,0.7251449999999999,0.51895,0.93134,0.015267151365818599,1659.4,1328278.44,3211683.49,-3.5011053098053018,150.837,50.9075
21035,13,1,2,0.849,0.944,0.714,0.71,0.584,0.169,7.395,12.6674,0.96067,0.92454,0.91429,0.44633,0.55642,0.56095,0.7272000000000001,0.5212333333333333,0.9331666666666667,0.030852680446110916,1668.69,1946501.84,4892119.1,-4.641060880634568,74.111,76.9368
21036,130,1,2,0.849,0.943,0.764,0.677,0.575,0.065,11.765,21.0846,0.95727,0.92025,0.90981,0.44037,0.56361,0.54547,0.7227966666666666,0.5164833333333333,0.92911,0.00874169096105104,1650.88,1236298.59,2628472.06,-2.055010478044436,88.187,32.0626
21037,131,1,2,0.849,0.943,0.747,0.68,0.575,0.086,9.206,17.0893,0.95825,0.91936,0.9063,0.4568,0.57245,0.55477,0.7279883333333333,0.5280066666666666,0.9279700000000001,0.026845384584429376,1674.32,1285430.93,2691460.9,-7.913869830511152,112.456,51.8727
21038,132,1,2,0.84,0.943,0.726,0.597,0.574,0.0,12.03,40.3977,0.95763,0.91978,0.90714,0.44586,0.55302,0.54472,0.7213583333333333,0.5145333333333333,0.9281833333333332,0.018529179447915645,1673.64,1550725.88,3122921.14,-4.279985177019976,93.931,56.7286
21039,133,1,2,0.849,0.943,0.744,0.651,0.575,0.0635,13.762,24.6189,0.95679,0.92042,0.91112,0.43332,0.55761,0.5399,0.71986,0.5102766666666667,0.9294433333333334,0.00979282154600097,1631.46,1391878.05,3035354.04,-4.399286725478777,111.703,51.413
21040,134,1,2,0.849,0.944,0.728,0.663,0.581,0.1165,8.377,14.6416,0.96099,0.92309,0.91249,0.44876,0.55282,0.56044,0.7264316666666666,0.5206733333333333,0.93219,0.029000216635489396,1651.48,1791117.06,3881371.41,-6.170084483782211,80.658,75.6678
21041,135,1,2,0.849,0.944,0.735,0.71,0.593,0.1475,10.591,19.5183,0.95892,0.92071,0.91065,0.44049,0.55908,0.54971,0.72326,0.5164266666666667,0.9300933333333333,0.015874532490632,1627.65,1335815.66,3354254.98,-7.770459094399269,64.416,65.686
21042,136,1,2,0.85,0.945,0.674,0.665,0.603,0.129,7.272,12.9027,0.9528,0.91211,0.89833,0.4372,0.51678,0.53089,0.7080183333333334,0.4949566666666667,0.92108,0.01987565468924324,1801.75,3254325.83,6674478.33,-4.628728258101617,163.309,112.43
21043,137,1,2,0.849,0.944,0.731,0.65,0.58,0.081,9.877,17.7916,0.96186,0.92276,0.91256,0.44687,0.55845,0.54858,0.7251799999999999,0.5179666666666667,0.9323933333333333,0.024665354285560374,1803.86,2078885.31,3796332.8,-6.132679422164426,116.894,82.8102
21044,138,1,2,0.85,0.945,0.72,0.629,0.595,0.127,10.077,18.3017,0.95846,0.91795,0.90586,0.44147,0.53375,0.53599,0.71558,0.5037366666666666,0.9274233333333334,0.020967224520652694,1824.1,3040333.54,5283589.05,-1.1801993342618327,174.429,96.1618
21045,139,1,2,0.849,0.944,0.73,0.68,0.581,0.105,11.127,17.33,0.95939,0.92387,0.91514,0.44126,0.56593,0.55335,0.72649,0.52018,0.9328,0.014107366821485109,1678.57,1118454.49,2934337.32,-6.8809849361675886,109.431,61.7248
21046,14,1,2,0.84,0.943,0.701,0.555,0.574,0.028,10.238,40.2661,0.95479,0.9175,0.90346,0.45345,0.54825,0.54732,0.7207950000000001,0.51634,0.92525,0.027598113709938418,1879.23,2631694.12,5211016.51,-5.345759698978183,194.694,87.8359
21047,140,1,2,0.849,0.944,0.731,0.703,0.588,0.143,10.319,18.4298,0.96226,0.92297,0.91283,0.44539,0.56356,0.55742,0.727405,0.5221233333333333,0.9326866666666667,0.02124602791057504,1650.47,1880297.16,3329780.09,-2.9588351661225976,129.701,84.2727
21048,141,1,2,0.849,0.943,0.736,0.673,0.576,0.103,9.625,16.9168,0.95837,0.92008,0.90758,0.446,0.55393,0.5576,0.7239266666666667,0.5191766666666667,0.9286766666666667,0.024182922366864843,1678.07,1547475.5,3467537.3,-6.6287396991434955,157.49,66.1254
21049,142,1,2,0.84,0.943,0.711,0.584,0.574,0.0,8.386,31.17,0.95788,0.91956,0.90632,0.45027,0.55085,0.56777,0.7254416666666667,0.5229633333333333,0.92792,0.03963295170745482,1842.58,2601240.52,5013774.28,-4.3748770235224965,203.64,106.916
21050,143,1,2,0.849,0.944,0.742,0.68,0.583,0.095,9.112,16.3973,0.9606,0.92013,0.90888,0.46235,0.57348,0.55398,0.7299033333333333,0.5299366666666667,0.9298700000000001,0.016477098713281027,1703.03,1086370.49,2482405.3,-7.4706067709497015,97.258,51.4022
21051,144,1,2,0.849,0.943,0.714,0.655,0.575,0.0715,9.612,17.8255,0.96107,0.91964,0.9081,0.45302,0.5528,0.54946,0.7240150000000001,0.5184266666666666,0.9296033333333334,0.02496114258878098,1681.41,1833474.83,3818367.55,-1.8729997252355552,61.405,99.7665
21052,145,1,2,0.84,0.94,0.694,0.683,0.579,0.189,9.244,31.755,0.95285,0.91766,0.90295,0.4452,0.5434,0.54812,0.7183633333333334,0.51224,0.9244866666666667,0.02804843735920315,1846.36,2757448.18,5395025.93,-2.207103379838556,191.792,111.029
21053,146,1,2,0.849,0.944,0.723,0.692,0.586,0.145,8.391,15.969,0.95815,0.91834,0.90486,0.45308,0.54871,0.55037,0.7222516666666666,0.5173866666666667,0.9271166666666666,0.024952417087007947,1753.99,2057500.31,4379104.06,-5.624450384871873,195.971,75.7094
21054,147,1,2,0.851,0.943,0.738,0.656,0.576,0.0715,9.668,18.6221,0.9587,0.92045,0.90829,0.44122,0.55788,0.54928,0.7226366666666666,0.5161266666666666,0.9291466666666667,0.0202976565576396,1572.56,1496067.86,2902157.58,-4.475970987973525,102.557,56.3198
21055,148,1,2,0.84,0.943,0.677,0.544,0.574,0.026,8.0,29.031,0.9524,0.91639,0.90153,0.42477,0.4989,0.5351,0.7048483333333334,0.4862566666666666,0.9234400000000001,0.04016434795921668,2030.36,2719339.47,5388802.28,-3.2530246686666695,203.019,109.033
21056,149,1,2,0.849,0.943,0.691,0.621,0.574,0.0555,13.115,23.7215,0.95817,0.9193,0.90812,0.42421,0.51285,0.51492,0.7062616666666667,0.48399333333333333,0.92853,0.010177704636033536,1736.52,2308601.26,4230531.29,-4.418914987095391,201.86,110.562
21057,15,1,2,0.849,0.944,0.725,0.635,0.58,0.0855,10.008,18.9587,0.9589,0.92069,0.91039,0.43519,0.54354,0.53096,0.7166116666666666,0.50323,0.9299933333333333,0.016799890119928832,1817.94,2409453.85,4493724.58,-4.099233785494561,165.917,70.5094
21058,150,1,2,0.849,0.944,0.742,0.698,0.593,0.125,9.669,17.413,0.96302,0.92433,0.91422,0.45002,0.57077,0.55557,0.7296549999999999,0.5254533333333332,0.9338566666666667,0.018707654665509162,1587.05,1461691.29,2836469.96,-2.2479113080650706,82.736,60.2512
21059,151,1,2,0.849,0.944,0.714,0.639,0.58,0.082,13.855,25.0939,0.96148,0.92708,0.91926,0.45295,0.56823,0.55521,0.7307016666666666,0.5254633333333333,0.93594,0.016152350237056856,1695.75,1935334.38,4321113.49,-4.755226019651048,77.09,78.614
21060,152,1,2,0.849,0.944,0.736,0.678,0.582,0.1015,9.013,14.0634,0.95928,0.92326,0.91286,0.45092,0.56678,0.55655,0.728275,0.5247499999999999,0.9318,0.014889679520092514,1757.49,1609381.44,3486787.75,-8.922912328669833,110.474,75.8365
21061,153,1,2,0.849,0.943,0.726,0.672,0.574,0.106,8.24,14.4345,0.95684,0.91727,0.90298,0.45062,0.56516,0.55226,0.7241883333333333,0.52268,0.9256966666666666,0.021525832516422712,1718.39,2228091.03,3861731.2,-2.507006528488169,151.871,76.196
