,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,1,2,A.T,0.0006618801367296063,0.26115427340169817,,-0.0,-0.0,,-0.0,-0.0,0.0
1,1,1,2,B.T,0.07142634848860324,0.29653650757763494,198.753,2308477.01,5561970.44,-4.3465913287548705,100.905,107.86,0.0
2,10,1,2,A.T,0.00014184760931453054,0.26366259047132395,,-0.0,-0.0,,-0.0,-0.0,0.0
3,10,1,2,B.T,0.03655784851373483,0.28187059092353406,204.222,3043126.8,5685165.79,-3.0318053944133116,172.687,129.821,0.019
4,100,1,2,A.T,0.0006398030442824553,0.25914490152214126,,-0.0,-0.0,,-0.0,-0.0,0.0
5,100,1,2,B.T,0.03334423258785364,0.27549711629392687,77.217,1238964.67,2619232.58,-6.030659833762608,53.225,39.6885,0.0
6,1000,1,2,A.T,0.0005178141922380822,0.26058057376278576,,-0.0,-0.0,,-0.0,-0.0,0.0
7,1000,1,2,B.T,0.029605592804870188,0.2751244630691018,240.437,1539732.37,3084620.94,-1.4438057491465885,95.631,65.5229,0.0
8,101,1,2,A.T,0.00028210352033264385,0.257537718426833,,-0.0,-0.0,,-0.0,-0.0,0.0
9,101,1,2,B.T,0.03170460803185051,0.2732489706825919,65.698,2003291.0,3825675.89,-3.522032946178274,-11.321,82.5895,0.0
10,102,1,2,A.T,0.0300524816572306,0.2765295741619486,164.472,1185636.19,2700441.98,-8.758602299592383,51.052,45.4829,0.0
11,102,1,2,B.T,0.00028821739280078935,0.2616474420297337,,-0.0,-0.0,,-0.0,-0.0,0.0
12,103,1,2,A.T,0.0007052709379407703,0.26223930213563706,,-0.0,-0.0,,-0.0,-0.0,0.0
13,103,1,2,B.T,0.05209675730548042,0.2879350453194069,234.835,1503575.92,3672762.15,-7.5154106321310366,90.83,65.2899,0.042
14,104,1,2,A.T,0.0004556208556646316,0.25915114376116566,,-0.0,-0.0,,-0.0,-0.0,0.0
15,104,1,2,B.T,0.026209365819886445,0.27202801624327655,208.456,1817663.26,3121038.75,-5.381215399149128,193.118,54.2305,0.024
16,105,1,2,A.T,0.00028372072610633733,0.25576852702971986,,-0.0,-0.0,,1.458,-0.0,0.0
17,105,1,2,B.T,0.04297386589169036,0.27711359961251186,377.443,2780831.46,5371234.18,-4.3617577202095195,187.574,93.4589,0.037
18,106,1,2,A.T,0.029286376546798467,0.2734731882733992,81.094,945784.22,2147526.45,-4.847101163223046,39.075,32.2167,0.0
19,106,1,2,B.T,0.0003042625322188852,0.25898213126610947,,-0.0,-0.0,,-0.0,-0.0,0.0
20,107,1,2,A.T,0.03946872712867843,0.27868936356433927,244.304,1387303.39,3390586.19,-1.3241387456203724,104.696,70.3683,0.0
21,107,1,2,B.T,0.0003168530907350177,0.25911342654536756,,-0.0,-0.0,,-0.0,-0.0,0.0
