,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
22000,1,2,1,0.685,0.758,0.462,0.661,0.546,0.1295,11.302,9.63296,0.86517,0.72181,0.64728,0.39788,0.36098,0.49643,0.5815916666666666,0.41843,0.7447533333333333,0.0873279134859331,710.596,2322806.15,3698942.59,-5.309585746152166,10.355,11.7244
22001,10,2,1,0.679,0.752,0.473,0.412,0.519,0.021,12.588,11.2116,0.87089,0.71495,0.65183,0.35192,0.31569,0.4435,0.55813,0.37037000000000003,0.74589,0.046392515891056973,663.48,1776939.1,2875321.95,-3.918997305413419,32.774,3.62023
22002,100,2,1,0.679,0.756,0.449,0.433,0.53,0.067,14.655,12.7171,0.86747,0.72986,0.66601,0.39612,0.33357,0.46249,0.57592,0.3973933333333333,0.7544466666666666,0.06341016479382233,618.039,2723560.22,3981264.87,-6.837131610581489,16.609,6.68981
22003,1000,2,1,0.679,0.76,0.503,0.696,0.548,0.216,12.416,11.3587,0.85952,0.70823,0.63286,0.34511,0.29642,0.43902,0.54686,0.36018333333333336,0.7335366666666667,0.059714650101523145,610.478,1675287.34,3072477.78,-2.567306410181335,-22.41,24.829
22004,101,2,1,0.69,0.763,0.535,0.878,0.573,0.252,9.85,9.10252,0.86382,0.71246,0.63551,0.41361,0.38917,0.51742,0.588665,0.44006666666666666,0.7372633333333334,0.12459352906710136,542.425,1653585.06,2813591.55,-3.746680251595502,4.483,17.6969
22005,102,2,1,0.683,0.76,0.423,0.678,0.547,0.235,11.299,10.3252,0.86274,0.7335,0.6642,0.38469,0.32359,0.47115,0.5733116666666667,0.39314333333333334,0.75348,0.08547059960401385,660.159,2905537.55,4732045.22,-5.547920182028146,17.556,31.2951
22006,103,2,1,0.688,0.763,0.626,0.661,0.55,0.1585,12.096,10.6678,0.86088,0.72443,0.66482,0.40514,0.35924,0.45853,0.57884,0.40763666666666665,0.7500433333333333,0.06167416917214723,610.298,1509902.19,2578972.26,-3.7261320663305586,8.781,1.75052
22007,104,2,1,0.694,0.763,0.57,0.638,0.557,0.184,6.719,6.40619,0.8552,0.70272,0.63541,0.36456,0.33125,0.46678,0.55932,0.38753,0.73111,0.0879754934925586,595.166,1359569.34,3278746.75,-3.8137275286020462,8.007,7.30054
22008,105,2,1,0.71,0.775,0.784,0.837,0.618,0.48350000000000004,6.004,5.16118,0.86461,0.71154,0.63824,0.42537,0.41456,0.52366,0.59633,0.45453000000000005,0.73813,0.1235932837211294,635.431,2015908.44,3209067.34,-3.409372251101931,61.841,32.1042
22009,106,2,1,0.679,0.754,0.452,0.522,0.526,0.1435,10.02,9.43828,0.87598,0.75385,0.69673,0.39061,0.37662,0.48559,0.5965633333333333,0.4176066666666667,0.7755200000000001,0.09020974177110475,716.002,2666302.46,4181513.27,-3.2690495667362733,67.496,28.849
22010,107,2,1,0.679,0.757,0.476,0.397,0.537,0.0795,15.808,13.9022,0.87338,0.73173,0.67125,0.4014,0.34197,0.46242,0.5803583333333333,0.40192999999999995,0.7587866666666666,0.08170158654220358,665.596,3000529.29,3682318.08,-4.276788599182806,85.066,15.4426
22011,108,2,1,0.704,0.774,0.608,0.679,0.61,0.27449999999999997,6.89,5.93974,0.86889,0.71972,0.64721,0.41715,0.41824,0.51588,0.5978483333333333,0.45042333333333334,0.7452733333333333,0.10807379558682442,591.168,1846651.74,2939176.36,-5.961040153457522,2.99,15.0833
22012,109,2,1,0.69,0.765,0.573,0.857,0.571,0.288,12.007,10.7505,0.86143,0.7195,0.64731,0.41843,0.39603,0.51385,0.5927583333333334,0.44277000000000005,0.7427466666666667,0.09916720083456311,561.503,1898497.14,2962763.15,-1.5604624131179101,42.513,12.8224
22013,11,2,1,0.76,0.781,0.72,0.936,0.633,0.54,2.729,2.67045,0.87296,0.73379,0.66013,0.4299,0.42927,0.53339,0.6099066666666667,0.4641866666666667,0.7556266666666667,0.13644213605730326,589.66,2335591.69,3539614.01,-4.3006591512782135,40.79,17.0401
22014,110,2,1,0.679,0.756,0.626,0.579,0.541,0.143,15.566,14.0773,0.85411,0.69672,0.6302,0.34906,0.2971,0.43514,0.5437216666666667,0.36043333333333333,0.7270099999999999,0.06332374669073032,611.946,1137755.36,2476450.93,-5.128814581448239,30.822,8.65513
22015,111,2,1,0.692,0.763,0.512,0.824,0.573,0.27449999999999997,10.117,8.86694,0.86852,0.71696,0.6412,0.41288,0.37421,0.49513,0.5848166666666668,0.4274066666666667,0.7422266666666667,0.10363562465390713,632.658,2287579.01,3277342.49,-1.6911640304514486,17.001,18.1603
22016,112,2,1,0.69,0.766,0.491,0.655,0.557,0.23049999999999998,10.479,9.63256,0.85494,0.70878,0.64203,0.36882,0.30033,0.44693,0.5536383333333333,0.37202666666666667,0.7352500000000001,0.062495058970762324,651.627,2346437.66,3824954.18,-4.866782364231863,8.077,19.3386
22017,113,2,1,0.679,0.758,0.455,0.405,0.54,0.099,14.947,12.0967,0.85916,0.70975,0.64968,0.37356,0.30111,0.43874,0.5553333333333332,0.37113666666666667,0.7395299999999999,0.054720335289675855,641.12,2524642.24,3880774.72,-7.775096396395954,19.008,10.4113
22018,114,2,1,0.683,0.761,0.568,0.5,0.56,0.1555,13.784,13.4633,0.86861,0.7044,0.64515,0.37423,0.32853,0.45384,0.5624600000000001,0.38553333333333334,0.7393866666666667,0.04134485283902904,663.634,1205259.96,3057279.52,-2.4720750253208976,35.635,36.6851
