,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,2,1,C.Z,0.07196297084446997,0.245196485422235,105.161,1055683.7,1828940.87,-6.196997550212938,31.101,11.7244,0.0
1,1,2,1,D.Z,0.10269285612739623,0.26056142806369814,144.349,1267122.46,1870001.71,-4.422173942091395,42.121,-0.0,0.0
2,10,2,1,C.Z,0.03439518221421167,0.20238259110710585,58.174,361149.82,733788.38,-2.322057882847057,28.086,-0.0,0.0
3,10,2,1,D.Z,0.058389849567902274,0.21437992478395115,151.814,1415789.28,2141533.57,-5.515936727979781,24.33,3.62023,0.0
4,100,2,1,C.Z,0.04455503596691415,0.22097418465012375,62.588,1127915.0,1549418.35,-4.639183059473978,44.871,2.35393,0.0
5,100,2,1,D.Z,0.08226529362073051,0.2398293134770319,85.464,1595645.22,2431846.51,-9.035080161689,4.742,4.33588,0.0
6,1000,2,1,C.Z,0.035763857938582076,0.1979735956359577,10.807,63763.47,94726.62,-0.7706319007982236,57.321,-0.0,0.0
7,1000,2,1,D.Z,0.08366544226446421,0.22192438779889878,103.936,1611523.87,2977751.16,-4.363980919564447,-20.791,24.829,0.026
8,101,2,1,C.Z,0.1644671938382089,0.3022669302524378,51.26,1110029.66,2208894.36,-5.034972690580609,8.785,17.6969,0.0
9,101,2,1,D.Z,0.08471986429599383,0.26239326548133024,19.762,543555.4,604697.2,-2.4583878126103946,32.975,-0.0,0.111
10,102,2,1,C.Z,0.06371706383361016,0.22843019858347174,101.57,1151516.61,1564316.96,-3.7862343700106953,37.223,3.82081,0.0
11,102,2,1,D.Z,0.10722413537441755,0.2501837343538754,92.202,1754020.94,3167728.26,-7.309605994045596,14.851,27.4743,0.026
12,103,2,1,C.Z,0.05610154938767664,0.23186910802717164,23.42,469124.2,822888.71,-1.2966642376589417,19.105,-0.0,0.0
13,103,2,1,D.Z,0.06724678895661781,0.23744172781164224,91.057,1040777.98,1756083.54,-6.155599895002176,55.545,1.75052,0.24
14,104,2,1,C.Z,0.059975404635770245,0.2237527023178851,,55255.51,101150.63,,20.418,-0.0,0.0
15,104,2,1,D.Z,0.11597558234934696,0.2517527911746735,99.472,1304313.83,3177596.12,-3.8137275286020462,18.283,7.30054,0.09
16,105,2,1,C.Z,0.12523356415331363,0.2898817820766568,43.281,634661.64,892813.48,-0.6510912320299314,9.118,5.69249,0.182
17,105,2,1,D.Z,0.12195300328894519,0.2882415016444726,111.019,1381246.8,2316253.86,-6.167653270173931,65.651,26.4117,0.596
18,106,2,1,C.Z,0.07193070775247179,0.24476868720956924,58.16,1076964.73,1696920.58,-3.902361170303279,46.693,16.9022,0.0
19,106,2,1,D.Z,0.1084887757897377,0.2630477212282022,202.544,1589337.72,2484592.68,-2.6357379631692677,25.531,11.9469,0.0
20,107,2,1,C.Z,0.07408456494449638,0.23800728247224817,63.841,894917.37,1098547.02,-3.978371909534637,24.916,3.46348,0.0
21,107,2,1,D.Z,0.0893186081399108,0.2456243040699554,160.206,2105611.92,2583771.07,-4.575205288830976,70.789,11.9791,0.0
22,108,2,1,C.Z,0.13206627035979182,0.2912448018465626,65.217,1269608.38,1969291.79,-8.023055624968201,12.845,8.99187,0.049
23,108,2,1,D.Z,0.08408132081385702,0.2672523270735952,47.622,577043.36,969884.57,-3.8990246819468433,41.248,6.09143,0.378
24,109,2,1,C.Z,0.13043650203035212,0.2866032510151761,68.276,1284486.3,2113006.74,-2.568248220788555,10.704,10.929,0.0
25,109,2,1,D.Z,0.0678978996387741,0.25533394981938706,35.316,614010.84,849756.41,-0.5526766054472653,36.514,1.89341,0.25
26,11,2,1,C.Z,0.16161013478413225,0.3128984007253995,41.258,1210511.12,1759364.77,-4.61682304854681,44.033,9.078,0.32
27,11,2,1,D.Z,0.11127413733047431,0.2877304019985705,87.689,1125080.56,1780249.24,-3.9844952540096163,43.07,7.96209,0.444
28,110,2,1,C.Z,0.05166052021522774,0.20604692677428055,,-0.0,-0.0,,57.231,-0.0,0.0
29,110,2,1,D.Z,0.07498697316623291,0.21771015324978313,116.254,1137755.36,2476450.93,-5.128814581448239,28.394,8.65513,0.19
30,111,2,1,C.Z,0.1332483676931588,0.2803275171799128,96.586,1418992.39,2337069.33,-2.2664148330612317,-1.886,16.0397,0.0
31,111,2,1,D.Z,0.07402288161465549,0.2507147741406611,78.289,868586.62,940273.16,-1.1159132278416657,75.275,2.12063,0.133
32,112,2,1,C.Z,0.05325269866880262,0.21263968266773464,115.004,965256.8,1575319.01,-4.606093687794467,52.101,4.98112,0.0
33,112,2,1,D.Z,0.07173741927272204,0.22188204296969435,66.553,1381180.87,2249635.18,-5.127471040669258,27.366,14.3575,0.067
34,113,2,1,C.Z,0.04722876779269426,0.20918271722968046,108.764,1324874.1,2055478.4,-6.022635612287855,25.66,1.35952,0.0
35,113,2,1,D.Z,0.06221190278665745,0.21667428472666206,57.487,1199768.14,1825296.32,-9.527557180504052,-0.377,9.05173,0.0
36,114,2,1,C.Z,0.04397489328403026,0.2147541133086818,50.183,301335.58,488708.13,-0.07054497551914156,16.282,7.68215,0.0
37,114,2,1,D.Z,0.038714812394027825,0.21212407286368057,173.596,903924.39,2568571.39,-4.873605075122653,63.191,29.003,0.065
38,115,2,1,C.Z,0.028682866127928718,0.19553476639729767,35.038,336814.59,436812.51,-0.5509235760040017,49.857,-0.0,0.0
39,115,2,1,D.Z,0.05846942464413587,0.21042804565540124,130.135,1575242.79,2478856.96,-7.255933849991215,31.74,1.00673,0.0
40,116,2,1,C.Z,0.05315166870714166,0.20920250102023752,20.394,455659.14,998785.53,-5.447647669517164,43.466,-0.0,0.0
41,116,2,1,D.Z,0.062070240401408225,0.2136617868673708,125.197,1144785.36,2580069.1,-6.121254828593275,24.242,20.449,0.0
42,117,2,1,C.Z,0.0724300140806008,0.22747667370696706,69.338,923126.76,1533554.0,-4.3442625185525765,41.417,-0.0,0.0
43,117,2,1,D.Z,0.06662807397660798,0.22457570365497065,186.944,1821423.21,3497536.7,-3.6962297166029403,-20.854,17.119,0.0
44,118,2,1,C.Z,0.06485537863045465,0.2331060226485607,105.788,982184.99,1498062.54,-3.793693709817916,44.067,6.02753,0.0
45,118,2,1,D.Z,0.09373261779546738,0.24754464223106706,114.873,1546778.68,2546919.84,-7.264808769088344,31.752,2.34969,0.0
46,119,2,1,C.Z,0.030042410279929755,0.1933895384732982,11.492,158495.02,320149.58,-0.054679962099192896,47.349,5.15015,0.0
47,119,2,1,D.Z,0.0618868396628386,0.20931175316475262,127.183,1654612.59,3144202.09,-3.9655007208726127,-20.562,32.8575,0.0
48,12,2,1,C.Z,0.05195067187887616,0.21212200260610475,130.415,1150687.07,1372615.61,-3.793402590639137,45.776,2.42205,0.0
49,12,2,1,D.Z,0.03726405530178454,0.20477869431755896,149.647,975289.19,1583315.07,-2.8374073211471367,45.973,5.41024,0.0
50,120,2,1,C.Z,0.06669795666057327,0.22823397833028664,214.489,1526019.02,2981416.06,-2.4701347770708106,33.401,19.3298,0.0
51,120,2,1,D.Z,0.05034534092810645,0.22005767046405322,52.379,810504.06,1240126.61,-5.642569707968213,40.703,6.57035,0.0
52,121,2,1,C.Z,0.0555092837108532,0.2274396418554266,135.7,1084435.02,1504202.86,-2.2899358227339324,37.159,6.66388,0.0
53,121,2,1,D.Z,0.08026021198020317,0.23981510599010158,127.462,1136329.2,1743545.74,-3.3815232330652383,44.615,1.80211,0.0
54,122,2,1,C.Z,0.06539458969491535,0.247350628180791,50.884,614678.04,1025979.77,-2.2912412684379366,43.673,13.8765,0.0
55,122,2,1,D.Z,0.07137262378237211,0.2503396452245194,144.203,1155435.35,2315387.88,-1.8463662898319675,60.77,13.5653,0.0
56,123,2,1,C.Z,0.05021009378833696,0.21331838022750182,111.076,906344.83,1418541.66,-4.372761499466004,41.177,14.7792,0.0
57,123,2,1,D.Z,0.06498862442895188,0.22070764554780928,113.581,1658645.91,2245002.79,-4.371699632437947,62.832,17.7408,0.0
58,124,2,1,C.Z,0.061102161947565035,0.22104441430711583,31.4,525449.62,562007.35,-2.1422438686889986,29.902,7.42042,0.0
59,124,2,1,D.Z,0.09485765743156663,0.23792216204911665,168.82,1898933.27,3134332.49,-5.011688011759853,55.632,9.96978,0.029
60,125,2,1,C.Z,0.029128411734564,0.19759920586728197,37.751,212880.05,464722.82,-0.13296390830585547,51.08,-0.0,0.0
61,125,2,1,D.Z,0.05292335871458818,0.20949667935729407,142.168,2030581.68,3596277.8,-2.642117907151971,47.3,22.2995,0.0
62,126,2,1,C.Z,0.1476969931041822,0.28400016321875776,63.883,1352931.38,2413623.24,-6.255764456573925,-3.436,9.84031,0.061
63,126,2,1,D.Z,0.07348071306478232,0.24689202319905781,52.795,1027686.9,1407745.81,-4.502734529112455,23.243,17.4244,0.0
64,127,2,1,C.Z,0.03786894353725074,0.21014113843529203,,61539.91,116910.99,-0.1170914070577555,23.577,-0.0,0.0
65,127,2,1,D.Z,0.08933840865938693,0.23587587099636012,129.932,1369802.17,3207618.56,-2.231842014075799,19.389,10.4826,0.111
66,128,2,1,C.Z,0.06650227420768715,0.21719280377051026,64.01,960030.81,1576250.49,-4.582025294707192,72.05,20.573,0.0
67,128,2,1,D.Z,0.06407923205052839,0.21598128269193087,91.613,1078458.19,1851278.37,-9.787773714334861,20.648,24.2669,0.0
68,129,2,1,C.Z,0.0493845549004618,0.21409061078356423,41.083,798289.38,1226527.01,-5.681459036428309,46.748,7.80206,0.0
69,129,2,1,D.Z,0.04046298303455842,0.20962982485061255,57.534,1065585.65,1942427.0,-4.491836666396764,19.659,20.9354,0.0
70,13,2,1,C.Z,0.06719926804944407,0.2287813006913887,140.064,1490053.39,2165347.61,-6.751111940832058,49.483,2.51983,0.0
71,13,2,1,D.Z,0.10018355399079157,0.24527344366206244,86.232,1629691.65,2927217.05,-9.785570320098664,16.021,23.8354,0.053
72,130,2,1,C.Z,0.06438347865041577,0.2264617393252079,99.236,889923.67,1783304.39,-5.118203498958166,31.106,17.8053,0.0
73,130,2,1,D.Z,0.05110293024126804,0.21982146512063405,78.611,867719.76,1063346.22,-2.4503657641363312,46.837,1.98966,0.0
74,131,2,1,C.Z,0.03892999155141297,0.21311999577570648,127.392,908509.51,1209046.94,-4.492898578541385,19.226,3.2738,0.0
75,131,2,1,D.Z,0.05818163202347933,0.22274581601173965,97.677,850928.66,1083514.42,-2.149097555409495,38.573,-0.0,0.0
76,132,2,1,C.Z,0.11905515680555254,0.27938091173610957,69.167,1057978.92,1439518.65,-4.646222197488396,17.15,7.87287,0.1
77,132,2,1,D.Z,0.09986459274223308,0.26978562970444986,117.187,1305122.05,2169330.78,-5.450223006000791,49.983,4.9813,0.25
78,133,2,1,C.Z,0.04993082150176633,0.22880041075088314,20.429,641587.02,973638.49,-2.388682789937807,15.457,1.33779,0.0
79,133,2,1,D.Z,0.06064118008835066,0.23415559004417533,92.707,933652.77,1630926.59,-5.273341046801186,55.557,1.75052,0.28
80,134,2,1,C.Z,0.09006719426542986,0.23058193046604827,105.29,1307665.83,2070884.22,-5.646901927212533,25.065,7.44116,0.0
81,134,2,1,D.Z,0.03810346448299242,0.20460006557482954,61.192,358385.19,534214.88,-2.7725945399100533,48.016,1.53687,0.0
82,135,2,1,C.Z,0.0730827346094884,0.2473813673047442,,58671.32,86950.16,,46.603,-0.0,0.0
83,135,2,1,D.Z,0.13139954316429794,0.276539771582149,96.66,1417136.56,2705135.39,-6.1592392983376145,20.222,15.3592,0.459
84,136,2,1,C.Z,0.027220163856509317,0.19757508192825468,6.795,138653.42,178752.73,-0.044556702882061656,4.329,-0.0,0.0
85,136,2,1,D.Z,0.06287204491090961,0.21540102245545484,149.623,727971.34,1861952.51,-3.2263603312897082,42.078,4.71436,0.0
86,137,2,1,C.Z,0.130930586787872,0.28272862672726934,78.67,973329.52,1429965.93,-4.60780833750382,25.479,1.98966,0.083
87,137,2,1,D.Z,0.1043427334720036,0.2694347000693351,95.198,1200583.04,2069439.52,-4.500198178843363,41.057,18.5438,0.467
88,138,2,1,C.Z,0.02446680283301248,0.1949217347498396,5.758,207253.7,225271.17,-0.03125854371829333,45.595,-0.0,0.0
89,138,2,1,D.Z,0.06905266800458776,0.21721466733562722,196.488,1727280.1,3508347.65,-3.6508834258201004,18.487,3.99214,0.0
90,139,2,1,C.Z,0.06025432319729589,0.21798716159864795,69.925,1092675.56,1292045.95,-3.095978786943705,36.644,-0.0,0.0
91,139,2,1,D.Z,0.08227574068114336,0.22899787034057167,196.769,2132529.99,3310214.6,-5.4295631471725505,88.745,20.9177,0.025
92,14,2,1,C.Z,0.09711824497208,0.24457578915270664,71.417,971888.64,1874501.55,-4.709146140156209,-20.937,7.42721,0.0
93,14,2,1,D.Z,0.04416709519549045,0.21810021426441187,41.379,383126.13,592998.24,-2.3790228362035726,34.081,-0.0,0.0
94,140,2,1,C.Z,0.12540942007326522,0.2732530433699659,64.174,950598.21,1237325.21,-2.3858003954059432,58.438,5.3482,0.1
95,140,2,1,D.Z,0.1382862942176871,0.2796914804421769,195.949,2194420.38,3389344.33,-4.2271268896266925,85.631,10.8487,0.269
96,141,2,1,C.Z,0.05095543872739654,0.2113460526970316,39.57,517957.22,592834.21,-0.005479457794299211,25.709,4.34899,0.0
97,141,2,1,D.Z,0.11093442443816456,0.2413355455524156,213.094,2532379.42,3999676.31,-2.3577839539769316,-9.271,23.7068,0.094
98,142,2,1,C.Z,0.043227436451343235,0.20955705155900498,17.154,928558.37,1261815.47,-3.0597778030351503,44.537,2.86189,0.0
99,142,2,1,D.Z,0.0288270139400538,0.20235684030336026,86.362,541909.29,1021042.66,-2.3497938277421855,41.27,-0.0,0.049
100,143,2,1,C.Z,0.07335199870867655,0.23830599935433827,106.588,956339.44,1547967.14,-5.560566448782399,47.329,3.87469,0.0
101,143,2,1,D.Z,0.11155779267428441,0.2574088963371422,119.601,1498746.65,2363374.82,-5.430204279226862,34.529,2.34969,0.0
102,144,2,1,C.Z,0.05183740802604007,0.20896870401302006,95.277,1565881.42,2196617.33,-7.528522620569577,28.173,2.33086,0.0
103,144,2,1,D.Z,0.05019104172679363,0.20814552086339683,66.448,950280.46,1821184.77,-6.896533885874852,20.304,-0.0,0.039
104,145,2,1,C.Z,0.06800779889308615,0.2286688994465431,187.847,1671298.66,2863572.81,-2.8437544189281585,31.879,17.6133,0.0
105,145,2,1,D.Z,0.04554006634098187,0.21743503317049095,36.605,810304.68,1244493.2,-4.601540318840328,42.243,6.01006,0.0
106,146,2,1,C.Z,0.11045706777367742,0.2553335338868387,74.426,1141185.74,1758534.22,-4.418717432422724,49.761,10.504,0.0
107,146,2,1,D.Z,0.09336648629396223,0.2467882431469811,155.422,1668190.74,2393276.04,-1.041676620832987,61.063,10.6074,0.07
108,147,2,1,C.Z,0.08756787697784603,0.24863893848892302,142.684,1473183.23,2813717.52,-4.3017406823881545,38.224,1.7568,0.038
109,147,2,1,D.Z,0.08994707521051168,0.24982853760525586,85.748,1389993.12,2489333.63,-10.0,20.395,11.4881,0.0
110,148,2,1,C.Z,0.060374836961273104,0.21597075181396988,,24729.75,26843.04,-0.0625109558333974,82.525,-0.0,0.0
111,148,2,1,D.Z,0.11421339978696779,0.24289003322681724,214.466,2741053.07,4315963.25,-4.701145283949204,-8.257,28.7335,0.292
112,149,2,1,C.Z,0.12605597212386785,0.2666579860619339,101.836,1430415.93,2585216.35,-4.568210441462871,-0.757,23.4739,0.0
113,149,2,1,D.Z,0.06882420067959173,0.23804210033979584,103.433,1069611.1,1376159.68,-3.7942229777453598,46.706,5.86109,0.0
114,15,2,1,C.Z,0.043890539888525384,0.21396526994426268,81.927,843847.88,1893486.9,-3.0291163880411105,35.572,12.9585,0.0
115,15,2,1,D.Z,0.05074181798768223,0.21739090899384111,30.887,634362.33,1149298.87,-3.9220238336940296,10.725,1.98546,0.0
116,150,2,1,C.Z,0.04766306776436977,0.20943820054885157,105.844,1110224.16,1983334.0,-6.394482930589602,27.171,-0.0,0.0
117,150,2,1,D.Z,0.052252331373983905,0.2117328323536586,48.23,1085667.43,1760455.43,-6.309282091096006,38.307,7.7453,0.0
118,151,2,1,C.Z,0.05536376127420226,0.2162185473037678,56.19,701511.68,781124.24,-1.831086872836878,61.557,1.65378,0.0
119,151,2,1,D.Z,0.06184613967161568,0.2194597365024745,145.208,1116006.44,1910479.44,-4.706493413657743,54.763,1.33152,0.1
120,152,2,1,C.Z,0.08201184884892428,0.24136925775779547,65.363,1174646.98,1995634.67,-3.1404943619127126,-13.451,12.8764,0.054
121,152,2,1,D.Z,0.06035026000226935,0.230538463334468,68.152,611782.85,1091390.11,-2.409896015459849,33.767,11.3631,0.0
122,153,2,1,C.Z,0.10575841736208531,0.2635292086810427,161.781,1791194.67,2896566.32,-4.232719579993086,-1.967,13.7122,0.085
123,153,2,1,D.Z,0.12924234461970627,0.27527117230985315,98.715,1004075.54,1549387.95,-5.066796421586979,48.751,4.28237,0.163
124,154,2,1,C.Z,0.05311574484221638,0.21832787242110818,15.769,101938.99,166139.46,-0.058939518884899296,40.045,-0.0,0.0
125,154,2,1,D.Z,0.10517717158072627,0.24435858579036313,195.918,1800609.34,3510600.09,-5.229572849204214,28.174,3.93569,0.0
126,155,2,1,C.Z,0.06605146543806768,0.22727906605236714,88.602,1165597.83,1488209.41,-5.238861913807806,9.891,-0.0,0.0
127,155,2,1,D.Z,0.0521180126004765,0.22031233963357155,91.018,758782.86,1079043.41,-3.992130202847871,57.887,1.33152,0.0
128,156,2,1,C.Z,0.059125531575409694,0.2142094324543715,90.276,999087.67,1203547.66,-0.7792649194655158,78.07,3.53769,0.0
129,156,2,1,D.Z,0.0840934734991606,0.22669340341624694,294.855,2726041.47,4835266.68,-5.245092367959987,20.926,8.01785,0.0
130,157,2,1,C.Z,0.06446504657360493,0.2317841899534691,,205128.64,238573.01,-0.08028661562061404,6.757,-0.0,0.0
131,157,2,1,D.Z,0.10528341792523861,0.25219337562928595,121.712,1655929.77,2729342.41,-4.5737213035931426,57.817,8.73501,0.361
