,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
23000,1,1,1,0.439,0.725,0.0,0.23,0.009,0.23,18.229,17.2549,0.75824,0.57257,0.50072,0.16136,0.09352,0.28021,0.39443666666666666,0.17836333333333335,0.61051,0.10586465271189809,259.528,2216696.45,4113374.59,-3.904309226777238,159.413,78.0511
23001,10,1,1,0.444,0.742,0.081,0.266,0.106,0.266,17.687,15.1999,0.77201,0.59737,0.51022,0.19782,0.1115,0.31674,0.41761,0.2086866666666667,0.6265333333333333,0.13059504125267268,326.523,4136396.24,7132349.75,-3.9783197216122446,189.114,122.933
23002,100,1,1,0.52,0.766,0.304,0.49,0.258,0.49,6.667,5.98109,0.77334,0.61853,0.54946,0.16532,0.10133,0.32562,0.4222666666666667,0.19742333333333337,0.64711,0.1271225182339549,220.542,1822996.55,3521429.77,-4.000666757588356,163.339,55.3026
23003,1000,1,1,0.434,0.741,0.022,0.321,0.083,0.321,21.093,19.3475,0.77563,0.60458,0.53499,0.17468,0.10217,0.32171,0.41896,0.19952,0.6384,0.12603110182099045,200.32,2339254.2,4305903.51,-6.995217043109554,90.836,80.5441
23004,101,1,1,0.436,0.743,0.093,0.365,0.095,0.365,25.9,23.6505,0.77076,0.59696,0.52292,0.18998,0.10621,0.33027,0.4195166666666667,0.20882,0.6302133333333334,0.12858412144705655,290.644,3258137.79,5435485.93,-6.742667372070358,185.074,95.6728
23005,102,1,1,0.432,0.724,0.0,0.355,0.003,0.355,20.48,19.8681,0.75946,0.57883,0.50521,0.23667,0.17067,0.36886,0.43661666666666665,0.2587333333333333,0.6145,0.16335831433534623,345.447,3062314.45,6080550.08,-2.4549221487360082,113.351,122.583
23006,103,1,1,0.438,0.736,0.038,0.235,0.068,0.235,18.519,16.1317,0.75162,0.57231,0.49095,0.17052,0.08014,0.28229,0.39130499999999996,0.17765,0.6049599999999999,0.09337109986227005,312.801,2893087.51,4867419.84,-3.842755695056743,174.011,75.7915
23007,104,1,1,0.443,0.754,0.077,0.302,0.143,0.302,9.129,7.97687,0.77416,0.60639,0.53322,0.19248,0.11952,0.34122,0.42783166666666667,0.21774000000000002,0.6379233333333333,0.1313150112517178,163.676,2935399.42,5203945.62,-2.7070710878690027,91.378,88.3109
23008,105,1,1,0.432,0.725,0.0,0.203,0.019,0.203,23.409,22.1033,0.77911,0.59557,0.52308,0.20347,0.14007,0.35406,0.43256000000000006,0.23253333333333334,0.6325866666666667,0.1556385362520814,244.304,2773948.34,4825436.6,-3.4770254867922548,257.439,80.6867
23009,106,1,1,0.432,0.729,0.0,0.29,0.022,0.29,20.634,19.1601,0.77339,0.60827,0.53588,0.20916,0.15109,0.37948,0.4428783333333334,0.24657666666666667,0.6391800000000001,0.1496670888736844,410.418,3341505.08,5073995.84,-0.9987175565615312,175.192,120.96
