,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
24000,1,2,1,0.852,0.911,0.17,0.174,0.167,0.10300000000000001,7.174,15.6121,0.93955,0.90923,0.88574,0.20469,0.19793,0.3437,0.58014,0.24877333333333337,0.9115066666666666,0.11439396676141769,568.309,2790641.27,5535082.06,-2.103914188133226,238.745,96.7143
24001,10,2,1,0.852,0.911,0.224,0.232,0.172,0.064,9.493,18.8221,0.93674,0.90302,0.87665,0.16282,0.19966,0.24458,0.5539116666666667,0.2023533333333333,0.9054700000000001,0.03736722717972674,341.601,1552315.52,2368633.03,-5.413439340804575,97.012,43.633
24002,100,2,1,0.854,0.913,0.259,0.338,0.22,0.172,4.532,10.161,0.93199,0.9017,0.8759,0.15436,0.17668,0.26329,0.5506533333333333,0.19811,0.9031966666666666,0.05659753999893838,353.44,1898277.99,3228449.19,-3.708773754551836,98.181,68.7628
24003,1000,2,1,0.852,0.911,0.227,0.242,0.168,0.087,9.405,18.6602,0.9386,0.90712,0.88435,0.17075,0.20799,0.23171,0.5567533333333333,0.20348333333333332,0.9100233333333333,0.03905551467120745,327.875,1065954.46,1899809.55,-1.7524285658731862,99.738,40.1529
24004,101,2,1,0.852,0.911,0.205,0.371,0.169,0.175,5.35,11.2847,0.94026,0.91635,0.89529,0.16924,0.20151,0.26866,0.5652183333333334,0.21313666666666667,0.9173,0.04811942548790285,409.307,1933109.37,3686646.59,-3.1272671272204344,187.425,49.1668
24005,102,2,1,0.853,0.913,0.323,0.389,0.228,0.139,7.028,14.2863,0.93936,0.91568,0.89683,0.16685,0.16902,0.26967,0.5595683333333333,0.20184666666666665,0.91729,0.051423694151526436,493.315,2324461.93,4171775.16,-2.432705210449053,71.35,93.5325
24006,103,2,1,0.856,0.915,0.45,0.517,0.331,0.3055,2.688,4.89797,0.93734,0.91244,0.89148,0.17848,0.19813,0.27796,0.5659716666666667,0.21819,0.9137533333333333,0.07095218042031774,473.764,2708131.97,4379444.43,-3.8814920336099856,88.592,79.6836
24007,104,2,1,0.853,0.912,0.239,0.333,0.193,0.13949999999999999,6.269,12.6128,0.93888,0.91061,0.8879,0.17691,0.21917,0.25467,0.56469,0.21691666666666667,0.9124633333333333,0.05323662203700223,358.248,1099827.71,2399696.77,-3.865524073399072,34.14,55.0622
24008,105,2,1,0.853,0.912,0.255,0.46,0.23,0.21799999999999997,4.113,9.72884,0.93695,0.90855,0.88514,0.15651,0.17227,0.26489,0.5540516666666667,0.19789,0.9102133333333334,0.06396790447106468,502.656,1925717.4,3849501.01,-4.291497546773011,165.495,76.7864
24009,106,2,1,0.854,0.912,0.297,0.411,0.206,0.185,3.985,8.83221,0.93918,0.91142,0.88993,0.15439,0.20421,0.24729,0.5577366666666667,0.20196333333333336,0.91351,0.05242089734310866,350.218,1204622.88,2142648.14,-2.1141399250526907,110.024,28.9319
24010,107,2,1,0.852,0.911,0.191,0.257,0.168,0.126,6.886,13.6934,0.94119,0.91271,0.89004,0.18963,0.19282,0.3356,0.5769983333333333,0.23934999999999998,0.9146466666666666,0.11511472328566014,477.885,2277490.33,4342986.97,-5.228478663767996,163.521,82.275
24011,108,2,1,0.852,0.911,0.197,0.2,0.17,0.0605,9.322,17.1837,0.94015,0.90471,0.8812,0.17519,0.19156,0.29206,0.564145,0.21960333333333334,0.9086866666666668,0.08178126646380406,448.957,2193547.8,3223781.87,-5.731816095357284,129.849,61.2699
24012,109,2,1,0.852,0.913,0.25,0.439,0.224,0.274,5.76,11.107,0.93711,0.90792,0.88609,0.16712,0.17813,0.26262,0.5564983333333333,0.20262333333333335,0.9103733333333333,0.05106187034652976,448.706,1393532.49,3438697.92,-3.8192379913346177,76.571,86.3221
24013,11,2,1,0.852,0.911,0.185,0.169,0.166,0.043,7.789,15.7309,0.92856,0.90191,0.8752,0.17051,0.18028,0.29584,0.5587166666666666,0.21554333333333334,0.90189,0.06924724476994015,429.365,2144151.84,4313153.71,-4.591451084742521,103.63,69.7023
24014,110,2,1,0.852,0.911,0.233,0.266,0.166,0.0735,7.211,15.5208,0.93739,0.90827,0.88742,0.17511,0.21205,0.25241,0.5621083333333334,0.21319,0.9110266666666668,0.03456309512088182,372.004,844615.77,1907487.89,-2.639012389256263,67.576,36.3435
24015,111,2,1,0.852,0.912,0.2,0.343,0.195,0.08549999999999999,5.1,10.6323,0.93013,0.90281,0.88009,0.17006,0.1788,0.27302,0.5558183333333333,0.20729333333333333,0.9043433333333333,0.055931525651249106,407.526,2066005.95,3335508.07,-5.611495601351056,100.161,88.761
24016,112,2,1,0.852,0.912,0.175,0.18,0.187,0.08549999999999999,5.504,11.1629,0.93251,0.90734,0.88287,0.16968,0.16783,0.28094,0.5568616666666666,0.20614999999999997,0.9075733333333332,0.06087506341282278,508.229,2345327.63,4657162.9,-4.528785309026054,158.466,116.125
24017,113,2,1,0.852,0.911,0.211,0.208,0.167,0.092,7.905,15.3993,0.94402,0.91683,0.89811,0.20099,0.22007,0.32311,0.583855,0.24805666666666668,0.9196533333333333,0.08879115970339625,478.259,1446929.35,2674064.15,-3.6326682054282156,153.15,58.6591
24018,114,2,1,0.852,0.912,0.262,0.517,0.229,0.2365,4.232,9.96577,0.93698,0.91027,0.8892,0.16011,0.17532,0.26777,0.5566083333333334,0.20106666666666664,0.91215,0.060123233536432966,459.169,1906721.29,3950806.64,-1.6905930533492148,139.409,76.2847
24019,115,2,1,0.861,0.917,0.537,0.586,0.41,0.4195,1.787,2.61127,0.93519,0.90843,0.88682,0.16911,0.18866,0.27708,0.5608816666666667,0.21161666666666668,0.9101466666666668,0.06489415964842919,368.636,1947228.78,3597966.21,-3.911758715010804,80.858,80.1925
24020,116,2,1,0.853,0.913,0.293,0.524,0.254,0.27449999999999997,4.106,8.78263,0.93868,0.91783,0.89893,0.15281,0.16111,0.26614,0.5559166666666667,0.19335333333333335,0.9184800000000001,0.07267371184134391,481.661,2788327.23,4889452.89,-3.532427001986508,239.536,82.908
24021,117,2,1,0.852,0.911,0.195,0.211,0.166,0.1145,12.782,25.0821,0.93325,0.90852,0.88565,0.16524,0.17276,0.25881,0.5540383333333333,0.19893666666666668,0.90914,0.057602531158681816,404.438,2590723.29,4502831.7,-4.639342185714044,200.399,95.0474
24022,118,2,1,0.856,0.914,0.49,0.492,0.298,0.2935,3.048,5.38426,0.93827,0.91153,0.89018,0.15988,0.18485,0.2494,0.555685,0.19804333333333335,0.9133266666666667,0.03832657023567663,486.515,2128188.93,3551737.75,-2.682630039932737,197.47,70.5784
24023,119,2,1,0.853,0.912,0.26,0.286,0.2,0.1585,7.634,15.7822,0.94279,0.92325,0.90543,0.1767,0.19601,0.28201,0.5710316666666666,0.21824,0.9238233333333333,0.06207241523516132,383.204,1857339.77,3141726.0,-4.434521190708376,91.056,66.071
24024,12,2,1,0.853,0.912,0.292,0.569,0.238,0.2695,4.889,10.1597,0.94156,0.9214,0.90322,0.16344,0.1845,0.25888,0.5621666666666667,0.20227333333333333,0.92206,0.05763676491042133,417.439,1815696.05,3540731.78,-2.829906332106785,154.324,78.498
24025,120,2,1,0.852,0.911,0.186,0.193,0.167,0.1065,7.839,16.3498,0.93533,0.90299,0.87767,0.18027,0.18847,0.28056,0.5608816666666666,0.21643333333333334,0.9053299999999999,0.07607349159952718,513.035,2564404.94,4408528.91,-3.9407810555659983,152.714,67.9986
24026,121,2,1,0.852,0.912,0.211,0.309,0.189,0.098,7.681,15.3213,0.92991,0.88736,0.85343,0.15438,0.17271,0.24022,0.5396683333333333,0.18910333333333332,0.8902333333333333,0.04530705388492606,396.232,1532981.57,2852768.37,-2.3155522757063594,148.486,69.4271
24027,122,2,1,0.852,0.911,0.244,0.258,0.167,0.0995,8.656,17.7085,0.93923,0.91256,0.88997,0.17009,0.20497,0.23957,0.5593983333333333,0.20487666666666668,0.9139200000000001,0.03387808857023913,355.946,1130723.92,2032244.49,-2.898072551360214,133.236,42.8721
24028,123,2,1,0.852,0.911,0.213,0.299,0.166,0.1595,6.504,13.1404,0.93936,0.91377,0.89166,0.17346,0.201,0.27256,0.5653016666666667,0.21567333333333336,0.91493,0.060574384142910276,387.25,1152007.98,2480858.91,-2.8718416045466366,106.336,62.6922
24029,124,2,1,0.852,0.911,0.196,0.203,0.169,0.0835,7.559,14.453,0.93689,0.91287,0.88896,0.18712,0.19497,0.27552,0.566055,0.21920333333333333,0.9129066666666666,0.06574688680120744,520.531,2356491.32,4772359.84,-2.386337477121442,118.108,78.9654
24030,125,2,1,0.852,0.911,0.213,0.277,0.166,0.134,7.501,15.2381,0.93806,0.90507,0.87905,0.18072,0.20368,0.30399,0.5684283333333333,0.22946333333333332,0.9073933333333333,0.06995783951715566,463.578,1834569.66,2934911.81,-4.150642604862329,164.86,50.31
24031,126,2,1,0.853,0.912,0.327,0.394,0.224,0.20450000000000002,7.21,14.641,0.94416,0.92042,0.90225,0.14823,0.1506,0.2605,0.5543600000000001,0.18644333333333332,0.9222766666666667,0.05126548624175485,489.123,2439130.61,4043096.08,-2.587177112521619,158.936,81.8356
24032,127,2,1,0.852,0.912,0.178,0.186,0.187,0.1045,7.057,12.7403,0.9334,0.90509,0.88029,0.18925,0.19379,0.30613,0.5679916666666667,0.22972333333333336,0.90626,0.07626561872893944,464.66,3142031.32,5768342.65,-4.52304186964802,124.824,109.322
24033,128,2,1,0.853,0.912,0.23,0.419,0.216,0.2185,4.267,9.57991,0.94175,0.91463,0.89628,0.18072,0.2017,0.2665,0.5669299999999999,0.21630666666666665,0.9175533333333333,0.06227893230970948,406.317,2126497.34,3830754.63,-3.8112921254529715,131.808,70.4155
24034,129,2,1,0.852,0.911,0.217,0.232,0.166,0.085,10.361,17.5055,0.9327,0.90451,0.87956,0.15439,0.19274,0.24747,0.551895,0.19820000000000002,0.90559,0.03388543579208089,389.596,1973290.5,3098792.59,-3.019387329613119,131.873,53.9226
24035,13,2,1,0.852,0.911,0.195,0.177,0.169,0.082,7.679,15.125,0.94165,0.91365,0.89096,0.19602,0.22069,0.32864,0.581935,0.24844999999999998,0.91542,0.10323010892025195,473.651,1576557.9,3446500.56,-3.527290263581467,196.487,67.7092
24036,130,2,1,0.852,0.912,0.245,0.45,0.205,0.0965,4.359,7.55665,0.94141,0.92199,0.90606,0.14964,0.17417,0.24731,0.5567633333333334,0.1903733333333333,0.9231533333333334,0.041902715986498154,410.626,1901898.66,3006553.01,-2.7292707576401307,127.587,75.2808
24037,131,2,1,0.852,0.911,0.201,0.179,0.166,0.0435,8.378,18.0364,0.93322,0.90146,0.8777,0.17775,0.19551,0.26039,0.5576716666666667,0.21121666666666664,0.9041266666666666,0.046552751949366214,346.378,1723985.22,3181417.23,-1.9264665248671917,170.341,62.4572
24038,132,2,1,0.852,0.911,0.205,0.359,0.18,0.0485,4.685,10.0855,0.93601,0.90726,0.88571,0.17596,0.20628,0.26677,0.5629983333333334,0.21633666666666665,0.90966,0.05424747008000849,268.479,1532787.67,2740841.77,-2.395770327860463,69.532,54.0281
24039,133,2,1,0.852,0.911,0.207,0.3,0.166,0.1385,6.887,15.0155,0.94012,0.91461,0.89455,0.17256,0.19228,0.27256,0.5644466666666667,0.21246666666666666,0.9164266666666666,0.06501858070259914,336.939,1453836.47,2944503.25,-4.291399560555767,95.319,56.7566
