,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,2,1,A.C,0.11222138446755708,0.18049735890044522,251.701,1746631.42,3622874.45,-2.88290864182064,155.553,60.0464,0.0
1,1,2,1,A.D,0.1165665490552783,0.18266994119430585,163.576,1044009.85,1912207.62,-1.3249197344458115,138.449,36.6679,0.0
2,10,2,1,A.C,0.05919723653216805,0.13077528493275067,135.496,1552315.52,2368633.03,-5.413439340804575,100.179,43.633,0.0
3,10,2,1,A.D,0.01553721782728543,0.10894527558030936,,-0.0,-0.0,,0.13,-0.0,0.0
4,100,2,1,A.C,0.07236720115251956,0.13523860057625978,147.583,1787623.9,3031852.7,-7.417076284240648,89.315,68.7628,0.096
5,100,2,1,A.D,0.04082787884535719,0.1194689394226786,8.389,110654.1,196596.5,-0.00047122486302471627,58.529,-0.0,0.0
6,1000,2,1,A.C,0.03513753572605083,0.11931043452969207,34.746,449400.97,804460.38,-0.5724848718846591,30.941,15.0751,0.0
7,1000,2,1,A.D,0.04297349361636407,0.1232284134748487,90.379,616553.5,1095349.17,-2.9323722598617135,72.739,25.0777,0.0
8,101,2,1,A.C,0.03317579676704554,0.12315623171685611,59.162,602023.86,1140111.64,-2.0490446277730454,50.052,9.95673,0.0
9,101,2,1,A.D,0.06306305420876016,0.1380998604377134,176.827,1331085.51,2546534.94,-4.205489626667823,148.058,39.2101,0.0
10,102,2,1,A.C,0.06955635654157959,0.1357015116041231,278.814,2267183.6,4071111.29,-4.854378911557305,55.202,93.5325,0.224
11,102,2,1,A.D,0.03329103176147328,0.11756884921406996,8.552,57278.33,100663.87,-0.01103150934080118,31.436,-0.0,0.0
12,103,2,1,A.C,0.08110395374242216,0.1496469768712111,237.582,2388732.49,3884138.08,-6.174909163805512,125.533,71.5223,0.41
13,103,2,1,A.D,0.06080040709821333,0.13949520354910666,36.267,319399.48,495306.35,-1.58807490341446,70.906,8.16124,0.125
14,104,2,1,A.C,0.0642864766956336,0.14060157168115014,100.092,731755.31,1795301.0,-7.020765058323654,82.978,40.2198,0.03
15,104,2,1,A.D,0.04218676737837086,0.12955171702251878,57.891,368072.4,604395.76,-0.7102830884744893,46.409,14.8424,0.0
16,105,2,1,A.C,0.06812865632527973,0.13300932816263988,171.511,1066616.27,1930463.39,-4.829971099088153,144.891,39.9174,0.061
17,105,2,1,A.D,0.059807152616849636,0.12884857630842483,172.2,859101.12,1919037.62,-3.75302399445787,90.503,36.869,0.085
18,106,2,1,A.C,0.04982021875403007,0.1258917760436817,75.489,496484.69,837977.05,-0.041225729460655315,34.381,7.55205,0.038
19,106,2,1,A.D,0.05502157593218726,0.12849245463276032,81.188,708138.19,1304671.09,-4.187054120644726,90.645,21.3798,0.154
