,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
25000,1,1,1,0.837,0.967,0.0,0.186,0.012,0.186,16.311,17.1622,0.92069,0.80745,0.78483,0.06277,0.03981,0.18518,0.46678833333333336,0.09592,0.8376566666666667,0.04792312395293266,283.132,2215035.15,4438554.64,-1.9499576243268477,105.447,85.6941
25001,10,1,1,0.837,0.967,0.0,0.175,0.005,0.175,21.03,21.1878,0.92254,0.80562,0.78283,0.0717,0.04801,0.21182,0.47375333333333336,0.11051,0.8369966666666667,0.06523198266513647,238.023,2838712.0,5444121.84,-5.477281403816035,106.035,115.492
25002,100,1,1,0.838,0.967,0.0,0.145,0.0,0.145,18.175,20.6019,0.92495,0.8161,0.79454,0.05616,0.03861,0.19797,0.47138833333333335,0.09758,0.8451966666666667,0.056609478658356235,169.59,1720794.58,3627834.98,-4.985745997204524,101.715,85.1812
25003,1000,1,1,0.837,0.967,0.0,0.082,0.016,0.082,19.73,20.9228,0.923,0.80674,0.78583,0.04975,0.03276,0.17281,0.46181500000000003,0.08510666666666666,0.8385233333333334,0.04298861573915928,122.303,1119389.31,2322945.94,-4.988142329642255,106.855,48.3214
25004,101,1,1,0.837,0.967,0.0,0.015,0.0,0.015,19.795,19.1389,0.9205,0.8109,0.78721,0.08527,0.05656,0.21349,0.4789883333333333,0.11844,0.8395366666666666,0.06891416097059846,177.54,2068728.19,3819660.47,-5.98911312876238,136.638,98.3581
25005,102,1,1,0.837,0.967,0.0,0.102,0.0,0.102,20.748,24.6609,0.92114,0.81778,0.79765,0.05928,0.03784,0.19058,0.47071166666666664,0.0959,0.8455233333333333,0.04153158596527646,124.309,963351.87,2712476.11,-4.666151060028513,43.351,59.6011
25006,103,1,1,0.837,0.967,0.0,0.0,0.0,0.0,27.546,35.7656,0.92227,0.82095,0.80097,0.07414,0.04841,0.19302,0.47662666666666664,0.10519,0.8480633333333333,0.049234666560369074,201.477,2203071.04,3876967.77,-4.942108091547657,104.143,84.1799
25007,104,1,1,0.838,0.967,0.0,0.302,0.003,0.302,18.407,18.4573,0.91516,0.79772,0.77443,0.0563,0.03478,0.18111,0.45991666666666664,0.09072999999999999,0.8291033333333333,0.050944447384972585,131.679,1062081.4,2437738.42,-8.017199958766072,61.814,56.8772
25008,105,1,1,0.837,0.967,0.0,0.0,0.0,0.0,17.333,21.7902,0.91924,0.80611,0.78379,0.06978,0.04326,0.1807,0.46714666666666665,0.09791333333333334,0.83638,0.054700196161866194,178.448,2389450.7,4079635.46,-3.426398452605474,116.752,95.9501
25009,106,1,1,0.837,0.967,0.0,0.0,0.0,0.0,21.378,25.4103,0.91557,0.80082,0.77647,0.05929,0.02995,0.16002,0.45702000000000004,0.08308666666666667,0.8309533333333334,0.040878826929838394,236.818,1626279.27,3704439.88,-6.0501239795876725,117.34,88.9429
25010,107,1,1,0.837,0.967,0.0,0.185,0.014,0.185,16.693,17.3522,0.9203,0.80462,0.78182,0.05815,0.03838,0.16781,0.4618466666666666,0.08811333333333332,0.8355799999999999,0.04223568820671062,152.701,1781954.19,3454145.46,-2.7169142888108064,84.854,72.4584
25011,108,1,1,0.837,0.967,0.0,0.036,0.0,0.036,14.782,18.0006,0.91674,0.80078,0.77759,0.05816,0.04231,0.17654,0.46202,0.09233666666666666,0.8317033333333334,0.04778153303777799,89.509,1505288.82,3472216.36,-5.546291543839525,118.649,62.2889
25012,109,1,1,0.837,0.967,0.0,0.05,0.0,0.05,17.177,20.5055,0.92305,0.8191,0.79931,0.05248,0.03187,0.19446,0.470045,0.09293666666666667,0.8471533333333333,0.04815229322994127,142.288,1541925.26,3364622.05,-5.239978517357145,108.533,67.1638
25013,11,1,1,0.837,0.967,0.0,0.197,0.007,0.197,16.921,17.6587,0.91527,0.80126,0.77503,0.06055,0.03707,0.19321,0.46373166666666665,0.09694333333333333,0.83052,0.054090815992094574,281.357,1585980.56,3750172.43,-4.201854237201999,110.657,91.7848
