,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
26000,1,1,1,0.854,0.938,0.118,0.615,0.11,0.615,6.215,7.19948,0.89485,0.81059,0.77104,0.1577,0.11796,0.38487,0.5228349999999999,0.2201766666666667,0.8254933333333333,0.18289938690140842,185.46,1708377.49,3638521.21,-2.4973942448558613,106.449,110.287
26001,10,1,1,0.857,0.938,0.0,0.135,0.107,0.135,5.806,7.31979,0.90012,0.82775,0.794,0.14041,0.08843,0.26108,0.501965,0.16330666666666668,0.8406233333333333,0.1156477563083172,260.269,1976229.28,3289193.26,-4.43446042362571,148.768,62.0019
26002,100,1,1,0.854,0.936,0.0,0.45,0.083,0.45,7.74,7.68959,0.90857,0.81625,0.77852,0.15249,0.11493,0.4102,0.53016,0.22587333333333334,0.8344466666666667,0.1918357415124774,209.318,1733800.56,3323652.7,-2.3976678661928226,142.833,77.0828
26003,1000,1,1,0.85,0.934,0.056,0.233,0.037,0.233,8.386,10.1467,0.89662,0.8231,0.78642,0.14081,0.0793,0.31386,0.506685,0.17798999999999998,0.8353800000000001,0.13424330689013003,135.269,1076462.58,2646123.55,-4.597062776296111,69.161,47.7713
26004,101,1,1,0.85,0.936,0.068,0.36,0.089,0.36,7.397,8.67407,0.90779,0.83135,0.79754,0.14694,0.09444,0.34803,0.521015,0.19647,0.84556,0.15636994177475572,206.786,1909506.57,3465022.93,-7.263415478102835,93.846,78.5539
26005,102,1,1,0.856,0.941,0.351,0.463,0.215,0.463,8.481,7.46795,0.90754,0.82945,0.79132,0.1726,0.13587,0.39457,0.5385583333333334,0.23434666666666668,0.8427700000000001,0.19384023882448673,170.288,1650341.53,2744015.21,-5.405343118645704,116.792,93.8428
26006,103,1,1,0.856,0.942,0.184,0.568,0.157,0.568,11.394,8.22924,0.90395,0.82916,0.78559,0.22423,0.23264,0.40751,0.5638466666666667,0.2881266666666667,0.8395666666666667,0.22886246889829637,136.881,1552943.23,2874991.19,-8.534685776834637,118.003,61.0636
26007,104,1,1,0.85,0.935,0.0,0.146,0.036,0.146,10.093,11.0027,0.89769,0.82361,0.79091,0.12836,0.08061,0.25544,0.49610333333333323,0.15480333333333332,0.8374033333333332,0.09495390066877007,216.521,976080.77,2156902.42,-4.503738888841421,59.227,34.3705
26008,105,1,1,0.857,0.94,0.07,0.476,0.148,0.476,6.375,6.67995,0.91585,0.83195,0.80211,0.15194,0.10136,0.39429,0.5329166666666667,0.21586333333333332,0.84997,0.18453613771125674,175.422,1960779.73,3305158.42,-3.515697143821176,140.726,84.8845
26009,106,1,1,0.857,0.938,0.135,0.488,0.117,0.488,5.957,6.84059,0.89206,0.80429,0.76163,0.14855,0.10082,0.3647,0.5120083333333333,0.20469,0.8193266666666666,0.16885933186858892,158.306,2229510.72,4090838.64,-3.7562726068972143,100.757,97.1595
