,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
27000,1,2,2,0.739,0.761,0.727,0.881,0.548,0.5740000000000001,2.287,4.86577,0.89273,0.7987,0.74699,0.45155,0.43774,0.57409,0.6502999999999999,0.4877933333333333,0.8128066666666666,0.11494145020515134,1824.7,1814828.01,3661422.93,-2.6036772454889148,153.513,87.8661
27001,10,2,2,0.838,0.801,0.776,0.906,0.664,0.7662499999999999,1.302,1.05177,0.88574,0.78965,0.73353,0.44507,0.42048,0.5843,0.6431283333333334,0.48328333333333334,0.8029733333333334,0.12712385090999304,1870.05,2441081.5,5239200.1,-3.4916362044083247,183.677,125.112
27002,100,2,2,0.677,0.73,0.599,0.729,0.438,0.0545,9.694,17.5048,0.88741,0.78776,0.7315,0.43683,0.41052,0.55722,0.6352066666666667,0.46819000000000005,0.8022233333333334,0.0795862597176872,1749.35,1545423.47,3018214.32,-4.885041142205382,102.354,61.3999
27003,1000,2,2,0.682,0.735,0.602,0.817,0.461,0.14150000000000001,9.084,12.9585,0.90429,0.79986,0.74633,0.44267,0.41532,0.58464,0.6488516666666667,0.4808766666666667,0.8168266666666667,0.1316150249855127,1694.23,1550127.61,3637678.05,-1.3091210922308347,112.373,82.4851
27004,101,2,2,0.692,0.743,0.621,0.881,0.487,0.42274999999999996,4.001,16.0333,0.89715,0.79334,0.73942,0.4317,0.42831,0.57477,0.644115,0.47825999999999996,0.80997,0.11430384431309902,1808.89,1825807.52,3713336.75,-2.3461475686456783,183.261,94.1868
27005,102,2,2,0.677,0.731,0.578,0.715,0.443,0.0245,16.995,18.4702,0.89424,0.78665,0.74093,0.41823,0.39336,0.53732,0.628455,0.4496366666666667,0.8072733333333333,0.05907725963071045,1708.75,2386915.34,4042922.98,-2.4627955622977704,142.535,79.3244
27006,103,2,2,0.691,0.743,0.646,0.874,0.492,0.24925,4.802,15.454,0.89478,0.80442,0.7502,0.45134,0.43457,0.59602,0.6552216666666666,0.49397666666666673,0.8164666666666666,0.1388314020863618,1760.25,1603224.78,3796042.66,-2.380088722853817,133.42,108.344
27007,104,2,2,0.695,0.742,0.645,0.831,0.489,0.218,7.108,14.3742,0.89953,0.80178,0.74795,0.45031,0.46252,0.59177,0.6589766666666667,0.5015333333333333,0.81642,0.1339298339254782,1769.6,1243104.91,2892987.11,-1.9747074918461545,141.453,83.695
27008,105,2,2,0.668,0.729,0.623,0.781,0.439,0.022,13.943,16.9112,0.90251,0.79356,0.74645,0.43143,0.43819,0.54908,0.6435366666666666,0.47290000000000004,0.8141733333333333,0.03796984801754455,1665.39,1091419.1,2360269.38,-1.488912996322046,104.038,46.353
27009,106,2,2,0.684,0.744,0.585,0.805,0.485,0.1825,8.295,12.6164,0.88845,0.7935,0.73506,0.44193,0.39851,0.59782,0.642545,0.47941999999999996,0.8056700000000001,0.1320947414904367,1770.8,2673364.36,5360087.7,-2.8767444397249973,134.383,121.658
27010,107,2,2,0.754,0.775,0.736,0.865,0.59,0.525,2.209,1.96268,0.88628,0.78949,0.73357,0.44561,0.44593,0.57818,0.6465100000000001,0.4899066666666667,0.8031133333333335,0.10082466023159214,1810.41,2194179.03,4035636.19,-2.329830361964241,180.384,81.2016
27011,108,2,2,0.677,0.732,0.612,0.737,0.444,0.1235,16.162,15.9498,0.89387,0.78808,0.73709,0.42461,0.4455,0.54746,0.639435,0.47252333333333335,0.8063466666666667,0.04163967729336946,1661.34,1438554.11,2551371.06,-1.4385244137246236,131.608,62.1738
27012,109,2,2,0.677,0.732,0.612,0.726,0.444,0.02775,15.471,17.0916,0.88195,0.7754,0.71862,0.41097,0.45249,0.52657,0.6276666666666667,0.4633433333333334,0.7919900000000001,0.024177367223355263,1692.68,1574307.22,2607685.99,-0.9363682116740929,92.547,71.8337
27013,11,2,2,0.797,0.793,0.764,0.89,0.644,0.7015000000000001,1.487,1.24289,0.88945,0.79304,0.73997,0.44086,0.42151,0.58021,0.6441733333333334,0.48086,0.8074866666666667,0.12790921106934547,1881.79,2504071.61,4927150.69,-2.020447531978907,177.66,121.549
27014,110,2,2,0.681,0.747,0.65,0.829,0.495,0.28025,6.976,7.62799,0.90203,0.81203,0.76328,0.45021,0.47192,0.59068,0.665025,0.50427,0.82578,0.1072770865066559,1737.23,1327702.68,2815514.74,-1.9318745762877647,181.776,51.0756
