,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,2,2,B.D,0.0891216495539993,0.2884574914436663,65.828,310506.95,654692.02,-1.013578455092309,40.56,18.5167,0.48
1,1,2,2,B.C,0.08384789595002075,0.285820614641677,35.116,201401.66,351281.17,-0.24281606853283855,69.899,7.91717,0.235
2,1,2,2,A.D,0.14858648255467416,0.3181899079440037,159.009,881745.96,1608727.63,-3.31979873227206,80.005,35.2589,0.529
3,1,2,2,A.C,0.13820977276191115,0.3130015530476222,78.485,467807.4,1046722.11,-5.838515726058452,40.559,26.1733,0.462
4,10,2,2,A.C,0.14786658687517046,0.3155749601042519,129.74,696431.82,1488324.85,-4.495343792161093,67.353,37.0399,0.812
5,10,2,2,A.D,0.12876812377944588,0.3060257285563896,104.209,722800.03,1376182.83,-3.150263174373878,111.206,32.0398,0.593
6,10,2,2,B.C,0.12354747615754604,0.3034154047454397,132.35,592578.54,1289281.69,-4.901423661262249,87.514,23.8165,0.571
7,10,2,2,B.D,0.10831321682780981,0.29579827508057155,62.547,503988.35,1085410.72,-1.4195141898360792,49.129,32.216,0.615
8,100,2,2,A.D,0.0036494525785531803,0.23591972628927663,,-0.0,-0.0,,0.025,-0.0,0.0
9,100,2,2,A.C,0.008420177390921383,0.23830508869546072,,-0.0,-0.0,,11.363,-0.0,0.0
10,100,2,2,B.D,0.15300419926643372,0.3105970996332169,112.478,896670.24,1600215.54,-5.668176457896527,46.469,40.7538,0.0
11,100,2,2,B.C,0.1532712096348405,0.31073060481742026,100.378,711916.05,1417998.77,-4.101905826514237,59.267,20.6461,0.0
12,1000,2,2,A.D,0.12136348865460604,0.30112007766063636,87.272,769521.31,1475545.91,-3.6955708725172816,82.168,44.2118,0.056
13,1000,2,2,A.C,0.11294298039283604,0.29690982352975137,32.116,253559.83,358228.05,-0.002006649501479686,35.978,9.93291,0.0
14,1000,2,2,B.D,0.14357134774327276,0.31222400720496973,11.439,383898.19,1035873.74,-0.061976611266495944,130.3,17.8664,0.062
15,1000,2,2,B.C,0.148582283151336,0.3147294749090013,55.266,308946.07,768030.35,-1.4769302356380811,33.151,10.474,0.0
16,101,2,2,B.C,0.1137873277068138,0.2960236638534069,22.087,190879.78,397525.34,-1.8369937995818024,36.859,7.54842,0.16
17,101,2,2,B.D,0.07749840272645087,0.2778792013632254,67.233,366125.66,670564.56,-1.1841779775855283,80.649,16.1295,0.091
18,101,2,2,A.C,0.15629277396947144,0.3172763869847357,183.082,824114.57,1656493.41,-3.623892834435138,92.723,38.7233,0.118
19,101,2,2,A.D,0.10963687284966,0.29394843642483,67.799,500490.79,988753.44,-2.739525662980244,58.764,31.7856,0.0
20,102,2,2,B.C,0.01648199121039795,0.23305932893853232,41.139,347968.34,606696.59,-4.389017212548544,34.08,25.8094,0.0
21,102,2,2,B.D,0.013529786726664382,0.23158322669666553,,15336.41,6555.47,,14.838,-0.0,0.0
22,102,2,2,A.C,0.11064042063699163,0.28013854365182916,86.484,1325074.83,2198340.79,-2.255946055845851,72.991,46.3388,0.0
23,102,2,2,A.D,0.09565683994878782,0.27264675330772725,72.168,737581.52,1231330.14,-0.7434234184989152,147.479,7.17625,0.0
24,103,2,2,A.D,0.17032806649804116,0.3321523665823539,48.776,563347.12,1032347.38,-0.9165209449854054,45.616,26.5469,0.222
25,103,2,2,A.C,0.13254217142239214,0.3132594190445294,66.278,360063.83,1177946.43,-5.02652319664937,34.99,34.1027,0.27
26,103,2,2,B.D,0.1333434835076332,0.31366007508715,54.287,280310.58,602877.05,-0.34917631244300396,60.963,23.8968,0.296
27,103,2,2,B.C,0.11911188691738062,0.3065442767920237,92.881,418479.69,982871.81,-3.2281344373374883,68.103,23.7978,0.133
28,104,2,2,A.D,0.06113887235096627,0.28133610284214977,21.063,206181.84,264480.02,-0.0006854834152732461,161.28,5.93079,0.125
29,104,2,2,A.C,0.0856627645466574,0.29359804893999536,73.992,209028.02,527521.77,-0.012449410475405681,39.839,16.1419,0.435
30,104,2,2,B.D,0.1945478804409504,0.34804060688714183,84.918,452781.77,1348591.17,-5.819496872355226,94.724,48.367,0.054
31,104,2,2,B.C,0.19436981836333872,0.347951575848336,42.611,355770.4,752394.15,-2.0661982011387128,45.682,13.2553,0.0
32,105,2,2,A.D,0.019286897077631694,0.24609344853881587,37.1,240730.78,362677.54,-0.00015596507512979582,34.586,6.4947,0.0
33,105,2,2,A.C,0.0030900071831965192,0.23799500359159828,,-0.0,-0.0,,31.894,-0.0,0.0
34,105,2,2,B.D,0.07276414176449181,0.2728320708822459,15.002,254046.82,811377.27,-1.5983106167299965,47.032,21.2055,0.0
35,105,2,2,B.C,0.05673834604485819,0.26481917302242913,87.261,583718.55,1186214.56,-2.8682724071610117,71.465,18.6528,0.0
36,106,2,2,B.C,0.15386671316809952,0.31664335658404974,97.17,932847.2,1614994.13,-4.396729646025049,78.647,30.4454,0.0
37,106,2,2,B.D,0.14686595280654727,0.3131429764032736,74.122,876299.06,2068822.58,-4.360058850398827,92.569,40.7684,0.136
38,106,2,2,A.C,0.11762182379607111,0.29852091189803553,24.071,210063.5,285494.44,-0.0006195304951799169,98.653,10.5144,0.0
39,106,2,2,A.D,0.11002447619102894,0.29472223809551445,114.096,837221.87,1390776.54,-2.749569731980932,58.421,39.9303,0.222
40,107,2,2,A.C,0.06856994777917862,0.27923830722292264,12.272,271419.49,473119.33,-0.36656449790628187,89.663,7.9456,0.222
41,107,2,2,A.D,0.07478721451479942,0.28234694059073306,44.887,195333.86,403986.03,-0.0004504941012127294,70.403,4.97534,0.211
42,107,2,2,B.C,0.12770626554265618,0.30880646610466145,190.397,960587.05,1645191.41,-4.268499451065405,116.058,33.3858,0.686
43,107,2,2,B.D,0.13223521308973432,0.3110709398782005,85.987,814238.14,1513339.42,-4.683807004784065,66.028,34.8948,0.581
44,108,2,2,A.D,0.04898580035078339,0.2607545668420584,63.593,441358.34,721497.07,-2.4492625689571605,38.456,20.0467,0.0
45,108,2,2,A.C,0.07019807298966044,0.2713607031614969,25.43,380314.43,611048.63,-0.6713576675990685,34.238,14.7742,0.0
46,108,2,2,B.D,0.021607177963596774,0.24706525564846507,57.224,465330.12,1013401.0,-2.633102246316754,73.577,25.5284,0.0
47,108,2,2,B.C,0.025767657869437244,0.2491454956013853,5.154,102473.54,205424.35,-0.00037517202551166527,10.039,1.82443,0.0
48,109,2,2,A.C,0.007451337013806381,0.2353973351735699,,-0.0,-0.0,,0.781,-0.0,0.0
49,109,2,2,A.D,0.0068196395732229576,0.23508148645327817,4.66,96710.16,181051.66,-0.000782953413593839,1.081,3.28672,0.0
50,109,2,2,B.C,0.04251138809777331,0.25292736071555333,142.553,1015498.64,1388634.01,-0.8934903040767488,46.363,33.6853,0.0
51,109,2,2,B.D,0.039927104208618405,0.2516352187709759,82.072,453002.55,1038000.32,-1.914831377531936,60.017,34.8617,0.0
52,11,2,2,A.C,0.14406090723350645,0.31246045361675323,156.864,713404.96,1436999.57,-3.2156433543215144,80.043,41.1999,0.727
53,11,2,2,A.D,0.13976929674390703,0.31031464837195355,112.069,821830.52,1402255.7,-2.9124688008811246,70.077,36.5004,0.516
54,11,2,2,B.C,0.11127604637295008,0.29606802318647507,111.953,641551.94,1091336.13,-0.1934016531084639,95.813,22.1585,0.621
55,11,2,2,B.D,0.11653059392701834,0.29869529696350916,61.819,347992.77,996559.28,-1.7602763196045264,42.455,21.6903,0.56
56,110,2,2,B.D,0.15415493231266736,0.3292124661563337,96.907,588177.77,1238162.13,-3.794853206479096,53.59,19.6493,0.0
57,110,2,2,B.C,0.13095025531947613,0.31761012765973806,31.345,178756.67,527416.79,-2.198550110592478,82.2,10.3811,0.24
58,110,2,2,A.D,0.08034692746587098,0.2923084637329355,37.348,210054.29,444115.69,-0.10894634644181132,72.539,11.716,0.0
59,110,2,2,A.C,0.06365623092860914,0.2839631154643046,56.419,341154.95,605820.13,-1.6251486416376746,107.643,9.32916,0.316
60,111,2,2,A.C,0.11199315786361694,0.2814815789318085,119.561,585019.6,1209189.54,-1.265844796260699,59.984,22.7811,0.0
61,111,2,2,A.D,0.09699814533814788,0.273984072669074,147.108,1134955.74,2147425.66,-5.696946264313508,98.832,62.4947,0.043
62,111,2,2,B.C,0.006448629370436132,0.22870931468521807,18.222,102689.19,154335.0,-0.0019298090108349005,23.499,4.41932,0.0
63,111,2,2,B.D,0.003539851801399351,0.2272549259006997,,-0.0,-0.0,,3.41,-0.0,0.0
64,112,2,2,A.D,0.07530951243825255,0.28435308955245964,76.546,472082.9,867531.34,-0.2929705761927403,33.954,26.9798,0.0
65,112,2,2,A.C,0.07829345905047376,0.28584506285857025,,73457.07,109319.47,-0.03442095321010514,73.597,2.08287,0.0
66,112,2,2,B.D,0.1386484108865261,0.3160225387765964,12.404,273177.68,1148819.51,-1.8528696227567023,73.4,19.2888,0.207
67,112,2,2,B.C,0.13672808827832342,0.31506237747249505,102.297,773941.0,1268085.95,-5.05941088285058,60.055,27.9378,0.111
68,113,2,2,A.D,0.019591719068193923,0.23579252620076366,26.404,390869.31,821202.02,-2.0528314346001766,24.915,25.3346,0.0
69,113,2,2,A.C,0.014912222625207505,0.23345277797927047,,-0.0,-0.0,,4.492,-0.0,0.0
70,113,2,2,B.D,0.08476384063833392,0.26837858698583367,52.269,945679.36,1557092.85,-2.168099190886715,136.417,32.1194,0.0
71,113,2,2,B.C,0.0818445172488282,0.2669189252910808,134.641,975792.16,1731630.08,-2.0390502318331425,103.678,15.4203,0.0
72,114,2,2,A.C,0.09001327410514932,0.2954716370525747,75.054,490676.58,975206.07,-3.2591070478985373,67.703,20.5207,0.067
73,114,2,2,A.D,0.09035202105296776,0.2956410105264839,31.204,169820.95,284329.97,-0.0008791743076568455,72.766,8.27405,0.0
74,114,2,2,B.C,0.07612846303163678,0.2885292315158184,2.291,66066.59,116863.79,-0.0037217366954757623,50.43,-0.0,0.0
75,114,2,2,B.D,0.07452077260240912,0.28772538630120453,56.113,260032.97,771832.07,-0.09388533696325063,35.159,16.38,0.522
76,115,2,2,A.C,0.09545467855641618,0.2933973392782081,48.189,557339.3,987961.85,-0.0699401418944165,39.222,18.5222,0.636
77,115,2,2,A.D,0.08472196058137343,0.28803098029068674,65.464,445285.63,746906.62,-0.44221068794168483,61.804,11.1186,0.286
78,115,2,2,B.C,0.09849637113511563,0.29491818556755783,129.489,688741.99,1141662.22,-1.450326165063319,107.608,20.465,0.552
79,115,2,2,B.D,0.0877137397415936,0.28952686987079684,70.33,391689.64,874201.96,-0.08691108970863283,49.72,21.6146,0.4
80,116,2,2,A.D,0.12054433763260021,0.30321216881630014,33.562,273481.47,472160.16,-0.0017406131310781152,30.11,9.83464,0.0
81,116,2,2,A.C,0.1065345406124834,0.2962072703062417,54.615,403360.14,810432.83,-0.9736330440677274,71.209,10.0362,0.0
82,116,2,2,B.D,0.12760683717206123,0.3067434185860306,128.822,495699.96,801982.98,-0.9796086424553203,91.422,23.7597,0.0
83,116,2,2,B.C,0.11422787280753254,0.30005393640376626,80.953,520320.34,1015116.32,-5.804927813821689,37.77,18.0434,0.0
84,117,2,2,A.D,0.07940955732483418,0.2857581119957504,49.949,344697.99,724022.9,-0.4768834407375703,50.86,14.0201,0.609
85,117,2,2,A.C,0.09644129855441862,0.29427398261054266,54.498,308033.39,676264.33,-0.8393147311539366,69.329,11.2408,0.273
86,117,2,2,B.D,0.07729827707807999,0.28470247187237335,122.334,641192.65,1048703.84,-3.8010416792618833,85.073,18.4131,0.552
87,117,2,2,B.C,0.08887378289364278,0.29049022478015474,66.326,464861.2,917842.07,-0.9717406588794295,57.324,18.3128,0.5
88,118,2,2,A.C,0.04974595362436957,0.25590297681218477,63.952,1043181.72,1803116.13,-2.2046150037663415,48.908,36.0875,0.0
89,118,2,2,A.D,0.03336927054624539,0.24771463527312268,98.024,759427.6,1028215.04,-0.3529856767927717,60.254,8.79288,0.0
90,118,2,2,B.C,0.06101420084874007,0.26153710042437,27.442,452404.94,732900.99,-0.06077844638444567,29.006,19.4347,0.0
91,118,2,2,B.D,0.02769914302134566,0.24487957151067283,9.899,92176.54,189189.06,-0.019363609645558368,24.8,1.30642,0.0
92,119,2,2,B.D,0.07507530500879511,0.2817459858377309,3.313,96094.12,154593.34,-0.07994723463457527,2.547,4.1742,0.0
93,119,2,2,B.C,0.0658967106223372,0.27715668864450194,83.928,421098.36,1092540.23,-3.2154653744099018,32.706,25.6112,0.071
94,119,2,2,A.D,0.18008035477250817,0.33424851071958744,33.124,555626.24,1288275.06,-3.076806584364027,52.448,22.3923,0.061
95,119,2,2,A.C,0.13460012711584568,0.3115083968912562,10.536,343339.06,714601.97,-1.4605099407223698,40.066,16.0435,0.222
96,12,2,2,B.C,0.0727773493155837,0.2840253413244585,9.239,18047.5,48758.07,-0.025480310630880524,62.736,-0.0,0.0
97,12,2,2,B.D,0.049752122564177624,0.2725127279487555,101.152,626133.84,1110145.5,-3.095421921221313,49.928,26.4974,0.148
98,12,2,2,A.C,0.19346467535942796,0.3443690043463806,46.208,635220.81,1615463.18,-5.102149715525532,25.548,31.3873,0.05
99,12,2,2,A.D,0.13405554476194081,0.3146644390476371,-10.353,378652.79,836630.03,-0.9752001572330323,41.962,17.8201,0.25
100,120,2,2,B.C,0.08208416402339935,0.277360415345033,36.943,541251.46,923711.5,-1.150344691147804,59.605,3.09944,0.0
101,120,2,2,B.D,0.16319375252351165,0.3179152095950891,163.58,1013284.69,2536294.67,-4.926350912803856,95.556,49.7321,0.136
102,120,2,2,A.C,0.0057126177172126084,0.23917464219193962,,-0.0,-0.0,,0.751,-0.0,0.0
103,120,2,2,A.D,0.03330412122013513,0.2529703939434009,7.92,169898.53,403028.22,-0.011035040760468552,40.499,3.89722,0.105
104,121,2,2,B.D,0.14005388701334598,0.3030352768400063,80.223,421206.8,868056.85,-5.451349180846897,72.543,27.5228,0.133
105,121,2,2,B.C,0.12720160895260052,0.2966091378096336,130.963,821656.9,1623323.42,-3.420091474584682,100.389,37.0086,0.054
106,121,2,2,A.D,0.1406775161623955,0.3033470914145311,109.381,599679.96,1405144.07,-5.585231407989824,85.623,33.4589,0.0
107,121,2,2,A.C,0.10620748167857527,0.28611207417262097,94.782,437215.02,607681.5,-1.677919986095037,38.237,15.7558,0.091
108,122,2,2,B.C,0.13159653544425964,0.29670160105546317,175.531,1043329.79,1820670.0,-2.1734669243473603,123.797,46.0131,0.412
109,122,2,2,B.D,0.12303139469586313,0.2924190306812649,119.188,1024550.7,1530138.84,-3.452082473914853,85.137,32.2477,0.067
110,122,2,2,A.C,0.00079007622517544,0.23129837144592105,,6674.93,2377.17,,12.107,-0.0,0.0
111,122,2,2,A.D,0.001512288468421811,0.23165947756754424,,-0.0,-0.0,,9.83,-0.0,0.0
112,123,2,2,A.D,0.10694246331695466,0.30088456499181065,34.695,602033.33,1127673.13,-2.908767089144048,46.852,21.9125,0.0
113,123,2,2,A.C,0.053467482398264106,0.2741470745324654,,6851.78,4941.33,,19.223,-0.0,0.0
