,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
28000,1,1,1,0.778,0.833,0.021,0.265,0.049,0.265,7.968,11.3298,0.92232,0.88679,0.87064,0.10221,0.06863,0.2752,0.520965,0.14868,0.89325,0.11428503170609473,360.295,2211800.95,5015502.37,-0.20794391059447698,174.372,130.286
28001,10,1,1,0.777,0.831,0.0,0.144,0.0,0.144,12.47,16.8617,0.91941,0.87965,0.86201,0.04534,0.02204,0.15693,0.4808966666666667,0.07476999999999999,0.8870233333333334,0.035894749777980905,167.369,2222516.68,3726199.3,-3.5661797020445016,180.74,72.558
28002,100,1,1,0.777,0.833,0.037,0.22,0.042,0.22,9.247,13.0143,0.92348,0.87867,0.8626,0.06071,0.0337,0.20787,0.4945049999999999,0.10076,0.8882499999999999,0.06579296573181637,148.335,1401125.57,3061707.79,-2.907617511347512,53.27,57.0044
28003,1000,1,1,0.777,0.831,0.0,0.084,0.003,0.084,11.662,15.7525,0.9188,0.86418,0.84079,0.05751,0.03235,0.18164,0.482545,0.09049999999999998,0.87459,0.06435880663848366,203.876,1932975.86,3267601.89,-3.8155661859694554,82.412,70.3256
28004,101,1,1,0.778,0.833,0.036,0.217,0.043,0.217,7.734,10.928,0.92041,0.87946,0.8611,0.07958,0.04427,0.24582,0.5051066666666666,0.12322333333333334,0.88699,0.09431108150165528,242.044,1998735.61,3925781.91,-2.8945307241560463,119.324,59.4837
28005,102,1,1,0.777,0.832,0.0,0.264,0.018,0.264,7.981,11.0729,0.91929,0.87747,0.85839,0.09066,0.05955,0.25059,0.509325,0.1336,0.88505,0.10774785822723061,347.543,2553360.38,4602197.13,-2.6670166816805683,174.648,110.849
28006,103,1,1,0.778,0.832,0.024,0.257,0.024,0.257,7.712,10.8963,0.91685,0.87681,0.8597,0.08816,0.06714,0.25364,0.5103833333333334,0.13631333333333331,0.8844533333333334,0.10512195719638838,367.164,1842236.82,3417185.04,-4.766924179344158,241.591,78.9488
28007,104,1,1,0.781,0.839,0.202,0.267,0.149,0.267,4.148,5.21713,0.92196,0.88307,0.86546,0.09793,0.06123,0.25195,0.5136,0.13703666666666667,0.8901633333333333,0.1121941177174449,436.444,3463264.69,5692369.33,-5.426645701616839,243.144,129.534
28008,105,1,1,0.778,0.833,0.0,0.137,0.032,0.137,8.504,11.4101,0.92447,0.87782,0.85884,0.08054,0.04727,0.22713,0.5026783333333333,0.11831333333333333,0.8870433333333333,0.09396348566515371,373.07,2592175.26,4741431.67,-1.1108823322738484,138.274,104.26
28009,106,1,1,0.781,0.833,0.104,0.204,0.043,0.204,9.852,13.8422,0.91823,0.87407,0.8559,0.06875,0.03882,0.1929,0.491445,0.10015666666666667,0.8827333333333334,0.06332732382870745,251.936,2059378.21,3645767.63,-6.104840301078914,107.342,93.9099
28010,107,1,1,0.778,0.832,0.0,0.342,0.013,0.342,7.193,10.1597,0.9252,0.88964,0.87001,0.12396,0.06513,0.28403,0.5263283333333334,0.1577066666666667,0.89495,0.12799722980707884,358.93,3003754.57,5713835.33,-1.6595006288112073,138.891,112.288
28011,108,1,1,0.777,0.832,0.0,0.212,0.024,0.212,6.259,8.3753,0.92272,0.8784,0.85812,0.07015,0.0443,0.22563,0.4998866666666667,0.11336,0.8864133333333334,0.09604942611840671,162.412,1352091.64,3125794.99,-2.904286726402987,109.174,69.3529
28012,109,1,1,0.78,0.835,0.086,0.202,0.057,0.202,10.314,13.8704,0.92698,0.87891,0.86111,0.07718,0.05575,0.20606,0.5009983333333333,0.11299666666666668,0.8889999999999999,0.06669767259518267,232.693,2288023.01,3667064.44,-2.888072145587939,102.989,74.4682
