,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
29000,1,1,1,0.682,0.878,0.0,0.127,0.0,0.127,18.56,23.7408,0.93345,0.86415,0.84823,0.04868,0.02769,0.1425,0.47745000000000004,0.07295666666666666,0.8819433333333334,0.03970487662882079,402.574,2807841.64,5431850.99,-3.7105209141737547,147.862,117.2
29001,10,1,1,0.682,0.878,0.0,0.085,0.0,0.085,17.937,24.7155,0.93018,0.85895,0.83939,0.03967,0.02097,0.11842,0.46793,0.059686666666666666,0.8761733333333334,0.023423406739311755,299.489,2323074.33,4279801.61,-3.482812090182201,150.351,97.0166
29002,100,1,1,0.682,0.878,0.0,0.057,0.0,0.057,24.78,33.5701,0.93383,0.868,0.851,0.03952,0.02303,0.10843,0.47063499999999997,0.05699333333333333,0.8842766666666666,0.012784567789731228,197.723,1528091.94,2524916.54,-1.6288598362513644,158.616,46.0784
29003,1000,1,1,0.682,0.878,0.0,0.025,0.0,0.025,15.1,24.125,0.93865,0.86168,0.84607,0.04005,0.02854,0.12336,0.47305833333333336,0.06398333333333334,0.8821333333333333,0.027769364961329757,209.975,1439165.94,3327689.47,-1.4884988402354529,98.828,52.2547
29004,101,1,1,0.682,0.878,0.0,0.0,0.0,0.0,19.477,31.2951,0.93828,0.87441,0.85903,0.04673,0.03752,0.09883,0.47579999999999995,0.06102666666666667,0.8905733333333332,0.016424269898567444,190.554,866269.83,1627523.27,-3.0580683847989625,88.902,43.5175
29005,102,1,1,0.682,0.878,0.0,0.123,0.008,0.123,12.647,20.6408,0.93958,0.86714,0.85157,0.0476,0.02652,0.1567,0.4815183333333333,0.07694,0.8860966666666666,0.04524350276624318,146.927,2479173.21,5245923.62,-6.856473226054194,74.204,85.2658
29006,103,1,1,0.682,0.878,0.0,0.087,0.0,0.087,17.42,23.6044,0.93363,0.86919,0.85409,0.05355,0.03187,0.16208,0.4840683333333333,0.0825,0.8856366666666666,0.05134887513704598,359.443,1980170.88,4108273.12,-3.8163053907312126,92.067,92.1908
29007,104,1,1,0.682,0.878,0.0,0.034,0.0,0.034,18.589,28.2299,0.93363,0.86369,0.84551,0.04258,0.02573,0.11985,0.47183166666666665,0.06272,0.8809433333333333,0.02110729977121082,232.013,1741457.01,3332631.81,-4.695081434471777,90.805,58.2757
29008,105,1,1,0.682,0.878,0.0,0.041,0.0,0.041,20.641,29.3839,0.93862,0.86967,0.8549,0.04663,0.03028,0.14209,0.480365,0.073,0.88773,0.037903239055594895,239.828,1307982.26,3252731.07,-5.335661272902076,91.177,74.7212
29009,106,1,1,0.683,0.878,0.0,0.062,0.004,0.062,18.763,27.948,0.93885,0.87571,0.86394,0.04394,0.02825,0.12311,0.4789666666666667,0.0651,0.8928333333333334,0.02650820508497418,227.591,1340886.65,3119022.8,-6.072019356769115,129.056,66.5718
