,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
30000,1,1,1,0.861,0.949,0.0,0.112,0.0,0.112,18.51,20.5255,0.91205,0.8257,0.80015,0.08785,0.04556,0.22085,0.48202666666666666,0.11808666666666666,0.8459666666666666,0.08014800620730966,473.773,3144655.4,6118976.6,-0.8791637117937783,231.241,120.517
30001,10,1,1,0.926,0.967,0.549,0.5,0.445,0.5,1.959,2.5422,0.91555,0.82857,0.79931,0.10651,0.09292,0.24505,0.49798499999999996,0.14816,0.84781,0.10668414533138275,383.186,2988824.49,5145118.1,-2.9517254097761056,240.958,112.019
30002,100,1,1,0.861,0.949,0.0,0.076,0.0,0.076,13.782,19.7188,0.9196,0.83034,0.80993,0.06077,0.03062,0.17804,0.47155,0.08981,0.85329,0.04988942181807943,300.309,2392740.95,5305192.33,-2.3462734155521336,180.97,113.037
30003,1000,1,1,0.861,0.949,0.0,0.0,0.0,0.0,25.701,31.1967,0.92113,0.83511,0.81728,0.07176,0.04754,0.19098,0.48063333333333336,0.10342666666666667,0.85784,,304.795,1665361.06,3389329.36,-4.50139968745754,125.142,81.6828
30004,101,1,1,0.861,0.949,0.0,0.188,0.0,0.188,18.62,25.9115,0.91444,0.81847,0.79491,0.05455,0.0342,0.1859,0.4670783333333334,0.09155,0.8426066666666667,0.0588980405125767,303.776,2627035.73,4792290.64,-4.450050284292351,164.635,93.8283
30005,102,1,1,0.862,0.95,0.0,0.282,0.025,0.282,16.664,22.1073,0.90703,0.81588,0.7874,0.07252,0.05115,0.2025,0.4727466666666667,0.10872333333333335,0.83677,0.0566450870828703,214.415,1849171.24,3518583.95,-7.1238085919903575,66.324,61.1557
30006,103,1,1,0.861,0.949,0.0,0.16,0.021,0.16,22.17,26.1226,0.92268,0.82073,0.79656,0.07049,0.04886,0.20938,0.47811666666666663,0.10957666666666667,0.8466566666666666,0.07129429703927599,281.031,3050536.91,5532017.52,-4.570933144090271,175.451,122.547
30007,104,1,1,0.861,0.949,0.0,0.122,0.001,0.122,14.696,22.2387,0.9151,0.83462,0.81521,0.08518,0.04857,0.20604,0.48412,0.11326333333333334,0.8549766666666666,0.06501431360375136,256.632,2342681.86,4902840.93,-2.7002407590566873,122.294,78.2485
30008,105,1,1,0.861,0.949,0.0,0.074,0.0,0.074,14.603,18.9728,0.91605,0.82262,0.80329,0.06605,0.03453,0.18321,0.4709583333333333,0.09459666666666666,0.84732,0.0593955383170396,382.189,2272384.23,3757571.03,-3.067588847998943,168.218,101.054
30009,106,1,1,0.862,0.949,0.0,0.044,0.0,0.044,15.31,21.4862,0.92196,0.83669,0.81867,0.07268,0.04078,0.19203,0.4804683333333334,0.10183000000000002,0.8591066666666668,0.06033188017900101,287.645,2526522.72,4317240.4,-3.5085978976744987,185.933,90.2988
30010,107,1,1,0.862,0.949,0.0,0.118,0.005,0.118,14.363,21.2648,0.91391,0.84131,0.82519,0.06452,0.0392,0.19425,0.47973,0.09932333333333332,0.8601366666666667,0.058326741750352074,193.023,1313554.24,2512677.53,-1.3149887401330727,106.179,44.593
30011,108,1,1,0.863,0.949,0.0,0.134,0.001,0.134,17.086,26.1235,0.91745,0.82609,0.80719,0.05578,0.02879,0.16373,0.46650499999999995,0.08276666666666667,0.8502433333333332,0.043799871074952534,308.826,2343022.24,3741203.89,-0.2620630360106166,190.504,113.966
30012,109,1,1,0.861,0.949,0.0,0.119,0.002,0.119,15.598,24.1597,0.91467,0.82948,0.80961,0.06968,0.04017,0.17787,0.47358,0.09590666666666668,0.8512533333333333,0.05275916755199433,352.974,2345417.75,4163544.5,-4.675389460259541,229.834,75.1064
30013,11,1,1,0.861,0.949,0.0,0.071,0.0,0.071,19.584,28.1293,0.91517,0.82549,0.80636,0.05862,0.02901,0.15156,0.46436833333333327,0.07973000000000001,0.8490066666666666,0.04359541153971804,249.514,2212406.02,4133640.57,-2.370990369630142,202.669,70.9717
30014,110,1,1,0.861,0.949,0.0,0.149,0.0,0.149,19.489,25.7074,0.92272,0.82848,0.80824,0.05504,0.03722,0.17841,0.47168499999999997,0.09022333333333334,0.8531466666666666,0.04751357145287329,157.908,1595529.57,2721017.37,-7.065416445052918,122.731,71.0282
30015,111,1,1,0.862,0.949,0.0,0.141,0.003,0.141,14.283,21.5566,0.9141,0.83588,0.8175,0.06158,0.03451,0.19565,0.47653666666666666,0.09724666666666666,0.8558266666666666,0.05890082432888449,254.221,2240903.44,4221353.92,-4.091478594204747,124.644,62.4428
30016,112,1,1,0.861,0.949,0.0,0.148,0.0,0.148,19.343,20.6584,0.91684,0.83207,0.81431,0.06602,0.03919,0.18811,0.47609,0.09777333333333334,0.8544066666666666,,295.717,2567744.59,4580935.78,-2.2358570406645444,165.648,105.977
30017,113,1,1,0.861,0.949,0.0,0.051,0.0,0.051,15.799,25.0398,0.91564,0.82842,0.81091,0.05356,0.03009,0.15656,0.4658633333333333,0.08007,0.8516566666666666,0.0456333232788893,192.292,1420050.69,2821972.99,-8.602078740898051,158.38,53.4308
30018,114,1,1,0.861,0.949,0.0,0.104,0.006,0.104,15.598,24.2068,0.91585,0.83132,0.81025,0.06706,0.04254,0.17018,0.47286666666666666,0.09326,0.8524733333333333,0.05024487967602909,304.775,1895867.5,3140753.84,-2.6288150361022646,160.554,46.2916
30019,115,1,1,0.861,0.949,0.0,0.19,0.0,0.19,18.499,20.4008,0.91843,0.82255,0.79692,0.06781,0.04848,0.19766,0.47530833333333333,0.10465,0.8459666666666666,0.06666194048011675,200.697,1986901.83,3828213.86,-6.453422551126062,69.14,87.8026
30020,116,1,1,0.861,0.949,0.0,0.154,0.0,0.154,20.73,28.1232,0.92088,0.82745,0.80702,0.05987,0.03968,0.18611,0.4735016666666667,0.09521999999999999,0.8517833333333334,0.06236980280082207,214.664,2362493.72,4008129.8,-3.4112818337710245,130.184,83.0657
30021,117,1,1,0.861,0.949,0.0,0.211,0.0,0.211,18.693,22.6596,0.91895,0.82461,0.80111,0.0603,0.03684,0.19319,0.47250000000000003,0.09677666666666668,0.8482233333333333,0.05749225982654026,251.791,2290465.74,4686443.36,-5.052669853339054,58.009,104.821
30022,118,1,1,0.861,0.949,0.0,0.222,0.0,0.222,14.807,19.883,0.92337,0.83555,0.81304,0.06573,0.03673,0.19732,0.4786233333333333,0.09992666666666666,0.85732,0.06741898918990046,270.794,2915640.25,5713703.29,-1.6916665250352139,129.71,91.5047
30023,119,1,1,0.861,0.949,0.0,0.175,0.002,0.175,14.619,19.062,0.91297,0.82875,0.80732,0.06874,0.04023,0.19243,0.4750733333333333,0.10046666666666666,0.8496799999999999,0.05843634591437876,260.6,1672030.24,3643436.51,-7.787135420900144,166.482,73.903
30024,12,1,1,0.862,0.951,0.054,0.282,0.066,0.282,22.273,25.9924,0.91987,0.82397,0.80282,0.05608,0.03383,0.1812,0.4696283333333333,0.09037,0.8488866666666667,0.05208277768688276,266.894,2038594.95,4042322.87,-4.383026806983288,210.936,102.656
30025,120,1,1,0.861,0.949,0.0,0.0,0.0,0.0,20.306,30.2225,0.92169,0.83415,0.81599,0.06688,0.03938,0.17285,0.4751566666666667,0.09303666666666666,0.8572766666666668,0.05917161779652815,193.252,2522734.28,4757281.45,-6.032692191733283,37.483,98.2107
30026,121,1,1,0.861,0.949,0.0,0.089,0.0,0.089,21.653,27.7442,0.91302,0.82608,0.80474,0.04976,0.03173,0.16719,0.46542000000000006,0.08289333333333333,0.8479466666666667,0.05323487740824931,233.838,1562586.02,3415445.92,-3.2547398939403687,97.87,62.8168
30027,122,1,1,0.861,0.949,0.0,0.024,0.0,0.024,21.016,29.0136,0.92195,0.83231,0.81365,0.07297,0.04314,0.17627,0.476715,0.09745999999999999,0.85597,0.05526581615849864,222.866,1443900.37,2913196.07,-7.74266459089674,144.384,54.6408
30028,123,1,1,0.861,0.949,0.0,0.123,0.016,0.123,17.535,26.7551,0.91616,0.83196,0.81348,0.06368,0.03184,0.18241,0.47325500000000004,0.09264333333333334,0.8538666666666668,0.04673135980774532,297.127,2566045.59,4177703.03,-4.202614564869465,197.777,79.036
30029,124,1,1,0.861,0.95,0.0,0.169,0.015,0.169,17.052,19.0126,0.9092,0.82297,0.79951,0.05033,0.02652,0.17402,0.4637583333333334,0.08362333333333333,0.8438933333333334,0.05180687906831736,226.589,1954515.68,3686056.18,-4.742340028457818,106.011,78.8421
30030,125,1,1,0.861,0.949,0.0,0.138,0.001,0.138,16.946,19.588,0.91579,0.82183,0.79982,0.04987,0.03462,0.14819,0.4616866666666667,0.07755999999999999,0.8458133333333334,0.03255805377702927,109.385,886202.3,1986756.38,-4.4068757452715746,113.392,26.9263
30031,126,1,1,0.861,0.949,0.0,0.0,0.0,0.0,20.405,30.2564,0.9241,0.83495,0.81687,0.06673,0.0362,0.1783,0.4761916666666666,0.09374333333333333,0.85864,0.06263197464577387,235.739,2799034.8,5405981.32,-7.1760593320576005,91.597,115.3
30032,127,1,1,0.861,0.949,0.0,0.193,0.0,0.193,19.41,22.0915,0.91344,0.82529,0.79912,0.06396,0.03725,0.18977,0.4714716666666666,0.09699333333333333,0.8459499999999999,0.06699098063618293,278.907,2067945.47,4752757.58,-4.218566411963128,155.22,105.428
30033,128,1,1,0.862,0.949,0.0,0.082,0.015,0.082,11.957,16.4205,0.91887,0.83135,0.80863,0.06807,0.04261,0.20092,0.4784083333333333,0.10386666666666666,0.85295,0.06991192330606281,439.906,3442250.97,6111202.42,-2.722656013533864,226.331,114.596
30034,129,1,1,0.862,0.949,0.0,0.069,0.0,0.069,14.293,19.3803,0.92108,0.83442,0.81524,0.07809,0.0467,0.19766,0.48219833333333334,0.10748333333333333,0.8569133333333333,0.06020529632805846,230.395,2069308.74,3577923.79,-4.60043786306243,126.667,66.6122
30035,13,1,1,0.936,0.975,0.642,0.619,0.649,0.619,1.667,1.40699,0.91466,0.83343,0.80113,0.12858,0.08472,0.26361,0.504355,0.15897000000000003,0.84974,0.11184304533526301,545.425,4926895.66,8569104.39,-0.36717787280894826,356.991,172.68
30036,130,1,1,0.862,0.95,0.0,0.208,0.027,0.208,23.086,27.7049,0.92317,0.82976,0.80838,0.062,0.04377,0.185,0.4753466666666667,0.09692333333333332,0.85377,0.06078771929751383,260.348,1949822.99,3849881.74,-2.5630511933630657,144.235,96.0253
30037,131,1,1,0.861,0.949,0.0,0.088,0.003,0.088,20.344,20.6316,0.9149,0.82478,0.80132,0.05948,0.03605,0.18137,0.46965,0.0923,0.847,0.05802828848063655,242.883,2079185.07,4488678.85,-2.8834604630619554,101.2,107.871
30038,132,1,1,0.861,0.95,0.0,0.247,0.022,0.247,20.475,23.6626,0.91566,0.82169,0.7991,0.05993,0.03657,0.18084,0.4689650000000001,0.09244666666666666,0.8454833333333335,0.057212220155633986,266.02,2401742.55,4808279.43,-3.5619268917344904,165.197,91.3342
30039,133,1,1,0.861,0.949,0.0,0.0,0.0,0.0,20.137,28.5937,0.91435,0.82861,0.80897,0.06691,0.04943,0.17276,0.473505,0.09636666666666667,0.8506433333333333,0.04855861586984247,265.082,1908906.67,3517565.98,-3.547769348213547,167.684,89.4653
30040,134,1,1,0.861,0.949,0.0,0.048,0.0,0.048,14.559,18.163,0.91658,0.82375,0.80211,0.07996,0.04344,0.20306,0.47815,0.10881999999999999,0.84748,0.0693598891608417,479.291,3237518.28,5648933.71,-0.021382755634982133,227.304,127.398
30041,135,1,1,0.861,0.949,0.0,0.11,0.002,0.11,16.637,23.4924,0.91253,0.8377,0.82058,0.05661,0.03516,0.17842,0.4734999999999999,0.09006333333333333,0.8569366666666666,0.048802240978693595,136.045,1265706.4,2745467.27,-3.7728417906581924,47.354,47.255
30042,136,1,1,0.862,0.95,0.0,0.314,0.05,0.314,17.135,21.7003,0.91668,0.81616,0.79289,0.06202,0.0406,0.19043,0.46979666666666664,0.09768333333333333,0.8419099999999999,0.05350469343247824,259.822,1906342.61,4034159.35,-5.642987166556135,167.424,112.187
30043,137,1,1,0.861,0.949,0.0,0.069,0.0,0.069,25.407,25.8308,0.9139,0.8214,0.79702,0.06254,0.02903,0.18221,0.46768333333333334,0.09126000000000001,0.8441066666666667,,497.05,3014864.53,5669661.51,-2.4096468141599567,113.799,144.6
30044,138,1,1,0.861,0.949,0.0,0.024,0.014,0.024,20.454,29.4833,0.91666,0.83239,0.81207,0.07688,0.05593,0.18552,0.4799083333333333,0.10611,0.8537066666666666,0.06213052060920746,196.252,1856404.54,3365599.75,-6.570864873225284,126.165,70.9123
30045,139,1,1,0.861,0.949,0.0,0.095,0.0,0.095,13.304,17.3025,0.91765,0.82958,0.80882,0.0764,0.04363,0.21586,0.48199,0.11196333333333335,0.8520166666666666,0.07311431121779606,446.259,3184659.06,5245107.16,-2.148315769971081,224.369,116.82
30046,14,1,1,0.861,0.949,0.0,0.194,0.0,0.194,18.903,24.523,0.91992,0.82558,0.80314,0.05996,0.04145,0.19236,0.47373499999999996,0.09792333333333335,0.8495466666666666,0.056913278235879265,186.053,1774264.18,3373357.08,-4.87959195036787,132.978,86.4945
30047,140,1,1,0.862,0.949,0.0,0.134,0.002,0.134,14.191,21.418,0.91468,0.83628,0.81835,0.05941,0.03256,0.19783,0.4765183333333334,0.0966,0.8564366666666667,0.06033300526905805,225.923,1905072.79,3904901.05,-3.5684459040536445,148.477,65.1157
30048,141,1,1,0.861,0.949,0.0,0.035,0.0,0.035,23.7,29.2225,0.91209,0.82522,0.80401,0.05764,0.03091,0.16037,0.46503999999999995,0.08297333333333333,0.8471066666666666,,130.224,1389952.89,3225854.95,-3.8448888017155642,58.925,51.89
30049,142,1,1,0.861,0.949,0.0,0.088,0.0,0.088,13.374,15.6005,0.91779,0.82353,0.80142,0.07716,0.04329,0.19702,0.47670166666666675,0.10582333333333334,0.8475800000000001,0.0677045245654881,488.65,3188218.87,4783925.61,-1.6358072023960997,290.726,109.09
30050,143,1,1,0.861,0.949,0.0,0.105,0.001,0.105,14.753,22.2771,0.91525,0.83578,0.81754,0.08035,0.04565,0.19955,0.4823533333333334,0.10851666666666666,0.8561900000000001,0.06329986366908998,250.072,2309887.91,4761939.64,-3.745222682365696,142.949,75.2408
30051,144,1,1,0.861,0.949,0.0,0.107,0.0,0.107,21.23,26.2771,0.91866,0.81625,0.79268,0.05099,0.02691,0.16339,0.46148,0.08043,0.84253,0.04496164347583544,161.333,1637974.96,3677557.62,-6.0106286402567335,162.588,105.684
30052,145,1,1,0.864,0.951,0.016,0.345,0.044,0.345,16.367,21.3209,0.90953,0.81783,0.79104,0.07884,0.04576,0.21522,0.47636999999999996,0.11327333333333334,0.8394666666666666,0.07772819553501903,331.884,2671693.27,5298558.61,-2.377212063861468,202.635,119.12
30053,146,1,1,0.861,0.949,0.0,0.0,0.001,0.0,16.727,20.4784,0.92164,0.83804,0.82076,0.06892,0.04363,0.18242,0.47923499999999997,0.09832333333333333,0.8601466666666666,0.05869482716807396,245.301,2122249.29,4301384.47,-5.613283409529443,212.689,77.7875
