,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
31000,1,1,1,0.523,0.691,0.0,0.203,0.015,0.203,17.793,16.5207,0.83769,0.6465,0.5901,0.11245,0.06202,0.2616,0.41839333333333334,0.14535666666666666,0.69143,0.10030751563608645,345.883,3205352.61,4228701.2,-7.137560872012158,176.854,87.3591
31001,10,1,1,0.523,0.69,0.0,0.118,0.0,0.118,17.324,19.4853,0.84205,0.65584,0.60948,0.11008,0.06738,0.26178,0.424435,0.14641333333333334,0.7024566666666666,0.09244506461545825,258.618,2237695.83,3777522.98,-6.288436630399793,110.123,80.7719
31002,100,1,1,0.526,0.694,0.0,0.164,0.04,0.164,14.403,13.1362,0.83946,0.65568,0.61338,0.0993,0.05557,0.24056,0.41732500000000006,0.13181,0.7028400000000001,0.08984660995192827,267.402,2420117.84,3650305.93,-5.13822290656664,256.306,79.2288
31003,1000,1,1,0.526,0.694,0.0,0.229,0.042,0.229,16.285,15.9965,0.82243,0.65668,0.59903,0.16692,0.11339,0.33149,0.4483233333333333,0.20393333333333333,0.6927133333333333,0.14444467360153793,345.793,2529510.34,4906446.65,-2.251755872132397,157.749,101.212
31004,101,1,1,0.529,0.697,0.033,0.359,0.055,0.359,13.937,14.1466,0.83129,0.64193,0.58837,0.13411,0.08821,0.27736,0.4268783333333333,0.16656,0.6871966666666666,0.11154476432129741,210.793,1779002.9,3481986.23,-8.693442570016003,155.605,83.9961
31005,102,1,1,0.53,0.701,0.075,0.484,0.084,0.484,15.928,15.8917,0.82955,0.67129,0.61032,0.17911,0.12845,0.35274,0.46191,0.2201,0.70372,0.16670517548918723,369.457,3251475.98,5077050.09,-6.497278808020048,194.998,113.132
31006,103,1,1,0.523,0.691,0.0,0.224,0.004,0.224,13.986,15.0953,0.8295,0.64384,0.58828,0.13442,0.07903,0.29951,0.4290966666666666,0.17098666666666665,0.6872066666666666,0.12161361970938742,188.724,1595563.15,3134770.49,-3.963174907558016,88.089,81.3935
31007,104,1,1,0.526,0.691,0.0,0.147,0.016,0.147,20.526,20.8554,0.82628,0.63658,0.58301,0.11831,0.07756,0.26056,0.41705,0.15214333333333332,0.6819566666666667,0.1045212515629828,147.754,1680427.58,3376341.79,-7.440999018401133,85.085,47.4018
31008,105,1,1,0.523,0.69,0.0,0.169,0.0,0.169,15.219,17.3853,0.84645,0.64582,0.60065,0.10799,0.06693,0.27744,0.4242133333333333,0.15078666666666665,0.6976399999999999,0.10260924701578916,189.685,1581412.78,2663378.5,-6.6496704814850185,116.62,56.5456
31009,106,1,1,0.524,0.693,0.0,0.152,0.022,0.152,18.097,18.2867,0.82159,0.63983,0.58355,0.1332,0.09568,0.29207,0.42765333333333333,0.17365,0.6816566666666667,0.13077758820727467,206.173,1687125.13,3491703.99,-3.438134721540093,106.067,70.2073
