,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
32000,1,1,1,0.882,0.969,0.0,0.013,0.0,0.013,22.91,32.6353,0.92007,0.82739,0.80391,0.05505,0.0288,0.1701,0.4675533333333333,0.08465,0.8504566666666666,0.048060724651440984,261.206,2655000.29,5198069.13,-4.426104356080625,139.277,104.724
32001,10,1,1,0.883,0.97,0.0,0.145,0.032,0.145,18.176,20.8647,0.91075,0.82599,0.80104,0.04956,0.03126,0.17962,0.46636999999999995,0.08681333333333334,0.8459266666666666,0.0501879276605905,243.571,1492368.23,3496559.0,-5.8312813669808925,113.38,66.2048
32002,100,1,1,0.882,0.969,0.0,0.0,0.0,0.0,28.763,31.6153,0.91868,0.83464,0.81482,0.04188,0.0227,0.15335,0.464345,0.07264333333333332,0.8560466666666667,0.03428109143387702,136.857,1647019.53,3530343.06,-4.7721033976337885,118.263,69.604
32003,1000,1,1,0.882,0.97,0.0,0.13,0.035,0.13,20.789,19.0803,0.91756,0.83781,0.81937,0.04231,0.02385,0.13806,0.46316,0.06807333333333333,0.8582466666666667,0.026848299608900558,117.007,1432565.62,2355524.77,-3.5697025667951348,74.24,41.8523
32004,101,1,1,0.882,0.969,0.0,0.056,0.015,0.056,23.195,23.7491,0.91449,0.83523,0.81441,0.04192,0.02512,0.14122,0.462065,0.06942,0.85471,0.033279237242823,348.54,1759991.74,2267371.93,-5.741846127037798,130.527,43.7177
32005,102,1,1,0.882,0.969,0.0,0.211,0.0,0.211,16.014,20.3007,0.91731,0.84179,0.82336,0.05293,0.03156,0.17406,0.4735016666666667,0.08618333333333333,0.86082,0.04644379974342883,208.558,1613315.0,3355468.05,-6.068938711900622,120.687,76.3434
32006,103,1,1,0.884,0.969,0.0,0.282,0.001,0.282,14.203,19.8531,0.91703,0.84186,0.81978,0.06292,0.03462,0.19509,0.47855,0.09754333333333336,0.8595566666666666,0.06505048263352364,272.719,2689475.26,5069955.34,-0.4900295335482789,110.837,122.109
32007,104,1,1,0.882,0.969,0.0,0.026,0.005,0.026,13.356,24.9261,0.91322,0.83543,0.81015,0.07278,0.05316,0.19563,0.4800616666666667,0.10719000000000001,0.8529333333333334,0.05907054956769571,253.907,1750725.32,3683570.02,-3.705674722744857,127.397,72.6657
32008,105,1,1,0.882,0.969,0.0,0.214,0.015,0.214,16.627,21.8511,0.91674,0.84072,0.81758,0.05737,0.03354,0.19401,0.47666000000000003,0.09497333333333331,0.8583466666666667,0.0587616038043052,211.041,2101050.15,4232729.65,-6.6497673752444255,97.402,93.119
32009,106,1,1,0.882,0.969,0.0,0.068,0.0,0.068,17.294,20.3829,0.92128,0.84662,0.8274,0.04943,0.02997,0.18067,0.475895,0.08669,0.8651,0.055904799071140585,204.077,1998124.28,4278247.33,-6.773385458558213,152.447,82.5643
32010,107,1,1,0.882,0.969,0.0,0.015,0.0,0.015,22.618,24.1705,0.91343,0.8329,0.81037,0.05092,0.03067,0.16103,0.4665533333333334,0.08087333333333334,0.8522333333333334,0.04146602682885714,225.382,1434876.69,2775330.63,-5.444928574000645,154.26,75.1938
32011,108,1,1,0.882,0.97,0.0,0.286,0.032,0.286,17.112,21.9345,0.9099,0.83173,0.80583,0.06307,0.0366,0.20542,0.475425,0.10169666666666666,0.8491533333333333,0.06254373629344627,292.239,2542885.15,4942398.78,-3.457837652536931,147.272,125.57
32012,109,1,1,0.882,0.969,0.0,0.103,0.0,0.103,17.916,21.9917,0.91968,0.8368,0.81516,0.05046,0.02842,0.17817,0.4714483333333333,0.08568333333333333,0.8572133333333333,0.05383881332818419,285.635,2007624.94,3901776.03,-0.9373298494935606,128.751,93.1367
32013,11,1,1,0.882,0.969,0.0,0.056,0.0,0.056,23.854,32.9985,0.91784,0.82394,0.79864,0.05077,0.02918,0.15857,0.46315666666666666,0.07950666666666667,0.8468066666666667,0.032780266393092464,294.379,2145044.36,4115046.52,-3.496386844550559,145.62,82.221
32014,110,1,1,0.884,0.969,0.0,0.131,0.005,0.131,12.245,19.009,0.91373,0.8317,0.80651,0.07208,0.04384,0.17853,0.4743983333333333,0.09815,0.8506466666666667,0.051003130595199765,216.056,2528706.93,5510526.28,-2.471864262040222,96.11,118.578
32015,111,1,1,0.882,0.969,0.0,0.113,0.0,0.113,12.502,14.2929,0.90984,0.82638,0.80167,0.04779,0.02921,0.14476,0.45994166666666664,0.07392,0.8459633333333333,0.03471374716318678,174.116,1534564.65,2773634.77,-6.6099146345855875,132.089,67.0433
32016,112,1,1,0.882,0.969,0.0,0.031,0.0,0.031,21.743,23.4927,0.91901,0.84275,0.82249,0.06127,0.03239,0.19828,0.479365,0.09731333333333335,0.8614166666666666,0.06689823522465303,386.479,2534526.26,5816807.48,-1.748604563666325,141.9,132.805
32017,113,1,1,0.882,0.969,0.0,0.132,0.0,0.132,16.774,19.329,0.91988,0.841,0.82012,0.05375,0.03532,0.1832,0.475545,0.09075666666666667,0.8603333333333333,0.05519182962598279,234.887,1677562.34,3706791.87,-2.2236484773357335,138.544,83.9143
32018,114,1,1,0.882,0.969,0.0,0.047,0.0,0.047,22.048,24.4635,0.92099,0.84502,0.8252,0.0584,0.0341,0.18814,0.4786416666666667,0.09354666666666667,0.8637366666666667,0.056505346638732586,334.503,2525769.79,5116222.94,-6.1567621100663805,131.312,109.192
32019,115,1,1,0.882,0.969,0.0,0.185,0.005,0.185,11.71,14.5386,0.9219,0.84542,0.82587,0.04973,0.02889,0.16507,0.4728133333333333,0.08123,0.8643966666666666,0.044731540883367414,241.655,1655887.39,3186599.46,-5.50782714563408,166.787,85.1152
32020,116,1,1,0.882,0.969,0.0,0.042,0.0,0.042,19.712,24.0549,0.91645,0.84234,0.82243,0.05099,0.03005,0.17774,0.47333333333333333,0.08626,0.8604066666666667,0.04730694006138947,131.575,1747049.67,4102218.74,-4.222406869196044,106.306,91.0126
