,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
33000,1,1,1,0.719,0.906,0.0,0.247,0.012,0.247,15.589,18.8636,0.90775,0.79144,0.76497,0.10379,0.06421,0.2615,0.4822766666666667,0.14316666666666666,0.8213866666666667,0.10066897748038174,200.543,2396199.68,5165448.77,-1.7035634581180048,134.366,119.352
33001,10,1,1,0.717,0.906,0.0,0.095,0.007,0.095,15.232,17.7158,0.9022,0.78843,0.76344,0.06537,0.03197,0.20687,0.45971333333333336,0.10140333333333333,0.8180233333333334,0.07706904951483011,294.652,1608277.57,3596241.2,-5.875288689298327,29.11,82.7617
33002,100,1,1,0.719,0.909,0.115,0.26,0.087,0.26,26.878,27.372,0.90274,0.7855,0.7603,0.09918,0.07814,0.24751,0.478895,0.14160999999999999,0.81618,0.08652173457667231,237.571,2581330.81,3871974.32,-4.711189647493055,172.784,104.091
33003,1000,1,1,0.717,0.905,0.0,0.152,0.001,0.152,14.436,17.8391,0.895,0.78505,0.75674,0.05452,0.02594,0.18836,0.4509350000000001,0.08960666666666667,0.8122633333333334,0.05877849077805877,100.543,1359307.22,3420612.01,-3.3016064719408016,36.585,81.361
33004,101,1,1,0.717,0.905,0.0,0.073,0.0,0.073,16.179,19.6516,0.9006,0.78782,0.76154,0.07215,0.03655,0.19828,0.45949,0.10232666666666668,0.8166533333333333,0.06036375538096763,212.862,1942914.6,3163086.88,-2.742408880964825,105.025,75.4161
33005,102,1,1,0.717,0.905,0.0,0.15,0.0,0.15,16.274,18.8021,0.9024,0.78148,0.75484,0.0651,0.04059,0.21061,0.45916999999999997,0.10543333333333332,0.8129066666666667,0.07498839104082436,110.524,1384546.99,3148763.19,-3.7197887236542253,56.379,71.4371
33006,103,1,1,0.724,0.905,0.0,0.172,0.002,0.172,16.088,19.3238,0.90335,0.78154,0.75314,0.07319,0.04013,0.20433,0.45927999999999997,0.10588333333333333,0.8126766666666666,0.07041706191375853,253.694,2193726.01,4021278.33,-10.0,150.266,94.8658
33007,104,1,1,0.717,0.905,0.0,0.241,0.002,0.241,12.795,14.4984,0.90562,0.78293,0.75058,0.10602,0.09138,0.26133,0.48297666666666667,0.15291000000000002,0.8130433333333333,0.1054078433662653,135.694,1749101.12,3793297.68,-6.919456039105068,125.208,82.384
33008,105,1,1,0.72,0.909,0.059,0.393,0.063,0.393,17.744,18.6929,0.90514,0.79049,0.75766,0.11256,0.07422,0.28403,0.48734999999999995,0.15693666666666667,0.8177633333333333,0.11898013539612293,409.712,2903520.86,5669955.64,-2.062686641268777,137.161,155.309
33009,106,1,1,0.719,0.906,0.015,0.186,0.022,0.186,16.69,15.9174,0.90268,0.78678,0.75745,0.0835,0.06193,0.24544,0.47296333333333335,0.13029,0.8156366666666667,0.08707601907663048,192.391,1350581.83,3175001.37,-2.722883391723504,119.43,72.8118
33010,107,1,1,0.717,0.905,0.0,0.115,0.0,0.115,18.287,20.8566,0.90238,0.77629,0.74917,0.05347,0.03109,0.17979,0.4486983333333333,0.08811666666666668,0.8092799999999999,0.05182615842786617,70.005,1080663.95,2135913.88,-3.9596581596542735,70.223,60.0152
33011,108,1,1,0.719,0.905,0.0,0.125,0.005,0.125,13.622,17.549,0.8979,0.78089,0.75562,0.05528,0.03219,0.19659,0.4530783333333333,0.09468666666666666,0.8114699999999999,0.07042326305236202,119.659,1554885.48,3138253.21,-5.235088429016473,78.134,68.9104
33012,109,1,1,0.717,0.905,0.0,0.098,0.0,0.098,13.136,16.6824,0.90011,0.78496,0.75785,0.09303,0.06612,0.24828,0.4750583333333333,0.13581000000000001,0.8143066666666666,0.07698624401818961,149.533,2168180.96,4301336.47,-3.935514406113191,147.705,90.0249
33013,11,1,1,0.717,0.905,0.0,0.138,0.0,0.138,23.242,24.0718,0.90152,0.78024,0.75125,0.06971,0.03111,0.21895,0.4587966666666667,0.10659,0.8110033333333334,0.07486184518784286,308.922,2439599.22,3907310.46,-6.337893372018839,122.364,106.314
33014,110,1,1,0.717,0.905,0.0,0.07,0.0,0.07,27.813,29.5099,0.89977,0.78003,0.75542,0.04962,0.02508,0.16788,0.44630000000000003,0.08086,0.81174,0.043738750896591225,189.863,1250981.08,2713729.08,-5.455218763123374,153.676,67.4919
33015,111,1,1,0.717,0.905,0.0,0.214,0.002,0.214,12.462,13.6783,0.90784,0.78471,0.755,0.08303,0.05188,0.23561,0.46967833333333336,0.12350666666666667,0.8158500000000001,0.09359953254461287,105.601,1910882.1,3926519.7,-3.0508841916049128,75.499,85.3983
33016,112,1,1,0.723,0.909,0.066,0.127,0.066,0.127,11.532,15.233,0.90654,0.78193,0.7573,0.06136,0.03491,0.19492,0.45616,0.09706333333333333,0.8152566666666666,0.054266529146116224,78.742,1007137.79,2436409.22,-6.93511601759812,82.665,57.5304
33017,113,1,1,0.717,0.908,0.016,0.233,0.058,0.233,10.001,8.92996,0.90327,0.77524,0.74983,0.06333,0.04041,0.19477,0.4544750000000001,0.09950333333333333,0.8094466666666668,0.06367428462253884,106.774,1049251.01,2770816.43,-6.778232577358069,52.406,54.2026
33018,114,1,1,0.717,0.905,0.0,0.057,0.0,0.057,15.857,17.3885,0.89398,0.7809,0.75155,0.07875,0.0479,0.20029,0.45889499999999994,0.10898000000000001,0.8088099999999999,0.06301656127907336,212.906,2630662.88,4499372.34,-1.4515776475965432,204.475,95.9974
33019,115,1,1,0.72,0.908,0.027,0.267,0.056,0.267,13.235,13.3315,0.90174,0.78782,0.75947,0.10368,0.07121,0.27212,0.4826733333333333,0.14900333333333332,0.8163433333333333,0.10906763710081577,217.683,2535322.62,4690290.07,-3.035518334591116,100.44,105.562
33020,116,1,1,0.717,0.906,0.0,0.163,0.01,0.163,13.819,14.1102,0.90469,0.78562,0.75879,0.06625,0.03681,0.20333,0.45924833333333337,0.10213000000000001,0.8163666666666667,0.0641246455721557,143.99,1046144.46,2749532.88,-6.755646314832004,99.713,78.2311
33021,117,1,1,0.717,0.91,0.0,0.25,0.098,0.25,6.737,7.06408,0.90041,0.78233,0.75594,0.06921,0.04235,0.2055,0.45929,0.10568666666666666,0.8128933333333332,0.06534274430014193,185.634,1196206.78,2960426.72,-5.43577248393254,99.888,80.3374
33022,118,1,1,0.717,0.905,0.0,0.023,0.0,0.023,24.681,24.9465,0.89475,0.77503,0.7502,0.04759,0.01954,0.14756,0.4391116666666666,0.07156333333333333,0.8066599999999999,0.042548529877967665,198.071,1901657.28,3013184.88,-4.656560191445345,88.138,69.2037
33023,119,1,1,0.72,0.906,0.0,0.23,0.009,0.23,15.702,19.0438,0.90709,0.78612,0.7588,0.10402,0.06986,0.26395,0.48164,0.14594333333333334,0.8173366666666667,0.0972835149616003,152.015,2439778.2,4792553.59,-2.713021123234296,110.856,111.303
33024,12,1,1,0.717,0.905,0.0,0.115,0.001,0.115,17.353,20.6936,0.90287,0.78982,0.75872,0.08595,0.05669,0.23327,0.4712199999999999,0.12530333333333332,0.8171366666666665,0.07919559052679688,162.627,1756128.15,3666180.97,-3.4938507955939446,56.56,82.6543
33025,120,1,1,0.717,0.905,0.0,0.212,0.0,0.212,15.484,19.2781,0.9058,0.7892,0.76083,0.11336,0.07313,0.26588,0.4847,0.15079,0.8186100000000001,0.09956033956259489,207.837,2309568.66,4592779.12,-1.905126375201864,119.555,120.504
33026,121,1,1,0.717,0.906,0.0,0.084,0.01,0.084,11.187,13.496,0.90017,0.78576,0.75618,0.07419,0.04799,0.21262,0.46281833333333333,0.11159999999999999,0.8140366666666666,0.07159120855212678,164.311,1531596.09,2948225.48,-1.7071396228096738,140.153,78.5541
33027,122,1,1,0.726,0.905,0.0,0.17,0.002,0.17,15.963,19.3119,0.90294,0.77769,0.74947,0.07187,0.04021,0.19881,0.45683166666666664,0.10363,0.8100333333333333,0.06505434655118734,242.444,2140298.77,4044589.74,-9.733496839986588,188.672,87.5679
33028,123,1,1,0.719,0.909,0.048,0.464,0.065,0.464,17.798,18.7791,0.90412,0.787,0.75241,0.1105,0.06387,0.28111,0.4831683333333333,0.15182666666666667,0.81451,0.11444342508912086,313.467,2721990.02,5600934.06,-0.9445201618275596,97.154,144.274
33029,124,1,1,0.717,0.907,0.048,0.276,0.038,0.276,16.965,17.0782,0.90265,0.78645,0.75686,0.09262,0.07183,0.22911,0.4732533333333333,0.13118666666666665,0.8153199999999999,0.08683238858357072,145.697,1595933.0,3453428.53,-4.938899482793654,95.482,77.6383
33030,125,1,1,0.717,0.906,0.0,0.107,0.004,0.107,17.369,20.1082,0.90333,0.78264,0.75728,0.06115,0.03972,0.18022,0.45405666666666666,0.09369666666666666,0.8144166666666667,0.06471673247870058,118.443,831182.89,2077426.62,-4.3747129965188245,112.973,55.7648
33031,126,1,1,0.717,0.906,0.0,0.104,0.015,0.104,22.355,21.5599,0.89799,0.77791,0.7448,0.06206,0.02543,0.18443,0.44877,0.09064,0.8069000000000001,0.060577285964973276,269.739,2033364.4,4255103.34,-6.988223302906878,114.331,90.6028
33032,127,1,1,0.717,0.906,0.0,0.237,0.022,0.237,13.431,16.6709,0.8951,0.76961,0.73653,0.07956,0.0504,0.2327,0.46065,0.12088666666666668,0.8004133333333333,0.09758442346937954,165.401,2347621.14,4772171.17,-6.6733625807817,174.828,85.5838
33033,128,1,1,0.717,0.906,0.0,0.344,0.019,0.344,12.202,12.5954,0.90148,0.79124,0.75561,0.11853,0.06428,0.26451,0.48260833333333336,0.1491066666666667,0.81611,0.10821207016706466,337.862,2784538.74,5416768.9,-1.5348926519391966,34.457,141.417
33034,129,1,1,0.717,0.906,0.0,0.086,0.003,0.086,17.152,22.0764,0.90516,0.78561,0.7567,0.07258,0.04536,0.21546,0.4634783333333333,0.11113333333333335,0.8158233333333333,0.06932179840514437,74.939,1373627.05,3143018.67,-5.383152494713623,35.037,80.765
33035,13,1,1,0.717,0.905,0.0,0.165,0.002,0.165,14.207,15.3016,0.89971,0.78708,0.76101,0.07446,0.04578,0.19789,0.46098833333333333,0.10604333333333334,0.8159333333333333,0.07231682024430483,222.552,1868921.23,3782671.11,-4.414866974699843,75.68,90.4729
33036,130,1,1,0.722,0.914,0.194,0.338,0.167,0.338,9.783,8.52148,0.90009,0.78745,0.75787,0.12195,0.0843,0.25546,0.48451999999999995,0.15390333333333334,0.8151366666666666,0.0921195577364415,326.083,2790613.3,4756899.22,-1.29167731686329,208.866,108.47
33037,131,1,1,0.717,0.906,0.0,0.221,0.015,0.221,22.008,21.0836,0.9042,0.78194,0.75343,0.08941,0.05401,0.24008,0.47051166666666666,0.12783333333333333,0.81319,0.08849011221900582,314.091,2754578.09,4178533.18,-5.481834402721702,138.97,99.3519
33038,132,1,1,0.717,0.907,0.027,0.141,0.028,0.141,20.433,22.6872,0.90229,0.78045,0.753,0.07669,0.03959,0.22951,0.4635883333333334,0.11526333333333333,0.8119133333333334,0.071584021509625,246.649,2551509.87,4736683.36,-2.0165376212818713,142.015,109.127
33039,133,1,1,0.717,0.905,0.0,0.165,0.0,0.165,15.963,20.6321,0.90135,0.78392,0.76054,0.06711,0.04113,0.19364,0.4579483333333333,0.10062666666666668,0.8152699999999999,0.06340889992425218,229.811,1796203.5,2985440.26,-6.046541796330644,125.048,87.0442
33040,134,1,1,0.717,0.905,0.0,0.103,0.0,0.103,15.187,17.8688,0.90256,0.78086,0.75637,0.05534,0.03554,0.19046,0.45352166666666666,0.09377999999999999,0.8132633333333333,0.0569566784746712,172.102,1931276.41,3564506.03,-2.9634305352440213,128.834,86.2282
33041,135,1,1,0.717,0.907,0.0,0.163,0.027,0.163,11.366,12.1895,0.89943,0.77005,0.74111,0.07184,0.04923,0.20794,0.4566,0.10967,0.80353,0.07494337490061298,193.522,2064845.97,4272191.09,-5.705029785674531,150.074,93.4683
33042,136,1,1,0.717,0.906,0.0,0.171,0.01,0.171,17.236,17.1464,0.89837,0.79043,0.76513,0.07202,0.04869,0.20509,0.46328833333333336,0.10859999999999999,0.8179766666666667,0.065366375236772,136.71,1351292.82,2516519.88,-0.9561036675762129,65.397,65.622
33043,137,1,1,0.718,0.906,0.0,0.067,0.003,0.067,12.825,17.0808,0.89909,0.78497,0.75875,0.06186,0.03866,0.18976,0.45551499999999995,0.09676,0.8142699999999999,0.05943614039570092,117.35,964232.71,2202177.21,-5.643537203478682,89.563,65.0644
33044,138,1,1,0.717,0.905,0.0,0.129,0.0,0.129,21.767,23.349,0.90892,0.78978,0.76599,0.06724,0.03878,0.21376,0.4640783333333333,0.10659333333333332,0.8215633333333333,0.07344276984222234,262.199,1986405.71,3335859.97,-0.002313574957933483,160.3,74.7005
33045,139,1,1,0.72,0.906,0.0,0.279,0.001,0.279,15.17,17.1617,0.90755,0.79164,0.77171,0.07735,0.06366,0.18901,0.46682,0.11000666666666666,0.8236333333333333,0.054577345048892306,196.19,1558462.64,2920197.72,-3.5422027535271887,115.864,68.3304
33046,14,1,1,0.722,0.906,0.0,0.163,0.008,0.163,12.328,14.7154,0.90319,0.79301,0.76544,0.07564,0.04409,0.23392,0.469215,0.11788333333333333,0.8205466666666666,0.0884740168461576,288.115,2275452.5,4903816.91,-2.424607119598019,149.664,111.435
33047,140,1,1,0.717,0.905,0.0,0.169,0.0,0.169,16.745,18.211,0.89919,0.77309,0.74293,0.07795,0.04313,0.21582,0.458685,0.11230000000000001,0.8050700000000001,0.06794652352109552,295.726,1673605.21,3892320.95,-5.772926593640761,109.755,87.1298
33048,141,1,1,0.74,0.909,0.056,0.13,0.075,0.13,5.619,7.12474,0.9021,0.78283,0.75763,0.04925,0.03641,0.16163,0.44830833333333336,0.08243,0.8141866666666667,0.04522681894450216,62.974,578503.81,1658312.97,-2.807927643436964,71.585,42.1778
33049,142,1,1,0.717,0.905,0.0,0.152,0.001,0.152,17.474,19.7511,0.90471,0.78379,0.75698,0.07548,0.04224,0.22984,0.4655066666666667,0.11585333333333332,0.81516,0.08518704287707805,155.904,2200926.38,3985176.98,-3.425849494143653,48.729,90.7538
33050,143,1,1,0.717,0.905,0.0,0.16,0.0,0.16,15.759,20.4337,0.90031,0.7836,0.75988,0.06822,0.04052,0.19815,0.45844666666666667,0.10229666666666666,0.8145966666666666,0.06411619177088142,212.492,1957382.73,3374599.51,-7.343199754433583,130.736,95.5004
33051,144,1,1,0.72,0.909,0.086,0.259,0.068,0.259,20.453,20.6613,0.89756,0.77991,0.74349,0.09073,0.05951,0.24158,0.46879666666666664,0.13060666666666665,0.8069866666666666,0.10158931696787478,241.733,2685106.59,5262783.37,-5.482255217545541,153.936,109.458
33052,145,1,1,0.717,0.907,0.0,0.213,0.024,0.213,10.37,11.1706,0.90599,0.79201,0.76242,0.08785,0.04812,0.24856,0.47415833333333335,0.12817666666666666,0.82014,0.09337675510905684,242.39,2461973.88,4192626.14,-3.124916689872969,103.367,97.1088
33053,146,1,1,0.717,0.906,0.0,0.271,0.022,0.271,16.736,15.6914,0.90676,0.79322,0.77024,0.07798,0.06007,0.22057,0.47147333333333336,0.11954,0.8234066666666667,0.07270113599952312,236.538,1902702.91,3382780.81,-5.156813412832215,227.885,70.8104
33054,147,1,1,0.717,0.906,0.0,0.239,0.004,0.239,18.204,17.7961,0.90781,0.79072,0.7684,0.0757,0.05813,0.19576,0.4660866666666666,0.10986333333333333,0.8223099999999999,0.05190319918328896,191.987,1695250.96,3031491.97,-4.2812827457086,148.535,53.0654
33055,148,1,1,0.717,0.905,0.0,0.154,0.0,0.154,16.369,18.9503,0.90032,0.78236,0.75402,0.06671,0.04238,0.21669,0.46041333333333334,0.10859333333333333,0.8122333333333334,0.07748787377495318,100.651,1649812.41,3403891.5,-4.059113461354062,67.747,81.2334
33056,149,1,1,0.717,0.907,0.0,0.208,0.027,0.208,16.173,16.1339,0.90399,0.78256,0.74509,0.11158,0.07174,0.28889,0.483975,0.15740333333333334,0.8105466666666666,0.1124109810218215,258.988,3176511.32,6846942.78,-3.4736299932754955,105.69,156.147
33057,15,1,1,0.719,0.908,0.013,0.237,0.038,0.237,18.095,19.3376,0.89961,0.78017,0.74748,0.08124,0.04106,0.22846,0.4630033333333333,0.11691999999999998,0.8090866666666666,0.08045736434869469,265.241,2095902.51,4046198.39,-2.5890853393431144,94.345,100.702
33058,150,1,1,0.717,0.907,0.05,0.225,0.03,0.225,17.895,18.3906,0.89783,0.78285,0.75482,0.07154,0.05539,0.19643,0.45981000000000005,0.10778666666666666,0.8118333333333334,0.07329614952905104,127.595,1499984.24,3010814.55,-3.8972202278360673,99.233,60.1377
33059,151,1,1,0.719,0.907,0.014,0.157,0.034,0.157,15.838,18.2117,0.90488,0.79148,0.76572,0.07388,0.0432,0.22329,0.46707499999999996,0.11345666666666666,0.8206933333333333,0.0786614047596231,285.016,2830336.57,5564359.92,-3.0274651625117657,176.71,115.558
33060,152,1,1,0.721,0.906,0.0,0.213,0.007,0.213,15.707,17.9065,0.90188,0.78553,0.75923,0.08025,0.04416,0.22448,0.4659216666666667,0.11629666666666666,0.8155466666666666,0.08181609546300025,264.597,2495211.91,4726195.79,-5.746663336352946,111.373,115.787
33061,153,1,1,0.717,0.906,0.0,0.085,0.005,0.085,17.223,22.8792,0.90474,0.78542,0.75718,0.06712,0.03964,0.20537,0.4599116666666667,0.10404333333333333,0.8157800000000001,0.06346767414943315,102.307,1197535.12,2860792.45,-4.939099962958154,56.079,73.9834
33062,154,1,1,0.719,0.906,0.0,0.138,0.004,0.138,14.993,15.3287,0.89904,0.78275,0.75186,0.06677,0.04832,0.21437,0.46051833333333336,0.10981999999999999,0.8112166666666667,0.07443322521285153,155.586,1072225.77,2606003.24,-7.816904708213445,52.881,63.6777
33063,155,1,1,0.718,0.906,0.0,0.11,0.01,0.11,18.366,22.604,0.90273,0.77888,0.75522,0.05347,0.03241,0.18021,0.45048666666666665,0.08869666666666666,0.8122766666666666,0.06458801442931872,131.162,1518045.53,3480776.36,-6.024376377372289,101.712,65.566
33064,156,1,1,0.72,0.906,0.0,0.212,0.006,0.212,17.109,20.5183,0.905,0.78393,0.75644,0.06153,0.03465,0.19945,0.4568333333333333,0.09854333333333332,0.8151233333333333,0.07461157073266803,141.61,1399310.77,3087503.26,-3.4743942934902305,84.036,67.927
33065,157,1,1,0.717,0.905,0.0,0.133,0.0,0.133,18.496,19.8082,0.89789,0.77964,0.75122,0.08022,0.05842,0.21115,0.46309,0.11659666666666667,0.8095833333333333,0.07174047776497901,254.619,1933350.21,3767801.58,-7.231601844564964,119.005,98.7009
33066,158,1,1,0.72,0.906,0.0,0.054,0.01,0.054,14.427,17.671,0.89779,0.77669,0.74822,0.06906,0.04122,0.20911,0.457015,0.10646333333333334,0.8075666666666667,0.07136997347697616,209.088,1547816.65,3049570.2,-5.090852305358112,88.076,75.5963
33067,159,1,1,0.718,0.905,0.0,0.092,0.004,0.092,13.499,17.6626,0.90231,0.78529,0.75958,0.05653,0.03943,0.16987,0.4521683333333333,0.08861000000000001,0.8157266666666666,0.055113338591763754,41.123,691599.63,1534176.96,-5.482493775421268,52.387,34.1156
33068,16,1,1,0.718,0.907,0.0,0.146,0.03,0.146,18.602,22.1271,0.90085,0.78158,0.7525,0.07295,0.03447,0.22672,0.4615116666666667,0.11138000000000002,0.8116433333333334,0.07813948853872717,159.62,2055461.43,4286165.63,-1.718971139915778,151.774,95.3686
33069,160,1,1,0.717,0.905,0.0,0.134,0.0,0.134,16.341,19.0749,0.89942,0.77381,0.74415,0.06529,0.04402,0.21778,0.45741166666666666,0.10903,0.8057933333333334,0.08167063439032064,117.465,1866317.4,3814138.9,-5.573227754231727,115.13,88.4514
33070,161,1,1,0.721,0.906,0.0,0.217,0.013,0.217,16.571,19.6706,0.90548,0.79032,0.76247,0.07942,0.04357,0.22852,0.46829666666666664,0.11717,0.8194233333333333,0.08711300091817975,247.467,3040579.57,6143756.65,-0.6375978439371207,193.789,153.442
33071,162,1,1,0.72,0.906,0.0,0.185,0.015,0.185,16.217,19.6913,0.90115,0.78437,0.75629,0.07334,0.03653,0.20994,0.46026999999999996,0.10660333333333333,0.8139366666666666,0.06999695040285588,226.681,1625530.31,4658320.35,-4.680904501109387,128.469,127.998
33072,163,1,1,0.717,0.907,0.023,0.382,0.055,0.382,25.65,25.5908,0.90264,0.79063,0.75482,0.14877,0.10042,0.31067,0.501325,0.18662,0.81603,0.12620661570690572,401.18,3339705.98,6489537.74,-2.2788157960405044,177.101,141.741
33073,164,1,1,0.717,0.906,0.0,0.124,0.004,0.124,16.372,17.3701,0.90174,0.79231,0.76384,0.07551,0.04949,0.22907,0.46866,0.11802333333333333,0.8192966666666667,0.07944511763053014,185.931,2157369.16,4213143.88,-1.0700396673041594,134.088,98.5318
33074,165,1,1,0.718,0.908,0.0,0.146,0.049,0.146,19.891,21.4554,0.90412,0.78727,0.75429,0.09332,0.05658,0.26968,0.4775433333333334,0.13986,0.8152266666666668,0.10923160081729294,283.111,2468455.92,5391666.21,-5.934657376413444,100.414,142.499
33075,166,1,1,0.72,0.906,0.0,0.225,0.019,0.225,16.952,18.4373,0.90418,0.78702,0.76055,0.08803,0.06452,0.22787,0.4720283333333333,0.12680666666666665,0.81725,0.08066195063292979,212.294,1891555.59,3383127.4,-9.568555578906617,121.078,76.1205
33076,167,1,1,0.717,0.905,0.0,0.093,0.0,0.093,14.215,18.1317,0.90301,0.78515,0.75805,0.07151,0.04819,0.22669,0.4654333333333333,0.11546333333333335,0.8154033333333333,0.07664675608975814,209.316,2450795.09,4670250.45,-3.580402835985527,165.997,92.9944
33077,168,1,1,0.717,0.905,0.0,0.341,0.002,0.341,12.791,13.9013,0.90583,0.79139,0.76393,0.07257,0.03994,0.21495,0.46476833333333334,0.10915333333333332,0.8203833333333334,0.07748532411642374,219.537,1770478.7,3622857.07,-3.1987472407578457,91.382,70.6226
33078,169,1,1,0.717,0.906,0.0,0.106,0.002,0.106,16.958,21.0436,0.90318,0.7862,0.75843,0.07262,0.04548,0.21861,0.46408666666666665,0.11223666666666667,0.8159366666666666,0.07569448270369322,194.818,1536086.63,3409621.12,-6.882543097860611,93.742,96.5901
33079,17,1,1,0.717,0.905,0.0,0.172,0.0,0.172,18.649,19.436,0.90005,0.78522,0.75376,0.0805,0.03818,0.21312,0.46180499999999997,0.11060000000000002,0.8130099999999999,0.07360083046369255,290.445,2443724.71,4811045.51,-1.241145869352028,154.034,121.058
