,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
34000,1,1,1,0.54,0.826,0.0,0.232,0.029,0.232,11.344,13.4598,0.88876,0.79729,0.75437,0.12734,0.11639,0.29712,0.49687833333333337,0.18028333333333335,0.8134733333333334,0.13864076398313044,306.861,2122399.02,3567890.28,-3.3223187948057116,239.037,80.408
34001,10,1,1,0.525,0.827,0.0,0.281,0.038,0.281,10.181,11.3539,0.88509,0.78538,0.74847,0.09747,0.08623,0.25247,0.4758516666666667,0.14539,0.8063133333333333,0.10694567379541695,245.002,1832461.1,3150122.88,-6.693550277102444,189.694,71.1852
34002,100,1,1,0.527,0.826,0.0,0.258,0.016,0.258,12.719,15.2017,0.88749,0.79125,0.75007,0.09183,0.06127,0.26443,0.47439,0.13917666666666664,0.8096033333333333,0.1072942548431456,176.796,1130990.48,2517273.22,-4.0978182221093675,130.872,58.6812
34003,1000,1,1,0.534,0.824,0.0,0.125,0.001,0.125,11.849,14.4001,0.89283,0.79518,0.75786,0.09694,0.07634,0.26189,0.4801733333333334,0.1450566666666667,0.8152900000000001,0.11145374700427056,174.613,1604064.76,3444568.12,-1.7010107732284687,127.173,66.5622
34004,101,1,1,0.525,0.826,0.0,0.258,0.02,0.258,12.389,15.0531,0.89235,0.80731,0.76204,0.15689,0.11985,0.35636,0.5158,0.21103333333333332,0.8205666666666667,0.18848737701773643,404.557,3354614.91,6829071.91,-1.6613894232228095,286.995,146.814
34005,102,1,1,0.525,0.824,0.0,0.136,0.001,0.136,15.086,17.8748,0.90327,0.80074,0.7711,0.07097,0.05046,0.2242,0.47012333333333334,0.11520999999999999,0.8250366666666666,0.07231591473100707,148.377,1016331.76,2424813.26,-3.364756881747035,133.359,64.2975
34006,103,1,1,0.527,0.827,0.015,0.158,0.027,0.158,15.013,15.1502,0.8863,0.79542,0.75888,0.08933,0.05701,0.25941,0.47439166666666666,0.13525,0.8135333333333333,0.09493781258352102,242.384,1682278.05,3357887.43,-5.178404299840448,149.735,64.5225
34007,104,1,1,0.525,0.824,0.0,0.049,0.0,0.049,15.102,18.0805,0.90192,0.80535,0.77432,0.07916,0.05845,0.25219,0.478565,0.12993333333333335,0.8271966666666667,0.09584224098362029,174.1,851074.23,2558305.75,-7.266783548303532,92.811,64.9957
34008,105,1,1,0.525,0.827,0.0,0.197,0.023,0.197,13.087,14.4135,0.89238,0.79378,0.75649,0.0867,0.0538,0.27154,0.47578166666666666,0.13734666666666667,0.8142166666666667,0.11663754479959607,176.708,1819240.81,3475023.72,-6.382944804160443,165.668,77.2246
34009,106,1,1,0.527,0.827,0.014,0.205,0.051,0.205,11.503,12.6547,0.88376,0.78502,0.74274,0.11622,0.09818,0.29996,0.4876466666666667,0.17145333333333335,0.80384,0.14292054586112501,248.858,2717184.38,4148546.37,-2.851134538513718,173.086,87.3209
34010,107,1,1,0.525,0.825,0.0,0.203,0.013,0.203,11.155,11.8618,0.88737,0.78798,0.74656,0.0944,0.06665,0.25795,0.47348500000000004,0.13966666666666666,0.8073033333333334,0.10476370258256794,215.502,1412679.74,2819393.62,-7.895172287635806,143.954,54.569
