,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
35000,1,1,1,0.429,0.859,0.0,0.093,0.0,0.093,15.227,19.371,0.94961,0.92858,0.91867,0.04912,0.02851,0.13573,0.5017033333333334,0.07112,0.9322866666666667,,181.929,1479589.75,2973973.35,-5.636806013073622,44.99,70.1548
35001,10,1,1,0.429,0.859,0.0,0.07,0.0,0.07,14.627,19.0411,0.9543,0.92997,0.91925,0.05382,0.03246,0.1489,0.50645,0.07839333333333334,0.9345066666666666,0.03937528880082936,138.911,2142127.13,4337210.22,-3.7890175728607387,118.917,89.8445
35002,100,1,1,0.429,0.859,0.0,0.029,0.0,0.029,14.735,19.0716,0.95776,0.93347,0.9257,0.05674,0.03085,0.16386,0.5113966666666667,0.08381666666666666,0.9389766666666667,0.04185071233296185,184.215,2007610.47,3929775.37,-3.900237539211645,112.139,91.2193
35003,1000,1,1,0.429,0.859,0.0,0.057,0.0,0.057,13.371,15.9048,0.96342,0.93683,0.92846,0.05617,0.03663,0.15852,0.5133383333333333,0.08377333333333332,0.9429033333333333,0.035364319356995105,189.282,1574809.72,2841139.76,-3.4826498000481663,127.038,62.3731
35004,101,1,1,0.429,0.859,0.0,0.091,0.001,0.091,12.594,13.0336,0.95883,0.93428,0.92434,0.05987,0.03661,0.1653,0.513205,0.08726,0.93915,0.046605468454617945,230.165,1721555.53,3175672.47,-4.765837050908748,149.595,68.9507
35005,102,1,1,0.429,0.859,0.0,0.085,0.0,0.085,15.942,20.6859,0.96376,0.93843,0.93003,0.06435,0.04699,0.19059,0.5223583333333334,0.10064333333333335,0.9440733333333333,0.057322361443220865,151.566,1586608.7,3670194.62,-5.391899001898441,110.581,92.7378
35006,103,1,1,0.429,0.859,0.0,0.051,0.0,0.051,17.319,24.4545,0.95829,0.93843,0.93053,0.05493,0.0364,0.17181,0.515065,0.08771333333333332,0.9424166666666666,0.04733855094091268,136.027,1738087.24,3791495.47,-4.384050581733024,56.804,95.9074
35007,104,1,1,0.429,0.859,0.0,0.079,0.0,0.079,15.269,19.9304,0.96068,0.93853,0.93057,0.05714,0.03528,0.17024,0.5154066666666667,0.08755333333333333,0.94326,0.04274387141940678,210.153,1682684.17,3500080.77,-5.511702998396354,62.7,72.9805
35008,105,1,1,0.429,0.859,0.0,0.058,0.0,0.058,15.854,21.305,0.95648,0.92693,0.91419,0.05181,0.03795,0.11939,0.501125,0.06971666666666666,0.9325333333333333,0.01919757608902728,131.639,1224112.94,2667123.59,-4.734940098278488,58.498,55.5887
35009,106,1,1,0.429,0.859,0.0,0.073,0.0,0.073,13.723,17.1387,0.95302,0.92677,0.91631,0.05548,0.03333,0.17606,0.5101616666666667,0.08829,0.9320333333333334,0.05179210331407375,237.637,2755009.44,5096455.7,-4.089155187769141,129.854,114.925
