,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
36000,1,1,2,0.938,0.95,0.921,0.952,0.895,0.8440000000000001,0.801,0.746407,0.92162,0.86604,0.82603,0.51393,0.51993,0.64832,0.7159783333333334,0.5607266666666667,0.8712300000000001,0.22116521187126637,2324.6,3586795.73,5860938.62,-5.631733942160072,299.236,111.822
36001,10,1,2,0.857,0.919,0.788,0.839,0.72,0.275,5.956,6.72134,0.93122,0.87238,0.84177,0.49481,0.53261,0.62086,0.7156083333333334,0.5494266666666666,0.8817900000000001,0.16553415972739458,2213.37,1737257.74,3845037.06,-5.403298696253037,204.013,77.5517
36002,100,1,2,0.867,0.919,0.785,0.769,0.709,0.149,6.619,7.10656,0.91487,0.84361,0.80846,0.43821,0.48753,0.58174,0.67907,0.5024933333333333,0.8556466666666666,0.0889999207614892,2124.27,1869952.76,4011293.42,-0.6842967483723527,157.968,60.923
36003,1000,1,2,0.854,0.919,0.817,0.801,0.71,0.128,7.044,10.066,0.92141,0.84718,0.81331,0.45247,0.52883,0.58926,0.6920766666666667,0.52352,0.8606333333333334,0.0809903708102099,2042.97,980614.8,2409795.84,-4.295388390513393,145.154,47.6776
36004,101,1,2,0.854,0.918,0.796,0.864,0.719,0.3775,6.176,8.67801,0.91251,0.85079,0.81743,0.44381,0.47929,0.60456,0.6847316666666667,0.50922,0.8602433333333334,0.13955897434498185,2125.04,2377603.81,4740783.38,-4.122325570407549,177.515,85.1409
36005,102,1,2,0.863,0.914,0.777,0.799,0.689,0.29500000000000004,7.799,9.76812,0.9141,0.8337,0.79574,0.42808,0.46644,0.56652,0.6674300000000001,0.48701333333333335,0.8478466666666667,0.08121552831216833,2124.94,1935473.79,3193228.0,-2.2322658837046028,149.794,78.1611
36006,103,1,2,0.856,0.918,0.816,0.836,0.714,0.197,4.871,6.5723,0.92338,0.86364,0.83234,0.4869,0.55862,0.6205,0.71423,0.5553400000000001,0.87312,0.1161242378590032,2079.93,1254789.6,2497830.74,-1.7301675030312078,136.602,47.9761
36007,104,1,2,0.857,0.915,0.781,0.786,0.693,0.1475,5.808,10.3555,0.91339,0.84065,0.80416,0.4375,0.50368,0.56909,0.6780783333333333,0.5034233333333333,0.8527333333333335,0.08541822789814546,2058.75,1595313.33,3660575.11,-2.278905880122191,136.327,57.5097
36008,105,1,2,0.856,0.918,0.8,0.836,0.707,0.2035,6.537,7.02107,0.93217,0.87385,0.84414,0.50509,0.54589,0.62427,0.7209016666666667,0.5584166666666667,0.8833866666666667,0.1432937861944083,2178.24,1447259.19,2980479.96,-3.9828361452990992,179.769,61.8005
36009,106,1,2,0.854,0.916,0.784,0.763,0.696,0.058,10.597,11.7897,0.9199,0.84518,0.81501,0.4446,0.48351,0.54554,0.6756233333333334,0.4912166666666667,0.8600300000000001,0.07576687848954862,1965.88,1388341.93,2947332.51,-3.401159479410323,55.294,72.5192
