,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,1,2,A.C,0.1930279441177845,0.37687730539222564,262.846,1814178.15,2927627.62,-7.872016588404838,157.403,54.6859,0.867
1,1,1,2,B.C,0.24930247962474822,0.40501457314570743,252.139,1829894.56,2933311.0,-3.391451295915306,165.019,57.1358,0.769
2,10,1,2,A.C,0.17823286540806293,0.3638297660373648,210.358,1289169.77,2697771.75,-6.445307243933393,123.653,61.2281,0.032
3,10,1,2,B.C,0.15283545404672622,0.3511310603566964,134.627,619976.24,1147265.31,-4.361290148572682,119.591,16.3236,0.118
4,100,1,2,A.C,0.17412798297591509,0.33831065815462424,234.175,1953105.07,3916167.55,-1.3224952880052876,144.148,60.923,0.056
5,100,1,2,B.C,0.003871858547063312,0.2531825959401983,10.427,60041.95,95125.87,-0.046098208739417695,62.315,-0.0,0.0
6,1000,1,2,B.C,0.001216676794348537,0.26236833839717427,,-0.0,-0.0,,20.197,-0.0,0.0
7,1000,1,2,A.C,0.16076406482607128,0.34214203241303565,163.306,1102468.05,2409795.84,-4.295388390513393,146.997,47.6776,0.039
8,101,1,2,A.C,0.15185468243435027,0.33053734121717515,120.764,1158314.12,2108991.36,-3.6381515725045,110.289,38.4614,0.298
9,101,1,2,B.C,0.12726326625561343,0.31824163312780673,125.529,1335236.7,2631792.02,-4.606499568310597,106.239,46.6795,0.0
10,102,1,2,A.C,0.0714485946984496,0.2792309640158915,147.789,1049106.94,1630013.1,-2.0383410504576225,115.776,40.4015,0.0
11,102,1,2,B.C,0.09098246192588705,0.2889978976296102,110.385,950194.78,1563214.9,-2.4261907169515835,81.636,37.7596,0.0
12,103,1,2,B.C,0.002852522897228482,0.27909626144861427,4.466,73704.47,166462.44,-0.20335650035892958,83.45,-0.0,0.0
13,103,1,2,A.C,0.2293959528207779,0.392367976410389,195.793,1134432.49,2331368.3,-3.256978505703486,141.507,47.9761,0.0
14,104,1,2,A.C,0.1688519529532641,0.33613764314329875,174.601,1775162.78,3568054.92,-4.476023984520606,132.079,57.5097,0.0
15,104,1,2,B.C,0.0019845028430268033,0.25270391808818005,4.48,52370.5,92520.19,-0.0817877757237761,29.863,-0.0,0.0
16,105,1,2,A.C,0.211483770981431,0.38495021882404884,215.177,1128285.55,2152067.92,-6.3255430649871816,117.173,51.0724,0.036
17,105,1,2,B.C,0.07510380140738561,0.31676023403702613,83.397,393245.43,828412.04,-1.640129225611017,102.0,10.7281,0.0
