,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
37000,1,1,2,0.45,0.867,0.414,0.5,0.456,0.194,27.283,18.2088,0.89597,0.70414,0.66053,0.40917,0.41666,0.50775,0.5990366666666667,0.4445266666666667,0.7535466666666667,0.05048793166643009,1534.8,2825755.08,6448730.81,-4.378145204808415,249.611,179.226
37001,10,1,2,0.451,0.865,0.453,0.5,0.447,0.1475,28.612,29.1283,0.89316,0.70021,0.65735,0.41361,0.43944,0.5026,0.6010616666666666,0.45188333333333336,0.7502399999999999,0.02625092533489806,1593.21,3220880.9,5625384.14,-6.774996837658889,465.253,125.059
37002,100,1,2,0.45,0.865,0.487,0.574,0.447,0.0815,34.878,32.6915,0.89753,0.68903,0.65036,0.38613,0.44889,0.4982,0.5950233333333332,0.4444066666666666,0.74564,0.029975115750949046,1179.46,1012521.98,2756175.84,-5.247142903935688,123.582,95.0412
37003,1000,1,2,0.451,0.867,0.489,0.598,0.459,0.23,23.359,17.687,0.9067,0.70872,0.6735,0.43103,0.49967,0.53155,0.6251950000000001,0.48741666666666666,0.7629733333333334,0.03410522626807051,1384.26,1460977.13,2660073.68,-1.1299154575914911,192.923,55.3759
37004,101,1,2,0.45,0.865,0.469,0.488,0.447,0.136,22.452,19.9526,0.90029,0.70044,0.66059,0.41945,0.46881,0.51837,0.6113249999999999,0.4688766666666666,0.7537733333333333,0.02160398327105213,1585.77,2498486.41,4112506.62,-5.764431220784882,354.504,113.88
37005,102,1,2,0.45,0.865,0.452,0.51,0.447,0.17,23.63,24.1959,0.90087,0.71315,0.67439,0.43096,0.47835,0.52662,0.6207233333333333,0.4786433333333333,0.7628033333333333,0.034023848307970186,1546.22,3471192.81,5541701.44,-0.3742942555489728,326.55,148.652
37006,103,1,2,0.451,0.865,0.475,0.551,0.45,0.166,17.514,16.9291,0.90456,0.69928,0.65898,0.42898,0.48604,0.5266,0.6174066666666667,0.48053999999999997,0.7542733333333334,0.05234697495782257,1334.13,2325343.37,3869815.18,-3.4982029706071134,226.422,96.686
37007,104,1,2,0.45,0.866,0.465,0.571,0.452,0.20400000000000001,18.021,12.6332,0.90075,0.70355,0.66623,0.40665,0.45775,0.50911,0.60734,0.45783666666666667,0.7568433333333333,0.02897410242330807,1487.76,2553981.68,4224399.46,-2.2717649777463365,305.923,112.344
37008,105,1,2,0.45,0.865,0.424,0.515,0.447,0.225,21.929,23.872,0.89455,0.70209,0.66257,0.39844,0.42143,0.49671,0.5959650000000001,0.43886000000000003,0.75307,0.023598268809473667,1508.27,3902439.81,6690223.11,-2.284049738769567,301.064,176.397
37009,106,1,2,0.45,0.865,0.487,0.552,0.447,0.16449999999999998,28.743,23.3767,0.90123,0.71052,0.67758,0.43162,0.50971,0.53908,0.62829,0.49347,0.7631100000000001,0.02982249329709248,1394.91,1597177.13,3160868.03,-2.0938112391936476,229.457,76.7479
37010,107,1,2,0.45,0.865,0.453,0.446,0.447,0.0135,35.716,37.4938,0.89479,0.69848,0.65456,0.38776,0.41635,0.48956,0.59025,0.43122333333333335,0.7492766666666667,0.03172173205384752,1357.83,2643599.93,4717832.06,-1.5778012193740532,100.631,121.699
37011,108,1,2,0.45,0.865,0.449,0.519,0.447,0.066,25.127,18.768,0.89623,0.69215,0.64873,0.38507,0.4285,0.49877,0.591575,0.4374466666666667,0.7457033333333333,0.044550385525582215,1455.44,3015314.51,5602866.48,-2.3739757124363985,258.25,130.568
37012,109,1,2,0.451,0.865,0.457,0.5,0.447,0.139,26.768,27.989,0.89714,0.69605,0.65581,0.41342,0.45264,0.51018,0.6042066666666667,0.4587466666666667,0.7496666666666666,0.03554600725806267,1530.07,3344749.81,5136620.23,-4.342834560085693,394.626,117.388
37013,11,1,2,0.45,0.867,0.472,0.571,0.458,0.2385,24.0,16.8835,0.90088,0.7064,0.66919,0.42648,0.48051,0.52729,0.6184583333333333,0.4780933333333333,0.7588233333333333,0.0391943032058407,1424.93,2284761.34,4046547.44,-5.341374415802848,253.926,75.6604
37014,110,1,2,0.452,0.867,0.448,0.595,0.465,0.248,30.508,20.4769,0.90177,0.71215,0.67055,0.45467,0.48995,0.5477,0.6294649999999999,0.49743999999999994,0.7614899999999999,0.0609251446199778,1682.64,4328352.2,6424087.03,-4.359831861684641,434.865,149.848
37015,111,1,2,0.45,0.865,0.456,0.515,0.447,0.1795,18.993,22.7353,0.90236,0.71426,0.67119,0.42829,0.46573,0.52284,0.617445,0.4722866666666667,0.7626033333333334,0.03227069325766933,1447.43,2364613.5,4938274.74,-4.982857671874152,267.274,111.188
37016,112,1,2,0.451,0.865,0.478,0.541,0.45,0.159,17.506,16.3546,0.90329,0.70345,0.66949,0.41833,0.48154,0.5305,0.6177666666666667,0.47679,0.7587433333333333,0.02630550661557436,1362.16,1625699.44,2902101.2,-1.2749862479336427,223.939,75.4624
