,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,1,2,A.C,0.05434118802659214,0.24943392734662942,271.168,1099978.87,2132220.98,-4.7396616563432215,201.149,41.7927,0.0
1,1,1,2,B.C,0.04663467530626804,0.24558067098646735,202.591,1846488.46,4316509.83,-4.016628753273608,153.154,137.433,0.0
2,10,1,2,A.C,0.03750459657312604,0.2446939649532297,276.811,1817632.17,2684208.55,-5.504989242908051,246.293,36.2433,0.0
3,10,1,2,B.C,0.014997254096670078,0.23344029371500172,253.722,1437671.28,2941175.59,-8.045004432409726,239.643,88.8154,0.0
4,100,1,2,A.C,0.029585823579054704,0.23699624512286066,97.577,504418.06,1441749.02,-6.200252121925835,66.182,61.2449,0.0
5,100,1,2,B.C,0.030364407922843388,0.237385537294755,79.097,730588.19,1314426.82,-4.294033685945542,59.711,33.7963,0.0
6,1000,1,2,A.C,0.06287485471402761,0.27514576069034713,318.082,1329050.09,2505606.68,-2.2597609138834005,178.732,49.0485,0.021
7,1000,1,2,B.C,0.005335597822113414,0.24637613224439003,25.07,103771.35,154467.0,-7.000129958187836e-05,116.569,6.32734,0.0
8,101,1,2,A.C,0.024401543624844636,0.24663910514575563,266.937,1047931.47,1672315.94,-5.118778351346715,275.229,42.6884,0.0
9,101,1,2,B.C,0.018806422917259622,0.24384154479196313,250.907,1463839.03,2440190.68,-6.41008409022305,298.544,71.1912,0.0
10,102,1,2,A.C,0.05539381017442793,0.2670185717538806,354.182,2555792.69,3769880.29,-0.5823132030339939,235.123,81.6154,0.0
11,102,1,2,B.C,0.01265388644151244,0.24564860988742288,132.508,950744.5,1771821.16,-0.16627530806395166,132.86,67.0367,0.0
12,103,1,2,A.C,0.09522004985483364,0.2878800249274168,212.468,1825040.11,2789947.54,-5.863523610167042,160.69,63.9952,0.0
13,103,1,2,B.C,0.009473900060811502,0.24500695003040573,63.63,639102.27,1079867.64,-1.1328823310471845,129.667,32.6909,0.0
14,104,1,2,A.C,0.03293467943294673,0.24538567304980669,329.428,1924980.56,3322925.14,-1.107091076139558,230.676,86.7342,0.0
15,104,1,2,B.C,0.025013525413669416,0.24142509604016804,117.127,601326.27,901474.32,-3.436438879353115,96.469,25.6096,0.0
16,105,1,2,A.C,0.03262359375221422,0.23574179687610713,248.812,2053990.25,3466375.71,-1.4399583527093585,173.339,82.4985,0.0
17,105,1,2,B.C,0.01457294386673311,0.22671647193336658,197.688,1940582.88,3223847.41,-3.128141124829775,211.337,93.8987,0.0
18,106,1,2,A.C,0.0452224801054399,0.26934624005271995,277.164,1271525.67,2479739.59,-4.187431889961105,207.922,55.9869,0.0
19,106,1,2,B.C,0.014422506488745058,0.25394625324437253,87.137,420707.69,681128.45,-0.00019058842619049405,49.77,20.7611,0.0
20,107,1,2,A.C,0.006868487221072428,0.21904591027720288,14.901,245865.31,488087.11,-0.858007832192649,88.497,20.7628,0.0
21,107,1,2,B.C,0.05657497688662261,0.24389915510997798,275.013,2399323.11,4229744.95,-2.297594606555457,92.316,100.936,0.0
22,108,1,2,A.C,0.0020138291206990293,0.21973024789368287,,-0.0,-0.0,,43.197,-0.0,0.0
23,108,1,2,B.C,0.0870869419304654,0.2622668042985661,387.519,2940467.0,5602866.48,-2.3739757124363985,256.05,130.568,0.0
24,109,1,2,A.C,0.06515630531939678,0.26195148599303175,326.556,2222041.73,3423448.47,-7.290628459234647,298.259,61.2953,0.0
25,109,1,2,B.C,0.005935709196728567,0.23234118793169764,147.195,1104048.22,1713171.76,-1.395040660936739,149.768,56.0924,0.0
26,11,1,2,A.C,0.06343243873488973,0.2707628860341115,305.787,1556100.84,2813764.03,-4.136621849483224,192.334,45.1947,0.0
27,11,1,2,B.C,0.014956167676791667,0.24652475050506248,77.035,699663.13,1232783.41,-6.5461269821224715,105.474,30.4657,0.0
28,110,1,2,A.C,0.09247242417186498,0.2949562120859325,567.974,3481406.47,4890150.57,-0.41095295440028934,411.268,106.982,0.0
29,110,1,2,B.C,0.029377865068090616,0.2634089325340453,79.903,795092.21,1533936.46,-8.308710768968993,84.418,42.8664,0.037
30,111,1,2,A.C,0.035034490979160185,0.25366057882291343,238.55,1605379.06,2643882.21,-4.502696872435352,163.982,52.1658,0.0
31,111,1,2,B.C,0.02950689553617849,0.2508967811014226,156.308,847141.45,2294392.53,-5.463018471312952,139.219,59.0219,0.0
32,112,1,2,A.C,0.04593658720623353,0.2613632936031168,303.205,1435586.81,2700835.76,-2.549921704627507,217.093,66.2873,0.0
33,112,1,2,B.C,0.006674426024915192,0.2417322130124576,22.256,98157.56,201265.45,-5.079123977849532e-05,82.457,9.1751,0.0
