,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
38000,1,2,1,0.802,0.869,0.298,0.398,0.249,0.1285,14.841,17.4597,0.90207,0.84438,0.81396,0.23816,0.21602,0.39191,0.56775,0.28203,0.8534700000000001,0.10133722988539376,683.358,2402321.0,4913091.96,-4.735642992224588,108.796,96.5034
38001,10,2,1,0.802,0.871,0.338,0.5,0.268,0.1735,10.11,16.7105,0.89991,0.84439,0.82047,0.19112,0.17347,0.33515,0.544085,0.23324666666666669,0.8549233333333334,0.06334125456633045,617.294,1594404.42,3400086.77,-7.386036763616191,97.118,67.003
38002,100,2,1,0.805,0.873,0.309,0.327,0.283,0.132,8.349,10.2759,0.90719,0.84839,0.81945,0.21519,0.20438,0.36111,0.559285,0.26022666666666666,0.8583433333333333,0.09340025840792804,673.957,2492037.25,4856123.1,-6.3703271041555976,178.082,119.386
38003,1000,2,1,0.802,0.872,0.35,0.441,0.271,0.1825,4.396,25.3731,0.90425,0.84105,0.809,0.20407,0.20247,0.3833,0.5573566666666667,0.26328,0.8514333333333334,0.09284071299480273,636.453,2057586.86,3551984.55,-4.695410311744353,133.859,96.7851
38004,101,2,1,0.802,0.87,0.344,0.298,0.252,0.08099999999999999,18.21,23.2745,0.91009,0.83594,0.80444,0.21641,0.22785,0.37045,0.5608633333333333,0.27157000000000003,0.8501566666666666,0.07366547532728873,673.283,2358234.46,3878962.88,-4.924263482232217,102.632,77.3829
38005,102,2,1,0.802,0.869,0.341,0.308,0.242,0.07200000000000001,7.426,19.1419,0.90847,0.84705,0.82098,0.23428,0.252,0.3597,0.5704133333333334,0.2819933333333333,0.8588333333333334,0.0860128132349928,681.782,1879325.73,3225795.31,-3.121882131823286,134.267,43.6527
38006,103,2,1,0.808,0.874,0.359,0.423,0.294,0.11800000000000001,8.0,9.5661,0.90989,0.85474,0.829,0.21733,0.22226,0.37431,0.5679216666666667,0.27130000000000004,0.8645433333333333,0.07718171190936118,697.615,2229855.88,3764599.74,-1.4008171850515119,253.465,95.9619
38007,104,2,1,0.802,0.872,0.345,0.5,0.278,0.21700000000000003,9.099,18.4322,0.91484,0.86555,0.84161,0.23722,0.23929,0.37482,0.5788883333333333,0.2837766666666666,0.874,0.10608003109227866,773.766,2631807.47,4706787.34,-4.80108136087369,214.311,104.092
38008,105,2,1,0.802,0.87,0.333,0.467,0.255,0.121,5.067,11.5168,0.89906,0.82738,0.79743,0.20491,0.21433,0.33078,0.5456483333333333,0.25000666666666665,0.84129,0.06975774622260361,483.989,1575899.12,3261277.08,-4.093833017285714,133.238,76.4368
38009,106,2,1,0.802,0.872,0.31,0.446,0.27,0.2165,10.002,11.8887,0.91053,0.84856,0.82367,0.23556,0.22002,0.37858,0.5694866666666667,0.2780533333333333,0.86092,0.09696051853243262,743.274,2840173.13,4666431.09,-6.403826046409174,145.449,113.022
