,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,2,1,A.C,0.08276726683834568,0.18239863341917284,95.264,500935.68,1424159.85,-4.278932379446313,69.237,9.33183,0.0
1,1,2,1,A.D,0.11990719293244183,0.20096859646622092,244.113,1901385.33,3488932.11,-5.192353605002864,99.894,87.1716,0.0
2,10,2,1,A.C,0.05373910432681441,0.14349288549674055,87.822,610983.31,1293612.86,-6.465401323588893,49.849,20.4912,0.082
3,10,2,1,A.D,0.0729434048058465,0.1530950357362566,161.603,983421.12,2106473.9,-8.30667220364349,52.696,46.5118,0.0
4,100,2,1,A.C,0.07764101764187216,0.1689338421542694,85.011,673817.12,1517289.49,-6.863164616294488,41.834,33.8048,0.0
5,100,2,1,A.D,0.10915949917398393,0.1846930829203253,221.177,1818220.14,3338833.61,-5.877489592016708,181.171,85.5812,0.0
6,1000,2,1,A.C,0.09621225995942949,0.17974612997971476,142.322,905171.06,1450523.49,-3.7443030041668215,91.901,40.7102,0.0
7,1000,2,1,A.D,0.08946916603017599,0.17637458301508802,146.727,1152415.81,2101461.06,-5.646517619321884,41.218,56.0749,0.062
8,101,2,1,A.C,0.08231157730333506,0.17694078865166754,138.837,857265.87,1441309.33,-4.805619570400442,58.05,32.7094,0.048
9,101,2,1,A.D,0.0650193733512424,0.16829468667562122,193.676,1500968.6,2437653.55,-5.042907394063991,84.771,44.6735,0.0
10,102,2,1,A.C,0.06964422416931484,0.17581877875132407,140.214,863428.64,1315049.7,-2.472025711197794,11.342,7.5153,0.0
11,102,2,1,A.D,0.10238140230067073,0.19218736781700202,180.63,1015897.09,1910745.61,-3.7717385524487774,140.308,36.1374,0.0
12,103,2,1,A.C,0.06261781104840339,0.16695890552420173,55.329,234404.97,490310.97,-0.01577189844771465,51.642,5.69797,0.0
13,103,2,1,A.D,0.09174561277031898,0.1815228063851595,275.027,1995450.92,3274288.77,-2.785862471655309,222.502,90.2639,0.056
14,104,2,1,A.C,0.10197930508293213,0.19287798587479937,102.08,695561.93,1322612.34,-4.691526232183437,104.099,25.467,0.049
15,104,2,1,A.D,0.1101807571016252,0.1969787118841459,304.466,1936245.54,3384174.99,-4.910636489563943,162.135,78.6248,0.037
16,105,2,1,A.C,0.05488806183857378,0.15244736425262023,18.599,117736.89,247499.35,-0.00010736238011837866,27.888,4.86689,0.0
17,105,2,1,A.D,0.08462743060663343,0.16731704863665003,101.26,1458162.23,3013777.73,-8.18755867219131,62.26,71.5699,0.0
18,106,2,1,A.C,0.08477496374398469,0.181414148538659,190.657,1238745.18,1945418.1,-4.6888697891930855,45.592,42.6668,0.0
19,106,2,1,A.D,0.10914607332088054,0.19359970332710694,230.066,1601427.95,2721013.0,-8.118782303625263,172.741,70.3554,0.0
20,107,2,1,A.C,0.07931844601407646,0.16455922300703824,70.287,1138065.08,2010667.96,-5.983082739371613,55.329,59.6278,0.041
21,107,2,1,A.D,0.10148096559569239,0.17564048279784622,264.739,1778707.68,3511262.04,-5.0053797190541,189.336,75.1877,0.067
22,108,2,1,A.C,0.11405077911913396,0.20292705622623364,98.913,797366.36,1156637.23,-4.1462847178808735,116.367,24.0223,0.0
23,108,2,1,A.D,0.14527514539659023,0.21853923936496178,347.425,2419840.85,4200379.75,-3.9049510642939818,219.284,108.541,0.0
24,109,2,1,A.C,0.10211976221762598,0.20073821444214632,149.565,1180576.25,2108835.54,-6.614244382699063,111.604,20.6109,0.0
25,109,2,1,A.D,0.09843762391246855,0.1988971452895676,146.94,1479944.91,2577771.42,-6.518270054675041,132.811,80.4165,0.0
26,11,2,1,A.C,0.09021658492274583,0.17924662579470624,86.484,714720.9,1294362.88,-4.570215428861968,81.024,21.5537,0.05
27,11,2,1,A.D,0.09699577800929547,0.18263622233798107,275.055,2042860.49,3966850.64,-4.995597033183921,138.84,88.1399,0.068
28,110,2,1,A.C,0.086100342287682,0.183620171143841,,-0.0,-0.0,,23.314,-0.0,0.0
29,110,2,1,A.D,0.13030613493174314,0.20572306746587157,200.197,1301576.07,3024201.08,-4.702978792349963,153.48,85.988,0.0
30,111,2,1,A.C,0.0950801524333656,0.18766174288334947,213.614,1574983.18,2789044.64,-4.998574036516903,123.384,56.3228,0.08
31,111,2,1,A.D,0.0908368074335158,0.18554007038342457,133.899,648221.19,1259749.47,-6.134627731948744,74.74,27.3259,0.022
32,112,2,1,A.C,0.07709538256749511,0.1662843579504142,53.015,540230.03,1036042.97,-3.60679567911494,60.095,14.9355,0.0
33,112,2,1,A.D,0.08313581371330657,0.16930457352331996,159.696,1632427.57,2780695.34,-4.083015192062444,196.886,86.8896,0.0
34,113,2,1,A.C,0.08794583370909095,0.17504958352121214,94.024,596307.81,1261984.44,-5.275700552997287,110.752,20.4537,0.045
35,113,2,1,A.D,0.10000298134982587,0.1810781573415796,274.917,2357189.83,3647494.7,-3.5032177795237636,197.868,92.9363,0.111
36,114,2,1,A.C,0.09251109417527915,0.1794038804209729,220.428,1786698.19,2754146.17,-5.555361113828344,216.943,64.3362,0.0
37,114,2,1,A.D,0.05546444457722828,0.16088055562194747,92.062,713201.57,724862.35,-2.0863919304617258,30.216,13.6782,0.0
38,115,2,1,A.C,0.1432076764293015,0.2188205048813174,466.831,3038252.43,4722164.95,-2.2712961544887054,141.747,106.13,0.0
39,115,2,1,A.D,0.12251618816517294,0.20847476074925314,238.947,1716966.46,3211958.24,-3.0916491392133607,148.344,74.6473,0.0
40,116,2,1,A.C,0.08045074590481817,0.1659987062857424,81.531,939518.43,1304135.31,-4.857010565743216,37.528,33.8239,0.0
41,116,2,1,A.D,0.07368471007794142,0.16261568837230403,192.553,1267627.69,2404555.78,-1.148428429560616,95.159,64.706,0.0
42,117,2,1,A.C,0.10749604590237141,0.18486135628451905,146.911,1212219.43,1569703.39,-1.888779856334683,83.11,27.5384,0.0
43,117,2,1,A.D,0.10318438587710262,0.18270552627188463,96.065,1101246.38,2074567.18,-8.093048764318656,132.919,49.0259,0.0
44,118,2,1,A.C,0.0717565419152379,0.16261993762428562,29.308,507352.55,1039678.88,-0.5223187442972644,53.431,13.2412,0.108
45,118,2,1,A.D,0.09274148298427463,0.173112408158804,287.356,1532316.61,3349129.82,-3.350520640256239,107.074,82.7759,0.071
46,119,2,1,A.C,0.06040293194819242,0.1371181326407629,295.839,2679921.38,3931202.22,-2.1666154286742616,171.069,72.305,0.0
47,119,2,1,A.D,0.0549837360624224,0.13440853469787786,105.794,910819.35,1535690.22,-6.304261491582164,77.566,45.9238,0.0
48,12,2,1,A.C,0.13080737721174956,0.22159535527254143,99.846,769334.94,1653397.8,-2.5403177685250564,63.656,43.3146,0.0
49,12,2,1,A.D,0.15235609430819752,0.2323697138207654,279.569,2078573.54,4042431.99,-4.172547442822494,103.368,108.154,0.144
50,120,2,1,A.C,0.08054226767271756,0.1561544671696921,268.381,1580641.75,2926766.23,-6.438991080920509,123.652,44.8446,0.0
51,120,2,1,A.D,0.058434525458142164,0.1451005960624044,82.093,545524.19,890444.64,-0.33164039536072376,68.707,17.2781,0.0
52,121,2,1,A.C,0.0859331028535962,0.15044488476013146,280.173,1830555.21,3380726.09,-3.5066965534141654,119.354,95.9611,0.0
53,121,2,1,A.D,0.03809788522921735,0.12652727594794203,2.095,11370.04,26091.17,-0.0815195447335808,28.592,-0.0,0.0
54,122,2,1,A.C,0.10232181423343718,0.18039424045005192,412.036,2871525.05,4218990.89,-3.683484407030142,273.303,81.7707,0.0
55,122,2,1,A.D,0.04766244431957603,0.15306455549312137,8.098,68095.19,139391.85,-0.18747922812914256,72.5,-0.0,0.0
56,123,2,1,A.C,0.09100396367721261,0.18889698183860631,84.114,926823.99,1655256.42,-5.63836495221483,101.283,35.1336,0.773
57,123,2,1,A.D,0.10984680866822599,0.198318404334113,386.22,3018343.89,4727461.57,-0.012320498064773644,318.059,138.484,0.688
58,124,2,1,A.C,0.1154083319241181,0.1989858326287257,172.613,1478003.35,3117693.43,-6.994478160442894,127.137,73.6786,0.0
59,124,2,1,A.D,0.050551894170348534,0.16655761375184094,51.241,595169.2,1062009.03,-2.507813863632248,25.474,14.8286,0.0
60,125,2,1,A.C,0.11675550248473883,0.20315608457570272,276.942,1554094.12,3157125.61,-3.683049592438112,144.026,82.2293,0.069
61,125,2,1,A.D,0.10690377810969948,0.19823022238818305,167.642,586070.75,1392761.2,-7.626117266215266,54.498,29.4099,0.021
62,126,2,1,A.C,0.08904192373156547,0.17015762853244937,150.259,1582991.94,2519909.7,-3.547841812841699,122.962,66.4427,0.0
63,126,2,1,A.D,0.04176583812823083,0.14651958573078205,43.717,182016.18,426258.16,-1.3906314385436758,1.636,3.05487,0.0
64,127,2,1,A.C,0.10208980320021509,0.17591490160010753,198.432,1996730.27,3100903.83,-3.6215135497316093,147.142,65.0223,0.038
65,127,2,1,A.D,0.11496194349601865,0.18235097174800932,203.373,1886610.81,3104404.39,-8.91574211024366,134.318,67.2204,0.0
66,128,2,1,A.C,0.11226921961642802,0.19128294314154737,222.931,1736054.35,2830429.68,-7.1164627772628455,128.514,64.8819,0.073
67,128,2,1,A.D,0.12184176314622164,0.19606921490644416,158.191,982795.37,1820155.15,-8.010337967170967,128.028,36.4203,0.043
68,129,2,1,A.C,0.09159248620271683,0.1729412431013584,234.648,1261652.46,2273598.59,-4.222278035559432,7.007,43.8284,0.0
69,129,2,1,A.D,0.09785498436540364,0.1760724921827018,77.949,820043.18,1811908.14,-5.95371105291346,87.616,32.7546,0.0
70,13,2,1,A.C,0.10452246898785233,0.19061456782725952,118.738,1266808.97,2109419.39,-4.811673047629098,47.375,43.8517,0.0
71,13,2,1,A.D,0.10453860862180592,0.19062263764423631,232.751,1933220.73,2943450.88,-3.994492849974963,165.445,82.3251,0.037
72,130,2,1,A.C,0.06934696430689655,0.16716514882011496,34.108,426018.05,693641.35,-0.004489620897263652,82.579,12.6892,0.0
73,130,2,1,A.D,0.11116935879690573,0.18807634606511953,333.586,2628989.65,4040365.68,-6.766085180248846,139.846,117.448,0.0
74,131,2,1,A.C,0.10957793695852161,0.1874456351459275,100.516,1160119.54,1946341.92,-3.8284152565706266,81.205,52.6133,0.082
75,131,2,1,A.D,0.11570970490574839,0.19051151911954087,300.168,1418698.49,3065114.35,-4.996523488703328,137.803,62.6065,0.071
76,132,2,1,A.C,0.0859422879293561,0.17229447729801137,182.839,1486892.76,2455410.48,-5.964158628129216,164.655,63.2427,0.0
77,132,2,1,A.D,0.056562000664416696,0.15760433366554166,94.668,729145.87,752246.91,-0.8660386280377571,57.32,15.6441,0.0
78,133,2,1,A.C,0.06061044378438964,0.14840022189219482,61.075,427356.07,762247.6,-0.23841794620446177,103.769,19.9427,0.0
79,133,2,1,A.D,0.08430052567273377,0.16024526283636686,165.766,1960751.85,3760810.41,-7.314662261728636,64.772,95.6667,0.0
80,134,2,1,A.C,0.06458033522358164,0.16128350094512414,75.515,586743.31,1042423.08,-0.5955578948644337,39.417,16.1436,0.0
81,134,2,1,A.D,0.0969815188087523,0.1774840927377095,212.697,2091598.08,3540733.69,-5.048234079305736,158.434,93.2843,0.018
82,135,2,1,A.C,0.09520655504893512,0.1892099441911342,215.693,1498697.96,2909362.72,-6.124325506797731,65.47,55.1575,0.0
83,135,2,1,A.D,0.04306071548271575,0.16313702440802452,83.295,638794.21,1185787.1,-1.8239407048199385,86.313,10.5779,0.0
84,136,2,1,A.C,0.09127417327836156,0.17818208663918078,165.162,1393240.2,2320488.1,-4.705406575427562,102.007,48.7667,0.091
85,136,2,1,A.D,0.08845752314664423,0.1767737615733221,170.659,970457.65,1682476.35,-3.649142569402537,46.862,45.6875,0.022
86,137,2,1,A.C,0.0730670237215236,0.16488351186076178,71.395,621027.7,1149629.03,-5.1046074255947325,90.398,18.9417,0.053
87,137,2,1,A.D,0.08683192580938338,0.17176596290469168,258.866,1606721.68,3213247.19,-6.174662323194937,152.117,64.8556,0.038
88,138,2,1,A.C,0.0339420512173092,0.12355935894198794,36.109,205160.65,575104.82,-0.9213004827791044,49.375,8.67898,0.0
89,138,2,1,A.D,0.033384899087832307,0.1232807828772495,194.859,1444977.43,2307861.04,-4.6686252689679835,79.763,81.4373,0.0
90,139,2,1,A.C,0.09219921804033221,0.1762996090201661,219.259,1705386.95,2638388.03,-5.0199643706429535,154.643,69.2603,0.0
91,139,2,1,A.D,0.04038046896021115,0.15039023448010555,5.803,176184.46,399221.45,-0.0007551026103816203,39.299,2.60142,0.0
92,14,2,1,A.C,0.08563194908201693,0.17534930787434183,85.677,771666.28,1392176.38,-3.8104170865981097,112.194,18.9417,0.051
93,14,2,1,A.D,0.09384331265464425,0.17945498966065548,248.613,1572423.67,3333832.06,-5.410039862259534,115.052,80.8031,0.072
94,140,2,1,A.C,0.09293095070170238,0.19275047535085119,101.291,481778.63,1488414.4,-2.6228102796557797,85.394,8.66768,0.0
95,140,2,1,A.D,0.13449117057025434,0.21353058528512717,154.136,1642911.97,3135715.92,-5.67740509602788,75.618,79.3223,0.0
96,141,2,1,A.C,0.08120160610415042,0.16911913638540854,80.225,1045612.27,1660328.04,-4.162530441972197,113.112,22.8564,0.0
97,141,2,1,A.D,0.08274127726908773,0.16988897196787722,214.658,1668317.27,2537525.75,-5.654981281029428,127.954,58.4466,0.0
98,142,2,1,A.C,0.11675280928611753,0.2085647379763921,139.007,1109501.31,2203968.95,-7.2176591194747255,90.213,52.9576,0.8
99,142,2,1,A.D,0.1327054865658283,0.2165410766162475,506.706,3380904.98,6262862.12,-2.0287083130163284,261.89,208.915,0.73
100,143,2,1,A.C,0.062440879293717444,0.15797043964685872,74.703,401743.3,444052.0,-0.7298322138709147,29.779,8.25732,0.0
101,143,2,1,A.D,0.07704490184551104,0.16527245092275553,228.223,1724010.27,2840780.34,-7.656632884244527,156.611,81.4649,0.0
102,144,2,1,A.C,0.07023161731194705,0.15859414198930688,81.951,635245.89,1275160.91,-5.636014115030772,55.444,21.3023,0.378
103,144,2,1,A.D,0.09739302210509777,0.17217484438588224,287.168,1693958.88,3116554.05,-1.2728631373854187,133.069,69.0597,0.407
104,145,2,1,A.C,0.06624905024655163,0.14210285845660914,201.933,1357881.1,2248512.98,-7.164946163203602,147.065,38.3604,0.0
105,145,2,1,A.D,0.06256515425629913,0.1402609104614829,103.947,1104930.16,1945522.68,-4.310157988182,112.03,55.9705,0.0
106,146,2,1,A.C,0.10106439967639744,0.18298386650486537,258.66,1884429.49,3153486.51,-2.3451462667330842,83.558,69.7954,0.033
107,146,2,1,A.D,0.09640626208856702,0.18065479771095017,90.038,861420.4,1438352.14,-3.7842127187935914,62.436,22.3001,0.0
108,147,2,1,A.C,0.08826351345051081,0.1857767567252554,79.492,756642.42,1130846.8,-1.749295564868972,173.532,11.3868,0.0
109,147,2,1,A.D,0.10089580700732768,0.19209290350366384,145.937,1427006.13,2692777.34,-4.306019328380779,109.123,63.3144,0.0
110,148,2,1,A.C,0.10576160703785717,0.18015913685226193,179.894,1358710.92,2093386.85,-4.606741426207907,59.317,47.643,0.0
111,148,2,1,A.D,0.09714021016843617,0.1758484384175514,98.104,1127960.38,2337868.23,-7.565636027962128,87.159,50.6336,0.057
112,149,2,1,A.C,0.08915611589327453,0.1730080579466373,109.792,871148.08,1657651.22,-9.259862327986419,48.067,35.5741,0.0
113,149,2,1,A.D,0.08980706329457463,0.17333353164728732,207.639,943819.88,1941393.02,-6.474871068913828,96.798,40.9941,0.0
114,15,2,1,A.C,0.08279587584547698,0.17498793792273848,206.219,952874.27,2137456.38,-6.883718503498703,88.174,37.8538,0.0
115,15,2,1,A.D,0.09259881125763057,0.17988940562881528,193.404,1481054.47,2639985.92,-4.464275829903485,151.12,59.8742,0.019
116,150,2,1,A.C,0.08816973357461393,0.18945320012064032,109.453,652595.06,920479.18,-0.6790414370812349,107.482,39.3492,0.0
117,150,2,1,A.D,0.07330399233615026,0.18202032950140848,159.71,1303103.56,2354735.38,-6.932190303440573,126.035,41.4585,0.0
118,151,2,1,A.C,0.08005416626110673,0.1806704164638867,118.639,594777.69,1083649.75,-2.8224890508852205,34.764,6.65132,0.0
119,151,2,1,A.D,0.10263880956918,0.19196273811792336,126.54,1283422.97,2478135.14,-6.652773503417948,130.618,66.0246,0.0
120,152,2,1,A.C,0.07300599574809895,0.16619966454071614,266.054,2036160.0,3487183.86,-3.2067250422751377,219.591,79.5142,0.026
121,152,2,1,A.D,0.049753557759686366,0.15457344554650984,90.548,606875.6,932508.77,-2.8931714912299364,85.417,3.80062,0.025
122,153,2,1,A.C,0.052325421466957775,0.14598771073347888,92.84,691960.11,1176137.48,-3.888201483682419,37.578,18.887,0.085
123,153,2,1,A.D,0.07048542263219133,0.15506771131609567,172.469,876261.39,1941770.57,-7.401495808747821,94.503,44.8212,0.0
124,154,2,1,A.C,0.10435000220313669,0.18518500110156833,392.051,2796219.41,3862427.43,-4.37845162499252,252.438,78.3536,0.0
125,154,2,1,A.D,0.048466547107091175,0.1572432735535456,14.845,47763.92,96719.98,-0.007834901305920065,25.6,-0.0,0.0
126,155,2,1,A.C,0.05983318553189747,0.15895659276594876,95.187,536024.29,1047475.58,-1.952448888417181,81.062,8.79167,0.0
127,155,2,1,A.D,0.09729254414560273,0.17768627207280138,152.154,1632058.03,3350576.97,-4.848826594781435,107.736,82.0818,0.0
