,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
40000,1,1,1,0.686,0.786,0.0,0.333,0.007,0.333,13.535,13.8533,0.85948,0.70555,0.643,0.17539,0.1212,0.37967,0.480715,0.22542000000000004,0.7360099999999999,0.15272126998752356,429.069,2844781.32,4701673.62,-1.5909158440067839,196.532,129.422
40001,10,1,1,0.688,0.792,0.05,0.242,0.051,0.242,11.852,12.2,0.85745,0.70262,0.65999,0.11176,0.09499,0.30103,0.45464,0.16926,0.74002,0.11952605005353689,178.935,1461588.4,2501672.15,-4.054083336667445,114.327,64.8333
40002,100,1,1,0.686,0.786,0.0,0.222,0.012,0.222,14.376,14.8229,0.85987,0.71003,0.66322,0.14324,0.1078,0.33255,0.46945166666666666,0.19453,0.7443733333333333,0.15193675784394145,258.696,2989379.92,5381239.85,-1.4270976876064176,215.774,88.0363
40003,1000,1,1,0.686,0.787,0.019,0.2,0.02,0.2,18.65,18.1649,0.85833,0.69548,0.65842,0.07648,0.05747,0.23413,0.43005166666666667,0.12269333333333333,0.73741,0.0851938727326342,53.27,1269378.56,2151669.33,-5.02745675719715,88.886,42.9501
40004,101,1,1,0.686,0.786,0.0,0.149,0.01,0.149,14.86,15.1173,0.86364,0.69274,0.65001,0.09469,0.06479,0.24494,0.43513499999999994,0.13480666666666666,0.7354633333333332,0.09871175563894213,264.523,1595348.84,2668789.14,-4.742838282914992,151.564,60.8771
40005,102,1,1,0.691,0.787,0.0,0.218,0.036,0.218,12.67,12.774,0.86413,0.73255,0.67044,0.20016,0.16967,0.3851,0.5036750000000001,0.25164333333333333,0.7557066666666667,0.19084490612149238,340.018,2422304.97,4233596.72,-4.318270059445528,251.168,109.229
40006,103,1,1,0.686,0.785,0.0,0.088,0.004,0.088,21.934,21.5282,0.8532,0.69755,0.64375,0.15004,0.08481,0.27059,0.44998999999999995,0.16848,0.7314999999999999,0.11171657964587212,321.24,2603076.7,4728560.6,-5.656526500234,143.346,90.6524
40007,104,1,1,0.688,0.791,0.0,0.253,0.034,0.253,18.629,19.945,0.85718,0.70628,0.65758,0.12877,0.08125,0.31868,0.4582900000000001,0.17623333333333333,0.7403466666666668,0.13071651719510555,343.868,1976625.44,3438721.37,-4.426341656620177,180.764,73.5717
40008,105,1,1,0.686,0.79,0.0,0.211,0.028,0.211,18.732,19.9939,0.85276,0.70539,0.6608,0.11377,0.06836,0.29626,0.4495566666666667,0.15946333333333335,0.73965,0.11649341697338968,327.863,2205408.38,3494275.36,-3.808640200751837,213.803,78.5265
40009,106,1,1,0.691,0.786,0.0,0.278,0.027,0.278,12.177,13.0053,0.85606,0.70294,0.64484,0.17055,0.16053,0.39383,0.488125,0.24163666666666664,0.7346133333333333,0.1822936484590173,340.619,1793858.86,3272495.78,-3.489317506052439,176.932,70.5071
40010,107,1,1,0.689,0.794,0.155,0.275,0.078,0.275,17.965,19.1429,0.8501,0.70172,0.65137,0.17073,0.16536,0.34568,0.4808266666666667,0.22725666666666666,0.7343966666666667,0.17115045972168444,250.926,1581268.8,2879984.42,-4.486392131180621,137.829,74.9219
