,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,1,1,A.B,0.15272126998752356,0.1890706349937618,429.069,2844781.32,4701673.62,-1.5909158440067839,187.375,129.422,0.0
1,10,1,1,A.B,0.11952605005353689,0.14439302502676843,178.935,1461588.4,2501672.15,-4.054083336667445,92.405,64.8333,0.05
2,100,1,1,A.B,0.15193675784394145,0.17323337892197072,258.696,2989379.92,5381239.85,-1.4270976876064176,238.504,88.0363,0.0
3,1000,1,1,A.B,0.0851938727326342,0.10394360303298376,53.27,1269378.56,2151669.33,-5.02745675719715,83.585,42.9501,0.019
4,101,1,1,A.B,0.09871175563894213,0.1167592111528044,264.523,1595348.84,2668789.14,-4.742838282914992,156.562,60.8771,0.0
5,102,1,1,A.B,0.19084490612149238,0.22124411972741287,340.018,2422304.97,4233596.72,-4.318270059445528,254.636,109.229,0.0
6,103,1,1,A.B,0.11171657964587212,0.14009828982293604,321.24,2603076.7,4728560.6,-5.656526500234,138.162,90.6524,0.0
7,104,1,1,A.B,0.13071651719510555,0.15347492526421944,343.868,1976625.44,3438721.37,-4.426341656620177,212.388,73.5717,0.0
8,105,1,1,A.B,0.11649341697338968,0.1379783751533615,327.863,2205408.38,3494275.36,-3.808640200751837,217.826,78.5265,0.0
9,106,1,1,A.B,0.1822936484590173,0.21196515756284195,340.619,1793858.86,3272495.78,-3.489317506052439,179.051,70.5071,0.0
10,107,1,1,A.B,0.17115045972168444,0.19920356319417554,250.926,1581268.8,2879984.42,-4.486392131180621,148.87,74.9219,0.155
11,108,1,1,A.B,0.09904734948650003,0.12442700807658336,211.724,1554183.93,2687253.86,-4.113717239078527,153.42,64.7608,0.017
12,109,1,1,A.B,0.1823017958551645,0.21062589792758224,304.291,2361777.55,4774358.99,-5.622117342422619,181.954,117.693,0.075
13,11,1,1,A.B,0.16674537472426892,0.19328935402880112,328.153,3311449.85,5675920.0,-2.8053015102186736,222.537,109.625,0.0
14,110,1,1,A.B,0.13175535220652818,0.1657476761032641,239.843,2333759.19,5218847.13,-2.2009830166875473,111.118,119.082,0.026
15,111,1,1,A.B,0.19965745266526938,0.23130205966596806,352.737,2590901.62,4377500.5,-4.647356198212756,240.608,98.6392,0.0
