,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
41000,1,1,1,0.819,0.912,0.0,0.021,0.002,0.021,13.653,15.1173,0.88594,0.81781,0.77623,0.17624,0.11024,0.33186,0.5163866666666667,0.20611333333333334,0.82666,0.15646145157516003,467.853,3927837.47,6597661.95,-3.460454569711627,326.377,144.983
41001,10,1,1,0.819,0.912,0.0,0.031,0.001,0.031,14.098,15.5985,0.89055,0.81703,0.77719,0.17214,0.10837,0.33198,0.5162100000000001,0.20416333333333334,0.8282566666666668,0.15020849276334047,440.701,3965478.18,6599978.3,-5.604993314809466,304.939,135.65
41002,100,1,1,0.819,0.912,0.0,0.379,0.025,0.379,12.816,12.9031,0.88909,0.81162,0.77983,0.11824,0.07531,0.30131,0.4959,0.16495333333333334,0.8268466666666666,0.10832245815545322,278.336,1684495.91,3737360.93,-3.1326713675370375,162.369,92.1843
41003,1000,1,1,0.819,0.912,0.0,0.042,0.0,0.042,13.772,16.0598,0.89328,0.80833,0.77641,0.11228,0.08075,0.26531,0.48939333333333335,0.15278,0.8260066666666667,0.10210949182510377,105.263,1847112.54,3083331.0,-6.530917659116376,79.319,48.7794
41004,101,1,1,0.819,0.912,0.0,0.079,0.005,0.079,17.565,16.8454,0.88555,0.79099,0.75868,0.07662,0.04413,0.22615,0.4636866666666667,0.11563333333333332,0.81174,0.08034914010204375,117.403,1552490.28,2983228.73,-5.2268074457305485,55.736,58.1387
41005,102,1,1,0.819,0.912,0.0,0.041,0.001,0.041,14.223,16.5723,0.89351,0.80987,0.78302,0.11806,0.083,0.26127,0.49145500000000003,0.15411,0.8288000000000001,0.10865248087793589,171.984,2064776.12,3344080.23,-5.6293521337625725,146.993,62.5386
41006,103,1,1,0.819,0.912,0.0,0.081,0.0,0.081,16.272,16.4246,0.88682,0.7988,0.77242,0.10237,0.0646,0.25652,0.480255,0.14116333333333334,0.8193466666666667,0.08414387432858347,180.045,1983921.5,3642805.32,-8.26741666598819,106.34,87.9725
41007,104,1,1,0.819,0.912,0.0,0.073,0.009,0.073,13.057,11.0946,0.88622,0.79317,0.76533,0.07798,0.05523,0.20107,0.4631666666666667,0.11142666666666666,0.8149066666666668,0.06138584092259407,80.13,615037.94,1259717.08,-2.8787525412138653,72.134,23.7708
41008,105,1,1,0.819,0.912,0.0,0.0,0.0,0.0,14.778,17.2851,0.89073,0.80979,0.78787,0.06376,0.03209,0.22596,0.46836666666666665,0.10726999999999999,0.8294633333333333,0.07952101877890527,152.23,1602162.3,2850419.81,-3.482754081300155,76.763,59.9419
41009,106,1,1,0.819,0.913,0.0,0.228,0.017,0.228,11.073,12.0679,0.8965,0.82333,0.79218,0.12114,0.08609,0.27883,0.4996783333333334,0.16202000000000003,0.8373366666666667,0.12453222507610918,103.228,1456188.46,2710082.29,-3.4903633489136503,119.401,53.9325
41010,107,1,1,0.819,0.912,0.0,0.037,0.0,0.037,13.159,14.1332,0.8923,0.81398,0.77616,0.12122,0.06951,0.28319,0.49272666666666665,0.15797333333333333,0.82748,0.128758985735476,325.629,2889922.12,5067972.83,-4.872693504025447,111.209,107.632
41011,108,1,1,0.819,0.912,0.0,0.0,0.0,0.0,15.401,17.9382,0.89021,0.81338,0.7912,0.07089,0.03143,0.21488,0.468665,0.10573333333333333,0.8315966666666667,0.07512393246870488,183.415,1556302.18,3019282.56,-5.850487482032496,119.689,55.8941
