,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,1,1,A.G,0.15646145157516003,0.1812873924542467,467.853,3927837.47,6597661.95,-3.460454569711627,336.642,144.983,0.0
1,10,1,1,A.G,0.15020849276334047,0.17718591304833692,440.701,3965478.18,6599978.3,-5.604993314809466,299.146,135.65,0.0
2,100,1,1,A.G,0.10832245815545322,0.13663789574439328,278.336,1684495.91,3737360.93,-3.1326713675370375,159.157,92.1843,0.0
3,1000,1,1,A.G,0.10210949182510377,0.1274447459125519,105.263,1847112.54,3083331.0,-6.530917659116376,86.963,48.7794,0.0
4,101,1,1,A.G,0.08034914010204375,0.09799123671768853,117.403,1552490.28,2983228.73,-5.2268074457305485,97.083,58.1387,0.0
5,102,1,1,A.G,0.10865248087793589,0.13138124043896793,171.984,2064776.12,3344080.23,-5.6293521337625725,139.137,62.5386,0.0
6,103,1,1,A.G,0.08414387432858347,0.1126536038309584,180.045,1983921.5,3642805.32,-8.26741666598819,102.763,87.9725,0.0
7,104,1,1,A.G,0.06138584092259407,0.08640625379463036,80.13,615037.94,1259717.08,-2.8787525412138653,82.624,23.7708,0.0
8,105,1,1,A.G,0.07952101877890527,0.09339550938945262,152.23,1602162.3,2850419.81,-3.482754081300155,89.534,59.9419,0.0
9,106,1,1,A.G,0.12453222507610918,0.1432761125380546,103.228,1456188.46,2710082.29,-3.4903633489136503,122.537,53.9325,0.0
10,107,1,1,A.G,0.128758985735476,0.14336615953440468,325.629,2889922.12,5067972.83,-4.872693504025447,136.067,107.632,0.0
11,108,1,1,A.G,0.07512393246870488,0.0904286329010191,183.415,1556302.18,3019282.56,-5.850487482032496,126.763,55.8941,0.0
12,109,1,1,A.G,0.08112148282816635,0.09749240808074984,142.526,1636468.08,3128974.43,-1.1986917975421159,77.892,55.1491,0.0
13,11,1,1,A.G,0.1614178620278835,0.1840822643472751,339.183,3841234.21,7015883.21,-3.6873279540010504,244.924,155.51,0.0
14,110,1,1,A.G,0.1128190190764144,0.12800617620487387,145.604,2735132.25,4916134.91,-3.832816480257789,95.891,108.022,0.0
15,111,1,1,A.G,0.11886122934520245,0.14284061467260123,145.541,1523959.37,3444251.68,-5.577273445939428,115.232,69.8293,0.0
16,112,1,1,A.G,0.12877974826842548,0.14176654080087941,373.198,3067720.27,4281356.16,-4.647116787003665,200.16,90.8671,0.0
17,113,1,1,A.G,0.14258059523999692,0.15966696428666513,279.231,3456451.73,6829208.29,-5.307060498625148,252.222,154.76,0.0
