,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
42000,1,1,1,0.986,0.967,0.894,0.859,0.855,0.859,0.554,0.435003,0.89711,0.78032,0.7372,0.2294,0.18283,0.41034,0.5395333333333333,0.27419,0.8048766666666666,0.1847291434183717,1045.35,6911247.07,11212681.39,-0.0002558805048402751,758.863,226.12
42001,10,1,1,0.796,0.909,0.068,0.411,0.116,0.411,7.303,4.9585,0.88399,0.74959,0.71639,0.10824,0.08492,0.27501,0.46968999999999994,0.15605666666666665,0.7833233333333333,0.09350720988586544,373.296,2572298.99,4588923.83,-6.061884082485482,209.682,82.5353
42002,100,1,1,0.797,0.909,0.088,0.307,0.094,0.307,11.704,6.78287,0.88704,0.74311,0.70869,0.07465,0.05004,0.21324,0.44612833333333335,0.11264333333333333,0.7796133333333334,0.06556419798871503,224.0,1604705.83,2859885.82,-7.73546704648535,170.566,50.7723
42003,1000,1,1,0.792,0.903,0.0,0.187,0.0,0.187,12.862,12.6621,0.88818,0.76321,0.72546,0.08949,0.05772,0.2433,0.4612266666666667,0.13017,0.7922833333333333,0.09110857321647928,221.887,2110467.56,3867557.87,-6.943847275872162,124.251,82.0713
42004,101,1,1,0.792,0.907,0.015,0.24,0.058,0.24,8.045,5.95791,0.8855,0.75645,0.72691,0.0843,0.06655,0.21419,0.45564999999999994,0.12168,0.7896199999999999,0.06936182481440482,314.541,2000153.73,3113827.09,-5.9312259294180265,201.896,68.1012
42005,102,1,1,0.797,0.903,0.0,0.279,0.0,0.279,16.727,17.3971,0.88713,0.73991,0.69755,0.0995,0.07029,0.27975,0.462355,0.14984666666666668,0.7748633333333333,0.10287942979484796,402.4,2934921.63,5058588.36,-5.994038903391236,258.641,100.868
42006,103,1,1,0.797,0.903,0.0,0.136,0.0,0.136,16.885,17.6536,0.89398,0.7604,0.72905,0.08945,0.07247,0.23907,0.46407,0.13366333333333336,0.7944766666666666,0.08690888219280168,261.087,1625009.31,3583901.14,-5.419784099475811,224.106,67.7002
42007,104,1,1,0.792,0.903,0.0,0.141,0.0,0.141,20.298,19.9422,0.89326,0.7545,0.71558,0.09974,0.07302,0.26473,0.466805,0.14583,0.78778,0.10888953651301564,226.906,1779646.43,3353953.1,-5.84451714490455,93.881,71.8815
42008,105,1,1,0.792,0.903,0.0,0.094,0.003,0.094,13.012,12.4624,0.89356,0.76546,0.73203,0.07133,0.04247,0.20175,0.45109999999999995,0.10518333333333334,0.7970166666666666,0.07143402856891043,291.336,2212684.39,3882024.2,-5.69612412621217,224.803,64.9445
42009,106,1,1,0.792,0.904,0.0,0.101,0.02,0.101,23.788,13.3918,0.88375,0.74893,0.70948,0.07934,0.04401,0.21507,0.4467633333333334,0.11280666666666668,0.7807200000000001,0.07113390571903437,356.595,2536187.99,5248942.17,-2.908985726249388,90.06,89.9565
42010,107,1,1,0.794,0.904,0.011,0.204,0.024,0.204,18.257,12.4387,0.89392,0.76888,0.72908,0.13716,0.10794,0.29918,0.48935999999999996,0.18142666666666665,0.7972933333333333,0.131673192512244,472.286,3186933.51,5414979.93,-4.352786625817965,297.98,131.684
42011,108,1,1,0.792,0.903,0.0,0.213,0.0,0.213,15.362,16.1773,0.89164,0.75125,0.70874,0.09944,0.07465,0.27576,0.46691333333333335,0.14995,0.7838766666666667,0.1130399217363447,307.531,2251411.22,4008971.72,-5.271733213398683,164.279,73.3736
42012,109,1,1,0.792,0.903,0.0,0.114,0.0,0.114,15.104,15.8165,0.88715,0.74625,0.70755,0.06836,0.04704,0.19285,0.44153333333333333,0.10275000000000001,0.7803166666666667,0.06378411442856305,286.32,1582011.63,3237749.18,-5.605105112942645,193.444,72.7805
42013,11,1,1,0.795,0.903,0.0,0.146,0.021,0.146,16.43,9.3284,0.89113,0.76317,0.71856,0.11467,0.0806,0.25596,0.4706816666666667,0.15041000000000002,0.7909533333333334,0.10677265753038227,371.069,2602326.69,4847319.45,-5.74886679108117,169.66,95.8943
42014,110,1,1,0.796,0.903,0.0,0.111,0.007,0.111,10.544,10.8016,0.8873,0.7621,0.72973,0.07402,0.06159,0.19937,0.45235166666666665,0.11165999999999998,0.7930433333333333,0.06813856746884994,175.611,1089160.63,2202954.27,-4.248034549433519,135.467,52.04
42015,111,1,1,0.795,0.903,0.0,0.169,0.006,0.169,16.952,17.761,0.88386,0.73734,0.7025,0.07011,0.04678,0.22087,0.44357666666666673,0.11258666666666667,0.7745666666666667,0.06789630603743717,244.489,1362808.89,2872449.98,-8.586777464746786,189.178,57.9748
42016,112,1,1,0.792,0.903,0.0,0.0,0.0,0.0,25.374,21.2885,0.88832,0.75165,0.71194,0.08557,0.05083,0.2191,0.45123500000000005,0.1185,0.7839700000000001,0.07773197153583168,342.958,2038750.74,4795168.08,-1.6341462007067293,150.328,111.025
42017,113,1,1,0.795,0.903,0.0,0.115,0.005,0.115,11.496,11.3463,0.88966,0.75509,0.71825,0.08602,0.06232,0.21882,0.45502666666666675,0.12238666666666666,0.7876666666666668,0.08149722570087761,239.901,1570398.97,3123880.89,-8.132846067763168,165.982,66.5443
42018,114,1,1,0.793,0.906,0.012,0.14,0.055,0.14,18.775,8.97579,0.89447,0.75374,0.71139,0.10209,0.06295,0.25981,0.464075,0.14161666666666667,0.7865333333333333,0.09959346842952073,251.545,2379617.88,4594510.23,-7.586232183810642,151.386,99.9744
42019,115,1,1,0.792,0.903,0.0,0.131,0.0,0.131,15.051,14.5953,0.89382,0.76154,0.72861,0.06956,0.04988,0.19841,0.4503033333333333,0.10595,0.7946566666666666,0.06716020568273962,287.44,1796592.51,2938725.22,-7.436023949697952,209.101,45.4264
42020,116,1,1,0.792,0.903,0.0,0.169,0.0,0.169,13.737,12.8086,0.89141,0.75396,0.71711,0.08053,0.05563,0.22692,0.45426,0.12102666666666667,0.7874933333333334,0.08479527975432574,279.039,1697113.6,3524916.82,-5.360635575453529,167.463,65.9869
42021,117,1,1,0.792,0.903,0.0,0.169,0.0,0.169,15.405,16.7728,0.88781,0.7498,0.70783,0.07716,0.05507,0.24195,0.45327,0.12472666666666667,0.7818133333333334,0.09052454284392296,251.006,2082551.21,3249431.15,-4.178859845102573,160.108,48.5791
42022,118,1,1,0.794,0.903,0.0,0.15,0.0,0.15,16.576,17.6822,0.88587,0.74177,0.70685,0.07607,0.06335,0.2177,0.4486016666666666,0.11903999999999999,0.7781633333333332,0.07122279313625768,189.814,1410196.36,2639002.54,-6.32731695763678,173.375,50.062
42023,119,1,1,0.792,0.903,0.0,0.101,0.0,0.101,19.76,19.3615,0.89737,0.76524,0.73282,0.09118,0.07438,0.24254,0.46725500000000003,0.1360333333333333,0.7984766666666667,0.08171390674542636,233.707,1476712.65,3186693.5,-6.952719319404918,199.508,60.0464
42024,12,1,1,0.793,0.906,0.056,0.321,0.06,0.321,18.349,8.44553,0.88988,0.75823,0.72253,0.08727,0.05618,0.25112,0.4608683333333333,0.13152333333333335,0.7902133333333333,0.084515355178155,397.423,2062207.19,3907873.57,-7.332847885974996,212.115,80.2861
42025,120,1,1,0.792,0.903,0.0,0.094,0.0,0.094,15.157,14.3658,0.89302,0.75553,0.72157,0.07218,0.04827,0.20991,0.45008,0.11012,0.79004,0.07449835147708654,268.975,1908738.63,3784185.32,-4.538521107181748,99.546,72.8842
42026,121,1,1,0.792,0.903,0.0,0.175,0.0,0.175,16.613,17.4318,0.88788,0.74709,0.71428,0.08057,0.06505,0.22851,0.45389666666666667,0.12470999999999999,0.7830833333333334,0.0766034146770835,225.856,1455121.76,3063120.52,-5.378355947006971,160.557,59.3875
42027,122,1,1,0.797,0.91,0.158,0.286,0.12,0.286,10.226,5.99516,0.88506,0.73717,0.70323,0.06981,0.04817,0.21311,0.44275833333333336,0.11036333333333333,0.7751533333333334,0.0641217577678617,264.6,1757932.0,3102017.84,-10.0,218.486,51.4568
42028,123,1,1,0.796,0.903,0.0,0.244,0.0,0.244,16.943,17.4069,0.88959,0.74801,0.70806,0.09735,0.07026,0.26797,0.46354,0.1451933333333333,0.7818866666666667,0.10070229386910795,386.643,2231487.5,4053629.54,-5.514747207930517,190.235,83.5854
42029,124,1,1,0.793,0.903,0.0,0.119,0.0,0.119,15.164,16.787,0.88643,0.75169,0.71996,0.07474,0.06167,0.20565,0.4500233333333334,0.11402000000000001,0.7860266666666668,0.06397535763680935,225.041,918209.44,2001790.69,-6.080270558661791,168.707,42.0791
42030,125,1,1,0.792,0.903,0.0,0.13,0.0,0.13,20.702,20.6783,0.89307,0.74754,0.71742,0.07002,0.05548,0.21174,0.44921166666666673,0.11241333333333332,0.7860100000000001,0.06719747970346361,203.392,982564.23,2066225.25,-3.2248565250936547,131.484,53.9476
42031,126,1,1,0.797,0.903,0.0,0.141,0.005,0.141,14.477,14.756,0.89021,0.75533,0.71956,0.08671,0.06159,0.22532,0.4564533333333333,0.12454,0.7883666666666667,0.07956944901961834,351.109,1969916.46,3643599.32,-7.858529358908858,217.886,95.8265
42032,127,1,1,0.792,0.903,0.0,0.127,0.0,0.127,19.73,20.3466,0.88967,0.74178,0.70777,0.07592,0.06264,0.21969,0.4495783333333333,0.11941666666666666,0.77974,0.06601120941340922,191.772,1181491.08,2655634.69,-2.7410114956504508,132.527,52.2452
42033,128,1,1,0.798,0.909,0.101,0.273,0.097,0.273,10.001,6.15792,0.88614,0.75048,0.71848,0.0797,0.05637,0.21123,0.4504,0.11576666666666667,0.7850333333333334,0.06625206947792323,325.792,2358269.05,3761738.39,-6.988292023705526,252.752,71.4701
42034,129,1,1,0.792,0.903,0.0,0.115,0.012,0.115,12.657,10.8283,0.89422,0.75705,0.72372,0.07089,0.04736,0.19705,0.4483816666666666,0.10510000000000001,0.7916633333333333,0.059756312778336,325.225,1583434.1,3020299.24,-6.874837761586336,165.582,57.9306
42035,13,1,1,0.795,0.903,0.013,0.152,0.009,0.152,16.289,13.6858,0.89752,0.76411,0.72446,0.13149,0.10301,0.28959,0.48502999999999996,0.17469666666666664,0.7953633333333333,0.12515478478744624,433.11,2809049.94,5221649.08,-5.293850059623494,290.268,103.034
42036,130,1,1,0.795,0.91,0.115,0.5,0.118,0.5,12.698,6.87276,0.89012,0.76324,0.72421,0.15723,0.11215,0.34511,0.4986766666666667,0.20482999999999998,0.7925233333333335,0.14249126017093658,607.792,4458659.77,6893659.58,-5.161484902094072,248.649,171.573
42037,131,1,1,0.797,0.903,0.0,0.256,0.001,0.256,16.926,17.3526,0.88913,0.74435,0.70249,0.10338,0.07246,0.27344,0.46420833333333333,0.14976,0.7786566666666667,0.10172518426552414,481.981,3038834.64,5265431.55,-3.650651929612748,138.126,114.151
42038,132,1,1,0.799,0.91,0.056,0.403,0.121,0.403,7.224,4.92268,0.88196,0.74517,0.71233,0.10714,0.08478,0.27581,0.467865,0.15591,0.77982,0.09137678761035205,399.36,2552055.0,4466528.08,-10.0,203.335,88.3814
42039,133,1,1,0.795,0.908,0.029,0.355,0.082,0.355,16.213,7.92055,0.89255,0.76076,0.72631,0.0801,0.05244,0.24157,0.458955,0.12470333333333333,0.7932066666666667,0.08340901292394848,329.437,2134572.47,3976430.79,-5.740452404220449,198.718,70.5872
42040,134,1,1,0.797,0.903,0.0,0.207,0.0,0.207,17.591,17.877,0.89011,0.7498,0.70892,0.10341,0.07324,0.25587,0.46355833333333335,0.14417333333333335,0.7829433333333333,0.09921070667915047,377.983,2624308.17,4235849.48,-4.8964585955736535,165.583,86.0841
42041,135,1,1,0.795,0.903,0.0,0.131,0.0,0.131,18.219,19.0365,0.89029,0.75859,0.72349,0.08437,0.0628,0.24337,0.460485,0.13018,0.79079,0.08403013655915856,314.54,1853783.71,3188425.37,-6.280217729735482,180.625,59.0963
42042,136,1,1,0.792,0.903,0.0,0.186,0.0,0.186,15.459,16.1019,0.89497,0.75192,0.71464,0.10284,0.07837,0.26231,0.46750833333333336,0.14784,0.7871766666666667,0.09986326575744897,323.899,2035337.3,4182934.36,-2.3373862963923955,186.904,83.2378
42043,137,1,1,0.799,0.903,0.0,0.135,0.007,0.135,15.598,14.4499,0.9019,0.76802,0.73218,0.08647,0.06448,0.23858,0.46527166666666664,0.12984333333333334,0.8007,0.0915034735109657,361.202,2277586.92,3583488.92,-3.3346550456251567,219.622,55.5615
42044,138,1,1,0.792,0.903,0.0,0.178,0.0,0.178,14.944,13.4907,0.89587,0.76591,0.72753,0.10578,0.09146,0.26983,0.47606333333333334,0.15569,0.7964366666666667,0.11686610663309695,316.938,2179512.43,3668318.36,-2.669537372536622,266.076,74.879
42045,139,1,1,0.792,0.903,0.0,0.174,0.0,0.174,16.88,17.1244,0.89915,0.763,0.72588,0.10211,0.06769,0.27879,0.47277,0.14953000000000002,0.79601,0.1126945602707565,304.44,3122977.38,5945592.38,-4.30761795171312,199.773,124.643
42046,14,1,1,0.792,0.903,0.0,0.18,0.003,0.18,14.59,13.0752,0.89087,0.76861,0.73117,0.11911,0.08909,0.27683,0.47928,0.16167666666666666,0.7968833333333333,0.11165245603770017,346.7,2192318.72,4205374.6,-2.1161181170636536,179.351,87.9459
42047,140,1,1,0.792,0.907,0.071,0.32,0.073,0.32,12.721,6.78997,0.89201,0.76641,0.73387,0.10675,0.09683,0.2567,0.47542833333333334,0.15342666666666668,0.79743,0.09528149808757005,344.058,2296468.47,3937072.6,-10.0,182.308,69.2682
42048,141,1,1,0.795,0.903,0.013,0.155,0.008,0.155,16.201,13.7235,0.89498,0.76247,0.72456,0.12221,0.10342,0.27309,0.48012166666666667,0.16624,0.7940033333333333,0.11732391826808454,356.689,2318822.1,4423054.47,-4.589202372121723,275.663,74.4752
42049,142,1,1,0.794,0.903,0.0,0.042,0.0,0.042,17.029,19.9241,0.88147,0.73022,0.70018,0.05441,0.02856,0.15459,0.424905,0.07918666666666667,0.7706233333333333,0.03408997282676864,284.276,2224579.25,3600920.93,-0.5075292538288222,214.596,68.1388
42050,143,1,1,0.795,0.905,0.0,0.223,0.04,0.223,12.101,8.97745,0.89434,0.76601,0.72574,0.10767,0.07441,0.25207,0.47004,0.14471666666666666,0.7953633333333334,0.09420679556205869,382.494,2280912.73,4109853.89,-4.706612670983841,228.31,91.5892
42051,144,1,1,0.792,0.907,0.028,0.397,0.067,0.397,15.024,8.15816,0.89227,0.75071,0.71477,0.10863,0.08758,0.27845,0.47206833333333337,0.15822,0.7859166666666667,0.10069615002721548,292.28,2260653.39,3919271.24,-4.668101779299809,205.608,66.1633
42052,145,1,1,0.793,0.903,0.0,0.148,0.0,0.148,20.378,20.2226,0.89204,0.74625,0.71148,0.07777,0.06196,0.21874,0.4513733333333333,0.11949,0.7832566666666666,0.07121373710688203,219.549,1150600.7,2330539.95,-6.703864069721629,110.559,58.7746
42053,146,1,1,0.792,0.903,0.0,0.151,0.01,0.151,13.253,10.7538,0.89241,0.75426,0.71579,0.08567,0.06414,0.22266,0.4558216666666667,0.12415666666666665,0.7874866666666667,0.086219023168087,138.512,1144445.11,2272332.32,-8.229015974039491,98.487,45.6322
42054,147,1,1,0.797,0.91,0.07,0.365,0.107,0.365,6.508,4.97092,0.88292,0.7456,0.71354,0.10908,0.09408,0.27258,0.46963333333333335,0.15858,0.7806866666666666,0.10174149321392179,322.501,2337324.16,4088295.91,-9.851190653011487,204.776,71.803
42055,148,1,1,0.792,0.903,0.0,0.069,0.0,0.069,19.986,19.1511,0.89101,0.7573,0.71943,0.10171,0.07711,0.24465,0.4652016666666667,0.14115666666666668,0.7892466666666667,0.10115631306543946,231.77,1691548.88,3604625.7,-6.561764574464957,103.198,68.183
42056,149,1,1,0.795,0.905,0.059,0.203,0.043,0.203,19.75,11.3023,0.88508,0.75207,0.72017,0.05591,0.03606,0.1768,0.43768166666666664,0.08959,0.7857733333333333,0.053676450602870324,185.637,1277531.44,2468133.04,-5.073141994120596,115.491,48.3243
42057,15,1,1,0.795,0.908,0.04,0.338,0.087,0.338,11.027,6.47095,0.88946,0.75227,0.71829,0.09116,0.0646,0.25056,0.46105666666666667,0.13544,0.7866733333333333,0.08087921347469092,406.4,2362010.57,4382148.75,-4.25986850156332,202.008,83.1138
42058,150,1,1,0.792,0.904,0.0,0.243,0.019,0.243,16.883,9.55524,0.88644,0.74902,0.71958,0.0658,0.05432,0.18903,0.4440316666666667,0.10305000000000002,0.7850133333333335,0.05906565822660923,235.572,1211070.42,2382511.5,-5.73565207464093,177.2,51.9045
42059,151,1,1,0.899,0.953,0.798,0.793,0.698,0.793,2.036,1.04961,0.90299,0.78107,0.73791,0.24913,0.19612,0.43562,0.5504733333333333,0.2936233333333333,0.8073233333333333,0.21188272330909966,954.004,6085434.04,10513156.38,-0.0022648082775786594,478.238,234.118
42060,152,1,1,0.801,0.911,0.123,0.39,0.125,0.39,9.444,5.92551,0.88133,0.74843,0.71533,0.08617,0.05699,0.23265,0.4534833333333333,0.12527,0.7816966666666666,0.07960249363677577,267.494,2223467.64,4046691.98,-6.094065122038418,165.605,79.0498
42061,153,1,1,0.792,0.903,0.0,0.177,0.0,0.177,16.113,17.3264,0.89064,0.74637,0.70951,0.08556,0.07036,0.23672,0.45652666666666664,0.13088,0.7821733333333333,0.08855737503618002,214.279,1677421.82,2980388.85,-6.955196093107187,160.153,58.1184
42062,154,1,1,0.796,0.903,0.0,0.2,0.004,0.2,17.05,17.4855,0.88552,0.74469,0.70681,0.08609,0.06102,0.24407,0.4547,0.13039333333333333,0.7790066666666666,0.08695712266489863,314.986,2402622.47,4092736.72,-7.858251011080022,241.168,82.6355
42063,155,1,1,0.794,0.908,0.029,0.329,0.083,0.329,15.392,8.27914,0.88739,0.74545,0.71043,0.09177,0.06651,0.23676,0.456385,0.13168,0.78109,0.08228947945171967,268.281,1964203.34,3383779.97,-4.8600124616681315,156.952,72.2161
42064,156,1,1,0.792,0.903,0.0,0.154,0.0,0.154,15.088,14.336,0.89601,0.75996,0.72723,0.09024,0.06061,0.22554,0.4599316666666667,0.12546333333333334,0.7944,0.08862009432632477,354.058,1992171.62,3757089.34,-5.043186963496919,199.842,77.6756
42065,157,1,1,0.792,0.904,0.0,0.174,0.015,0.174,19.307,14.3977,0.89855,0.76813,0.73453,0.09595,0.07226,0.24009,0.4682516666666666,0.1361,0.8004033333333332,0.10325311589986086,326.39,2142885.26,4081558.19,-8.390254463679964,189.33,85.8394
42066,158,1,1,0.793,0.906,0.042,0.3,0.058,0.3,18.476,8.45376,0.88839,0.75433,0.72033,0.07792,0.04908,0.23951,0.45492666666666665,0.12217,0.7876833333333333,0.07913443187717348,369.081,2331544.58,4314877.97,-5.812589237569207,240.091,85.6046
42067,159,1,1,0.792,0.908,0.058,0.299,0.072,0.299,10.78,6.74291,0.8866,0.74835,0.71668,0.08798,0.06816,0.23082,0.4564316666666667,0.12898666666666667,0.7838766666666667,0.07248731143772602,309.784,1940598.24,3512820.84,-8.045468295554311,202.458,71.9882
42068,16,1,1,0.793,0.903,0.012,0.19,0.011,0.19,13.432,11.6421,0.88978,0.75831,0.71376,0.12748,0.09074,0.2858,0.477645,0.16800666666666667,0.7872833333333333,0.11952436724677683,437.593,2822976.53,5820373.62,-1.2450676546465127,242.985,112.72
42069,160,1,1,0.796,0.91,0.086,0.287,0.105,0.287,10.735,6.03046,0.8967,0.76376,0.72997,0.06899,0.04419,0.20905,0.45211000000000007,0.10741,0.7968100000000001,0.0740712309954688,298.128,1911763.16,3750296.16,-3.6533488108548844,236.407,69.9566
42070,161,1,1,0.792,0.903,0.0,0.147,0.007,0.147,11.738,10.9243,0.89258,0.76154,0.72417,0.10062,0.07004,0.24346,0.4654016666666666,0.13804,0.7927633333333333,0.09309946282301099,230.199,2193767.37,4098341.48,-5.542081856903749,100.971,78.5113
42071,162,1,1,0.792,0.904,0.0,0.241,0.024,0.241,17.367,9.91737,0.88149,0.74333,0.71036,0.08006,0.04774,0.19701,0.4433316666666667,0.10826999999999999,0.7783933333333334,0.06134431157261134,291.407,1816602.9,3740249.66,-4.44787591552569,199.605,68.5724
42072,163,1,1,0.792,0.906,0.013,0.346,0.053,0.346,16.181,8.67063,0.89265,0.75395,0.72045,0.10749,0.09024,0.27467,0.4732416666666666,0.15746666666666667,0.7890166666666666,0.10584294321015478,285.22,2418119.82,4330808.91,-4.031711605136315,224.286,94.9072
42073,164,1,1,0.799,0.903,0.0,0.299,0.0,0.299,16.921,17.3952,0.8899,0.74627,0.70485,0.10743,0.07659,0.27843,0.46724499999999997,0.15415,0.7803399999999999,0.10509264077991248,456.396,3560635.11,5705030.37,-5.729797356524681,266.375,114.624
42074,165,1,1,0.793,0.903,0.0,0.171,0.0,0.171,16.549,17.2585,0.88906,0.74663,0.71041,0.08765,0.06911,0.24142,0.45737999999999995,0.13272666666666666,0.7820333333333332,0.08533034985885024,201.695,1918894.15,3519695.06,-8.673767553215997,177.919,62.2593
42075,166,1,1,0.793,0.906,0.027,0.247,0.056,0.247,18.668,9.98188,0.88874,0.75633,0.72009,0.09711,0.06787,0.24786,0.463,0.13761333333333334,0.7883866666666667,0.09271310119656846,285.21,1982032.96,3430767.4,-6.061544882965357,161.412,68.1877
42076,167,1,1,0.793,0.903,0.0,0.165,0.013,0.165,17.437,9.92013,0.88671,0.75069,0.71412,0.08034,0.05449,0.2187,0.45084166666666664,0.11784333333333334,0.78384,0.07667024359107018,301.844,1762288.32,3323623.15,-8.020138952554383,182.989,66.0261
42077,168,1,1,0.794,0.903,0.0,0.163,0.0,0.163,19.686,18.6342,0.89574,0.75627,0.72082,0.10055,0.08314,0.26087,0.469565,0.14818666666666666,0.7909433333333333,0.09607850357424469,268.082,1592259.96,3036993.4,-8.296032021718444,185.49,68.9203
42078,169,1,1,0.792,0.903,0.0,0.094,0.0,0.094,18.658,16.2163,0.8997,0.76618,0.73001,0.09627,0.0667,0.22684,0.4642833333333334,0.12993666666666667,0.7986300000000001,0.09065124657936394,240.237,1956151.58,3684636.82,-5.552243206260926,126.107,77.2251
42079,17,1,1,0.792,0.903,0.0,0.121,0.0,0.121,19.418,19.1947,0.89968,0.76522,0.73385,0.07856,0.05894,0.22651,0.46046000000000004,0.12133666666666666,0.7995833333333334,0.08323103794828056,310.881,1793617.63,3513314.46,-5.80717016419301,154.558,73.9426
42080,170,1,1,0.792,0.903,0.0,0.172,0.0,0.172,15.944,17.186,0.89648,0.75742,0.72288,0.08468,0.05967,0.24054,0.46027833333333334,0.12829666666666664,0.7922600000000001,0.08598811458796263,282.302,2350080.14,3988725.48,-2.5540582460854893,221.415,83.2588
42081,171,1,1,0.797,0.903,0.0,0.174,0.007,0.174,17.132,17.4152,0.88199,0.73809,0.70168,0.08024,0.05377,0.2295,0.447545,0.12117,0.77392,0.0788951077265665,279.88,2250237.98,3649885.19,-5.627072129417318,185.188,74.4284
