,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,1,1,A.C,0.1847291434183717,0.22945957170918585,1045.35,6911247.07,11212681.39,-0.0002558805048402751,766.788,226.12,0.894
1,10,1,1,A.C,0.09350720988586544,0.12478193827626605,373.296,2572298.99,4588923.83,-6.061884082485482,207.867,82.5353,0.068
2,100,1,1,A.C,0.06556419798871503,0.08910376566102418,224.0,1604705.83,2859885.82,-7.73546704648535,163.236,50.7723,0.088
3,1000,1,1,A.C,0.09110857321647928,0.11063928660823964,221.887,2110467.56,3867557.87,-6.943847275872162,113.199,82.0713,0.0
4,101,1,1,A.C,0.06936182481440482,0.09552091240720241,314.541,2000153.73,3113827.09,-5.9312259294180265,205.891,68.1012,0.015
5,102,1,1,A.C,0.10287942979484796,0.12636304823075734,402.4,2934921.63,5058588.36,-5.994038903391236,236.951,100.868,0.0
6,103,1,1,A.C,0.08690888219280168,0.11028610776306752,261.087,1625009.31,3583901.14,-5.419784099475811,197.66,67.7002,0.0
7,104,1,1,A.C,0.10888953651301564,0.1273597682565078,226.906,1779646.43,3353953.1,-5.84451714490455,93.356,71.8815,0.0
8,105,1,1,A.C,0.07143402856891043,0.08830868095112188,291.336,2212684.39,3882024.2,-5.69612412621217,260.859,64.9445,0.0
9,106,1,1,A.C,0.07113390571903437,0.09197028619285053,356.595,2536187.99,5248942.17,-2.908985726249388,71.945,89.9565,0.0
10,107,1,1,A.C,0.131673192512244,0.15654992958945532,472.286,3186933.51,5414979.93,-4.352786625817965,283.146,131.684,0.011
11,108,1,1,A.C,0.1130399217363447,0.13149496086817236,307.531,2251411.22,4008971.72,-5.271733213398683,165.572,73.3736,0.0
12,109,1,1,A.C,0.06378411442856305,0.08326705721428153,286.32,1582011.63,3237749.18,-5.605105112942645,188.318,72.7805,0.0
13,11,1,1,A.C,0.10677265753038227,0.12859132876519114,371.069,2602326.69,4847319.45,-5.74886679108117,174.781,95.8943,0.0
14,110,1,1,A.C,0.06813856746884994,0.08989928373442496,175.611,1089160.63,2202954.27,-4.248034549433519,168.309,52.04,0.0
15,111,1,1,A.C,0.06789630603743717,0.09024148635205193,244.489,1362808.89,2872449.98,-8.586777464746786,196.713,57.9748,0.0
16,112,1,1,A.C,0.07773197153583168,0.09811598576791583,342.958,2038750.74,4795168.08,-1.6341462007067293,138.566,111.025,0.0
17,113,1,1,A.C,0.08149722570087761,0.10194194618377214,239.901,1570398.97,3123880.89,-8.132846067763168,188.131,66.5443,0.0
18,114,1,1,A.C,0.09959346842952073,0.12060506754809369,251.545,2379617.88,4594510.23,-7.586232183810642,107.168,99.9744,0.012
19,115,1,1,A.C,0.06716020568273962,0.0865551028413698,287.44,1796592.51,2938725.22,-7.436023949697952,219.001,45.4264,0.0
20,116,1,1,A.C,0.08479527975432574,0.1029109732104962,279.039,1697113.6,3524916.82,-5.360635575453529,135.122,65.9869,0.0
21,117,1,1,A.C,0.09052454284392296,0.10762560475529481,251.006,2082551.21,3249431.15,-4.178859845102573,154.602,48.5791,0.0
22,118,1,1,A.C,0.07122279313625768,0.09513139656812883,189.814,1410196.36,2639002.54,-6.32731695763678,165.39,50.062,0.0
23,119,1,1,A.C,0.08171390674542636,0.10887362003937984,233.707,1476712.65,3186693.5,-6.952719319404918,201.999,60.0464,0.0
24,12,1,1,A.C,0.084515355178155,0.10801934425574418,397.423,2062207.19,3907873.57,-7.332847885974996,193.713,80.2861,0.056
25,120,1,1,A.C,0.07449835147708654,0.09230917573854328,268.975,1908738.63,3784185.32,-4.538521107181748,125.5,72.8842,0.0
26,121,1,1,A.C,0.0766034146770835,0.10065670733854173,225.856,1455121.76,3063120.52,-5.378355947006971,169.015,59.3875,0.0
27,122,1,1,A.C,0.0641217577678617,0.08724254555059752,264.6,1757932.0,3102017.84,-10.0,218.774,51.4568,0.158
28,123,1,1,A.C,0.10070229386910795,0.12294781360122063,386.643,2231487.5,4053629.54,-5.514747207930517,214.175,83.5854,0.0
29,124,1,1,A.C,0.06397535763680935,0.08899767881840467,225.041,918209.44,2001790.69,-6.080270558661791,165.215,42.0791,0.0
30,125,1,1,A.C,0.06719747970346361,0.08980540651839847,203.392,982564.23,2066225.25,-3.2248565250936547,123.813,53.9476,0.0
31,126,1,1,A.C,0.07956944901961834,0.10205472450980917,351.109,1969916.46,3643599.32,-7.858529358908858,217.086,95.8265,0.0
32,127,1,1,A.C,0.06601120941340922,0.09271393804003794,191.772,1181491.08,2655634.69,-2.7410114956504508,117.982,52.2452,0.0
33,128,1,1,A.C,0.06625206947792323,0.09100936807229495,325.792,2358269.05,3761738.39,-6.988292023705526,248.005,71.4701,0.101
34,129,1,1,A.C,0.059756312778336,0.082428156389168,325.225,1583434.1,3020299.24,-6.874837761586336,156.905,57.9306,0.0
35,13,1,1,A.C,0.12515478478744624,0.14992572572705642,433.11,2809049.94,5221649.08,-5.293850059623494,291.44,103.034,0.013
36,130,1,1,A.C,0.14249126017093658,0.17366063008546828,607.792,4458659.77,6893659.58,-5.161484902094072,276.334,171.573,0.115
37,131,1,1,A.C,0.10172518426552414,0.12574259213276207,481.981,3038834.64,5265431.55,-3.650651929612748,141.12,114.151,0.0
38,132,1,1,A.C,0.09137678761035205,0.12364339380517603,399.36,2552055.0,4466528.08,-10.0,212.69,88.3814,0.056
39,133,1,1,A.C,0.08340901292394848,0.1040561731286409,329.437,2134572.47,3976430.79,-5.740452404220449,195.983,70.5872,0.029
40,134,1,1,A.C,0.09921070667915047,0.12169202000624191,377.983,2624308.17,4235849.48,-4.8964585955736535,169.425,86.0841,0.0
41,135,1,1,A.C,0.08403013655915856,0.10710506827957927,314.54,1853783.71,3188425.37,-6.280217729735482,163.087,59.0963,0.0
42,136,1,1,A.C,0.09986326575744897,0.12385163287872449,323.899,2035337.3,4182934.36,-2.3373862963923955,189.73,83.2378,0.0
43,137,1,1,A.C,0.0915034735109657,0.11067340342214951,361.202,2277586.92,3583488.92,-3.3346550456251567,238.42,55.5615,0.0
44,138,1,1,A.C,0.11686610663309695,0.13627805331654846,316.938,2179512.43,3668318.36,-2.669537372536622,240.289,74.879,0.0
45,139,1,1,A.C,0.1126945602707565,0.13111228013537826,304.44,3122977.38,5945592.38,-4.30761795171312,167.638,124.643,0.0
46,14,1,1,A.C,0.11165245603770017,0.1366645613521834,346.7,2192318.72,4205374.6,-2.1161181170636536,180.585,87.9459,0.0
47,140,1,1,A.C,0.09528149808757005,0.12435408237711837,344.058,2296468.47,3937072.6,-10.0,168.775,69.2682,0.071
48,141,1,1,A.C,0.11732391826808454,0.14178195913404226,356.689,2318822.1,4423054.47,-4.589202372121723,280.353,74.4752,0.013
49,142,1,1,A.C,0.03408997282676864,0.05663831974671765,284.276,2224579.25,3600920.93,-0.5075292538288222,224.544,68.1388,0.0
50,143,1,1,A.C,0.09420679556205869,0.11946173111436267,382.494,2280912.73,4109853.89,-4.706612670983841,250.429,91.5892,0.0
51,144,1,1,A.C,0.10069615002721548,0.12945807501360773,292.28,2260653.39,3919271.24,-4.668101779299809,218.827,66.1633,0.028
52,145,1,1,A.C,0.07121373710688203,0.09535186855344102,219.549,1150600.7,2330539.95,-6.703864069721629,106.225,58.7746,0.0
53,146,1,1,A.C,0.086219023168087,0.10518784491737682,138.512,1144445.11,2272332.32,-8.229015974039491,85.147,45.6322,0.0
54,147,1,1,A.C,0.10174149321392179,0.1301607466069609,322.501,2337324.16,4088295.91,-9.851190653011487,201.434,71.803,0.07
55,148,1,1,A.C,0.10115631306543946,0.12115648986605307,231.77,1691548.88,3604625.7,-6.561764574464957,110.673,68.183,0.0
56,149,1,1,A.C,0.053676450602870324,0.07163322530143516,185.637,1277531.44,2468133.04,-5.073141994120596,110.486,48.3243,0.059
57,15,1,1,A.C,0.08087921347469092,0.10815960673734545,406.4,2362010.57,4382148.75,-4.25986850156332,243.638,83.1138,0.04
58,150,1,1,A.C,0.05906565822660923,0.08105782911330463,235.572,1211070.42,2382511.5,-5.73565207464093,164.913,51.9045,0.0
59,151,1,1,A.C,0.21188272330909966,0.2527530283212165,954.004,6085434.04,10513156.38,-0.0022648082775786594,485.727,234.118,0.798
60,152,1,1,A.C,0.07960249363677577,0.10243624681838788,267.494,2223467.64,4046691.98,-6.094065122038418,164.144,79.0498,0.123
61,153,1,1,A.C,0.08855737503618002,0.10971868751809001,214.279,1677421.82,2980388.85,-6.955196093107187,159.059,58.1184,0.0
62,154,1,1,A.C,0.08695712266489863,0.10867522799911598,314.986,2402622.47,4092736.72,-7.858251011080022,230.482,82.6355,0.0
63,155,1,1,A.C,0.08228947945171967,0.10698473972585984,268.281,1964203.34,3383779.97,-4.8600124616681315,161.898,72.2161,0.029
64,156,1,1,A.C,0.08862009432632477,0.10704171382982905,354.058,1992171.62,3757089.34,-5.043186963496919,193.196,77.6756,0.0
65,157,1,1,A.C,0.10325311589986086,0.11967655794993043,326.39,2142885.26,4081558.19,-8.390254463679964,176.408,85.8394,0.0
66,158,1,1,A.C,0.07913443187717348,0.10065221593858674,369.081,2331544.58,4314877.97,-5.812589237569207,239.849,85.6046,0.042
67,159,1,1,A.C,0.07248731143772602,0.10073698905219634,309.784,1940598.24,3512820.84,-8.045468295554311,205.203,71.9882,0.058
68,16,1,1,A.C,0.11952436724677683,0.14376551695672174,437.593,2822976.53,5820373.62,-1.2450676546465127,235.18,112.72,0.012
69,160,1,1,A.C,0.0740712309954688,0.0907406154977344,298.128,1911763.16,3750296.16,-3.6533488108548844,227.61,69.9566,0.086
70,161,1,1,A.C,0.09309946282301099,0.11556973141150549,230.199,2193767.37,4098341.48,-5.542081856903749,203.804,78.5113,0.0
71,162,1,1,A.C,0.06134431157261134,0.08480715578630567,291.407,1816602.9,3740249.66,-4.44787591552569,204.573,68.5724,0.0
72,163,1,1,A.C,0.10584294321015478,0.13165480493841072,285.22,2418119.82,4330808.91,-4.031711605136315,198.63,94.9072,0.013
73,164,1,1,A.C,0.10509264077991248,0.12962132038995625,456.396,3560635.11,5705030.37,-5.729797356524681,252.194,114.624,0.0
74,165,1,1,A.C,0.08533034985885024,0.10902850826275845,201.695,1918894.15,3519695.06,-8.673767553215997,187.003,62.2593,0.0
75,166,1,1,A.C,0.09271310119656846,0.1151632172649509,285.21,1982032.96,3430767.4,-6.061544882965357,156.786,68.1877,0.027
76,167,1,1,A.C,0.07667024359107018,0.09725678846220176,301.844,1762288.32,3323623.15,-8.020138952554383,191.815,66.0261,0.0
77,168,1,1,A.C,0.09607850357424469,0.12213258512045568,268.082,1592259.96,3036993.4,-8.296032021718444,186.273,68.9203,0.0
78,169,1,1,A.C,0.09065124657936394,0.1102939566230153,240.237,1956151.58,3684636.82,-5.552243206260926,131.61,77.2251,0.0
79,17,1,1,A.C,0.08323103794828056,0.10228385230747361,310.881,1793617.63,3513314.46,-5.80717016419301,168.703,73.9426,0.0
80,170,1,1,A.C,0.08598811458796263,0.10714239062731463,282.302,2350080.14,3988725.48,-2.5540582460854893,307.335,83.2588,0.0
81,171,1,1,A.C,0.0788951077265665,0.10003255386328325,279.88,2250237.98,3649885.19,-5.627072129417318,192.188,74.4284,0.0
82,172,1,1,A.C,0.10566366510465741,0.12980849921899537,356.105,2415093.64,3940545.22,-4.190002944034083,268.846,94.941,0.0
83,173,1,1,A.C,0.12598362667486074,0.14028848000409705,329.083,2146524.75,4143070.09,-6.079879545603292,256.424,72.1884,0.0
84,174,1,1,A.C,0.18208158053457738,0.22056745693395535,909.567,5633595.6,9502938.36,-0.409617608287307,454.586,194.828,0.673
85,175,1,1,A.C,0.0979475611820817,0.12038544725770751,352.358,2268632.96,4276361.57,-0.8867123222272186,187.566,101.524,0.0
86,176,1,1,A.C,0.09295814693905413,0.11790907346952707,402.78,2547232.69,4351911.58,-7.028032164402147,290.104,78.845,0.0
87,177,1,1,A.C,0.07361682252958418,0.09581674459812542,216.735,1027535.0,2526013.53,-5.563131034721907,129.179,67.7792,0.0
88,178,1,1,A.C,0.03979107694467529,0.06252053847233764,213.252,2066381.04,3872394.58,-0.5892122736335385,175.739,78.3765,0.0
89,179,1,1,A.C,0.08860463676974177,0.1072523183848709,271.039,2188876.85,4101964.8,-6.703589493258807,185.91,82.2475,0.0
90,18,1,1,A.C,0.14049077620729805,0.16648372143698237,538.961,3467047.78,6672647.34,-2.0984240758335573,247.636,125.105,0.011
91,180,1,1,A.C,0.09870262886397542,0.12476798109865439,164.061,1739177.04,3825950.46,-4.300993574420388,159.902,75.5396,0.0
92,181,1,1,A.C,0.10499516003765165,0.12658924668549248,259.122,1962352.27,3829883.19,-4.69016857459979,155.62,74.294,0.0
93,182,1,1,A.C,0.08808665135875345,0.11425665901271007,281.939,2214734.68,3973362.05,-2.712099252009831,176.388,71.6049,0.169
94,183,1,1,A.C,0.07910011652857066,0.09923505826428533,304.778,1796046.79,3516739.88,-6.973997983217664,198.414,59.3985,0.0
95,184,1,1,A.C,0.06893193572759627,0.0863176345304648,212.572,1543722.84,2915961.06,-7.7081016677376795,199.331,52.283,0.0
96,185,1,1,A.C,0.07614526259712875,0.10128429796523104,243.428,1399995.78,2617008.47,-6.38063786214838,225.71,56.079,0.0
97,186,1,1,A.C,0.059235962870297955,0.07983631476848231,172.748,902672.44,1856552.32,-6.410132962632818,132.432,38.8347,0.098
98,187,1,1,A.C,0.08132569533772767,0.09823784766886384,333.69,2515589.4,4235762.26,-8.700412294446048,240.781,71.7659,0.082
99,188,1,1,A.C,0.10469281310215592,0.12276140655107795,244.473,1981546.06,3972305.78,-7.764612556118435,190.31,79.3379,0.155
100,189,1,1,A.C,0.07201128706801684,0.09105397686734175,244.929,1362124.93,2466535.85,-8.006277329786622,165.631,50.8701,0.0
101,19,1,1,A.C,0.18096043542027473,0.22250355104347072,941.198,6034731.01,10483333.51,-0.014023974202056916,447.111,229.028,0.807
102,190,1,1,A.C,0.047976246097823604,0.06463478971557847,253.983,2047943.38,3262911.82,-2.881564575931027,82.039,90.714,0.0
103,191,1,1,A.C,0.05359455401194282,0.08143894367263807,225.507,1676676.41,2575574.58,-7.893688712466656,152.326,50.5338,0.0
104,192,1,1,A.C,0.09996931196656078,0.11949798931661372,451.518,2973307.11,5318572.53,-6.391428823211675,332.134,98.8956,0.0
105,193,1,1,A.C,0.06870508803986013,0.09117087735326339,247.363,1381570.51,2270954.85,-8.091123676006426,152.964,57.6486,0.0
106,194,1,1,A.C,0.10825951993465424,0.13061809330066043,426.34,2730610.37,4415647.66,-4.679293815299537,250.659,118.655,0.026
107,195,1,1,A.C,0.0669845063937828,0.0864922531968914,331.476,1669055.66,2932232.75,-7.19260975945657,205.051,57.0599,0.0
108,196,1,1,A.C,0.19814005959779024,0.2395316964655618,946.327,6647679.37,10339689.83,-0.001394201662220306,464.114,211.99,0.769
109,197,1,1,A.C,0.10246513022575529,0.12329256511287764,217.765,2008228.99,3866270.33,-10.0,181.599,80.0337,0.0
110,198,1,1,A.C,0.0999618495348841,0.12011425810077539,311.237,1819332.93,3286143.91,-4.696545129655083,159.085,93.4821,0.0
111,199,1,1,A.C,0.06562167324591428,0.08365250328962381,207.133,2179492.79,3903907.46,-8.528283407517574,92.923,85.449,0.04
112,2,1,1,A.C,0.18122967556118966,0.22029150444726148,1025.32,6898640.45,11385432.01,-0.01085964622330317,725.027,228.162,0.893
113,20,1,1,A.C,0.08325091772712767,0.1015921255302305,276.682,1360091.31,2934280.76,-5.773446415892304,179.201,72.5794,0.0
114,200,1,1,A.C,0.09498749920167028,0.11374041626750181,293.173,1796548.3,4020326.31,-4.135458935130375,156.896,81.7929,0.211
115,201,1,1,A.C,0.09671167354099452,0.11765917010383059,282.04,2528884.87,4306570.6,-4.244308809745299,199.76,85.6961,0.027
116,202,1,1,A.C,0.08927976884297097,0.10717821775481881,207.705,1891600.67,3546484.05,-4.735210985298323,134.329,71.4594,0.027
117,203,1,1,A.C,0.05398669780915952,0.07160834890457976,206.225,1329708.03,2574077.26,-4.342040962565602,146.573,45.033,0.06
118,204,1,1,A.C,0.06432711470406502,0.08631189068536585,259.442,1928565.03,3478293.24,-3.2258929712104845,138.304,71.4805,0.083
119,205,1,1,A.C,0.12622478045523167,0.1418040568942825,361.012,2786848.92,4918331.31,-5.32175749373426,171.198,109.436,0.0
120,206,1,1,A.C,0.09032292207702995,0.11397312770518164,311.325,2240010.76,4110316.71,-4.469104190877961,157.076,84.9875,0.0
121,207,1,1,A.C,0.05060591932196985,0.07243462632765159,195.758,738005.7,1639723.62,-3.4592809553997417,138.624,43.802,0.0
122,208,1,1,A.C,0.09779301607050002,0.11914650803525001,376.153,2847513.93,4822502.57,-5.434105014981745,242.843,104.487,0.073
123,209,1,1,A.C,0.0957303945790045,0.11913019728950225,333.561,1804882.52,3150122.61,-4.228186740629085,180.718,58.6774,0.0
124,21,1,1,A.C,0.09329658905044197,0.12247662785855432,367.543,3104021.38,4879717.5,-4.430989774630525,217.137,106.036,0.105
125,210,1,1,A.C,0.09638931145891547,0.11268298906279106,377.269,1820202.59,3884136.81,-1.5489499722345073,217.856,96.5981,0.0
126,211,1,1,A.C,0.07959394948557019,0.10987864140945176,368.525,2217927.25,3793011.35,-7.094788132699098,214.639,82.8777,0.043
127,212,1,1,A.C,0.1148309695883654,0.13990548479418272,437.961,2846409.26,4590866.55,-6.167415127992997,153.344,117.005,0.103
128,213,1,1,A.C,0.20094980485737324,0.23954656909535327,881.939,5280928.63,9366029.5,-0.0001567419338116344,248.499,217.776,0.606
129,214,1,1,A.C,0.10110801700502635,0.12665400850251318,265.476,2247100.04,4211996.59,-4.4054402697096915,158.625,111.869,0.0
130,215,1,1,A.C,0.07542263839859516,0.09573465253263092,245.569,1653885.4,3108466.18,-8.876339925731388,167.545,54.9167,0.0
131,216,1,1,A.C,0.06599318182561546,0.08983992424614107,205.938,1632452.68,2809942.11,-9.80667669635681,134.992,53.7952,0.0
132,217,1,1,A.C,0.08548590755090117,0.10787628710878391,282.455,2429876.01,4324755.38,-7.374423650930491,161.998,78.8201,0.042
133,218,1,1,A.C,0.08934067725203933,0.10734867195935299,372.171,2582201.64,4810688.72,-6.057172830633203,176.912,92.2458,0.0
134,219,1,1,A.C,0.05553935394273139,0.0771446769713657,271.852,1564619.1,3174318.97,-10.0,177.741,76.3136,0.1
135,22,1,1,A.C,0.07707429671427235,0.09742381502380285,184.442,1050892.7,2815246.88,-10.0,104.078,50.9888,0.0
136,220,1,1,A.C,0.07740482050867285,0.10540241025433641,394.304,2233327.16,3848008.08,-6.39160231616523,169.46,71.5366,0.086
137,221,1,1,A.C,0.06382852294482291,0.08679092813907813,262.743,1414883.78,2547937.45,-7.508428483269882,175.8,47.1241,0.0
138,222,1,1,A.C,0.10894860136322677,0.12892096734828007,424.363,3171827.65,5251835.48,-3.9000909999420688,324.517,112.951,0.0
139,223,1,1,A.C,0.061711813206784434,0.08132423993672555,299.872,1732150.26,3084346.69,-6.727564869576639,188.193,64.6055,0.0
140,224,1,1,A.C,0.07702616557944565,0.1000747494563895,286.199,1942053.23,3203580.57,-7.80569549573751,163.673,62.6677,0.106
141,225,1,1,A.C,0.0819676008366514,0.10039880041832569,264.088,1442885.78,2678014.73,-5.9782612938370345,153.137,35.6936,0.0
142,226,1,1,A.C,0.05682511795312166,0.08041089230989416,276.466,2208994.87,4052007.62,-3.364771343652712,101.411,90.3489,0.013
143,227,1,1,A.C,0.09091822844929993,0.1099674475579833,400.746,2653714.26,4535461.99,-6.351133694248985,295.144,91.1226,0.0
144,228,1,1,A.C,0.06411963000427931,0.08612981500213965,231.575,1441162.51,3213395.11,-4.57168030263574,5.776,65.9183,0.099
145,229,1,1,A.C,0.11889813719317319,0.14103240192991992,209.839,2088259.58,3567661.12,-7.604550325326762,149.372,85.9862,0.0
146,23,1,1,A.C,0.12124498155899348,0.1391441574461634,347.972,2572649.67,4798884.38,-2.763750414351853,210.779,92.6222,0.0
147,230,1,1,A.C,0.06122410089956247,0.08437538378311457,294.129,2026874.88,3642290.77,-4.684709427147843,223.933,65.6749,0.056
148,231,1,1,A.C,0.06669471372733825,0.09028069019700245,144.717,654016.87,1630385.97,-4.677428371431955,114.688,35.3696,0.0
149,232,1,1,A.C,0.10757704628631472,0.1329668564764907,320.999,2053549.5,3691560.89,-6.85651549211469,270.914,69.3015,0.014
150,233,1,1,A.C,0.1291800192091614,0.1576300096045807,397.793,3269191.97,5086540.21,-6.026395477339292,208.077,128.343,0.11
151,234,1,1,A.C,0.061095719854347405,0.08613785992717371,203.644,1089100.42,2490170.24,-4.8999111325910265,131.144,51.1815,0.0
152,235,1,1,A.C,0.10130756432190537,0.12218544882761934,328.323,2409027.41,4033315.9,-3.495752095685947,215.313,73.2859,0.0
153,236,1,1,A.C,0.08617084471043199,0.10768375568854932,321.559,1817620.25,3352945.5,-4.836080082466387,182.363,57.8122,0.0
154,237,1,1,A.C,0.046952561222133225,0.06510461394439994,169.06,893782.07,1730674.43,-1.7414108522757399,158.373,43.7303,0.0
155,238,1,1,A.C,0.07522796208504587,0.09720898104252293,283.176,1298650.76,2231235.82,-6.556533572367032,163.535,40.5418,0.0
156,239,1,1,A.C,0.05601048558601178,0.07500690945967256,383.402,2231498.35,5213841.19,-4.296246498194883,52.32,100.001,0.012
157,24,1,1,A.C,0.19021818190813067,0.22719742428739867,788.281,6105564.95,9487964.49,-0.9931914032129732,492.36,188.12,0.714
158,240,1,1,A.C,0.08598365718498827,0.10393182859249414,393.935,3231777.45,5379976.1,-8.761645636411744,216.4,97.6151,0.062
159,241,1,1,A.C,0.07179893149295821,0.0881144657464791,308.574,2110677.05,3580061.67,-4.720794620209349,249.765,59.9758,0.0
160,242,1,1,A.C,0.09741105725988747,0.12148219529661039,286.474,1762374.07,3731225.44,-1.933807630438943,221.091,77.3831,0.0
161,243,1,1,A.C,0.10880806685891002,0.13118070009612168,338.15,2214885.07,4037389.47,-6.195083629766722,216.581,71.498,0.0
