,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
43000,1,1,2,0.796,0.879,0.527,0.579,0.46,0.17149999999999999,12.135,15.657,0.93731,0.85604,0.83835,0.41765,0.47433,0.5398,0.6772466666666667,0.47726,0.8772333333333333,0.01779382142601662,1458.99,3229486.07,5940827.15,-1.7802725833746031,114.569,134.943
43001,10,1,2,0.796,0.879,0.533,0.547,0.458,0.1805,14.342,17.0193,0.93467,0.87093,0.85217,0.41244,0.49127,0.53284,0.6823866666666667,0.47884999999999994,0.8859233333333334,0.03824541239130781,1441.67,3289216.29,6139967.44,-1.8829358366115723,166.318,116.389
43002,100,1,2,0.797,0.878,0.526,0.5,0.453,0.0795,13.865,22.1191,0.93322,0.86508,0.84256,0.42199,0.50131,0.56572,0.6883133333333333,0.49634,0.8802866666666667,0.07888054919822024,1284.82,2482532.31,4921272.25,-5.2416770216470505,60.694,94.2117
43003,1000,1,2,0.799,0.878,0.56,0.52,0.459,0.1025,12.839,33.6575,0.93778,0.85626,0.8418,0.43183,0.52505,0.55005,0.6904616666666666,0.5023099999999999,0.8786133333333334,0.014569910770110273,1300.59,1345300.37,2839421.02,-2.240611476045108,82.333,64.0502
43004,101,1,2,0.797,0.878,0.556,0.488,0.453,0.06,14.342,30.4531,0.93139,0.85208,0.83578,0.4058,0.4964,0.5241,0.6742583333333333,0.4754333333333333,0.8730833333333333,0.010085619202097346,1261.96,1134365.73,2537658.79,-1.6125449918919206,116.255,70.3971
43005,102,1,2,0.796,0.878,0.556,0.512,0.456,0.086,13.319,16.2937,0.93424,0.8692,0.8471,0.4159,0.50059,0.54534,0.685395,0.48727666666666664,0.8835133333333333,0.0483720048883697,1385.29,2444571.18,4420179.51,-4.147999942754034,140.528,85.2335
43006,103,1,2,0.797,0.878,0.551,0.495,0.455,0.0305,15.808,17.047,0.93143,0.85748,0.83556,0.40551,0.49466,0.54358,0.6780366666666667,0.48125,0.8748233333333334,0.04179191655871968,1320.71,1603982.08,3459503.37,-3.9696392440811903,77.445,85.749
43007,104,1,2,0.798,0.878,0.536,0.536,0.458,0.124,13.11,26.7063,0.93969,0.86485,0.84952,0.41474,0.49129,0.53297,0.6821766666666667,0.4796666666666667,0.8846866666666667,0.020040603803925645,1312.4,1839794.59,4406326.46,-2.244175261760514,94.647,81.4873
43008,105,1,2,0.797,0.878,0.522,0.564,0.455,0.149,13.752,31.9685,0.9375,0.85745,0.84022,0.41288,0.47564,0.54428,0.677995,0.47759999999999997,0.87839,0.016899502818053948,1357.41,2532089.02,5038140.34,-2.796684206466886,146.143,117.849
43009,106,1,2,0.796,0.878,0.557,0.526,0.455,0.0975,13.229,16.925,0.93457,0.86791,0.84915,0.39947,0.48903,0.53177,0.67865,0.4734233333333333,0.8838766666666666,0.032793229416165554,1389.09,1692141.28,3608530.62,-3.23877756590323,114.422,70.0283
43010,107,1,2,0.797,0.878,0.548,0.517,0.453,0.1565,13.975,29.3077,0.93294,0.85265,0.8347,0.40807,0.48459,0.53163,0.6740966666666667,0.47476333333333337,0.8734299999999999,0.016725808623373698,1378.84,1679333.33,3527872.29,-5.45529235323966,173.734,78.9782
43011,108,1,2,0.797,0.878,0.549,0.478,0.453,0.0525,15.823,25.3048,0.93599,0.86663,0.85125,0.40986,0.49839,0.51957,0.6802816666666667,0.47594000000000003,0.8846233333333333,0.019920037910168158,1275.91,1308123.11,3442911.88,-2.3793999690594383,91.515,66.4341
43012,109,1,2,0.796,0.879,0.53,0.591,0.459,0.1315,10.537,12.4226,0.93725,0.8672,0.84891,0.42337,0.49729,0.54604,0.6866766666666667,0.48890000000000006,0.8844533333333334,0.03696889862896725,1481.87,3336329.42,5600836.13,-2.490887696042333,170.601,123.233
43013,11,1,2,0.796,0.878,0.561,0.507,0.455,0.033,11.852,15.9599,0.9326,0.85844,0.84093,0.40654,0.50105,0.51383,0.675565,0.47380666666666665,0.8773233333333333,0.009788422131081458,1281.44,1626937.65,3001897.62,-4.495230316319388,106.269,63.9
43014,110,1,2,0.796,0.878,0.544,0.554,0.455,0.178,11.685,15.9625,0.93585,0.85362,0.83714,0.40991,0.47523,0.53609,0.67464,0.47374333333333335,0.8755366666666667,0.013096453966339537,1423.19,2128560.3,4509936.78,-4.337328394427775,174.06,103.317
43015,111,1,2,0.797,0.878,0.522,0.5,0.453,0.0615,15.697,21.6837,0.93614,0.86812,0.84821,0.40346,0.48258,0.54381,0.6803866666666667,0.4766166666666667,0.8841566666666667,0.04982270256577977,1383.93,2221622.04,5150572.13,-5.55739422356101,106.075,116.443
43016,112,1,2,0.797,0.878,0.543,0.544,0.453,0.202,14.471,31.88,0.93715,0.85986,0.84379,0.40503,0.49474,0.52504,0.6776016666666667,0.4749366666666666,0.8802666666666666,0.011723974634167921,1324.34,1913870.65,3713381.81,-2.01280193638533,113.729,59.6829
43017,113,1,2,0.796,0.879,0.541,0.561,0.457,0.16799999999999998,16.457,18.4907,0.93584,0.87142,0.85449,0.41176,0.48692,0.54365,0.6840133333333333,0.4807766666666667,0.8872499999999999,0.038318491018345925,1419.82,2960086.12,5246446.25,-3.7191237793597685,151.547,100.566
43018,114,1,2,0.797,0.878,0.54,0.539,0.456,0.1235,11.285,31.7143,0.93662,0.8632,0.84673,0.40918,0.49757,0.512,0.67755,0.4729166666666667,0.8821833333333333,0.015962580570999817,1367.09,2440051.42,4125838.23,-3.1813302606508667,185.727,77.839
43019,115,1,2,0.797,0.878,0.496,0.573,0.455,0.233,12.475,23.7766,0.9309,0.85797,0.83439,0.40344,0.44633,0.54037,0.6689,0.46338000000000007,0.8744200000000001,0.05193771976574908,1553.87,3684352.42,6742737.9,-0.8191464781126676,182.033,143.247
43020,116,1,2,0.796,0.879,0.53,0.584,0.463,0.222,13.401,16.2636,0.93596,0.86973,0.85214,0.41067,0.48029,0.53788,0.6811116666666668,0.47628000000000004,0.8859433333333334,0.0378469740373248,1564.88,3917774.18,6705136.52,-3.4291020519304656,115.763,123.61
43021,117,1,2,0.796,0.879,0.533,0.512,0.461,0.071,12.322,13.8292,0.93826,0.86486,0.84702,0.41534,0.48752,0.55024,0.6838733333333333,0.48436666666666667,0.8833799999999999,0.04869717443396873,1255.56,2346338.34,5656019.36,-5.363977141535214,52.9,104.609
