,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,1,2,A.D,0.014764890514356921,0.24601244525717847,126.468,1201515.45,2264571.95,-0.27424672488622553,69.637,52.2245,0.0
1,1,1,2,B.D,0.02082275233767632,0.24904137616883817,206.78,2149425.92,3676255.2,-3.286298441862981,131.489,82.7181,0.0
2,10,1,2,A.D,0.048469792353716915,0.2636598961768584,131.078,1645618.09,3618185.31,-3.6752505963874853,117.33,73.7741,0.0
3,10,1,2,B.D,0.028021032428898706,0.2534355162144493,161.895,1606669.84,2521782.14,-0.09062107683565936,83.742,42.6153,0.0
4,100,1,2,B.D,0.033168894563277714,0.2647544472816389,34.902,694765.2,1706039.8,-2.519808013200199,83.113,34.4499,0.0
5,100,1,2,A.D,0.12459220383316277,0.3104661019165814,93.652,1704694.01,3215232.46,-7.963546030093902,69.934,59.7618,0.0
6,1000,1,2,B.D,0.007766547145629411,0.25503827357281467,69.574,676057.74,1389250.27,-0.08074511687469538,40.796,35.5358,0.0
7,1000,1,2,A.D,0.021373274394591135,0.26184163719729553,70.902,546723.69,1450170.75,-4.400477835215521,53.176,28.5144,0.0
8,101,1,2,B.D,0.019729984070578153,0.24758165870195573,89.907,1095825.45,2393128.78,-2.993614789729674,81.691,64.2152,0.0
9,101,1,2,A.D,0.0004412543336165406,0.23793729383347492,10.994,90261.77,144530.01,-0.23147519405416694,40.215,6.18187,0.0
10,102,1,2,A.D,0.048438353114761405,0.267857509890714,133.112,1082122.87,2144728.72,-0.6492003640114455,91.969,41.9487,0.0
11,102,1,2,B.D,0.048305656661977996,0.2677911616643223,91.88,1352000.46,2275450.79,-7.646799521496623,46.144,43.2848,0.0
12,103,1,2,A.D,0.0622335706371814,0.2717417853185907,109.319,946824.84,1997001.17,-7.889786339781588,105.146,48.2077,0.0
13,103,1,2,B.D,0.021350262480257953,0.25130013124012895,49.956,615920.56,1462502.2,-0.049492148380792765,32.8,37.5413,0.0
14,104,1,2,B.D,0.02590264636374269,0.2527846565152047,76.427,1061882.93,2530679.12,-2.9735414844129413,81.947,57.6497,0.08
15,104,1,2,A.D,0.014178561244108602,0.24692261395538764,74.445,758985.44,1875647.34,-1.5148090391080866,92.641,23.8376,0.0
16,105,1,2,B.D,0.006685506180353684,0.24214275309017683,63.346,446627.28,1197224.02,-2.407961107662716,87.395,23.4329,0.0
