,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
44000,1,1,1,0.981,0.988,0.85,0.833,0.725,0.833,0.483,0.643383,0.92786,0.86703,0.84427,0.14654,0.10713,0.31264,0.534245,0.18877,0.87972,0.1369576543569565,1027.92,8443992.85,13567653.1,-0.0007929376094169953,528.152,293.131
44001,10,1,1,0.893,0.956,0.0,0.192,0.0,0.192,13.907,18.3957,0.92788,0.84883,0.83067,0.04,0.01949,0.16924,0.472685,0.07624333333333334,0.8691266666666667,0.04241574573552498,284.269,1473964.24,2821840.1,-2.7683337251920124,51.598,63.7084
44002,100,1,1,0.893,0.956,0.0,0.106,0.019,0.106,15.679,22.0114,0.93053,0.85452,0.83904,0.05614,0.03271,0.18032,0.48220999999999997,0.08972333333333334,0.8746966666666666,0.04351451893398917,182.781,1922167.59,3797455.65,-4.019337190145452,43.292,107.922
44003,1000,1,1,0.893,0.956,0.0,0.052,0.0,0.052,20.608,26.6827,0.92827,0.85892,0.84421,0.03854,0.0179,0.13029,0.4696883333333334,0.062243333333333324,0.8771333333333334,0.024038894320983672,317.147,1969855.95,2957260.22,-2.441292731463272,186.455,67.8566
44004,101,1,1,0.893,0.956,0.0,0.154,0.0,0.154,17.724,24.7403,0.92728,0.86394,0.85062,0.05148,0.02631,0.16595,0.48093,0.08124666666666666,0.8806133333333334,0.043723388578473535,271.669,2045681.38,3590279.58,-6.6858900931025715,119.376,66.5531
44005,102,1,1,0.894,0.957,0.0,0.244,0.042,0.244,14.533,20.2062,0.93013,0.86599,0.84832,0.07391,0.04932,0.22149,0.49819333333333343,0.11490666666666667,0.8814800000000002,0.07599926579277963,210.755,2758878.32,5627953.46,-4.774425671267688,57.656,105.694
44006,103,1,1,0.893,0.956,0.0,0.022,0.0,0.022,18.085,25.0335,0.92356,0.85325,0.83747,0.04703,0.02831,0.14883,0.473075,0.07472333333333332,0.8714266666666667,0.03390175090244157,238.502,1584594.26,3164579.65,-0.2490470175047918,130.245,58.6837
44007,104,1,1,0.893,0.956,0.012,0.053,0.011,0.053,24.544,33.39,0.91614,0.84946,0.83165,0.04719,0.03208,0.1424,0.46981999999999996,0.07389,0.8657499999999999,0.01782031449292845,198.391,1395073.52,3083264.72,-4.409257149099081,104.895,70.2046
44008,105,1,1,0.893,0.956,0.011,0.121,0.011,0.121,18.608,25.2486,0.92785,0.84935,0.83308,0.04255,0.02093,0.13293,0.46778166666666676,0.06547,0.8700933333333335,0.03955498582727159,296.822,1847864.95,4323120.14,-8.23424785333268,154.903,73.2835
44009,106,1,1,0.893,0.956,0.0,0.066,0.001,0.066,13.186,18.4836,0.92979,0.8554,0.83656,0.05915,0.0356,0.18076,0.4828766666666667,0.09183666666666666,0.8739166666666667,0.06313606703188271,250.249,2220639.23,4066405.16,-8.804262649963546,161.841,72.4331
44010,107,1,1,0.893,0.956,0.0,0.036,0.0,0.036,19.092,26.7575,0.92566,0.85454,0.83926,0.05086,0.02878,0.15415,0.47554166666666664,0.07793,0.8731533333333333,0.03504690990648669,320.456,2060789.27,4245479.29,-1.2471385168036444,145.616,92.4215
44011,108,1,1,0.895,0.956,0.0,0.21,0.011,0.21,12.992,18.6397,0.92356,0.86161,0.84593,0.05908,0.03574,0.18526,0.48519666666666666,0.09336,0.8770333333333333,0.04884916955488734,319.513,2033490.24,4563561.75,-6.9462022538131905,149.611,92.4128
44012,109,1,1,0.893,0.956,0.0,0.15,0.0,0.15,14.269,18.9892,0.92732,0.8607,0.84465,0.05884,0.03032,0.18473,0.48442666666666667,0.09129666666666668,0.8775566666666667,0.05697135387163144,268.632,2712656.47,4360435.43,-2.830484568000288,159.381,79.5183
44013,11,1,1,0.893,0.956,0.0,0.115,0.01,0.115,19.441,27.3201,0.92346,0.85497,0.83581,0.07527,0.04796,0.22251,0.49333000000000005,0.11524666666666666,0.8714133333333334,0.06711368972610217,333.603,2346124.65,5244736.86,-0.30942806730645406,160.73,123.723
44014,110,1,1,0.894,0.957,0.023,0.065,0.031,0.065,13.324,17.8868,0.92346,0.86238,0.84321,0.08956,0.06964,0.25084,0.5065149999999999,0.13668,0.87635,0.07507067340193317,360.525,2759557.7,4680990.27,-0.377061373418455,207.307,85.5941
44015,111,1,1,0.893,0.956,0.0,0.078,0.0,0.078,18.447,24.0242,0.93043,0.86513,0.84806,0.09691,0.06723,0.2484,0.50936,0.13751333333333335,0.8812066666666668,0.08910648210439831,569.77,3096087.55,5856232.62,-1.4794003944723981,325.37,140.184
44016,112,1,1,0.893,0.956,0.0,0.038,0.0,0.038,19.722,27.5851,0.92534,0.86481,0.85209,0.05095,0.02932,0.1538,0.479385,0.07802333333333333,0.8807466666666667,0.029468744509233605,166.502,2134118.46,4000157.09,-6.150295142059398,162.6,98.0622
44017,113,1,1,0.893,0.956,0.0,0.016,0.0,0.016,26.343,31.7649,0.92625,0.85854,0.84287,0.0351,0.01811,0.11594,0.466135,0.056383333333333334,0.8758866666666667,0.020988922553078736,202.865,1125937.29,1712138.6,-6.836512408655342,87.155,37.4911
44018,114,1,1,0.893,0.956,0.0,0.111,0.0,0.111,17.032,22.8133,0.92491,0.8508,0.83438,0.04806,0.02402,0.16196,0.4740216666666667,0.07801333333333332,0.87003,0.04286311504511105,184.515,1324493.33,2906782.8,-4.454912491172014,133.439,71.0658
44019,115,1,1,0.893,0.956,0.0,0.13,0.0,0.13,13.463,18.3325,0.92383,0.85348,0.8358,0.04855,0.02315,0.1599,0.4741183333333333,0.0772,0.8710366666666666,0.042897855391493066,191.49,1758710.53,3605300.24,-4.200391847087202,72.581,60.4935
