,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,1,1,A.B,0.1369576543569565,0.16286382717847825,1027.92,8443992.85,13567653.1,-0.0007929376094169953,538.294,293.131,0.85
1,10,1,1,A.B,0.04241574573552498,0.05932953953442916,284.269,1473964.24,2821840.1,-2.7683337251920124,68.087,63.7084,0.0
2,100,1,1,A.B,0.04351451893398917,0.06661892613366126,182.781,1922167.59,3797455.65,-4.019337190145452,36.391,107.922,0.0
3,1000,1,1,A.B,0.024038894320983672,0.043141113827158496,317.147,1969855.95,2957260.22,-2.441292731463272,169.284,67.8566,0.0
4,101,1,1,A.B,0.043723388578473535,0.0624850276225701,271.669,2045681.38,3590279.58,-6.6858900931025715,106.931,66.5531,0.0
5,102,1,1,A.B,0.07599926579277963,0.09545296622972316,210.755,2758878.32,5627953.46,-4.774425671267688,38.581,105.694,0.0
6,103,1,1,A.B,0.03390175090244157,0.05431254211788744,238.502,1584594.26,3164579.65,-0.2490470175047918,134.101,58.6837,0.0
7,104,1,1,A.B,0.01782031449292845,0.045855157246464225,198.391,1395073.52,3083264.72,-4.409257149099081,120.9,70.2046,0.012
8,105,1,1,A.B,0.03955498582727159,0.0525124929136358,296.822,1847864.95,4323120.14,-8.23424785333268,162.426,73.2835,0.011
9,106,1,1,A.B,0.06313606703188271,0.07748636684927468,250.249,2220639.23,4066405.16,-8.804262649963546,160.776,72.4331,0.0
10,107,1,1,A.B,0.03504690990648669,0.056488454953243346,320.456,2060789.27,4245479.29,-1.2471385168036444,155.156,92.4215,0.0
11,108,1,1,A.B,0.04884916955488734,0.07110458477744366,319.513,2033490.24,4563561.75,-6.9462022538131905,161.101,92.4128,0.0
12,109,1,1,A.B,0.05697135387163144,0.07413401026914906,268.632,2712656.47,4360435.43,-2.830484568000288,135.374,79.5183,0.0
13,11,1,1,A.B,0.06711368972610217,0.09118017819638441,333.603,2346124.65,5244736.86,-0.30942806730645406,192.889,123.723,0.0
14,110,1,1,A.B,0.07507067340193317,0.10587533670096658,360.525,2759557.7,4680990.27,-0.377061373418455,208.631,85.5941,0.023
15,111,1,1,A.B,0.08910648210439831,0.11330990771886583,569.77,3096087.55,5856232.62,-1.4794003944723981,316.436,140.184,0.0
16,112,1,1,A.B,0.029468744509233605,0.05374603892128347,166.502,2134118.46,4000157.09,-6.150295142059398,128.222,98.0622,0.0
17,113,1,1,A.B,0.020988922553078736,0.038686127943206035,202.865,1125937.29,1712138.6,-6.836512408655342,82.517,37.4911,0.0
18,114,1,1,A.B,0.04286311504511105,0.060438224189222185,184.515,1324493.33,2906782.8,-4.454912491172014,136.207,71.0658,0.0
19,115,1,1,A.B,0.042897855391493066,0.06004892769574653,191.49,1758710.53,3605300.24,-4.200391847087202,70.827,60.4935,0.0
20,116,1,1,A.B,0.02240355841959172,0.051610112543129194,136.169,1312017.16,2893251.87,-2.650758799578746,71.256,78.014,0.0
21,117,1,1,A.B,0.04928444949873665,0.058803891416034995,114.591,1346524.47,2571302.76,-8.174598265080531,54.953,51.5032,0.0
22,118,1,1,A.B,0.03800856680318248,0.06207928340159123,313.361,2372055.22,5254117.04,-5.867546505600517,152.787,129.818,0.0
23,119,1,1,A.B,0.049003570680361,0.06132845200684717,254.813,2426362.47,4814244.3,-7.041606353541953,172.939,99.6289,0.0
24,12,1,1,A.B,0.054658580652903764,0.07645095699311855,297.017,3046037.58,6468856.17,-4.767502804858473,116.655,101.401,0.03
25,120,1,1,A.B,0.043979997985297815,0.06291666565931557,284.989,1910486.47,3636528.57,-2.383831241245123,129.292,90.5886,0.0
26,121,1,1,A.B,0.06866390854411292,0.08560695427205645,310.777,2682101.36,5577679.07,-2.7339676870888296,99.845,120.344,0.0
27,122,1,1,A.B,0.06528734727762639,0.08092034030547986,186.328,2431898.08,4311179.21,-5.107165004812953,129.595,83.6621,0.0
