,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
45000,1,1,1,0.788,0.911,0.589,0.672,0.572,0.672,2.444,2.25539,0.89678,0.82226,0.78108,0.23455,0.19162,0.43332,0.559935,0.2864966666666667,0.8333733333333333,0.20321458317339422,970.518,6944859.7,11938896.03,-0.0007067958159549106,435.362,263.751
45001,10,1,1,0.695,0.859,0.0,0.311,0.011,0.311,18.018,19.776,0.89411,0.79989,0.76921,0.11984,0.08268,0.28768,0.49223500000000003,0.16340000000000002,0.8210700000000001,0.10928934058174491,409.51,3503345.68,6840184.47,-1.7143014896286375,154.074,140.511
45002,100,1,1,0.696,0.86,0.0,0.099,0.017,0.099,14.677,15.9016,0.89057,0.7977,0.76798,0.06761,0.03566,0.18713,0.457775,0.0968,0.81875,0.05715933610335924,328.394,1714946.39,4527395.56,-4.98692254170005,146.52,74.1355
45003,1000,1,1,0.693,0.862,0.0,0.158,0.036,0.158,15.913,16.2242,0.89387,0.80383,0.77811,0.0628,0.03985,0.20463,0.46384833333333336,0.10242666666666667,0.8252700000000001,0.06045426625059917,235.419,1990315.03,3466920.49,-5.36458302527654,141.612,66.0985
45004,101,1,1,0.696,0.858,0.0,0.306,0.001,0.306,12.69,14.3507,0.89108,0.80518,0.77306,0.13767,0.10075,0.31634,0.5040133333333334,0.18492,0.8231066666666668,0.12364626461640002,336.388,2892155.95,5246732.96,-1.1760633775270632,205.503,107.281
45005,102,1,1,0.697,0.858,0.0,0.135,0.003,0.135,15.626,17.8635,0.88571,0.78737,0.75623,0.08136,0.05101,0.24693,0.46810166666666664,0.12643333333333331,0.80977,0.08656371585093439,280.998,2355101.81,4734013.99,-5.91791971588107,109.179,119.464
45006,103,1,1,0.698,0.86,0.01,0.233,0.021,0.233,18.092,20.2676,0.88907,0.80216,0.77447,0.10228,0.07109,0.28023,0.48655,0.15119999999999997,0.8219,0.10481178988702597,349.513,2644154.97,5423144.0,-3.1964209886631894,206.226,99.3025
45007,104,1,1,0.697,0.859,0.009,0.217,0.013,0.217,13.94,15.527,0.88735,0.79683,0.76423,0.10921,0.06792,0.27947,0.4841683333333333,0.1522,0.8161366666666666,0.10207229242660106,459.275,3681693.49,6821167.99,-0.04992395352454988,143.465,123.718
45008,105,1,1,0.698,0.861,0.01,0.138,0.037,0.138,14.513,16.1524,0.8896,0.80046,0.77126,0.08752,0.05327,0.24649,0.4747666666666666,0.1290933333333333,0.82044,0.0897389103192836,286.813,2555804.38,5496547.08,-2.4338577405981936,138.308,110.272
45009,106,1,1,0.696,0.859,0.0,0.245,0.011,0.245,13.091,14.9876,0.89668,0.80652,0.77882,0.10437,0.06557,0.28531,0.489545,0.15175000000000002,0.82734,0.10641122558154166,322.524,3013667.77,6314875.46,-0.20880601415792593,99.7,142.053
