,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,1,1,A.B,0.20321458317339422,0.24485562492003043,970.518,6944859.7,11938896.03,-0.0007067958159549106,408.57,263.751,0.589
1,10,1,1,A.B,0.10928934058174491,0.13634467029087247,409.51,3503345.68,6840184.47,-1.7143014896286375,171.337,140.511,0.0
2,100,1,1,A.B,0.05715933610335924,0.07697966805167962,328.394,1714946.39,4527395.56,-4.98692254170005,151.831,74.1355,0.0
3,1000,1,1,A.B,0.06045426625059917,0.08144046645863293,235.419,1990315.03,3466920.49,-5.36458302527654,144.872,66.0985,0.0
4,101,1,1,A.B,0.12364626461640002,0.1542831323082,336.388,2892155.95,5246732.96,-1.1760633775270632,204.8,107.281,0.0
5,102,1,1,A.B,0.08656371585093439,0.10649852459213385,280.998,2355101.81,4734013.99,-5.91791971588107,100.194,119.464,0.0
6,103,1,1,A.B,0.10481178988702597,0.12800589494351297,349.513,2644154.97,5423144.0,-3.1964209886631894,211.069,99.3025,0.01
7,104,1,1,A.B,0.10207229242660106,0.12713614621330052,459.275,3681693.49,6821167.99,-0.04992395352454988,148.289,123.718,0.009
8,105,1,1,A.B,0.0897389103192836,0.10941612182630846,286.813,2555804.38,5496547.08,-2.4338577405981936,104.09,110.272,0.01
9,106,1,1,A.B,0.10641122558154166,0.12908061279077085,322.524,3013667.77,6314875.46,-0.20880601415792593,128.84,142.053,0.0
10,107,1,1,A.B,0.10886835455894471,0.13007251061280567,303.976,3386849.24,6158036.18,-2.5029864492745295,161.828,135.7,0.0
11,108,1,1,A.B,0.05822458637412637,0.08190062652039652,303.103,3026435.88,5217117.27,-4.742144970128934,232.235,110.545,0.039
12,109,1,1,A.B,0.06930852854275145,0.08945926427137571,193.611,2455591.67,5420224.04,-3.7330009973566676,92.407,119.787,0.0
13,11,1,1,A.B,0.1904884859919548,0.22700590966264406,1091.36,6163695.66,10842810.53,-2.857904933866537e-05,526.816,239.373,0.709
14,110,1,1,A.B,0.056701146496925495,0.0789622399151294,274.223,2492970.88,4732325.64,-4.726399160122391,120.468,108.042,0.0
15,111,1,1,A.B,0.07088783094659447,0.0896455821399639,274.061,2141042.09,4274704.81,-5.464423794691994,130.541,80.9082,0.0
